   	scenename	filename	uiscene	collidefile	brainfile	exttype	±≥æ∞“Ù¿÷	–°µÿÕº	‘§œ¬‘ÿ
21016	FB_DZHLG_K	scene/DM_Wuguan.crs	jxjui.cru	scene/FB_DZHLGcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Wuguan.img	21017
21017	FB_HSLY	scene/BF_Zitong.crs	jxjui.cru	scene/FB_HSLYcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Zitong.img	21018
21018	FB_HSLY_K	scene/BF_Zitong.crs	jxjui.cru	scene/FB_HSLYcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Zitong.img	21019
21019	FB_BSZXR	scene/BF_Shangyong.crs	jxjui.cru	scene/FB_BSZXRcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Shangyong.img	21020
21020	FB_BSZXR_K	scene/BF_Shangyong.crs	jxjui.cru	scene/FB_BSZXRcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Shangyong.img	21021
21021	FB_CASHZ	scene/BF_Chaisang.crs	jxjui.cru	scene/FB_CASHZcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Chaisang.img	21022
21022	FB_CASHZ_K	scene/BF_Chaisang.crs	jxjui.cru	scene/FB_CASHZcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Chaisang.img	22000
	Z_jinyang	scene/BF_Jinyang.crs	jxjui.cru	scene/BF_Jinyangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Jinyang.img	22001
	Z_beihai	scene/BF_Jiangling.crs	jxjui.cru	scene/BF_Jianglingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Jiangling.img	22057
	Z_nanpi	scene/BF_Nanpi.crs	jxjui.cru	scene/Z_Nanpicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Nanpi.img	22003
	Z_ye	scene/BF_Xiapi.crs	jxjui.cru	scene/Z_Yecollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Xiapi.img	22059
	Z_xiaopei	scene/BF_Xiaopei.crs	jxjui.cru	scene/BF_Xiaopeicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Xiaopei.img	22005
	Z_xiapi	scene/BF_Xiapi.crs	jxjui.cru	scene/Z_Xiapicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Xiapi.img	22061
	Z_wuwei	scene/BF_Wuwei.crs	jxjui.cru	scene/Z_Wuweicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Liangzhou.ogg	UI_GK_Wuwei.img	22007
	Z_anding	scene/BF_Anding.crs	jxjui.cru	scene/BF_Andingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Liangzhou.ogg	UI_GK_Anding.img	22008
	Z_tianshui	scene/BF_Tianshui.crs	jxjui.cru	scene/Z_Tianshuicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Liangzhou.ogg	UI_GK_Tianshui.img	22009
	Z_xuchang	scene/BF_Xuchang.crs	jxjui.cru	scene/Z_Xuchangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Xuchang.img	22010
	Z_wuyang	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Dingtao.img	22011
	Z_runan	scene/BF_Chenliu.crs	jxjui.cru	scene/BF_Chenliucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Chenliu.img	22012
	Z_qiao	scene/BF_Xiangping.crs	jxjui.cru	scene/BF_Xiangpingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Xiangping.img	22013
	Z_chenliu	scene/BF_Chenliu.crs	jxjui.cru	scene/BF_Chenliucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Chenliu.img	22014
	Z_puyang	scene/BF_Puyang.crs	jxjui.cru	scene/BF_Puyangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Puyang.img	22015
	Z_xingyang	scene/BF_Xingyang.crs	jxjui.cru	scene/BF_Xingyangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Xingyang.img	22016
	Z_dingtao	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Dingtao.img	22017
	Z_daijun	scene/BF_Ji.crs	jxjui.cru	scene/BF_Jicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Ji.img	22018
	Z_ji	scene/BF_Ji.crs	jxjui.cru	scene/BF_Jicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Ji.img	22019
	Z_yijing	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Dingtao.img	22020
	Z_beiping	scene/BF_Beiping.crs	jxjui.cru	scene/BF_Beipingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Beiping.img	22063
	Z_xiangping	scene/BF_Xiangping.crs	jxjui.cru	scene/BF_Xiangpingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Xiangping.img	22064
	Z_xiangyang	scene/BF_Kuaiji.crs	jxjui.cru	scene/BF_Kuaijicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Kuaiji.img	22023
	Z_wan	scene/BF_Wancheng.crs	jxjui.cru	scene/BF_Wanchengcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Wancheng.img	22024
	Z_shangyong	scene/BF_Shangyong.crs	jxjui.cru	scene/BF_Shangyongcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Shangyong.img	22025
	Z_xicheng	scene/BF_Jinyang.crs	jxjui.cru	scene/BF_Jinyangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Jinyang.img	22026
	Z_jiangxia	scene/BF_Wu.crs	jxjui.cru	scene/BF_Wucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Wucheng.img	22027
	Z_changsha	scene/BF_Xiapi.crs	jxjui.cru	scene/Z_Yecollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Xiapi.img	22028
	Z_guiyang	scene/BF_Guiyang.crs	jxjui.cru	scene/BF_Guiyangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Guiyang.img	22029
	Z_wuling	scene/BF_Chaisang.crs	jxjui.cru	scene/BF_Chaisangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Chaisang.img	22030
	Z_yiyang	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Dingtao.img	22031
	Z_jiangling	scene/BF_Jiangling.crs	jxjui.cru	scene/BF_Jianglingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Jiangling.img	22032
	Z_changban	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Dingtao.img	22033
	Z_yongan	scene/BF_Yongan.crs	jxjui.cru	scene/BF_Yongancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Yongan.img	22034
	Z_jiangzhou	scene/BF_Zitong.crs	jxjui.cru	scene/BF_Zitongcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Zitong.img	22035
	Z_fuling	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Dingtao.img	22036
	Z_chengdu	scene/BF_Yongan.crs	jxjui.cru	scene/BF_Yongancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Yongan.img	22037
	Z_zitong	scene/BF_Zitong.crs	jxjui.cru	scene/BF_Zitongcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Zitong.img	22038
	Z_hanzhong	scene/BF_Chenliu.crs	jxjui.cru	scene/BF_Chenliucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Chenliu.img	22066
	Z_yunnan	scene/BF_Yongan.crs	jxjui.cru	scene/BF_Yongancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Nanzhong.ogg	UI_GK_Yongan.img	22068
	Z_shouchun	scene/BF_Shouchun.crs	jxjui.cru	scene/BF_Shouchuncollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Shouchun.img	22041
	Z_jianye	scene/BF_Shouchun.crs	jxjui.cru	scene/BF_Shouchuncollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Shouchun.img	22042
	Z_lujiang	scene/BF_Lujiang.crs	jxjui.cru	scene/BF_Lujiangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Lujiang.img	22043
	Z_danyang	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Dingtao.img	22044
	Z_wu	scene/BF_Wu.crs	jxjui.cru	scene/BF_Wucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Wucheng.img	22045
	Z_kuaiji	scene/BF_Kuaiji.crs	jxjui.cru	scene/BF_Kuaijicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Kuaiji.img	22046
	Z_yizhou	scene/BF_Kuaiji.crs	jxjui.cru	scene/BF_Kuaijicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Kuaiji.img	22047
	Z_jianan	scene/BF_Wu.crs	jxjui.cru	scene/BF_Wucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Wu.img	22048
	Z_chaisang	scene/BF_Chaisang.crs	jxjui.cru	scene/BF_Chaisangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Chaisang.img	22049
	Z_poyang	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Dingtao.img	22070
	Z_chencang	scene/BF_Chencang.crs	jxjui.cru	scene/BF_Chencangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Liangzhou.ogg	UI_GK_Chencang.img	22051
	Z_jieting	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Liangzhou.ogg	UI_GK_Dingtao.img	22052
	Z_wuguan	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Dingtao.img	22053
	Z_changan	scene/BF_Changan.crs	jxjui.cru	scene/BF_Changancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Changan.img	22054
	Z_henei	scene/DM_Dingtao.crs	jxjui.cru	scene/DM_Dingtaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Dingtao.img	22055
	Z_hongnong	scene/BF_Chencang.crs	jxjui.cru	scene/BF_Chencangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Chencang.img	22056
	Z_luoyang	scene/BF_Changan.crs	jxjui.cru	scene/BF_Changancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Changan.img	22057
	Z_donglai	scene/BF_Chaisang.crs	jxjui.cru	scene/BF_Chaisangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Chaisang.img	22058
	Z_pingyuan	scene/BF_Xiaopei.crs	jxjui.cru	scene/Z_Pingyuancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Xiaopei.img	22002
	Z_hejian	scene/BF_Zitong.crs	jxjui.cru	scene/Z_Hejiancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Zitong.img	22060
	Z_jieqiao	scene/DM_Yijing.crs	jxjui.cru	scene/DM_Yijingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Yijing.img	22004
	Z_langya	scene/BF_Wancheng.crs	jxjui.cru	scene/Z_Langyacollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Wancheng.img	22062
	Z_huaiyin	scene/BF_Lujiang.crs	jxjui.cru	scene/Z_Huaiyincollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Lujiang.img	22006
	Z_liucheng	scene/DM_Yijing.crs	jxjui.cru	scene/DM_Yijingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Yijing.img	22021
	Z_xuantu	scene/BF_Beiping.crs	jxjui.cru	scene/BF_Beipingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Beiping.img	22065
	Z_dongta	scene/BF_Dongta.crs	jxjui.cru	scene/BF_Dongtacollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Dongta.img	22022
	Z_shushi	scene/BF_Chencang.crs	jxjui.cru	scene/BF_Chencangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Chencang.img	22067
	Z_jianning	scene/BF_Guiyang.crs	jxjui.cru	scene/BF_Guiyangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Guiyang.img	22039
	Z_yelang	scene/BF_Jinyang.crs	jxjui.cru	scene/BF_Jinyangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Jinyang.img	22069
	Z_zangke	scene/BF_Nanpi.crs	jxjui.cru	scene/BF_Nanpicollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Nanpi.img	22040
	Z_cangwu	scene/BF_Yongan.crs	jxjui.cru	scene/BF_Yongancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Yongan.img	22071
	Z_hepu	scene/BF_Wancheng.crs	jxjui.cru	scene/BF_Wanchengcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Wancheng.img	22072
	Z_zhuya	scene/BF_Lujiang.crs	jxjui.cru	scene/BF_Lujiangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Lujiang.img	22073
	Z_jiaozhi	scene/BF_Chaisang.crs	jxjui.cru	scene/BF_Chaisangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Yangzhou.ogg	UI_GK_Chaisang.img	22050
23000	M_zhangjiao	scene/DM_Jieting.crs	jxjui.cru	scene/M_Zhangjiaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Jieting.img	23001
23001	M_xurong	scene/DM_Henei.crs	jxjui.cru	scene/M_Xurongcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Henei.img	23002
23002	M_lvbu1	scene/DM_Wuguan.crs	jxjui.cru	scene/M_lvbu1collide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Wuguan.img	23003
23003	M_jiling	scene/DM_Danyang.crs	jxjui.cru	scene/M_Jilingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Danyang.img	23004
23004	M_zhangxiu	scene/DM_Changban.crs	jxjui.cru	scene/M_zhangxiucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Changban.img	23005
23005	M_yanliang	scene/DM_Changban.crs	jxjui.cru	scene/M_yanliangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Changban.img	23006
23006	M_wenchou	scene/DM_Changban.crs	jxjui.cru	scene/M_wenchoucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Changban.img	23007
23007	M_mateng	scene/DM_Jieting.crs	jxjui.cru	scene/M_matengcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Jieting.img	23008
23008	M_lvbu2	scene/DM_Danyang.crs	jxjui.cru	scene/M_lvbu2collide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Danyang.img	23009
23009	M_dongzhuo	scene/DM_Lingqiu.crs	jxjui.cru	scene/M_dongzhuocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Lingqiu.img	23010
23010	M_zhugeliang	scene/DM_Dingtao.crs	jxjui.cru	scene/M_zhugeliangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Dingtao.img	23011
23011	M_caocao	scene/BF_Changan.crs	jxjui.cru	scene/M_caocaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Changan.img	
30001	bunai	scene/BF_Yongan.crs	jxjui.cru	scene/BF_Yongancollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Yongan.img	
30002	lelang	scene/BF_Beiping.crs	jxjui.cru	scene/BF_Beipingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Beiping.img	
30003	daifang	scene/BF_Anding.crs	jxjui.cru	scene/BF_Andingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Anding.img	
30004	anping	scene/BF_Ji.crs	jxjui.cru	scene/BF_Jicollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Ji.img	
30005	xiangping	scene/BF_Xiangping.crs	jxjui.cru	scene/BF_Xiangpingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Xiangping.img	
30006	anshi	scene/BF_Puyang.crs	jxjui.cru	scene/BF_Puyangcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Puyang.img	
30007	pingguo	scene/BF_Beiping.crs	jxjui.cru	scene/BF_Beipingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Beiping.img	
30008	beifeng	scene/BF_Kuaiji.crs	jxjui.cru	scene/BF_Kuaijicollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Kuaiji.img	
30009	dongta	scene/BF_Dongta.crs	jxjui.cru	scene/BF_Dongtacollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Dongta.img	
30010	xuantu	scene/BF_Beiping.crs	jxjui.cru	scene/BF_Beipingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Beiping.img	
30011	changli	scene/BF_Beiping.crs	jxjui.cru	scene/BF_Beipingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Beiping.img	
30012	liaoxi	scene/BF_Nanpi.crs	jxjui.cru	scene/BF_Nanpicollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Nanpi.img	
30013	beiping	scene/BF_Beiping.crs	jxjui.cru	scene/BF_Beipingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Beiping.img	
30014	ji	scene/BF_Ji.crs	jxjui.cru	scene/BF_Jicollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Ji.img	
30015	zhuoxian	scene/BF_Yongan.crs	jxjui.cru	scene/BF_Yongancollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Yongan.img	
30016	daixian	scene/BF_Jianan.crs	jxjui.cru	scene/BF_Jianancollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Jianan.img	
30017	hejian	scene/BF_Zitong.crs	jxjui.cru	scene/BF_Zitongcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Zitong.img	
30018	nanpi	scene/BF_Nanpi.crs	jxjui.cru	scene/BF_Nanpicollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Nanpi.img	
30019	zhongshan	scene/BF_Xiangping.crs	jxjui.cru	scene/BF_Xiangpingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Xiangping.img	
30020	changshan	scene/BF_Jinyang.crs	jxjui.cru	scene/BF_Jinyangcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Jinyang.img	
30021	julu	scene/BF_Nanpi.crs	jxjui.cru	scene/BF_Nanpicollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Nanpi.img	
30022	handan	scene/BF_Nanpi.crs	jxjui.cru	scene/BF_Nanpicollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Nanpi.img	
30023	ye	scene/BF_Changan.crs	jxjui.cru	scene/BF_Changancollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Changan.img	
30024	liyang	scene/BF_Chenliu.crs	jxjui.cru	scene/BF_Chenliucollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Chenliu.img	
