instanceid	掉落种数	abstractid	itemtype	数量	掉落几率
10279	1	20084	0	1|1	15
10280	1	20084	0	1|1	15
10281	1	20084	0	1|1	15
10282	1	20084	0	1|1	15
10283	1	20084	0	1|1	15
10284	1	20084	0	1|1	15
10285	1	20084	0	1|1	15
10286	1	20084	0	1|1	15
10287	1	20084	0	1|1	15
10288	1	20084	0	1|1	15
10289	1	20084	0	1|1	15
10290	1	20084	0	1|1	15
10291	1	20084	0	1|1	15
10292	1	20084	0	1|1	15
10293	1	20084	0	1|1	15
10294	1	20084	0	1|1	15
10295	1	20084	0	1|1	15
10296	1	20084	0	1|1	15
10297	1	20084	0	1|1	15
10298	1	20084	0	1|1	15
10299	1	20084	0	1|1	15
10300	1	20084	0	1|1	15
10301	1	20084	0	1|1	15
10302	1	20084	0	1|1	15
10303	1	20084	0	1|1	15
10304	1	20084	0	1|1	15
10305	1	20084	0	1|1	15
10306	1	20084	0	1|1	15
10307	1	20084	0	1|1	15
10308	1	20084	0	1|1	15
10309	1	20084	0	1|1	15
10310	1	20084	0	1|1	15
10311	1	20084	0	1|1	15
10312	1	20084	0	1|1	15
10313	1	20084	0	1|1	15
10314	1	20084	0	1|1	15
10315	1	20084	0	1|1	15
10316	1	20084	0	1|1	15
10317	1	20084	0	1|1	15
10318	1	20084	0	1|1	15
10319	1	20084	0	1|1	15
10320	1	20084	0	1|1	15
10321	1	20084	0	1|1	15
10322	1	20084	0	1|1	15
10323	1	20084	0	1|1	15
10324	1	20084	0	1|1	15
10325	1	20084	0	1|1	15
10326	1	20084	0	1|1	15
10327	1	20084	0	1|1	15
10328	1	20084	0	1|1	15
10329	1	20084	0	1|1	15
10330	1	20084	0	1|1	15
10331	1	20084	0	1|1	15
10332	1	20084	0	1|1	15
10333	1	20084	0	1|1	15
10334	1	20084	0	1|1	15
10335	1	20084	0	1|1	15
10336	1	20084	0	1|1	15
10337	1	20084	0	1|1	15
10338	1	20084	0	1|1	15
10339	1	20084	0	1|1	15
10007	1		0	0|0	85
10008	1		0	0|0	85
10009	1		0	0|0	85
10010	1		0	0|0	85
10011	1		0	0|0	85
10012	1		0	0|0	85
10013	1		0	0|0	85
10014	1		0	0|0	85
10015	1		0	0|0	85
10016	1		0	0|0	85
10017	1		0	0|0	85
10018	1		0	0|0	85
10019	1		0	0|0	85
10020	1		0	0|0	85
10021	1		0	0|0	85
10022	1		0	0|0	85
10023	1		0	0|0	85
10024	1		0	0|0	85
10025	1		0	0|0	85
10026	1		0	0|0	85
10027	1		0	0|0	85
10028	1		0	0|0	85
10029	1		0	0|0	85
10030	1		0	0|0	85
10031	1		0	0|0	85
10032	1		0	0|0	85
10033	1		0	0|0	85
10034	1		0	0|0	85
10035	1		0	0|0	85
10036	1		0	0|0	85
10037	1		0	0|0	85
10038	1		0	0|0	85
10039	1		0	0|0	85
10040	1		0	0|0	85
10041	1		0	0|0	85
10042	1		0	0|0	85
10043	1		0	0|0	85
10044	1		0	0|0	85
10045	1		0	0|0	85
10046	1		0	0|0	85
10047	1		0	0|0	85
10048	1		0	0|0	85
10049	1		0	0|0	85
10050	1		0	0|0	85
10051	1		0	0|0	85
10052	1		0	0|0	85
10053	1		0	0|0	85
10054	1		0	0|0	85
10055	1		0	0|0	85
10056	1		0	0|0	85
10057	1		0	0|0	85
10058	1		0	0|0	85
10059	1		0	0|0	85
10060	1		0	0|0	85
10061	1		0	0|0	85
10062	1		0	0|0	85
10063	1		0	0|0	85
10064	1		0	0|0	85
10065	1		0	0|0	85
10066	1		0	0|0	85
10067	1		0	0|0	85
10068	1		0	0|0	85
10069	1		0	0|0	85
10070	1		0	0|0	85
10071	1		0	0|0	85
10072	1		0	0|0	85
10073	1		0	0|0	85
10074	1		0	0|0	85
10075	1		0	0|0	85
10076	1		0	0|0	85
10077	1		0	0|0	85
10078	1		0	0|0	85
10079	1		0	0|0	85
10080	1		0	0|0	85
10081	1		0	0|0	85
10082	1		0	0|0	85
10083	1		0	0|0	85
10084	1		0	0|0	85
10085	1		0	0|0	85
10086	1		0	0|0	85
10087	1		0	0|0	85
10088	1		0	0|0	85
10089	1		0	0|0	85
10090	1		0	0|0	85
10091	1		0	0|0	85
10092	1		0	0|0	85
10093	1		0	0|0	85
10094	1		0	0|0	85
10095	1		0	0|0	85
10096	1		0	0|0	85
10097	1		0	0|0	85
10098	1		0	0|0	85
10099	1		0	0|0	85
10100	1		0	0|0	85
10101	1		0	0|0	85
10102	1		0	0|0	85
10103	1		0	0|0	85
10104	1		0	0|0	85
10105	1		0	0|0	85
10106	1		0	0|0	85
10240	1		0	0|0	85
10241	1		0	0|0	85
10242	1		0	0|0	85
10243	1		0	0|0	85
10244	1		0	0|0	85
10245	1		0	0|0	85
10246	1		0	0|0	85
10247	1		0	0|0	85
10248	1		0	0|0	85
10249	1		0	0|0	85
10250	1		0	0|0	85
10251	1		0	0|0	85
10252	1		0	0|0	85
10253	1		0	0|0	85
10254	1		0	0|0	85
10255	1		0	0|0	85
10256	1		0	0|0	85
10257	1		0	0|0	85
10258	1		0	0|0	85
10259	1		0	0|0	85
10260	1		0	0|0	85
10261	1		0	0|0	85
10262	1		0	0|0	85
10263	1		0	0|0	85
10264	1		0	0|0	85
10265	1		0	0|0	85
10266	1		0	0|0	85
10267	1		0	0|0	85
10268	1		0	0|0	85
10269	1		0	0|0	85
10270	1		0	0|0	85
10271	1		0	0|0	85
10272	1		0	0|0	85
10273	1		0	0|0	85
10274	1		0	0|0	85
10275	1		0	0|0	85
10276	1		0	0|0	85
10277	1		0	0|0	85
10278	1		0	0|0	85
10279	1		0	0|0	85
10280	1		0	0|0	85
10281	1		0	0|0	85
10282	1		0	0|0	85
10283	1		0	0|0	85
10284	1		0	0|0	85
10285	1		0	0|0	85
10286	1		0	0|0	85
10287	1		0	0|0	85
10288	1		0	0|0	85
10289	1		0	0|0	85
10290	1		0	0|0	85
10291	1		0	0|0	85
10292	1		0	0|0	85
10293	1		0	0|0	85
10294	1		0	0|0	85
10295	1		0	0|0	85
10296	1		0	0|0	85
10297	1		0	0|0	85
10298	1		0	0|0	85
10299	1		0	0|0	85
10300	1		0	0|0	85
10301	1		0	0|0	85
10302	1		0	0|0	85
10303	1		0	0|0	85
10304	1		0	0|0	85
10305	1		0	0|0	85
10306	1		0	0|0	85
10307	1		0	0|0	85
10308	1		0	0|0	85
10309	1		0	0|0	85
10310	1		0	0|0	85
10311	1		0	0|0	85
10312	1		0	0|0	85
10313	1		0	0|0	85
10314	1		0	0|0	85
10315	1		0	0|0	85
10316	1		0	0|0	85
10317	1		0	0|0	85
10318	1		0	0|0	85
10319	1		0	0|0	85
10320	1		0	0|0	85
10321	1		0	0|0	85
10322	1		0	0|0	85
10323	1		0	0|0	85
10324	1		0	0|0	85
10325	1		0	0|0	85
10326	1		0	0|0	85
10327	1		0	0|0	85
10328	1		0	0|0	85
10329	1		0	0|0	85
10330	1		0	0|0	85
10331	1		0	0|0	85
10332	1		0	0|0	85
10333	1		0	0|0	85
10334	1		0	0|0	85
10335	1		0	0|0	85
10336	1		0	0|0	85
10337	1		0	0|0	85
10338	1		0	0|0	85
10339	1		0	0|0	85
10107	50	20081	0	1|1	100
10001	30	20081	0	1|1	100
10002	30	20081	0	1|1	100
10003	30	20081	0	1|1	100
10120	30	20081	0	1|1	100
10121	30	20081	0	1|1	100
10122	30	20081	0	1|1	100
10123	30	20081	0	1|1	100
10124	30	20081	0	1|1	100
10125	30	20081	0	1|1	100
10126	30	20081	0	1|1	100
10127	30	20081	0	1|1	100
10128	30	20081	0	1|1	100
10129	30	20081	0	1|1	100
10130	30	20081	0	1|1	100
10131	30	20081	0	1|1	100
10132	30	20081	0	1|1	100
10133	30	20081	0	1|1	100
10134	30	20081	0	1|1	100
10135	30	20081	0	1|1	100
10136	30	20081	0	1|1	100
10137	30	20081	0	1|1	100
606416	5	20083	0	1|1	100
606417	5	20083	0	1|1	100
606418	5	20083	0	1|1	100
606419	5	20083	0	1|1	100
606420	5	20083	0	1|1	100
606421	5	20083	0	1|1	100
606422	5	20083	0	1|1	100
606423	5	20083	0	1|1	100
606424	8	20083	0	1|1	100
606425	8	20083	0	1|1	100
606426	8	20083	0	1|1	100
606427	8	20083	0	1|1	100
606428	10	20083	0	1|1	100
606429	10	20083	0	1|1	100
606430	10	20083	0	1|1	100
606431	10	20083	0	1|1	100
606432	10	20083	0	1|1	100
606433	10	20083	0	1|1	100
606434	10	20083	0	1|1	100
606435	10	20083	0	1|1	100
606436	12	20083	0	1|1	100
606437	12	20083	0	1|1	100
606438	12	20083	0	1|1	100
606439	12	20083	0	1|1	100
606441	12	20083	0	1|1	100
606442	12	20083	0	1|1	100
606443	12	20083	0	1|1	100
606444	12	20083	0	1|1	100
606445	15	20083	0	1|1	100
606446	15	20083	0	1|1	100
606447	15	20083	0	1|1	100
606448	15	20083	0	1|1	100
606449	15	20083	0	1|1	100
606450	15	20083	0	1|1	100
606451	15	20083	0	1|1	100
606452	15	20083	0	1|1	100
606453	20	20083	0	1|1	100
606454	20	20083	0	1|1	100
606455	20	20083	0	1|1	100
606456	20	20083	0	1|1	100
157000	1	20097	0	1|1	100
161050	1	20098	0	1|1	100
162070	1	20099	0	1|1	100
163004	1	20100	0	1|1	100
188060	1	20101	0	1|1	100
189020	1	20102	0	1|1	100
190080	1	20103	0	1|1	100
191035	1	20104	0	1|1	100
197030	1	20105	0	1|1	100
198070	1	20106	0	1|1	100
204918	1	20107	0	1|1	100
205007	1	20108	0	1|1	100
205235	1	20110	0	1|1	100
205321	1	20111	0	1|1	100
205416	1	20112	0	1|1	100
206001	1	20113	0	1|1	100
206100	1	20114	0	1|1	100
206209	1	20115	0	1|1	100
206313	1	20116	0	1|1	100
206404	1	20117	0	1|1	100
23009	10	20080	0	1|1	100
23011	20	20080	0	1|1	100
23109	10	20080	0	1|1	100
23110	20	20080	0	1|1	100
23211	10	20080	0	1|1	100
23212	20	20080	0	1|1	100
23311	10	20080	0	1|1	100
23312	20	20080	0	1|1	100
23405	10	20080	0	1|1	100
23406	20	20080	0	1|1	100
23505	10	20080	0	1|1	100
23506	20	20080	0	1|1	100
23611	10	20080	0	1|1	100
23612	20	20080	0	1|1	100
23710	10	20080	0	1|1	100
23711	20	20080	0	1|1	100
23810	10	20080	0	1|1	100
23811	20	20080	0	1|1	100
23909	10	20080	0	1|1	100
23910	20	20080	0	1|1	100
24008	10	20080	0	1|1	100
24009	20	20080	0	1|1	100
24111	10	20080	0	1|1	100
24112	20	20080	0	1|1	100
24209	10	20080	0	1|1	100
24210	20	20080	0	1|1	100
24309	10	20080	0	1|1	100
24310	20	20080	0	1|1	100
24404	10	20080	0	1|1	100
24405	20	20080	0	1|1	100
