注灵等级	消耗点数	生命值	攻击力	护甲值	攻速	暴击率	CD缩减	物理吸血	攻击距离	溅射	格挡几率
45	205	440	440	440	440	2200	440	110	440	450|440	2200
46	210	450	450	450	450	2250	450	112.5	450	450|450	2250
47	215	460	460	460	460	2300	460	115	460	450|460	2300
48	220	470	470	470	470	2350	470	117.5	470	450|470	2350
49	225	480	480	480	480	2400	480	120	480	450|480	2400
50	230	490	490	490	490	2450	490	122.5	490	450|490	2450
51	235	500	500	500	500	2500	500	125	500	450|500	2500
52	240	510	510	510	510	2550	510	127.5	510	450|510	2550
53	245	520	520	520	520	2600	520	130	520	450|520	2600
54	250	530	530	530	530	2650	530	132.5	530	450|530	2650
55	255	540	540	540	540	2700	540	135	540	450|540	2700
56	260	550	550	550	550	2750	550	137.5	550	450|550	2750
57	265	560	560	560	560	2800	560	140	560	450|560	2800
58	270	570	570	570	570	2850	570	142.5	570	450|570	2850
59	275	580	580	580	580	2900	580	145	580	450|580	2900
60	280	590	590	590	590	2950	590	147.5	590	450|590	2950
61	285	600	600	600	600	3000	600	150	600	450|600	3000
62	290	610	610	610	610	3050	610	152.5	610	450|610	3050
63	295	620	620	620	620	3100	620	155	620	450|620	3100
64	300	630	630	630	630	3150	630	157.5	630	450|630	3150
65	305	640	640	640	640	3200	640	160	640	450|640	3200
66	310	650	650	650	650	3250	650	162.5	650	450|650	3250
67	315	660	660	660	660	3300	660	165	660	450|660	3300
68	320	670	670	670	670	3350	670	167.5	670	450|670	3350
69	325	680	680	680	680	3400	680	170	680	450|680	3400
70	330	690	690	690	690	3450	690	172.5	690	450|690	3450
71	335	700	700	700	700	3500	700	175	700	450|700	3500
72	340	710	710	710	710	3550	710	177.5	710	450|710	3550
73	345	720	720	720	720	3600	720	180	720	450|720	3600
74	350	730	730	730	730	3650	730	182.5	730	450|730	3650
75	355	740	740	740	740	3700	740	185	740	450|740	3700
76	360	750	750	750	750	3750	750	187.5	750	450|750	3750
77	365	760	760	760	760	3800	760	190	760	450|760	3800
78	370	770	770	770	770	3850	770	192.5	770	450|770	3850
79	375	780	780	780	780	3900	780	195	780	450|780	3900
80	380	790	790	790	790	3950	790	197.5	790	450|790	3950
81	385	800	800	800	800	4000	800	200	800	450|800	4000
82	390	810	810	810	810	4050	810	202.5	810	450|810	4050
83	395	820	820	820	820	4100	820	205	820	450|820	4100
84	400	830	830	830	830	4150	830	207.5	830	450|830	4150
85	405	840	840	840	840	4200	840	210	840	450|840	4200
86	410	850	850	850	850	4250	850	212.5	850	450|850	4250
87	415	860	860	860	860	4300	860	215	860	450|860	4300
88	420	870	870	870	870	4350	870	217.5	870	450|870	4350
89	425	880	880	880	880	4400	880	220	880	450|880	4400
90	430	890	890	890	890	4450	890	222.5	890	450|890	4450
91	435	900	900	900	900	4500	900	225	900	450|900	4500
92	440	910	910	910	910	4550	910	227.5	910	450|910	4550
93	445	920	920	920	920	4600	920	230	920	450|920	4600
94	450	930	930	930	930	4650	930	232.5	930	450|930	4650
95	455	940	940	940	940	4700	940	235	940	450|940	4700
96	460	950	950	950	950	4750	950	237.5	950	450|950	4750
97	465	960	960	960	960	4800	960	240	960	450|960	4800
98	470	970	970	970	970	4850	970	242.5	970	450|970	4850
99	475	980	980	980	980	4900	980	245	980	450|980	4900
100	480	990	990	990	990	4950	990	247.5	990	450|990	4950
101	485	1000	1000	1000	1000	5000	1000	250	1000	450|1000	5000
