itemid	abstractid	name	品质	icon	icon灰	类型	叠加数量	物品描述	等级	商店价格	回收价格	回购价格	姓名	国家	将卡类型	picture	升级材料	升级材料数量	升级材料magicid	升级所得物品	升级价格	人物等级	脚本	miniicon	委任技能icon	最高倍率	通告	TAB_VERSION
2034		雁翎甲	3	T_Icon_Suit_Kaijia_P_50.img		1	1		50	1830	21600	21600										50				8	0	
2035		黄金掩心甲	3	T_Icon_Suit_Kaijia_P_60.img		1	1		55	1830	24000	24000										55				8	0	
2038		八卦冠	3	T_Icon_Suit_Toukui_P_32.img		1	1		20	1830	500	500										20				8	0	
2039		双凤铁盔	3	T_Icon_Suit_Toukui_P_42.img		1	1		30	1830	19200	19200										30				8	0	
2040		玲珑盔	3	T_Icon_Suit_Toukui_P_52.img		1	1		52	1830	21600	21600										52				8	0	
2041		八角冲天盔	3	T_Icon_Suit_Toukui_P_62.img		1	1		55	1830	24000	24000										55				8	0	
2044		七星剑	3	T_Icon_Suit_Wuqi_P_34.img		1	1		20	1830	500	500										20				8	0	
2045		三尖刀	3	T_Icon_Suit_Wuqi_P_44.img		1	1		30	1830	19200	19200										30				8	0	
2046		虎头湛金枪	3	T_Icon_Suit_Wuqi_P_54.img		1	1		54	1830	21600	21600										54				8	0	
2047		雌雄双股剑	3	T_Icon_Suit_Wuqi_P_64.img		1	1		55	1830	24000	24000										55				8	0	
2049		锁子甲	2	T_Icon_equipment_KaiJia_B_20.img		1	1		24	1830	3000	3000										24				8	0	
2050		铁札铠	2	T_Icon_equipment_KaiJia_B_30.img		1	1		30	1830	3000	3000										30				8	0	
2051		金珠缨络	2	T_Icon_equipment_KaiJia_B_40.img		1	1		40	1830	3000	3000										40				8	0	
2052		乌油铠	2	T_Icon_equipment_KaiJia_B_50.img		1	1		50	1830	3000	3000										50				8	0	
2055		赤金盔	2	T_Icon_equipment_TouKui_B_22.img		1	1		24	1830	3000	3000										24				8	0	
2056		狼牙盔	2	T_Icon_equipment_TouKui_B_32.img		1	1		32	1830	3000	3000										32				8	0	
2057		熊头盔	2	T_Icon_equipment_TouKui_B_42.img		1	1		42	1830	3000	3000										42				8	0	
2058		金凤冠	2	T_Icon_equipment_TouKui_B_52.img		1	1		52	1830	3000	3000										52				8	0	
2061		钢鞭	2	T_Icon_equipment_WuQi_B_24.img		1	1		24	1830	3000	3000										24				8	0	
2062		宝雕弓	2	T_Icon_equipment_WuQi_B_34.img		1	1		34	1830	3000	3000										34				8	0	
2063		丈八长标	2	T_Icon_equipment_WuQi_B_44.img		1	1		44	1830	3000	3000										44				8	0	
2064		绿沉枪	2	T_Icon_equipment_WuQi_B_54.img		1	1		54	1830	3000	3000										54				8	0	
2067		皮甲	1	T_Icon_equipment_KaiJia_G_20.img		1	1		20	1830	2000	2000										20				8	0	
2068		油藤甲	1	T_Icon_equipment_KaiJia_G_30.img		1	1		30	1830	2000	2000										30				8	0	
2069		熟铜甲	1	T_Icon_equipment_KaiJia_G_40.img		1	1		20	1830	2000	2000										20				8	0	
2073		兽皮盔	1	T_Icon_equipment_TouKui_G_22.img		1	1		20	1830	2000	2000										20				8	0	
2074		虎皮冠	1	T_Icon_equipment_TouKui_G_32.img		1	1		30	1830	2000	2000										30				8	0	
2075		豹头盔	1	T_Icon_equipment_TouKui_G_42.img		1	1		22	1830	2000	2000										22				8	0	
2079		木弓	1	T_Icon_equipment_WuQi_G_24.img		1	1		20	1830	2000	2000										20				8	0	
2080		长柄铁锤	1	T_Icon_equipment_WuQi_G_34.img		1	1		30	1830	2000	2000										30				8	0	
2081		蘸金斧	1	T_Icon_equipment_WuQi_G_44.img		1	1		24	1830	2000	2000										24				8	0	
2086		铜扎甲	0	T_Icon_equipment_KaiJia_W_30.img		1	1		10	1830	1000	1000										10				8	0	
2092		赤铜盔	0	T_Icon_equipment_TouKui_W_32.img		1	1		14	1830	1400	1400										14				8	0	
2097		铜剑	0	T_Icon_equipment_WuQi_W_24.img		1	1		5	1830	500	500										5				8	0	
2098		素缨枪	0	T_Icon_equipment_WuQi_W_34.img		1	1		18	1830	1800	1800										18				8	0	
2103		白鹄	4	T_Icon_Suit_Ma_O_26.img		1	1		55	1830	31000	31000										55				8	-1	
2104		乌云踏雪	4	T_Icon_Suit_Ma_O_46.img		1	1		58	1830	29000	29000										58				8	-1	
2105		爪黄飞电	4	T_Icon_Suit_Ma_O_66.img		1	1		70	1830	35000	35000										70				8	-1	
2106		赤兔	4	T_Icon_Suit_Ma_O_76.img		1	1		70	1830	35000	35000										70				8	-1	
2107		惊帆	1	T_Icon_Suit_Ma_P_26.img		1	1		26	1830	2000	2000										26				8	0	
2108		紫骍	2	T_Icon_Suit_Ma_P_36.img		1	1		46	1830	1830	1830										46				8	0	
2109		照夜玉狮子	2	T_Icon_Suit_Ma_P_46.img		1	1		36	1830	3000	3000										36				8	0	
2110		快航	3	T_Icon_Suit_Ma_P_56.img		1	1		56	1830	21600	21600										56				8	0	
2111		绝影	3	T_Icon_Suit_Ma_P_66.img		1	1		55	1830	24000	24000										55				8	0	
2112		的卢	3	T_Icon_Suit_Ma_P_76.img		1	1		20	1830	500	500										20				8	0	
2113		三略	4	T_Icon_Suit_Shu_O_28.img		1	1		55	1830	31000	31000										55				8	-1	
2114		六韬	4	T_Icon_Suit_Shu_O_48.img		1	1		70	1830	35000	35000										70				8	-1	
2115		尉缭子	4	T_Icon_Suit_Shu_O_68.img		1	1		70	1830	35000	35000										70				8	-1	
2116		春秋	4	T_Icon_Suit_Shu_O_78.img		1	1		58	1830	29000	29000										58				8	-1	
2117		离骚	1	T_Icon_Suit_Shu_P_28.img		1	1		28	1830	2000	2000										28				8	0	
2118		诗经	2	T_Icon_Suit_Shu_P_38.img		1	1		48	1830	1830	1830										48				8	0	
2119		史记	2	T_Icon_Suit_Shu_P_48.img		1	1		38	1830	3000	3000										38				8	0	
2120		左传	3	T_Icon_Suit_Shu_P_58.img		1	1		58	1830	21600	21600										58				8	0	
2121		孟德新书	3	T_Icon_Suit_Shu_P_68.img		1	1		55	1830	24000	24000										55				8	0	
2122		孙子兵法	3	T_Icon_Suit_Shu_P_78.img		1	1		20	1830	500	500										20				8	0	
2123		追风	4	T_Icon_Suit_Ma_Zhuifeng.img		1	1		55	1830	35000	35000										55				8	-1	
2124		战国策	4	T_Icon_Suit_Shu_ZhanGuoCe.img		1	1		55	1830	35000	35000										55				8	-1	
2125		奔雷	4	T_Icon_Suit_Ma_Benlei.img		1	1		55	1830	31000	31000										55				8	-1	
2126		吕氏春秋	4	T_Icon_Suit_Shu_LvShiChunQiu.img		1	1		70	1830	31000	31000										70				8	-1	
2127		乌孙	4	T_Icon_Suit_Ma_Wusun.img		1	1		70	1830	31000	31000										70				8	-1	
2128		墨子	4	T_Icon_Suit_Shu_MoZi.img		1	1		55	1830	31000	31000										55				8	-1	
2129		灰影	4	T_Icon_Suit_Ma_Huiying.img		1	1		70	1830	35000	35000										70				8	-1	
2130		韩非子	4	T_Icon_Suit_Shu_HanFeiZi.img		1	1		70	1830	35000	35000										70				8	-1	
2131		五火烈焰盔	4	Toukui_Wuhuolieya.img		1	1		40	1830	80000	80000										40				8	-1	
2132		狮纹吞云铠	4	Kaijia_Shiwenyunkai.img		1	1		40	1830	80000	80000										40				8	-1	
2133		龙舌弓	4	Wuqi_Longsegong.img		1	1		40	1830	80000	80000										40				8	-1	
2134		公羊	4	Shu_Gongyan.img		1	1		40	1830	80000	80000										40				8	-1	
2135		步景	4	Ma_Bujing.img		1	1		40	1830	80000	80000										40				8	-1	
3001		五折钢铠图纸	4	T_Icon_tuzhi_gongji.img		3	1	"可以在工坊装备打造界面中打造五折钢铠,55级橙色装备,霸王盖世(攻击)套装之一."	55		6200	6200										55				8	-1	
3002		乌金锁子甲图纸	4	T_Icon_tuzhi_gongbing.img		3	1	"可以在工坊装备打造界面中打造乌金锁子甲,70级橙色装备,疾风俊影(弓兵)套装之一."	70		7000	7000										70				8	-1	
3003		灵龟铠图纸	4	T_Icon_tuzhi_jineng.img		3	1	"可以在工坊装备打造界面中打造灵龟铠,55级橙色装备,百辟天下(技能)套装之一."	55		6200	6200										55				8	-1	
3004		黄金锁子甲图纸	4	T_Icon_tuzhi_bubing.img		3	1	"可以在工坊装备打造界面中打造黄金锁子甲,70级橙色装备,青龙偃月(步兵)套装之一."	70		7000	7000										70				8	-1	
3007		银龙铠图纸	4	T_Icon_tuzhi_fangyu.img		3	1	"可以在工坊装备打造界面中打造银龙铠,55级橙色装备,白衣飞将(防御)套装之一."	55		6200	6200										55				8	-1	
3008		兽吞连环铠图纸	4	T_Icon_tuzhi_qibing.img		3	1	"可以在工坊装备打造界面中打造兽吞连环铠,70级橙色装备,战神无双(骑兵)套装之一."	70		7000	7000										70				8	-1	
3009		麒麟铠图纸	4	T_Icon_tuzhi_qixie.img		3	1	"可以在工坊装备打造界面中打造麒麟铠,70级橙色装备,现世麒麟(器械)套装之一."	70		7000	7000										70				8	-1	
3010		龙鳞铠图纸	4	T_Icon_tuzhi_o.img		3	1	"可以在工坊装备打造界面中打造龙鳞铠,58级橙色装备."	58		5800	5800										58				8	-1	
3011		亮银狮子盔图纸	4	T_Icon_tuzhi_fangyu.img		3	1	"可以在工坊装备打造界面中打造亮银狮子盔,55级橙色装备,白衣飞将(防御)套装之一."	55		6200	6200										55				8	-1	
3012		束发紫金冠图纸	4	T_Icon_tuzhi_qibing.img		3	1	"可以在工坊装备打造界面中打造束发紫金冠,70级橙色装备,战神无双(骑兵)套装之一."	70		7000	7000										70				8	-1	
3013		五龙天王盔图纸	4	T_Icon_tuzhi_qixie.img		3	1	"可以在工坊装备打造界面中打造五龙天王盔,70级橙色装备,现世麒麟(器械)套装之一."	70		7000	7000										70				8	-1	
3014		龙鳞盔图纸	4	T_Icon_tuzhi_o.img		3	1	"可以在工坊装备打造界面中打造龙鳞盔,58级橙色装备."	58		5800	5800										58				8	-1	
3015		紫金盔图纸	4	T_Icon_tuzhi_gongji.img		3	1	"可以在工坊装备打造界面中打造紫金盔,55级橙色装备,霸王盖世(攻击)套装之一."	55		6200	6200										55				8	-1	
3016		飞龙盔图纸	4	T_Icon_tuzhi_gongbing.img		3	1	"可以在工坊装备打造界面中打造飞龙盔,70级橙色装备,疾风俊影(弓兵)套装之一."	70		7000	7000										70				8	-1	
3017		丹霞盔图纸	4	T_Icon_tuzhi_jineng.img		3	1	"可以在工坊装备打造界面中打造丹霞盔,55级橙色装备,百辟天下(技能)套装之一."	55		6200	6200										55				8	-1	
3018		青龙盔图纸	4	T_Icon_tuzhi_bubing.img		3	1	"可以在工坊装备打造界面中打造青龙盔,70级橙色装备,青龙偃月(步兵)套装之一."	70		7000	7000										70				8	-1	
3021		龙胆亮银枪图纸	4	T_Icon_tuzhi_fangyu.img		3	1	"可以在工坊装备打造界面中打造龙胆亮银枪,55级橙色装备,白衣飞将(防御)套装之一."	55		6200	6200										55				8	-1	
3022		方天画戟图纸	4	T_Icon_tuzhi_qibing.img		3	1	"可以在工坊装备打造界面中打造方天画戟,70级橙色装备,战神无双(骑兵)套装之一."	70		7000	7000										70				8	-1	
3023		天决剑图纸	4	T_Icon_tuzhi_qixie.img		3	1	"可以在工坊装备打造界面中打造天决剑,70级橙色装备,现世麒麟(器械)套装之一."	70		7000	7000										70				8	-1	
3024		露陌刀图纸	4	T_Icon_tuzhi_o.img		3	1	"可以在工坊装备打造界面中打造露陌刀,58级橙色装备."	58		5800	5800										58				8	-1	
3025		虎筋弦弓图纸	4	T_Icon_tuzhi_gongji.img		3	1	"可以在工坊装备打造界面中打造虎筋弦弓 ,55级橙色装备,霸王盖世(攻击)套装之一."	55		6200	6200										55				8	-1	
3026		丈八蛇矛图纸	4	T_Icon_tuzhi_gongbing.img		3	1	"可以在工坊装备打造界面中打造丈八蛇矛,70级橙色装备,疾风俊影(弓兵)套装之一."	70		7000	7000										70				8	-1	
3027		百辟三宝刀图纸	4	T_Icon_tuzhi_jineng.img		3	1	"可以在工坊装备打造界面中打造百辟三宝刀,55级橙色装备,百辟天下(技能)套装之一."	55		6200	6200										55				8	-1	
3028		青龙偃月刀图纸	4	T_Icon_tuzhi_bubing.img		3	1	"可以在工坊装备打造界面中打造青龙偃月刀,70级橙色装备,青龙偃月(步兵)套装之一."	70		7000	7000										70				8	-1	
3033		筒袖铠图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造筒袖铠,30级紫色装备."	30		3840	3840										30				8	0	
3034		雁翎甲图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造雁翎甲,54级紫色装备."	50		4320	4320										50				8	0	
3035		黄金掩心甲图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造黄金掩心甲,55级紫色装备."	55		4800	4800										55				8	0	
3039		双凤铁盔图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造双凤铁盔,30级紫色装备."	30		3840	3840										30				8	0	
3040		玲珑盔图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造玲珑盔,54级紫色装备."	52		4320	4320										52				8	0	
3041		八角冲天盔图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造八角冲天盔,55级紫色装备."	55		4800	4800										55				8	0	
3045		三尖刀图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造三尖刀,30级紫色装备."	30		3840	3840										30				8	0	
3046		虎头湛金枪图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造虎头湛金枪,54级紫色装备."	54		4320	4320										54				8	0	
3047		雌雄双股剑图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造雌雄双股剑,55级紫色装备."	55		4800	4800										55				8	0	
3049		锁子甲图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造锁子甲,24级蓝色装备."	24		1440	1440										24				8	0	
3050		铁札铠图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造铁札铠,34级蓝色装备."	34		2040	2040										34				8	0	
3051		金珠缨络图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造金珠缨络,44级蓝色装备."	44		2640	2640										44				8	0	
3052		乌油铠图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造乌油铠,50级蓝色装备."	50		3000	3000										50				8	0	
3055		赤金盔图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造赤金盔,24级蓝色装备."	24		1440	1440										24				8	0	
3056		狼牙盔图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造狼牙盔,34级蓝色装备."	34		2040	2040										34				8	0	
3057		熊头盔图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造熊头盔,44级蓝色装备."	44		2640	2640										44				8	0	
3058		金凤冠图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造金凤冠,50级蓝色装备."	50		3000	3000										50				8	0	
3061		钢鞭图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造钢鞭,24级蓝色装备."	24		1440	1440										24				8	0	
3062		宝雕弓图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造宝雕弓,34级蓝色装备."	34		2040	2040										34				8	0	
3063		丈八长标图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造丈八长标,44级蓝色装备."	44		2640	2640										44				8	0	
3064		绿沉枪图纸	2	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造绿沉枪,50级蓝色装备."	50		3000	3000										50				8	0	
3067		皮甲图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造皮甲,20级绿色装备."	20		800	800										20				8	0	
3068		油藤甲图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造油藤甲,30级绿色装备."	30		1200	1200										30				8	0	
3069		熟铜甲图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造熟铜甲,40级绿色装备."	40		1600	1600										40				8	0	
3073		兽皮盔图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造兽皮盔,20级绿色装备."	20		800	800										20				8	0	
3074		虎皮冠图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造虎皮冠,30级绿色装备."	30		1200	1200										30				8	0	
3075		豹头盔图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造豹头盔,40级绿色装备."	40		1600	1600										40				8	0	
3079		木弓图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造木弓,20级绿色装备"	20		800	800										20				8	0	
3080		长柄铁锤图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造长柄铁锤,30级绿色装备."	30		1200	1200										30				8	0	
3081		蘸金斧图纸	1	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造蘸金斧,40级绿色装备."	40		1600	1600										40				8	0	
3086		铜扎甲图纸	0	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造铜扎甲,基础装备."	20		200	200										10				8	0	
3092		赤铜盔图纸	0	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造赤铜盔,基础装备."	20		280	280										14				8	0	
3097		铜剑图纸	0	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造铜剑,基础装备."	20		100	100										5				8	0	
3098		素缨枪图纸	0	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造素缨枪,基础装备."	20		360	360										18				8	0	
3103		白鹄图纸	4	T_Icon_tuzhi_fangyu.img		3	1	"可以在工坊装备打造界面中打造白鹄,55级橙色装备,白衣飞将(防御)套装之一."	55		6200	6200										55				8	-1	
3104		乌云踏雪图纸	4	T_Icon_tuzhi_o.img		3	1	"可以在工坊装备打造界面中打造乌云踏雪,58级橙色装备."	58		5800	5800										58				8	-1	
3105		爪黄飞电图纸	4	T_Icon_tuzhi_qixie.img		3	1	"可以在工坊装备打造界面中打造爪黄飞电,70级橙色装备,现世麒麟(器械)套装之一."	70		7000	7000										70				8	-1	
3106		赤兔图纸	4	T_Icon_tuzhi_qibing.img		3	1	"可以在工坊装备打造界面中打造赤兔,70级橙色装备,战神无双(骑兵)套装之一."	70		7000	7000										70				8	-1	
3107		惊帆图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造惊帆,26级紫色装备."	26		2080	2080										26				8	0	
3108		紫骍图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造紫骍,36级紫色装备."	36		2880	2880										36				8	0	
3109		照夜玉狮子图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造照夜玉狮子,30级紫色装备."	30		3840	3840										30				8	0	
3110		快航图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造快航,54级紫色装备."	56		4320	4320										56				8	0	
3111		绝影图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造绝影,55级紫色装备."	55		4800	4800										55				8	0	
3113		三略图纸	4	T_Icon_tuzhi_fangyu.img		3	1	"可以在工坊装备打造界面中打造三略,55级橙色装备,白衣飞将(防御)套装之一."	55		6200	6200										55				8	-1	
3114		六韬图纸	4	T_Icon_tuzhi_qibing.img		3	1	"可以在工坊装备打造界面中打造六韬,70级橙色装备,战神无双(骑兵)套装之一."	70		7000	7000										70				8	-1	
3115		尉缭子图纸	4	T_Icon_tuzhi_qixie.img		3	1	"可以在工坊装备打造界面中打造尉缭子,70级橙色装备,现世麒麟(器械)套装之一."	70		7000	7000										70				8	-1	
3116		春秋图纸	4	T_Icon_tuzhi_o.img		3	1	"可以在工坊装备打造界面中打造春秋,58级橙色装备."	58		5800	5800										58				8	-1	
3117		离骚图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造离骚,26级紫色装备."	26		2080	2080										26				8	0	
3118		诗经图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造诗经,36级紫色装备."	36		2880	2880										36				8	0	
3119		史记图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造史记,30级紫色装备."	30		3840	3840										30				8	0	
3120		左传图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造左传,54级紫色装备."	58		4320	4320										58				8	0	
3121		孟德新书图纸	3	T_Icon_tuzhi_p.img		3	1	"可以在工坊装备打造界面中打造孟德新书,55级紫色装备."	55		4800	4800										55				8	0	
3123		追风图纸	4	T_Icon_tuzhi_gongji.img		3	1	"可以在工坊装备打造界面中打造追风,55级橙色装备,霸王盖世(攻击)套装之一."	55		6200	6200										55				8	-1	
3124		战国策图纸	4	T_Icon_tuzhi_gongji.img		3	1	"可以在工坊装备打造界面中打造战国策,55级橙色装备,霸王盖世(攻击)套装之一."	55		6200	6200										55				8	-1	
3125		奔雷图纸	4	T_Icon_tuzhi_jineng.img		3	1	"可以在工坊装备打造界面中打造奔雷,55级橙色装备,百辟天下(技能)套装之一."	55		6200	6200										55				8	-1	
3126		吕氏春秋图纸	4	T_Icon_tuzhi_gongbing.img		3	1	"可以在工坊装备打造界面中打造吕氏春秋,70级橙色装备,疾风俊影(弓兵)套装之一."	70		7000	7000										70				8	-1	
3127		乌孙图纸	4	T_Icon_tuzhi_gongbing.img		3	1	"可以在工坊装备打造界面中打造乌孙,70级橙色装备,疾风俊影(弓兵)套装之一."	70		7000	7000										70				8	-1	
3128		墨子图纸	4	T_Icon_tuzhi_jineng.img		3	1	"可以在工坊装备打造界面中打造墨子,55级橙色装备,百辟天下(技能)套装之一."	55		6200	6200										55				8	-1	
3129		灰影图纸	4	T_Icon_tuzhi_bubing.img		3	1	"可以在工坊装备打造界面中打造灰影,70级橙色装备,青龙偃月(步兵)套装之一."	70		7000	7000										70				8	-1	
3130		韩非子图纸	4	T_Icon_tuzhi_bubing.img		3	1	"可以在工坊装备打造界面中打造韩非子,70级橙色装备,青龙偃月(步兵)套装之一."	70		7000	7000										70				8	-1	
3400		八卦石.天（一级）	0	T_Icon_Gossip_GenShan.img		8	255	乾元/n兵法+10/n攻击+1%/n攻城攻击+1%/n穿透+0.5%/n物理吸血+0.2%/n可以在工坊附炼界面中附炼在装备上	1	0	50	50								3401						8	0	
3401		八卦石.天（二级）	1	T_Icon_Gossip_ZeDui.img		8	255	乾元/n兵法+20/n攻击+2%/n攻城攻击+2%/n穿透+1%/n物理吸血+0.4%/n可以在工坊附炼界面中附炼在装备上	2	0	100	100								3402						8	0	
3402		八卦石.天（三级）	2	T_Icon_Gossip_XunFeng.img		8	255	乾元/n兵法+30/n攻击+3%/n攻城攻击+3%/n穿透+1.5%/n物理吸血+0.6%/n可以在工坊附炼界面中附炼在装备上	3	0	200	200								3403						8	0	
3403		八卦石.天（四级）	3	T_Icon_Gossip_LeiZhen.img		8	255	乾元/n兵法+40/n攻击+4%/n攻城攻击+4%/n穿透+2%/n物理吸血+0.8%/n可以在工坊附炼界面中附炼在装备上	4	0	400	400								3404						8	0	
3404		八卦石.天（五级）	4	T_Icon_Gossip_ShuiKan.img		8	255	乾元/n兵法+50/n攻击+5%/n攻城攻击+5%/n穿透+2.5%/n物理吸血+1%/n可以在工坊附炼界面中附炼在装备上	5	0	600	600								3405						8	0	
3405		八卦石.天（六级）	5	T_Icon_Gossip_LiHuo.img		8	255	乾元/n兵法+60/n攻击+6%/n攻城攻击+6%/n穿透+3%/n物理吸血+1.2%/n攻击有1%概率对敌方部队造成其最大生命1%的伤害，对NPC的效果降低/n可以在工坊附炼界面中附炼在装备上	6	0	800	800								3406						8	0	
