abstractid	名字	DataType	等级	CD	吟唱	使用半径	作用范围	伤害	千分比伤害	伤害类型	最低MP限制	消耗MP	消耗HP	对象类型	作用类型	攻击有效时间	被动Buf	目标Buf	使用者Buf	范围模型	伤害个数	影响范围	描述	备注		
22037	黑山贼骑兵攻	DT_Attack	1	2	0	3.5	0	0		0	0	0	0	198		5		0	0		1					
22038	飞熊军攻	DT_Attack	1	1.67	0	3.5	0	0		0	0	0	0	198		5		0	0		1					
22039	郝萌攻	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22040	吕布攻	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22041	曹性攻	DT_Attack	1	2	0	18	0	0		0	0	0	0	198		5		0	0		1					
22042	高顺攻	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22043	张曼成攻	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22044	申耽攻	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22045	孟达	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22046	许贡	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22047	严兴	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22048	张宝	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22049	白饶	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22050	于毒	DT_Attack	1	2.4	0	20	0	0		0	0	0	0	198		5		0	0		1					
22051	张牛角	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22052	张燕	DT_Attack	1	1.67	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22053	波才	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22054	蒯良	DT_Attack	1	2.4	0	20	0	0		0	0	0	0	198		5		0	0		1					
22055	刘磐	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22056	张允	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22057	韩遂	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22058	庞德	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22059	阎行	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22060	杨秋	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22061	袁绍	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22062	麹义	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22063	颜良	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22064	文丑	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22065	公孙度	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22066	公孙渊	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22067	阎柔	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22068	张扬	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22069	呼厨泉	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22070	刘豹	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22071	王植	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22072	蔡阳	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22073	秦琪	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22074	郑浑	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22075	华雄	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22076	李儒	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22077	王朗	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22078	陈横	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22079	徐荣	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22080	李傕	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22081	张卫	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22082	杨任	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22083	张邈	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22084	鲍信	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22085	陈登	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22086	糜竺	DT_Attack	1	2	0	20	0	0		0	0	0	0	198		5		0	0		1					
22087	陶谦	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22088	木鹿大王	DT_Attack	1	2	0	4.5	0	0		0	0	0	0	198		5		0	0		1					
22100	长戟兵克制	DT_Skill	1													1		300|0			1		造成普通攻击20%伤害			
22101	重步兵克制	DT_Skill	1													1		301|0			1		造成普通攻击20%伤害			
22102	黑山兵克制	DT_Skill	1													1		302|0			1		造成普通攻击20%伤害			
22103	虎卫兵克制	DT_Skill	1													1		303|0			1		造成普通攻击20%伤害			
22104	铁甲兵克制	DT_Skill	1													1		304|0			1		造成普通攻击20%伤害			
22105	白毦兵克制	DT_Skill	1													1		305|0			1		造成普通攻击20%伤害			
22106	丹阳兵克制	DT_Skill	1													1		306|0			1		造成普通攻击20%伤害			
22107	藤甲兵克制	DT_Skill	1													1		307|0			1		造成普通攻击20%伤害			
22108	陷阵兵克制	DT_Skill	1													1		308|0			1		造成普通攻击20%伤害			
22109	弓兵克制	DT_Skill	1													1		309|0			1		造成普通攻击20%伤害			
22110	飞刀兵克制	DT_Skill	1													1		310|0			1		造成普通攻击20%伤害			
22111	黑山弩兵克制	DT_Skill	1													1		311|0			1		造成普通攻击20%伤害			
22112	弩兵克制	DT_Skill	1													1		312|0			1		造成普通攻击20%伤害			
22113	镖枪兵克制	DT_Skill	1													1		313|0			1		造成普通攻击20%伤害			
22114	强弩克制	DT_Skill	1													1		314|0			1		造成普通攻击20%伤害			
22115	神射兵克制	DT_Skill	1													1		315|0			1		造成普通攻击20%伤害			
22116	元戎弩克制	DT_Skill	1													1		316|0			1		造成普通攻击20%伤害			
22117	无当飞军克制	DT_Skill	1													1		317|0			1		造成普通攻击20%伤害			
22118	轻骑兵克制	DT_Skill	1													1		318|0			1		造成普通攻击20%伤害			
22119	黑山骑兵克制	DT_Skill	1													1		319|0			1		造成普通攻击20%伤害			
22120	重骑兵克制	DT_Skill	1													1		320|0			1		造成普通攻击20%伤害			
22121	突骑兵克制	DT_Skill	1													1		321|0			1		造成普通攻击20%伤害			
22122	飞熊军克制	DT_Skill	1													1		322|0			1		造成普通攻击20%伤害			
22123	西凉铁骑克制	DT_Skill	1													1		323|0			1		造成普通攻击20%伤害			
22124	虎豹骑克制	DT_Skill	1													1		324|0			1		造成普通攻击20%伤害			
22125	象兵克制	DT_Skill	1													1		325|0			1		造成普通攻击20%伤害			
23000	孙策神器0	DT_Skill	1													1			23000|0				普通攻击有10%概率提高自身10%攻击，持续5秒			
23001	孙策神器1	DT_Skill	1													1			23000|1				普通攻击有13%概率提高自身15%攻击，持续6秒			
23002	孙策神器2	DT_Skill	1													1			23000|2				普通攻击有16%概率提高自身20%攻击，持续7秒			
23003	孙策神器3	DT_Skill	1													1			23000|3				普通攻击有19%概率提高自身25%攻击，持续8秒			
23004	孙策神器4	DT_Skill	1													1			23000|4				普通攻击有22%概率提高自身30%攻击，持续9秒			
23005	孙策神器5	DT_Skill	1													1			23000|5				普通攻击有25%概率提高自身35%攻击，持续10秒			
23006	孙策神器6	DT_Skill	1													1			23000|6				普通攻击有30%概率提高自身40%攻击，持续12秒			
23007	孙策神器7	DT_Skill	1													1			23000|7				普通攻击有35%概率提高自身45%攻击，持续14秒			
23010	周瑜神器0	DT_Skill	1													1		23010|0					普通攻击有10%概率使敌方受到的法术伤害增加20%，持续5秒			
23011	周瑜神器1	DT_Skill	1													1		23010|1					普通攻击有13%概率使敌方受到的法术伤害增加25%，持续5秒			
23012	周瑜神器2	DT_Skill	1													1		23010|2					普通攻击有16%概率使敌方受到的法术伤害增加30%，持续5秒			
23013	周瑜神器3	DT_Skill	1													1		23010|3					普通攻击有19%概率使敌方受到的法术伤害增加35%，持续5秒			
23014	周瑜神器4	DT_Skill	1													1		23010|4					普通攻击有22%概率使敌方受到的法术伤害增加40%，持续5秒			
23015	周瑜神器5	DT_Skill	1													1		23010|5					普通攻击有25%概率使敌方受到的法术伤害增加45%，持续5秒			
23016	周瑜神器6	DT_Skill	1													1		23010|6					普通攻击有30%概率使敌方受到的法术伤害增加50%，持续5秒			
23017	周瑜神器7	DT_Skill	1													1		23010|7					普通攻击有35%概率使敌方受到的法术伤害增加55%，持续5秒			
23020	周泰神器0	DT_Skill	1													1			23020|0				自身血量低于30%，获得100%攻击加成，持续5秒，该效果15秒内只能触发一次			
23021	周泰神器1	DT_Skill	1													1			23020|1				自身血量低于35%，获得100%攻击加成，持续5秒，该效果15秒内只能触发一次			
23022	周泰神器2	DT_Skill	1													1			23020|2				自身血量低于40%，获得100%攻击加成，持续5秒，该效果15秒内只能触发一次			
23023	周泰神器3	DT_Skill	1													1			23020|3				自身血量低于45%，获得100%攻击加成，持续5秒，该效果15秒内只能触发一次			
23024	周泰神器4	DT_Skill	1													1			23020|4				自身血量低于50%，获得100%攻击加成，持续5秒，该效果15秒内只能触发一次			
23025	周泰神器5	DT_Skill	1													1			23020|5				自身血量低于55%，获得100%攻击加成，持续5秒，该效果15秒内只能触发一次			
23026	周泰神器6	DT_Skill	1													1			23020|6				自身血量低于60%，获得100%攻击加成，持续5秒，该效果15秒内只能触发一次			
23027	周泰神器7	DT_Skill	1													1			23020|7				自身血量低于70%，获得100%攻击加成，持续5秒，该效果15秒内只能触发一次			
23030	吕蒙神器0	DT_Skill	1													1	23032|0	23030|0	23031|0				从背后攻击敌方单位增加自身30%攻速，持续5秒，对携带关羽的将卡造成额外10%的伤害			
23031	吕蒙神器1	DT_Skill	1													1	23032|1	23030|1	23031|1				从背后攻击敌方单位增加自身40%攻速，持续5秒，对携带关羽的将卡造成额外20%的伤害			
23032	吕蒙神器2	DT_Skill	1													1	23032|2	23030|2	23031|2				从背后攻击敌方单位增加自身50%攻速，持续5秒，对携带关羽的将卡造成额外30%的伤害			
23033	吕蒙神器3	DT_Skill	1													1	23032|3	23030|3	23031|3				从背后攻击敌方单位增加自身60%攻速，持续5秒，对携带关羽的将卡造成额外40%的伤害			
23034	吕蒙神器4	DT_Skill	1													1	23032|4	23030|4	23031|4				从背后攻击敌方单位增加自身70%攻速，持续5秒，对携带关羽的将卡造成额外50%的伤害			
23035	吕蒙神器5	DT_Skill	1													1	23032|5	23030|5	23031|5				从背后攻击敌方单位增加自身80%攻速，持续5秒，对携带关羽的将卡造成额外60%的伤害			
23036	吕蒙神器6	DT_Skill	1													1	23032|6	23030|6	23031|6				从背后攻击敌方单位增加自身100%攻速，持续5秒，对携带关羽的将卡造成额外70%的伤害			
23037	吕蒙神器7	DT_Skill	1													1	23032|7	23030|7	23031|7				从背后攻击敌方单位增加自身120%攻速，持续5秒，对携带关羽的将卡造成额外80%的伤害			
23040	沈莹神器0	DT_Skill	1													1			23040|0				释放技能时，若自身有甘宁增益效果，则提高20%攻击，持续5秒			
23041	沈莹神器1	DT_Skill	1													1			23040|1				释放技能时，若自身有甘宁增益效果，则提高25%攻击，持续5秒			
23042	沈莹神器2	DT_Skill	1													1			23040|2				释放技能时，若自身有甘宁增益效果，则提高30%攻击，持续5秒			
23043	沈莹神器3	DT_Skill	1													1			23040|3				释放技能时，若自身有甘宁增益效果，则提高35%攻击，持续5秒			
23044	沈莹神器4	DT_Skill	1													1			23040|4				释放技能时，若自身有甘宁增益效果，则提高40%攻击，持续5秒			
23045	沈莹神器5	DT_Skill	1													1			23040|5				释放技能时，若自身有甘宁增益效果，则提高50%攻击，持续5秒			
23046	沈莹神器6	DT_Skill	1													1			23040|6				释放技能时，若自身有甘宁增益效果，则提高60%攻击，持续5秒			
23047	沈莹神器7	DT_Skill	1													1			23040|7				释放技能时，若自身有甘宁增益效果，则提高70%攻击，持续5秒			
23050	黄盖神器0	DT_Skill	1													1		23050|0								
23051	黄盖神器1	DT_Skill	1													1		23050|1								
23052	黄盖神器2	DT_Skill	1													1		23050|2								
23053	黄盖神器3	DT_Skill	1													1		23050|3								
23054	黄盖神器4	DT_Skill	1													1		23050|4								
23055	黄盖神器5	DT_Skill	1													1		23050|5								
23056	黄盖神器6	DT_Skill	1													1		23050|6								
23057	黄盖神器7	DT_Skill	1													1		23050|7								
23060	孙尚香神器效果0	DT_Skill	1													1		23060|0					普通攻击对携带关羽张飞将卡的部队有30%概率沉默其1秒			
23061	孙尚香神器效果1	DT_Skill	1													1		23060|1					普通攻击对携带关羽张飞将卡的部队有35%概率沉默其1.5秒			
23062	孙尚香神器效果2	DT_Skill	1													1		23060|2					普通攻击对携带关羽张飞将卡的部队有40%概率沉默其2秒			
23063	孙尚香神器效果3	DT_Skill	1													1		23060|3					普通攻击对携带关羽张飞将卡的部队有45%概率沉默其2.5秒			
23064	孙尚香神器效果4	DT_Skill	1													1		23060|4					普通攻击对携带关羽张飞将卡的部队有50%概率沉默其3秒			
23065	孙尚香神器效果5	DT_Skill	1													1		23060|5					普通攻击对携带关羽张飞将卡的部队有55%概率沉默其4秒			
23066	孙尚香神器效果6	DT_Skill	1													1		23060|6					普通攻击对携带关羽张飞将卡的部队有60%概率沉默其5秒			
23067	孙尚香神器效果7	DT_Skill	1													1		23060|7					普通攻击对携带关羽张飞将卡的部队有65%概率沉默其6秒			
23070	太史慈神器效果0	DT_Skill	1													1			23070|0				普通攻击有12%概率提高自身50%攻速，持续5秒			
23071	太史慈神器效果1	DT_Skill	1													1			23070|1				普通攻击有14%概率提高自身50%攻速，持续5秒			
23072	太史慈神器效果2	DT_Skill	1													1			23070|2				普通攻击有16%概率提高自身50%攻速，持续5秒			
23073	太史慈神器效果3	DT_Skill	1													1			23070|3				普通攻击有18%概率提高自身50%攻速，持续5秒			
23074	太史慈神器效果4	DT_Skill	1													1			23070|4				普通攻击有20%概率提高自身50%攻速，持续5秒			
23075	太史慈神器效果5	DT_Skill	1													1			23070|5				普通攻击有22%概率提高自身50%攻速，持续5秒			
23076	太史慈神器效果6	DT_Skill	1													1			23070|6				普通攻击有25%概率提高自身50%攻速，持续5秒			
23077	太史慈神器效果7	DT_Skill	1													1			23070|7				普通攻击有30%概率提高自身50%攻速，持续5秒			
23080	甘宁神器0	DT_Skill	1													1		23080|0					普通攻击对移速低于自身的单位造成20%额外伤害			
23081	甘宁神器1	DT_Skill	1													1		23080|1					普通攻击对移速低于自身的单位造成30%额外伤害			
23082	甘宁神器2	DT_Skill	1													1		23080|2					普通攻击对移速低于自身的单位造成40%额外伤害			
23083	甘宁神器3	DT_Skill	1													1		23080|3					普通攻击对移速低于自身的单位造成50%额外伤害			
23084	甘宁神器4	DT_Skill	1													1		23080|4					普通攻击对移速低于自身的单位造成60%额外伤害			
23085	甘宁神器5	DT_Skill	1													1		23080|5					普通攻击对移速低于自身的单位造成70%额外伤害			
23086	甘宁神器6	DT_Skill	1													1		23080|6					普通攻击对移速低于自身的单位造成80%额外伤害			
23087	甘宁神器7	DT_Skill	1													1		23080|7					普通攻击对移速低于自身的单位造成90%额外伤害			
23100	董卓神器0	DT_Skill	1													1		23100|0					普通攻击有5%的概率降低敌方10%生命上限，持续5秒			
23101	董卓神器1	DT_Skill	1													1		23100|1					普通攻击有10%的概率降低敌方15%生命上限，持续5秒			
23102	董卓神器2	DT_Skill	1													1		23100|2					普通攻击有15%的概率降低敌方20%生命上限，持续5秒			
23103	董卓神器3	DT_Skill	1													1		23100|3					普通攻击有20%的概率降低敌方25%生命上限，持续5秒			
23104	董卓神器4	DT_Skill	1													1		23100|4					普通攻击有25%的概率降低敌方30%生命上限，持续5秒			
23105	董卓神器5	DT_Skill	1													1		23100|5					普通攻击有30%的概率降低敌方35%生命上限，持续5秒			
23106	董卓神器6	DT_Skill	1													1		23100|6					普通攻击有35%的概率降低敌方40%生命上限，持续5秒			
23107	董卓神器7	DT_Skill	1													1		23100|7					普通攻击有40%的概率降低敌方45%生命上限，持续5秒			
23110	颜良神器0	DT_Skill	1													1			23110|0				自身血量高于80%时，有30%概率提升自身50%攻速，持续8秒			
23111	颜良神器1	DT_Skill	1													1			23110|1				自身血量高于75%时，有35%概率提升自身50%攻速，持续8秒			
23112	颜良神器2	DT_Skill	1													1			23110|2				自身血量高于70%时，有40%概率提升自身50%攻速，持续8秒			
23113	颜良神器3	DT_Skill	1													1			23110|3				自身血量高于65%时，有45%概率提升自身50%攻速，持续8秒			
23114	颜良神器4	DT_Skill	1													1			23110|4				自身血量高于60%时，有50%概率提升自身50%攻速，持续8秒			
23115	颜良神器5	DT_Skill	1													1			23110|5				自身血量高于55%时，有55%概率提升自身50%攻速，持续8秒			
23116	颜良神器6	DT_Skill	1													1			23110|6				自身血量高于50%时，有60%概率提升自身50%攻速，持续8秒			
23117	颜良神器7	DT_Skill	1													1			23110|7				自身血量高于45%时，有65%概率提升自身50%攻速，持续8秒			
23120	沮授神器0	DT_Skill	1													1			23120|0				普通攻击有3%概率获得30%的CD缩减效果，持续15秒			
23121	沮授神器1	DT_Skill	1													1			23120|1				普通攻击有5%概率获得30%的CD缩减效果，持续15秒			
23122	沮授神器2	DT_Skill	1													1			23120|2				普通攻击有7%概率获得30%的CD缩减效果，持续15秒			
23123	沮授神器3	DT_Skill	1													1			23120|3				普通攻击有9%概率获得30%的CD缩减效果，持续15秒			
23124	沮授神器4	DT_Skill	1													1			23120|4				普通攻击有11%概率获得30%的CD缩减效果，持续15秒			
23125	沮授神器5	DT_Skill	1													1			23120|5				普通攻击有13%概率获得30%的CD缩减效果，持续15秒			
23126	沮授神器6	DT_Skill	1													1			23120|6				普通攻击有15%概率获得30%的CD缩减效果，持续15秒			
23127	沮授神器7	DT_Skill	1													1			23120|7				普通攻击有19%概率获得30%的CD缩减效果，持续15秒			
23130	孟获神器0	DT_Skill	1													1			23130|0				普通攻击有10%概率提高自身5%护甲，持续5秒			
23131	孟获神器1	DT_Skill	1													1			23130|1				普通攻击有13%概率提高自身10%护甲，持续5秒			
23132	孟获神器2	DT_Skill	1													1			23130|2				普通攻击有16%概率提高自身15%护甲，持续5秒			
23133	孟获神器3	DT_Skill	1													1			23130|3				普通攻击有19%概率提高自身20%护甲，持续5秒			
23134	孟获神器4	DT_Skill	1													1			23130|4				普通攻击有22%概率提高自身25%护甲，持续5秒			
23135	孟获神器5	DT_Skill	1													1			23130|5				普通攻击有25%概率提高自身30%护甲，持续5秒			
23136	孟获神器6	DT_Skill	1													1			23130|6				普通攻击有30%概率提高自身35%护甲，持续5秒			
23137	孟获神器7	DT_Skill	1													1			23130|7				普通攻击有35%概率提高自身40%护甲，持续5秒			
23140	洞主神器0	DT_Skill	1													1			23140|0				释放技能提高自身飞刀兵藤甲兵象兵5%血量和攻击，持续5秒			
23141	洞主神器1	DT_Skill	1													1			23140|1				释放技能提高自身飞刀兵藤甲兵象兵10%血量和攻击，持续5秒			
23142	洞主神器2	DT_Skill	1													1			23140|2				释放技能提高自身飞刀兵藤甲兵象兵15%血量和攻击，持续5秒			
23143	洞主神器3	DT_Skill	1													1			23140|3				释放技能提高自身飞刀兵藤甲兵象兵20%血量和攻击，持续5秒			
23144	洞主神器4	DT_Skill	1													1			23140|4				释放技能提高自身飞刀兵藤甲兵象兵25%血量和攻击，持续5秒			
23145	洞主神器5	DT_Skill	1													1			23140|5				释放技能提高自身飞刀兵藤甲兵象兵30%血量和攻击，持续5秒			
23146	洞主神器6	DT_Skill	1													1			23140|6				释放技能提高自身飞刀兵藤甲兵象兵35%血量和攻击，持续5秒			
23147	洞主神器7	DT_Skill	1													1			23140|7				释放技能提高自身飞刀兵藤甲兵象兵40%血量和攻击，持续5秒			
23150	田丰神器0	DT_Skill	1													1			23150|0				提高周围7米范围内器械单位20%攻速，持续5秒			
23151	田丰神器1	DT_Skill	1													1			23150|1				提高周围7米范围内器械单位30%攻速，持续5秒			
23152	田丰神器2	DT_Skill	1													1			23150|2				提高周围7米范围内器械单位40%攻速，持续5秒			
23153	田丰神器3	DT_Skill	1													1			23150|3				提高周围7米范围内器械单位50%攻速，持续5秒			
23154	田丰神器4	DT_Skill	1													1			23150|4				提高周围7米范围内器械单位60%攻速，持续5秒			
23155	田丰神器5	DT_Skill	1													1			23150|5				提高周围7米范围内器械单位70%攻速，持续5秒			
23156	田丰神器6	DT_Skill	1													1			23150|6				提高周围7米范围内器械单位80%攻速，持续5秒			
23157	田丰神器7	DT_Skill	1													1			23150|7				提高周围7米范围内器械单位90%攻速，持续5秒			
23160	张宝神器0	DT_Skill	1													1		23160|0					普通攻击对移速高于自身的单位造成额外20%的伤害			
23161	张宝神器1	DT_Skill	1													1		23160|1					普通攻击对移速高于自身的单位造成额外30%的伤害			
23162	张宝神器2	DT_Skill	1													1		23160|2					普通攻击对移速高于自身的单位造成额外40%的伤害			
23163	张宝神器3	DT_Skill	1													1		23160|3					普通攻击对移速高于自身的单位造成额外50%的伤害			
23164	张宝神器4	DT_Skill	1													1		23160|4					普通攻击对移速高于自身的单位造成额外60%的伤害			
23165	张宝神器5	DT_Skill	1													1		23160|5					普通攻击对移速高于自身的单位造成额外70%的伤害			
23166	张宝神器6	DT_Skill	1													1		23160|6					普通攻击对移速高于自身的单位造成额外80%的伤害			
23167	张宝神器7	DT_Skill	1													1		23160|7					普通攻击对移速高于自身的单位造成额外90%的伤害			
23170	审配神器0	DT_Skill	1													1			23170|0				普通攻击有10%概率提高自身20%生命，持续10秒			
23171	审配神器1	DT_Skill	1													1			23170|1				普通攻击有13%概率提高自身20%生命，持续10秒			
23172	审配神器2	DT_Skill	1													1			23170|2				普通攻击有16%概率提高自身20%生命，持续10秒			
23173	审配神器3	DT_Skill	1													1			23170|3				普通攻击有19%概率提高自身20%生命，持续10秒			
23174	审配神器4	DT_Skill	1													1			23170|4				普通攻击有22%概率提高自身20%生命，持续10秒			
23175	审配神器5	DT_Skill	1													1			23170|5				普通攻击有25%概率提高自身20%生命，持续10秒			
23176	审配神器6	DT_Skill	1													1			23170|6				普通攻击有30%概率提高自身20%生命，持续10秒			
23177	审配神器7	DT_Skill	1													1			23170|7				普通攻击有35%概率提高自身20%生命，持续10秒			
23180	左慈神器0	DT_Skill	1													1			23180|0				普通攻击有10%概率提高自身30%普通攻击和攻城攻击，持续10秒			
23181	左慈神器1	DT_Skill	1													1			23180|1				普通攻击有13%概率提高自身30%普通攻击和攻城攻击，持续10秒			
23182	左慈神器2	DT_Skill	1													1			23180|2				普通攻击有16%概率提高自身30%普通攻击和攻城攻击，持续10秒			
23183	左慈神器3	DT_Skill	1													1			23180|3				普通攻击有19%概率提高自身30%普通攻击和攻城攻击，持续10秒			
23184	左慈神器4	DT_Skill	1													1			23180|4				普通攻击有22%概率提高自身30%普通攻击和攻城攻击，持续10秒			
23185	左慈神器5	DT_Skill	1													1			23180|5				普通攻击有25%概率提高自身30%普通攻击和攻城攻击，持续10秒			
23186	左慈神器6	DT_Skill	1													1			23180|6				普通攻击有30%概率提高自身30%普通攻击和攻城攻击，持续10秒			
