id	名字	兵种	视野	警戒	眼睛高度	HP	攻击力	护甲	护甲类型	法术抗性	移动速度	攻击速度	施法速度	半径	外形状态	attackid	暴击	格挡	闪避	潜行	反潜行	命中率	攻击动作	暴击动作	第二攻击	等级	积分系数	Icon
20067	据点LV2_副本	4	25	25	6	300	0	80	1	0	0	0	0	"1.5,1.5,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
20068	据点LV3_副本	4	25	25	6	300	0	80	1	0	0	0	0	"4,4,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
20069	据点LV4_副本	4	25	25	6	300	0	80	1	0	0	0	0	"4,4,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
20071	蒙古包	4	25	25	5.5	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Menggubao.img
20072	复活旗	4	25	25	6	300	0	80	1	0	0	0	0	"0.7,0.7,1.75"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Fuhuoqi.img
20076	世界马车	4	25	25	5.5	300	0	80	1	0	3	0	0	"3.5,3.5,2.8"	1	0	0	0	0	0	35	0				1	0	
20077	残破马车	4	25	25	5.5	300	0	80	1	0	3.5	0	0	"3.5,3.5,2.8"	1	0	0	0	0	0	35	0				1	0	
20078	征战天下据点	4	25	25	6	300	0	80	1	0	0	0	0	"5,5,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
20088	防守方出生点	4	6	6	6	3000	110	80	1	0	0	0	0	"0.7,0.7,1.75"	4	21003	0	0	0	0	35	1000				1	0.02	UI_Build_Fuhuoqi.img
20089	进攻方出生点	4	25	25	6	600	0	270	1	0	0	0	0	"4,4,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Fuhuoqi.img
20085	复活旗	4	25	25	6	300	0	80	1	0	0	0	0	"0.7,0.7,1.75"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Fuhuoqi.img
20094	速成据点	4	25	25	6	500	0	100	1	0	0	0	0	"4,4,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
20027	火堆	4	25	25	2.5	600	0	100	1	100	0	0	0	"1,1,1.5"	0	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
30001	黄巾步兵	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22028	50	0	50	0	35	950	0.34	0.48		1	0.02	UI_Army_HJBB_N.img
30002	黑山贼步兵	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22029	50	50	50	0	35	950	0.3	0.4		1	0.02	UI_Army_HSBB_N.img
30003	蛮兵	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22030	250	50	50	0	35	950	0.44	0.45		1	0.02	UI_Army_MB_N.img
30004	藤甲兵	0	25	45	2.5	300	50	80	0	0	6.2	0	0	"0.7,0.7,1.75"	0	22031	50	250	130	0	35	950	0.37	0.52		1	0.02	UI_Army_Tengjia_N.img
30005	铁甲军	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22032	50	50	50	0	35	950	0.52	0.48		1	0.02	UI_Army_TJJ_N.img
30006	标枪兵	1	25	45	2.5	300	50	80	0	0	5.5	0	0	"0.7,0.7,1.75"	0	22033	50	0	50	0	35	950	0.33	0.53		1	0.02	UI_Army_BQB_N.img
30007	黄巾弓箭兵	1	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22034	50	0	50	0	35	950	0.71	0.77		1	0.02	UI_Army_HJGB_N.img
30008	黑山贼弩兵	1	25	45	2.5	300	50	80	0	0	5.5	0	0	"0.7,0.7,1.75"	0	22035	100	0	50	0	35	950	0.54	0.51		1	0.02	UI_Army_HSNB_N.img
30009	黄巾轻骑兵	2	25	45	3.5	300	50	80	0	0	11	0	0	"0.7,0.7,1.75"	0	22036	50	0	50	0	35	950	0.37	0.37		1	0.02	UI_Army_HJQB_N.img
30010	黑山贼骑兵	2	25	45	3.5	300	50	80	0	0	9	0	0	"0.7,0.7,1.75"	0	22037	50	0	50	0	35	950	0.37	0.4		1	0.02	UI_Army_HSQB_N.img
30011	飞熊军	2	25	45	3.5	300	50	80	0	0	11	0	0	"1.5,1.5,1.75"	0	22038	100	50	50	0	35	950	0.45	0.37		1	0.02	UI_Army_FXJ_N.img
30012	郝萌	2	25	45	5.5	300	50	80	0	0	10	0	0	"1.5,1.5,2.1"	0	22039	50	50	50	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30013	吕布	2	25	45	5.5	300	50	80	0	0	11	0	0	"1.5,1.5,2.1"	0	22040	50	50	50	0	35	950	0.36	0.33		1	0.02	UI_Army_Hubao_N.img
30014	曹性	1	25	45	4.1	300	50	80	0	0	7	0	0	"1.5,1.5,2.1"	0	22041	50	50	50	0	35	950	0.65	0.8		1	0.02	UI_Army_Shenshe_N.img
30015	高顺	0	25	45	4.1	300	50	80	0	0	7	0	0	"1.5,1.5,2.1"	0	22042	50	50	50	0	35	950	0.47	0.53		1	0.02	UI_Army_Xianzhen_N.img
30016	张曼成	0	25	45	4.1	300	50	80	0	0	7	0	0	"1.5,1.5,2"	0	22043	50	0	50	0	35	950	0.34	0.48		1	0.02	UI_Army_HJBB_N.img
30017	申耽	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22044	50	200	130	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30018	孟达	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22045	50	200	130	0	35	950	0.5	0.88		1	0.02	UI_Army_Tuqi_N.img
30019	许贡	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22046	50	200	130	0	35	950	0.4	0.51		1	0.02	UI_Army_Danyang_N.img
30020	严兴	0	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22047	50	200	130	0	35	950	0.36	0.59		1	0.02	UI_Army_Changji_N.img
30021	弓兵	1	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22006	50	0	50	0	35	950	0.69	0.77		1	0.02	UI_Army_Gong_N.img
30022	飞刀兵	1	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22007	50	0	50	0	35	950	0.68	0.44		1	0.02	UI_Army_Feidao_N.img
30023	弩兵	1	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22008	100	0	50	0	35	1000	0.51	0.62		1	0.02	UI_Army_Nu_N.img
30024	强弩	1	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22009	100	0	50	0	35	950	0.47	0.56		1	0.02	UI_Army_Qiangnu_N.img
30025	神射营	1	25	45	2.5	300	50	80	0	0	5.5	0	0	"0.7,0.7,1.75"	0	22010	100	0	50	0	35	1000	0.65	0.8		1	0.02	UI_Army_Shenshe_N.img
30026	元戎弩	1	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22011	50	0	50	0	35	950	0.53	0.65		1	0.02	UI_Army_Yuanrong_N.img
30027	长戟兵	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22012	50	0	50	0	35	950	0.36	0.59		1	0.02	UI_Army_Changji_N.img
30028	重步兵	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22013	50	50	50	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30029	近卫军	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22014	50	50	50	0	35	950	0.46	0.45		1	0.02	UI_Army_Jinwei_N.img
30030	丹阳兵	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22015	50	200	130	0	35	950	0.4	0.51		1	0.02	UI_Army_Danyang_N.img
30031	白毦兵	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22016	50	140	50	0	35	950	0.43	0.46		1	0.02	UI_Army_Baier_N.img
30032	陷阵营	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22017	100	100	100	0	35	950	0.47	0.53		1	0.02	UI_Army_Xianzhen_N.img
30033	轻骑兵	2	35	65	3.5	300	50	80	0	0	11	0	0	"1.25,1.25,1.75"	0	22018	50	0	50	0	35	950	0.37	0.4		1	0.02	UI_Army_Qingqi_N.img
30034	重骑兵	2	25	45	3.5	300	50	80	0	0	8	0	0	"1.25,1.25,1.75"	0	22019	50	0	50	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30035	突骑兵	2	25	45	3.5	300	50	80	0	0	9	0	0	"1.25,1.25,1.75"	0	22020	50	0	50	0	35	1000	0.5	0.88		1	0.02	UI_Army_Tuqi_N.img
30036	西凉铁骑	2	25	45	3.5	300	50	80	0	0	9	0	0	"1.5,1.5,1.75"	0	22021	50	50	50	0	35	950	0.74	0.5		1	0.02	UI_Army_Xiliang_N.img
30037	象兵	2	25	45	4.5	300	50	80	0	0	6	0	0	"1.5,1.5,1.75"	0	22022	50	140	50	0	35	950	0.51	0.63		1	0.02	UI_Army_Xiang_N.img
30038	虎豹骑	2	25	45	3.5	300	50	80	0	0	10	0	0	"1.25,1.25,1.75"	0	22023	170	100	50	0	35	950	0.36	0.33		1	0.02	UI_Army_Hubao_N.img
30039	投石车	3	25	45	2.8	300	50	80	0	0	4	0	0	"1.5,1.5,1.75"	0	22024	50	0	50	0	35	950	0.43	0.44		1	0.02	UI_Army_Toushi_N.img
30040	井阑	3	25	45	4.5	300	50	80	0	0	4	0	0	"1.5,1.5,1.75"	0	22025	50	0	50	0	35	950	0.15			1	0.02	UI_Army_Jinglan_N.img
30041	冲车	3	25	45	2	300	50	80	0	0	6	0	0	"1.5,1.5,1.75"	0	22026	50	0	50	0	35	950	0.4	0.4		1	0.02	UI_Army_Mushou_N.img
30042	木兽	3	25	45	2.8	300	50	80	0	0	6	0	0	"1.5,1.5,1.75"	0	22027	50	0	50	0	35	950	0.26	0.38		1	0.02	UI_Army_Chongche_N.img
30043	张宝	2	25	45	4.1	300	50	80	0	0	11	0	0	"1,1,2"	0	22048	50	0	50	0	35	950	0.37	0.37		1	0.02	UI_Army_HJQB_N.img
30044	白饶	2	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22049	50	50	50	0	35	950	0.3	0.4		1	0.02	UI_Army_HSBB_N.img
30045	于毒	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22050	50	50	50	0	35	950	0.54	0.51		1	0.02	UI_Army_HSNB_N.img
30046	张牛角	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22051	50	50	50	0	35	950	0.3	0.4		1	0.02	UI_Army_HSBB_N.img
30047	张燕	2	25	45	5.5	300	50	80	0	0	10	0	0	"1.5,1.5,2"	0	22052	50	50	50	0	35	950	0.37	0.4		1	0.02	UI_Army_HSQB_N.img
30048	波才	2	25	45	5.5	300	50	80	0	0	11	0	0	"1.5,1.5,2"	0	22053	50	50	50	0	35	950	0.37	0.37		1	0.02	UI_Army_HJQB_N.img
30049	蒯良	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22054	50	50	50	0	35	950	0.69	0.77		1	0.02	UI_Army_Gong_N.img
30050	刘磐	2	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22055	50	200	130	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30051	张允	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22056	50	200	130	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30052	韩遂	2	25	45	5.5	300	50	80	0	0	10	0	0	"1.5,1.5,2"	0	22057	50	200	130	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30053	庞德	2	25	45	5.5	300	50	80	0	0	10	0	0	"1.5,1.5,2"	0	22058	50	200	130	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30054	阎行	2	25	45	5.5	300	50	80	0	0	9	0	0	"1.5,1.5,2"	0	22059	50	200	130	0	35	950	0.37	0.4		1	0.02	UI_Army_Qingqi_N.img
30055	杨秋	2	25	45	5.5	300	50	80	0	0	11	0	0	"1.5,1.5,2"	0	22060	50	200	130	0	35	950	0.37	0.4		1	0.02	UI_Army_Qingqi_N.img
30056	袁绍	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22061	50	200	130	0	35	950	0.46	0.45		1	0.02	UI_Army_Jinwei_N.img
30057	麹义	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22062	50	200	130	0	35	950	0.47	0.56		1	0.02	UI_Army_Qiangnu_N.img
30058	颜良	2	25	45	5.5	300	50	80	0	0	10	0	0	"1.5,1.5,2"	0	22063	50	200	130	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30059	文丑	2	25	45	5.5	300	50	80	0	0	10	0	0	"1.5,1.5,2"	0	22064	50	200	130	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30060	公孙度	2	25	45	5.5	300	50	80	0	0	11	0	0	"1.5,1.5,2"	0	22065	50	200	130	0	35	950	0.5	0.88		1	0.02	UI_Army_Tuqi_N.img
30061	公孙渊	2	25	45	5.5	300	50	80	0	0	11	0	0	"1.5,1.5,2"	0	22066	50	200	130	0	35	950	0.37	0.4		1	0.02	UI_Army_Qingqi_N.img
30062	阎柔	1	25	45	4.1	300	50	80	0	0	7	0	0	"1.5,1.5,2"	0	22067	50	200	130	0	35	950	0.69	0.77		1	0.02	UI_Army_Gong_N.img
30063	张扬	1	25	45	5.5	300	50	80	0	0	7	0	0	"1.5,1.5,2"	0	22068	50	200	130	0	35	950	0.69	0.77		1	0.02	UI_Army_Gong_N.img
30064	呼厨泉	2	25	45	5.5	300	50	80	0	0	11	0	0	"1.5,1.5,2"	0	22069	50	200	130	0	35	950	0.5	0.88		1	0.02	UI_Army_Tuqi_N.img
30065	刘豹	2	25	45	5.5	300	50	80	0	0	11	0	0	"1.5,1.5,2"	0	22070	50	200	130	0	35	950	0.5	0.88		1	0.02	UI_Army_Tuqi_N.img
30066	王植	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22071	50	200	130	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30067	蔡阳	2	25	45	4.1	300	50	80	0	0	10	0	0	"1,1,2"	0	22072	50	200	130	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30068	秦琪	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22073	50	200	130	0	35	950	0.53	0.65		1	0.02	UI_Army_Yuanrong_N.img
30069	郑浑	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22074	50	200	130	0	35	950	0.69	0.77		1	0.02	UI_Army_Gong_N.img
30070	华雄	2	25	45	5.5	300	50	80	0	0	11	0	0	"1,1,2"	0	22075	50	200	130	0	35	950	0.45	0.37		1	0.02	UI_Army_FXJ_N.img
30071	李儒	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22076	50	200	130	0	35	950	0.65	0.8		1	0.02	UI_Army_Shenshe_N.img
30072	王朗	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22077	50	200	130	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30073	陈横	2	25	45	4.1	300	50	80	0	0	11	0	0	"1,1,2"	0	22078	50	200	130	0	35	950	0.37	0.4		1	0.02	UI_Army_Qingqi_N.img
30074	徐荣	2	25	45	5.5	300	50	80	0	0	11	0	0	"1,1,2"	0	22079	50	200	130	0	35	950	0.45	0.37		1	0.02	UI_Army_FXJ_N.img
30075	李傕	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22080	50	200	130	0	35	950	0.52	0.48		1	0.02	UI_Army_TJJ_N.img
30076	张卫	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22081	50	200	130	0	35	950	0.51	0.62		1	0.02	UI_Army_Nu_N.img
30077	杨任	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22082	50	200	130	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30078	张邈	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22083	50	200	130	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30079	鲍信	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22084	50	200	130	0	35	950	0.51	0.62		1	0.02	UI_Army_Nu_N.img
30080	陈登	2	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22085	50	200	130	0	35	950	0.3	0.4		1	0.02	UI_Army_HSBB_N.img
30081	糜竺	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22086	50	200	130	0	35	950	0.69	0.77		1	0.02	UI_Army_Gong_N.img
30082	陶谦	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22087	50	200	130	0	35	950	0.4	0.51		1	0.02	UI_Army_Danyang_N.img
30083	木鹿大王	2	25	45	6.5	300	50	80	0	0	9	0	0	"1,1,3.4"	0	22088	50	200	130	0	35	950	0.51	0.63		1	0.02	UI_Army_Xiang_N.img
30084	标枪boss	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22033	50	200	130	0	35	950	0.33	0.53		1	0.02	UI_Army_BQB_N.img
30085	陈到	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22016	50	200	130	0	35	950	0.43	0.46		1	0.02	UI_Army_Baier_N.img
30086	飞刀boss	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22007	50	200	130	0	35	950	0.68	0.44		1	0.02	UI_Army_Feidao_N.img
30087	黄巾弓兵boss	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22034	50	200	130	0	35	950	0.71	0.77		1	0.02	UI_Army_HJGB_N.img
30088	突兀骨	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22031	50	200	130	0	35	950	0.37	0.52		1	0.02	UI_Army_Tengjia_N.img
30089	无当飞军boss	1	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,2"	0	22005	50	200	130	0	35	950	0.67	0.79	0.38	1	0.02	UI_Army_Wudangfeijun_N.img
30090	虎豹骑boss	2	25	45	5.5	300	50	80	0	0	11	0	0	"1,1,2"	0	22079	50	200	130	0	35	950	0.36	0.33		1	0.02	UI_Army_Hubao_N.img
30091	蛮兵boss	0	25	45	4.1	300	50	80	0	0	7	0	0	"1,1,3"	0	22030	50	200	130	0	35	950	0.44	0.45		1	0.02	UI_Army_MB_N.img
30100	长戟兵_友	0	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22012	50	0	50	0	35	950	0.36	0.59		1	0.02	UI_Army_Changji_N.img
30101	弓兵_友	1	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22006	50	0	50	0	35	950	0.69	0.77		1	0.02	UI_Army_Gong_N.img
30102	井阑_友	3	25	45	2.5	300	50	80	0	0	5	0	0	"1.5,1.5,1.75"	0	22025	50	0	50	0	35	950	0.15			1	0.02	UI_Army_Jinglan_N.img
30103	冲车_友	3	25	45	2.5	300	50	80	0	0	5	0	0	"1.5,1.5,1.75"	0	22026	50	0	50	0	35	950	0.26	0.38		1	0.02	UI_Army_Chongche_N.img
30104	重步兵_友	0	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22013	50	50	50	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30105	丹阳兵_友	0	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22015	50	200	130	0	35	950	0.4	0.51		1	0.02	UI_Army_Danyang_N.img
30106	陷阵营_友	0	25	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22017	100	100	100	0	35	950	0.47	0.53		1	0.02	UI_Army_Xianzhen_N.img
30107	白毦兵_友	0	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22016	50	140	50	0	35	950	0.43	0.46		1	0.02	UI_Army_Baier_N.img
30108	东莱太史慈	0	25	45	2.5	300	50	80	0	0	11	0	0	"1.5,1.5,2.1"	0	22040	100	100	100	0	35	950	0.36	0.33		1	0.02	UI_Army_Tuqi_N.img
30109	南皮公孙瓒	0	25	45	2.5	300	50	80	0	0	10	0	0	"1.5,1.5,2"	0	22070	50	140	50	0	35	950	0.5	0.88		1	0.02	UI_Army_Tuqi_N.img
30110	飞熊军_友	2	25	45	3.5	300	50	80	0	0	9	0	0	"1.5,1.5,1.75"	0	22038	100	50	50	0	35	950	0.45	0.37		1	0.02	UI_Army_FXJ_N.img
30111	徐荣_友	2	25	45	5.5	300	50	80	0	0	9	0	0	"1,1,2"	0	22079	50	200	130	0	35	950	0.45	0.37		1	0.02	UI_Army_FXJ_N.img
30112	孟达_友	1	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22045	50	200	130	0	35	950	0.51	0.62		1	0.02	UI_Army_Nu_N.img
