id	脚本	开始时间	结束时间	开启	仅显示	活动显示	删除标记	条件	条件2	开服天数	前置id	奖励1	奖励2	奖励3	奖励4	奖励5	奖励6	次数	是否累计次数	刷新	标题	标题显示	内容	失败提示	激活码类型	提示跳转链接	TAB_VERSION	活动链接	官网链接
17		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7207|0|1	10|7637|0|1				1	0		17173特权礼包（第三区）	17173特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	109			http://www.quegame.com/	http://www.quegame.com/
18		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7211|0|1	10|7607|0|1				1	0		新浪特权礼包（第三区）	新浪特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	110			http://www.quegame.com/	http://www.quegame.com/
19		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7215|0|1	10|7707|0|1				1	0		多玩特权礼包（第三区）	多玩特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	111			http://www.quegame.com/	http://www.quegame.com/
20		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7218|0|1	10|7662|0|1				1	0		40407特权礼包（第三区）	40407特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	112			http://www.quegame.com/	http://www.quegame.com/
21		2012|1|1	2017|11|1	1	0	0	0	-1				10|6097|0|1	10|7202|0|1	10|7631|0|1				1	0		07170特权礼包（第三区）	07170特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	113			http://www.quegame.com/	http://www.quegame.com/
22		2012|1|1	2017|11|1	1	0	0	0	-1				10|6097|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1	10|7631|0|1		1	0		媒体通用礼包（第三区）	媒体通用礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	114			http://www.quegame.com/	http://www.quegame.com/
23		2012|1|1	2017|11|1	1	0	0	0	-1				10|6097|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1			1	0		微信礼包（第三区）	微信礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	115			http://www.quegame.com/	http://www.quegame.com/
24		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1	10|7632|0|1		1	0		官网新手礼包（第三区）	官网新手礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	116			http://www.quegame.com/	http://www.quegame.com/
25		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7207|0|1	10|7636|0|1	10|3500|0|50			1	0		17173独家礼包	17173独家礼包	请输入正确的激活码！	激活码错误或已被领取！	117			http://www.quegame.com/	http://www.quegame.com/
26		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7211|0|1	10|7606|0|1	10|3501|0|50			1	0		新浪独家礼包	新浪独家礼包	请输入正确的激活码！	激活码错误或已被领取！	118			http://www.quegame.com/	http://www.quegame.com/
27		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7215|0|1	10|7701|0|1	10|3502|0|50			1	0		多玩独家礼包	多玩独家礼包	请输入正确的激活码！	激活码错误或已被领取！	119			http://www.quegame.com/	http://www.quegame.com/
28		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7218|0|1	10|7661|0|1	10|3500|0|50			1	0		40407独家礼包	40407独家礼包	请输入正确的激活码！	激活码错误或已被领取！	120			http://www.quegame.com/	http://www.quegame.com/
29		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|50	10|7632|0|1		1	0		07073独家礼包	07073独家礼包	请输入正确的激活码！	激活码错误或已被领取！	121			http://www.quegame.com/	http://www.quegame.com/
30		2012|1|1	2017|11|1	1	0	0	0	-1				10|6097|0|1	10|7202|0|1	10|3500|0|20				1	0		媒体通用礼包	媒体通用礼包	请输入正确的激活码！	激活码错误或已被领取！	122			http://www.quegame.com/	http://www.quegame.com/
31		2012|1|1	2017|11|1	1	0	0	0	-1				10|6097|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|50	10|3501|0|20		1	0		微信礼包	微信礼包	请输入正确的激活码！	激活码错误或已被领取！	123			http://www.quegame.com/	http://www.quegame.com/
32		2012|1|1	2017|11|1	1	0	0	0	-1				10|6097|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|50	10|3502|0|20		1	0		官网新手礼包	官网新手礼包	请输入正确的激活码！	激活码错误或已被领取！	124			http://www.quegame.com/	http://www.quegame.com/
33		2012|1|1	2017|11|1	1	0	0	0	-1				10|6081|0|1						1	0		贵宾大礼包	贵宾大礼包	请输入正确的激活码！	激活码错误或已被领取！	125			http://www.quegame.com/	http://www.quegame.com/
34		2012|1|1	2017|11|1	1	0	0	0	-1				10|6081|0|10						1	0		贵宾豪华大礼包	贵宾豪华大礼包	请输入正确的激活码！	激活码错误或已被领取！	126			http://www.quegame.com/	http://www.quegame.com/
1100		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|5000	10|6072|0|1	10|7551|0|1	10|7521|0|1	10|6782|0|1		1	0		黄钻新手礼包	黄钻新手礼包		服务器繁忙，请稍候再领取！					
1101		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|5000						1	0		黄钻1级每日礼包	黄钻1级每日礼包		服务器繁忙，请稍候再领取！					
1102		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|5500						1	0		黄钻2级每日礼包	黄钻2级每日礼包		服务器繁忙，请稍候再领取！					
1103		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|6000						1	0		黄钻3级每日礼包	黄钻3级每日礼包		服务器繁忙，请稍候再领取！					
1104		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|6500						1	0		黄钻4级每日礼包	黄钻4级每日礼包		服务器繁忙，请稍候再领取！					
1105		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|7000						1	0		黄钻5级每日礼包	黄钻5级每日礼包		服务器繁忙，请稍候再领取！					
1106		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|7500						1	0		黄钻6级每日礼包	黄钻6级每日礼包		服务器繁忙，请稍候再领取！					
1107		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|8000						1	0		黄钻7级每日礼包	黄钻7级每日礼包		服务器繁忙，请稍候再领取！					
1108		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|8500						1	0		黄钻8级每日礼包	黄钻8级每日礼包		服务器繁忙，请稍候再领取！					
1109		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|5000	10|7322|0|1	10|7318|0|1	10|7314|0|1	10|7310|0|1		1	0		年费黄钻每日礼包	年费黄钻每日礼包		服务器繁忙，请稍候再领取！					
1110		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|2000						1	0		普通升级礼包	普通升级礼包		服务器繁忙，请稍候再领取！					
1111		2012|1|1	2017|11|1	1	0	0	0	-1				5|0|0|5000	10|6072|0|1					1	0		黄钻升级礼包	黄钻升级礼包		服务器繁忙，请稍候再领取！					
2000	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	100		1		10|7554|0|1	5|0|0|5000	10|6069|0|5				1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2001	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	500		1		10|6098|0|1	10|7637|0|1	10|7554|0|4	5|0|0|10000			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2002	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	1000		1		10|6773|0|1	10|7671|0|1	5|0|0|10000	10|7551|0|1			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2003	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	5000		1		10|6774|0|1	10|7672|0|1	5|0|0|10000	10|7550|0|3			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2004	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	100		2		10|7637|0|1	10|7554|0|1	5|0|0|12000				1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2005	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	500		2		10|6098|0|1	10|7637|0|1	10|7554|0|4	5|0|0|12000			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2006	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	1000		2		10|6773|0|1	10|7671|0|1	5|0|0|12000	10|7550|0|2			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2007	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	5000		2		10|6774|0|1	10|7671|0|4	5|0|0|24000	10|7550|0|3			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2008	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	100		3		10|7737|0|1	10|7640|0|1	10|7554|0|1	5|0|0|16000			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2009	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	500		3		10|6102|0|1	10|7640|0|3	5|0|0|16000				1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2010	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	1000		3		10|7642|0|1	10|7522|0|1	5|0|0|16000	10|7551|0|1			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2011	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	5000		3		10|7644|0|1	10|6137|0|2	5|0|0|32000	10|7552|0|1			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2012	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	100		4		10|7737|0|2	10|7640|0|2	10|7554|0|1	5|0|0|18000			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2013	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	500		4		10|6098|0|3	10|7642|0|1	5|0|0|18000				1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2014	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	1000		4		10|7642|0|2	10|7522|0|1	5|0|0|18000	10|7550|0|3			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2015	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	5000		4		10|7642|0|4	10|6137|0|2	5|0|0|36000	10|7552|0|1			1	0		今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
2016	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	400		1|4		10|2044|0|1						1	0		多日充值	累积充值	开服前四天，累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
2017	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	1000		1|4		10|6049|0|3						1	0		多日充值	累积充值	开服前四天，累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
2018	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	2000		1|4		10|7552|0|10						1	0		多日充值	累积充值	开服前四天，累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
2019	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	3000		1|4		10|2131|0|1						1	0		多日充值	累积充值	开服前四天，累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
2020	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	4000		1|4		10|2132|0|1	10|2134|0|1					1	0		多日充值	累积充值	开服前四天，累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
2021	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	10000		1|4		10|10054|0|1	10|2135|0|1					1	0		多日充值	累积充值	开服前四天，累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
2022	Recharge.cfg	2012|1|1	2017|11|1	1	0	2	0	20000		1|4		10|10014|0|1	10|2133|0|1					1	0		多日充值	累积充值	开服前四天，累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
10001		2012|1|1	2012|1|1	1	0	2	0	100	1			10|4200|0|1						2	0		限时特卖	限时特卖	限时特卖，只需 |元宝，总计可购买|次	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10002		2012|1|1	2012|1|1	1	0	2	0	1000	1			10|4200|0|1	10|4201|0|2					5	0		限时特卖	限时特卖	限时特卖，只需 |元宝，总计可购买|次	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10003		2012|1|1	2012|1|1	1	0	2	0	99999	1			10|4200|0|1	10|4201|0|2	10|4202|0|5	10|4203|0|10	10|4204|0|55	10|4205|0|99	10	0		限时特卖	限时特卖	限时特卖，只需 |元宝，总计可购买|次	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10004	Recharge.cfg	2012|1|1	2017|11|1	1	0	0	0	50		1|4		10|6814|0|1	10|6815|0|1	10|6816|0|1	10|6817|0|1			20	0		自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
10005	Recharge.cfg	2012|1|1	2012|11|1	1	0	0	0	1000				300|100|100|100|100|100|200						1	0		小周卡	小周卡		服务器繁忙，请稍候再领取！					
10006	Recharge.cfg	2012|1|1	2012|1|1	1	0	0	0	1000				300|100|100|100|100|100|200						1	0		小周卡	小周卡		服务器繁忙，请稍候再领取！					
10007	LianXuChongZhi.cfg	2012|1|1	2012|1|1	1	0	2	0	2	2000			10|4200|0|1	10|4201|0|2	10|4202|0|5				1	0		连续充值豪礼	连续充值豪礼	活动时间，累积2天每日充值达到|元宝以上，累积|次，可领取	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10008	LianXuChongZhi.cfg	2012|1|1	2012|1|1	1	0	2	0	3	2000			10|4200|0|1	10|4201|0|2	10|4202|0|5	10|4203|0|10	10|4204|0|55	10|4205|0|99	1	0		连续充值豪礼	连续充值豪礼	活动时间，累积3天每日充值达到|元宝以上，累积|次，可领取	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10009	LianXuChongZhi.cfg	2012|1|1	2012|1|1	1	0	2	0	4	2000			10|4200|0|1	10|4201|0|2	10|4202|0|5	10|4203|0|10	10|4204|0|55	10|4205|0|99	1	0		连续充值豪礼	连续充值豪礼	活动时间，累积4天每日充值达到|元宝以上，累积|次，可领取	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10010	Recharge.cfg	2012|1|1	2012|1|1	1	0	0	0	100				10|7729|0|1	10|7521|0|1	10|7203|0|1	10|6071|0|25			1	0	1	每日十元	每日十元	藤甲兵助阵，以一敌百、万夫莫敌！	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10011	Recharge.cfg	2012|1|1	2012|1|1	1	0	0	0	100				10|7659|0|1	10|7521|0|1	10|7203|0|1	10|6071|0|25			1	0	1	每日十元	每日十元	陷阵营助阵，肆无忌惮、横扫战场！	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10012	Recharge.cfg	2012|1|1	2012|1|1	1	0	0	0	100				10|7729|0|1	10|7521|0|1	10|7203|0|1	10|6071|0|25			1	0	1	每日十元	每日十元	藤甲兵助阵，以一敌百、万夫莫敌！	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10013	Recharge.cfg	2012|1|1	2012|1|1	1	0	0	0	100				10|7659|0|1	10|7521|0|1	10|7203|0|1	10|6071|0|25			1	0	1	每日十元	每日十元	陷阵营助阵，肆无忌惮、横扫战场！	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
10014	Recharge.cfg	2012|1|1	2012|11|1	1	0	0	0	1000				10|7642|0|1	10|7612|0|1	10|7760|0|1	10|7551|0|1			20	0		自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
20000	GongChengLueDi.cfg	2012|1|1	2017|11|1	1	0	1	0	5		1		7636|0|1	7607|0|1	7554|0|1	6817|0|1			1	0		攻城掠地	国战任务	开服首日，玩家参与国战次数达到5次，特奖励新服国战大礼一份	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
20001	GongChengLueDi.cfg	2012|1|1	2017|11|1	1	0	1	0	30		1|3		6778|0|5	6051|0|1	6142|0|1	6817|0|3			1	0		攻城掠地	国战任务	截止开服第三日，参与国战次数累计达到30次，可额外领取超值大礼一份	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
20002	LevelNotLessInServerDay.cfg	2012|1|1	2012|1|1	1	0	1	0	32				6077|0|1	6773|0|1					1	0		冲级目标	今日冲级奖励	截止今日24时，角色等级达到32级即可获得冲级大礼!	角色等级尚未达到要求！					
20003	LevelNotLessInServerDay.cfg	2012|1|1	2012|1|1	1	0	1	0	38				6077|0|1	6773|0|1					1	0		冲级目标	今日冲级奖励	截止今日24时，角色等级达到38级即可获得冲级大礼!	角色等级尚未达到要求！					
20004	LevelNotLessInServerDay.cfg	2012|1|1	2012|1|1	1	0	1	0	42				6077|0|1	6773|0|1					1	0		冲级目标	今日冲级奖励	截止今日24时，角色等级达到42级即可获得冲级大礼!	角色等级尚未达到要求！					
20005	MingJiangZhiLu.cfg	2012|1|1	2012|1|1	1	0	1	0	20				6767|0|1						1	0		名将之路	名将之路	开服7日内，主公在通关名将之路次数达到20次，可在此处领取新服7日练兵大礼。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
20006	XueZhanShaChang.cfg	2012|1|1	2012|1|1	1	0	1	0	380000				6765|0|1						1	0		血战沙场	血战沙场	庆开服，主公参与国战杀死敌军数量达到38万，可在此处领取新服练兵大礼。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
20007	ShiSiRuGui.cfg	2012|1|1	2012|1|1	1	0	1	0	480000				6766|0|1						1	0		视死如归	视死如归	庆开服，主公参与国战被击杀数量达到48万，可在此处领取新服练兵大礼。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
20008	MingJiangZhiLu.cfg	2012|1|1	2012|1|1	1	0	1	0	20				6767|0|1						1	0		名将之路	名将之路	庆开服，主公在通关名将之路次数达到20次（领奖一次，计数加1），可在此处领取练兵大礼。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
20009	GovPosNotLess.cfg 	2012|1|1	2012|1|1	1	0	1	0	2				7601|0|1						1	0		提升官职至门下督	限时俸禄	"玩家在游戏内官职达到门下督,便可获得2级弓箭兵符助阵征战天下！"	官职等级尚未达到要求，请参与国战来提升官职！					
20010	GovPosNotLess.cfg 	2012|1|1	2012|1|1	1	0	1	0	3				7631|0|1						1	0		提升官职至武卫校尉	限时俸禄	"玩家在游戏内官职达到武卫校尉,便可获得2级长戟兵符助阵征战天下！"	官职等级尚未达到要求，请参与国战来提升官职！					
29981		2012|1|1	2012|1|1	1	0	1	0	-1				6750|0|1						1	0	1	VIP每日礼包	VIP每日礼包	每日可领取一次。打开可获得礼金、铜币和八卦石宝箱。VIP等级达到4、7、11级时奖励更加丰富。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
29982		2012|1|1	2012|1|1	1	0	1	0	-1				6751|0|1						1	0	7	VIP每周礼包	VIP每周礼包	每周可领取一次。打开可获得礼金、铜币和八卦石宝箱。VIP等级达到4、7、11级时奖励更加丰富。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
29983	SingleRechargeNotLess.cfg	2012|1|1	2012|1|1	1	0	1	0	5000				6143|0|1						1	0		500元礼包	500元礼包	活动期间单笔充值达到500元以上，可以获得大量奖励	领取条件不满足，请前往充值！				http://www.quegame.com/	http://www.quegame.com/
29984	SingleRechargeNotLess.cfg	2012|1|1	2012|1|1	1	0	1	0	10000				6143|0|5						1	0		1000元礼包	1000元礼包	活动期间单笔充值达到1000元以上，可以获得大量奖励	领取条件不满足，请前往充值！				http://www.quegame.com/	http://www.quegame.com/
29985	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	1				6785|0|1						1	0		充值返利--vip1	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip1级,未达到领取要求."					
29986	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	2			29985	6786|0|1						1	0		充值返利--vip2	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip2级,未达到领取要求."					
29987	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	3			29986	6787|0|1						1	0		充值返利--vip3	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip3级,未达到领取要求."					
29988	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	4			29987	6788|0|1						1	0		充值返利--vip4	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip4级,未达到领取要求."					
29989	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	5			29988	6789|0|1						1	0		充值返利--vip5	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip5级,未达到领取要求."					
29990	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	6			29989	6790|0|1						1	0		充值返利--vip6	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip6级,未达到领取要求."					
29991	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	7			29990	6791|0|1						1	0		充值返利--vip7	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip7级,未达到领取要求."					
29992	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	8			29991	6792|0|1						1	0		充值返利--vip8	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip8级,未达到领取要求."					
29993	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	9			29992	6793|0|1						1	0		充值返利--vip9	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip9级,未达到领取要求."					
29994	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	10			29993	6794|0|1						1	0		充值返利--vip10	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip10级,未达到领取要求."					
29995	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	11			29994	6795|0|1						1	0		充值返利--vip11	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip11级,未达到领取要求."					
29996	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	12			29995	6796|0|1						1	0		充值返利--vip12	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip12级,未达到领取要求."					
29997	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	13			29996	6797|0|1						1	0		充值返利--vip13	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip13级,未达到领取要求."					
29998	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	14			29997	6798|0|1						1	0		充值返利--vip14	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip14级,未达到领取要求."					
29999	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	15			29998	6799|0|1						1	0		充值返利--vip15	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip15级,未达到领取要求."					
