id	名字	接壤1	接壤2	接壤3	接壤4	类型	默认势力	sceneid	时间	玩家数量	出生点数	开启人数	进场时间	郡名	收益类型	收益数量	特产类型	特产数量	buttonname	cityname	colormask	map	bordername	坐标	规模	colorsw	城防值	城池mask	城池等级	建国后等级	城池等级系数	平叛消耗军令	平叛铜钱奖励	平叛掉落id	叛乱兵种icon	攻方胜利条件	守方胜利条件	行政长官	称谓	说明	州ID	州名称	地形
2003	蓟	2001	2002	2006		1	2	30014	1800	40	"0,1"	2	1620	燕国	5	42000	1	200000	MedianCity_Ji	LocalName_Ji	CM_Ji	UI_GK_Ji.img	Border_Ji		1	TiaoMu_Ji	200	sw_Area_Ji	8|10|10|10	9|10|10|10	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	刘虞	太守	    蓟县地区很久之前就有人居住。周朝时，尧的后代曾经被封于此。战国时期是燕国的都城。秦朝正式置县。公孙瓒曾经在败于袁绍后屯兵于此并加固城防。	1007	幽州	山地
2004	涿县	2005				1	10	30015	3600	40	"0,1"	2	3420	上谷郡	5	45000	1	100000	MedianCity_Zhuoxian	LocalName_ZhuoXian	CM_Zhuoxian	UI_GK_Yongan.img	Border_Zhuoxian		0	TiaoMu_Zhuoxian	200	sw_Area_Zhuoxian	1|15|15|7	9|15|15|15	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	关靖	令	    涿县早在春秋时期就有人生活，公元前221年正式得名。这里是刘备和桓侯张飞的家乡，也是桃园三兄弟结义的地方，更是三国波澜历史开篇的地点。	1007	幽州	山地
2005	代县	2004	3003			1	2	30016	2400	40	"0,1"	2	2220	代郡	5	42000	1	100000	MedianCity_Daixian	LocalName_DaiXian	CM_Daixian	UI_GK_Ji.img	Border_Daixian		1	TiaoMu_Daixian	200	sw_Area_Daixian	1|15|15|7	9|15|15|15	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王泽	太守	    在战国时期胡服骑射、励精图治的赵武灵王所置的代县，一直以来作为守护中原、抵御北方游牧民族的第一道防线，传说蒙恬曾在此处修筑长城哦！	1007	幽州	城郭
2006	易京	2003	3001	3002		0	2	40003	1800	40	"0,1"	1	1620	范阳郡	5	25000	1	100000	MedianCity_Yijing	LocalName_YiJing	CM_Yijing	UI_GK_Yijing.img	Border_Yijing		3	TiaoMu_Yijing	100	sw_Area_Yijing	7|10|10|10	9|10|10|10	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	严纲	都尉	    易京本为易县，向北紧接蓟城，向南紧扼住通往河间南皮的咽喉要道。其本身地势险要，后来被公孙瓒改造为易守难攻的要塞，在此坐困孤城，自焚而亡。	1007	幽州	城郭
3001	河间	2006	3006			1	2	30017	1800	40	"0,1"	2	1620	河间郡	5	39000	2	200000	MedianCity_Hejian	LocalName_HeJian	CM_Hejian	UI_GK_Zitong.img	Border_Hejian		0	TiaoMu_Hejian	100	sw_Area_Hejian	7|11|11|11	9|11|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	淳于琼	相	    河间在战国时期就已存在，公元前178年设河间国，三百多年来由于朝政变化，几度废立。汉末权力斗争失败的董太后曾被何进毒杀于此，可谓王朝缩影。	1007	幽州	水域
3002	南皮	2006	4006			1	2	30018	1800	40	"0,1"	2	1620	渤海郡	5	39000	3	300000	MedianCity_Nanpi	LocalName_NanPi	CM_Nanpi	UI_GK_Nanpi.img	Border_Nanpi		1	TiaoMu_Nanpi	200	sw_Area_Nanpi	7|11|11|11	9|11|11|11	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	袁绍	太守	    公元前221年设立的南皮县。公元前202年，设勃海郡，南皮在其境内。因为位置优越，公元122年，南皮成为渤海郡首府，汉末军阀袁绍以此统一河北。	1007	幽州	平原
3003	灵丘	2005	3004			0	2	40004	2400	40	"0,1"	1	2220	中山国	5	15000	3	100000	MedianCity_Lingqiu	LocalName_LingQiu	CM_Lingqiu	UI_GK_Yijing.img	Border_Lingqiu		3	TiaoMu_Lingqiu	200	sw_Area_Lingqiu	1|15|15|15	9|15|15|15	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	吕威璜	都尉	    灵丘因胡服骑射的赵武灵王埋葬于此而得名，并在公元前196年正式设县，逐渐因为地势原因被改建成一处易守难攻的关隘，紧守中山国之北门户。	1007	幽州	城郭
3004	中山	3003	3005			1	2	30019	2400	40	"0,1"	2	2220	中山国	5	39000	2	100000	MedianCity_Zhongshan	LocalName_ZhongShan	CM_Zhongshan	UI_GK_Xiangping.img	Border_Zhongshan		1	TiaoMu_Zhongshan	200	sw_Area_Zhongshan	2|15|15|7	9|15|15|15	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张纯	相	    中山国因其境内多山而得名，本是由春秋时白狄人所建，被中原各诸侯国是为华夏心腹大患。在公元前296年，为赵国所灭，历史悠久，国祚350余年。	1002	冀州	平原
3005	常山	3004	8001			1	2	30020	2400	40	"0,1"	2	2220	常山郡	5	39000	1	100000	MedianCity_Changshan	LocalName_ChangShan	CM_Changshan	UI_GK_Jinyang.img	Border_Changshan		1	TiaoMu_Changshan	200	sw_Area_Changshan	2|15|15|7	9|15|15|15	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张燕	太守	    常山郡原名恒山郡，本是秦朝时设置。西汉为避文帝刘恒而改名为常山郡。三国演义中，赵云一句“吾乃常山赵子龙也！”使多少人知道这个地方。	1002	冀州	山地
3006	巨鹿	3001	3012			1	2	30021	1800	40	"0,1"	2	1620	巨鹿郡	5	36000	3	150000	MedianCity_Julu	LocalName_JuLu	CM_Julu	UI_GK_Nanpi.img	Border_Julu		1	TiaoMu_Julu	200	sw_Area_Julu	6|12|12|8	9|12|12|12	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张角	太守	    公元前211年，秦始皇设巨鹿郡。公元前208年，项羽于此地破釜沉舟，歼灭了秦军主力。公元184年，张角在这里发动了黄巾起义，解开了乱世帷幕！	1002	冀州	平原
3007	邯郸	8001	3008			1	2	30172	2400	40	"0,1"	2	2220	广平郡	5	33000	2	100000	MedianCity_Handan	LocalName_HanDan	CM_Handan	UI_GK_Nanpi.img	Border_Handan		1	TiaoMu_Handan	200	sw_Area_Handan	4|15|15|15	9|15|15|15	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	刘赦	相	    商代时，邯郸为畿辅要地。战国时期，邯郸为赵国国都。秦国统一后，设立了邯郸郡。几度春秋、朝代更迭后，改名为广平郡，邯郸城依旧伫立在这里。	1002	冀州	平原
3008	临水	3007	3009			0	2	40005	2400	40	"0,1"	1	2220	广平郡	5	25000	1	150000	MedianCity_Linshui	LocalName_LinShui	CM_Linshui	UI_GK_Tongguan.img	Border_Linshui		3	TiaoMu_Linshui	200	sw_Area_Linshui	5|13|13|13	9|13|13|13	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	蒋义渠	都尉	    临水是广平郡的南大门，虽然因为守在邯郸与邺的大路上而地势并不险要，但是交通便利，商业发达，在广平郡乃至整个冀州，都有举足轻重的地位。	1002	冀州	山地
3009	邺	3008	3010	3011	8006	1	2	30167	3600	80	"0,1"	2	3420	魏郡	5	60000	5	100000	MedianCity_Ye	LocalName_Ye	CM_Ye	UI_GK_Changan.img	Border_Ye		2	TiaoMu_Ye	200	sw_Area_Ye	6|14|14|14	9|14|14|14	1|2|3|4	5	27856	6104|0|1	T_UI_Puanluan.img	攻破皇城四个辟邪	守住皇城辟邪	曹操	令	    邺城为春秋时期齐桓公耗时十年所建。战国时期，西门豹为邺令，其治河投巫的故事，几乎妇孺皆知。三国时期，邺城为魏国都城，得到了大力的发展。	1002	冀州	平原
3010	黎阳	3009	6005			1	10	30024	1800	40	"0,1"	2	1620	魏郡	5	33000	1	150000	MedianCity_Liyang	LocalName_LiYang	CM_Liyang	UI_GK_Chenliu.img	Border_Liyang		1	TiaoMu_Liyang	200	sw_Area_Liyang	5|13|13|13	9|13|13|13	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	袁尚	太守	    黎阳位于黄河北岸，地势平坦，虎视河南。其于汉高祖时期置县，逐渐兴旺。汉末群雄割据时的官渡之战前期，河北之主袁绍曾于此处屯重兵以窥曹操。	1002	冀州	平原
3011	馆陶	3009	3012			1	10	30025	1800	40	"0,1"	2	1620	阳平郡	5	33000	2	150000	MedianCity_Guantao	LocalName_GuanTao	CM_Guantao	UI_GK_Wancheng.img	Border_Guantao		1	TiaoMu_Guantao	200	sw_Area_Guantao	5|13|13|13	9|13|13|13	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	袁熙	令	    公元2年，西汉平帝置馆陶县，汉末时置阳平郡，馆陶县为其郡治。汉武帝金屋藏娇的陈皇后，其母亲便是大名鼎鼎的馆陶公主、汉文帝之女刘嫖。	1002	冀州	城郭
3012	界桥	3006	3011	4006	6002	0	10	40006	1800	40	"0,1"	1	1620	清河郡	5	15000	1	100000	MedianCity_Jieqiao	LocalName_JieQiao	CM_Jieqiao	UI_GK_Yijing.img	Border_Jieqiao		3	TiaoMu_Jieqiao	100	sw_Area_Jieqiao	5|12|12|12	9|12|12|12	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	麹义	都尉	    界桥为河北重要枢纽，位于馆陶、平原、东阿、巨鹿的中心，其位置十分重要。公孙瓒曾被袁绍麾下大将麹义大败于此，其主力白马义从近乎全军覆没。	1002	冀州	城郭
4001	东莱	4002				1	2	30026	1800	40	"0,1"	2	1620	东莱郡	5	48000	3	250000	MedianCity_Donglai	LocalName_DongLai	CM_Donglai	UI_GK_Chaisang.img	Border_Donglai		0	TiaoMu_Donglai	100	sw_Area_Donglai	8|8|8|8	8|8|8|8	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	管统	令	    东来位于山东半岛的最北端，是一座安静宁谧的小城。秦末方士徐福、汉末猛将太史慈，都是出生于东莱境内。当年徐福出海为始皇寻药，也是在此出发。	1001	青州	水域
4002	即墨	4001	4003	5001		1	2	30027	2400	50	"0,1"	2	1620	东莱郡	5	48000	4	125000	MedianCity_Jimo	LocalName_JiMo	CM_Jimo	UI_GK_Ji.img	Border_Jimo		1	TiaoMu_Jimo	400	sw_Area_Jimo	7|7|7|7	7|7|7|7	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王修	太守	    即墨因地临墨水河而得名，其在春秋时期便是齐国的通商名衢。秦代置县，汉初便因交通便利而成为胶东半岛的政治、经济、文化多重中心。	1001	青州	平原
4003	北海	4002	4004			1	10	30028	1800	40	"0,1"	2	1620	北海郡	5	45000	1	200000	MedianCity_Beihai	LocalName_BeiHai	CM_Beihai	UI_GK_Jiangling.img	Border_Beihai		1	TiaoMu_Beihai	200	sw_Area_Beihai	7|8|8|8	8|8|8|8	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	孔融	太守	    公元前148年，西汉景帝时置郡北海。东汉末年黄巾围北海，太史慈受北海太守孔融之托，前往平原向刘备求助，后来因为关羽斩杀管亥而解围。	1001	青州	水域
4004	临淄	4003	4005			1	10	30029	1800	40	"0,1"	2	1620	齐国	5	42000	2	200000	MedianCity_Linzi	LocalName_LinZi	CM_Linzi	UI_GK_Xiapi.img	Border_Linzi		1	TiaoMu_Linzi	200	sw_Area_Linzi	6|9|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	龚景	相	    公元前867年，齐献公扩建营丘城，改名临淄，并以其为齐国都城，秦国统一六国后，设立临淄县。临淄历经风雨，饱经风霜，如今已成为青州第一大城。	1001	青州	平原
4005	济南	4004	4006	6001		1	10	30030	1800	40	"0,1"	2	1620	济南国	5	39000	3	200000	MedianCity_Jinan	LocalName_JiNan	CM_Jinan	UI_GK_Xiaopei.img	Border_Jinan		1	TiaoMu_Jinan	200	sw_Area_Jinan	6|10|10|10	9|10|10|10	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	刘开	相	    济南县在汉文帝时改封为济南国，其地南依泰山，北跨黄河，背山面水，气候适宜。黄巾之乱被平定后，曹操曾因为功劳而被封为济南相。	1001	青州	平原
4006	平原	3002	3012	4005		1	10	30031	1800	40	"0,1"	2	1620	平原郡	5	36000	1	200000	MedianCity_Pingyuan	LocalName_PingYuan	CM_Pingyuan	UI_GK_Xiaopei.img	Border_Pingyuan		0	TiaoMu_Pingyuan	100	sw_Area_Pingyuan	5|11|11|11	9|11|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	袁谭	令	    此地古为平原邑，战国四公子之一平原君的封地便是这里。汉末群雄割据期间，讨董后，因同窗之情，刘备被公孙瓒委任为平原相，得以休养生息。	1001	青州	平原
5001	琅琊	4002	5003			1	12	30032	1800	40	"0,1"	2	1620	琅琊国	5	45000	2	200000	MedianCity_Langya	LocalName_LangYa	CM_Langya	UI_GK_Wancheng.img	Border_Langya		0	TiaoMu_Langya	100	sw_Area_Langya	7|7|7|7	7|7|7|7	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	萧建	相	    琅琊在早春秋时为齐国领地，秦朝统一六国后，正式设琅琊郡。春秋末年越王勾践灭吴后，为北上争霸，便迁都于此，从而使琅琊得到了较大发展。	1003	徐州	城郭
5002	彭城	5004	7009			1	2	30033	1800	40	"0,1"	2	1620	彭城国	5	75000	5	100000	MedianCity_Pengcheng	LocalName_PengCheng	CM_Pengcheng	UI_GK_Xiapi.img	Border_Pengcheng		1	TiaoMu_Pengcheng	200	sw_Area_Pengcheng	9|9|8|8	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	吕布	相	    彭城历史悠久，相传甚至曾经作为黄帝的都城。秦末著名军事家项羽，推翻秦朝暴政后，在此自称西楚霸王，将彭城定为都城，在此分封诸侯，号令天下。	1003	徐州	平原
5003	下邳	5001	5004			1	12	30034	1800	40	"0,1"	2	1620	下邳国	5	45000	1	300000	MedianCity_Xiapi	LocalName_XiaPi	CM_Xiapi	UI_GK_Xiapi.img	Border_Xiapi		1	TiaoMu_Xiapi	200	sw_Area_Xiapi	8|8|7|8	8|8|8|8	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	陶谦	相	    公元72年，汉明帝置下邳国，封子衍为王，领17城，治所于下邳。东临东海，西至徐州，南过淮阴至安徽嘉山，北达临沂，为下邳疆域最广之时。	1003	徐州	平原
5004	小沛	5002	5003	5006		1	12	30035	1800	40	"0,0"	2	1620	下邳国	5	42000	2	200000	MedianCity_Xiaopei	LocalName_XiaoPei	CM_Xiaopei	UI_GK_Xiaopei.img	Border_Xiaopei		0	TiaoMu_Xiaopei	100	sw_Area_Xiaopei	9|9|6|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	陈珪	令	    早在春秋时期，沛县就已经有人居住。秦时亦置县，是中国最古老的县份之一。沛县是汉高祖刘邦故里，后刘备曾经被陶谦表为豫州刺史，使屯于小沛。	1003	徐州	平原
5005	淮陵	5006	18002			1	2	30036	1800	40	"0,1"	2	1620	下邳国	5	39000	3	200000	MedianCity_Huailing	LocalName_HuaiLing	CM_Huailing	UI_GK_Lujiang.img	Border_Huailing		0	TiaoMu_Huailing	100	sw_Area_Huailing	11|11|7|11	11|11|9|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	赵昱	令	    西汉时设立的淮陵郡，其郡城淮陵作为寿春东北门户，地势高高在上，易守难攻，位置紧要。东汉开国功臣、云台二十八将之一的王霸便被封于此处。	1003	徐州	水域
5006	淮阴	5004	5005	5007		1	12	30037	1800	40	"0,1"	2	1620	广陵郡	5	39000	4	125000	MedianCity_Huaiyin	LocalName_HuaiYin	CM_Huaiyin	UI_GK_Lujiang.img	Border_Huaiyin		0	TiaoMu_Huaiyin	100	sw_Area_Huaiyin	10|10|6|10	10|10|9|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	陶商	令	    秦朝统一六国后，设置淮阴县。汉高祖刘邦击败项羽后，将功臣韩信的封地定在此处，号为淮阴侯。纪灵攻徐州时，被刘备所破，最后曾困守于此。	1003	徐州	水域
5007	射阳	5006	5008	5010		1	12	30038	1800	40	"0,1"	2	1620	广陵郡	5	36000	2	200000	MedianCity_Sheyang	LocalName_SheYang	CM_Sheyang	UI_GK_Xiangping.img	Border_Sheyang		0	TiaoMu_Sheyang	100	sw_Area_Sheyang	11|11|5|11	11|11|9|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	陈登	令	    射阳因为位处射水之北而得名，其借射水之便，沟通南北，又紧守产盐重地盐渎的门户，过往商旅络绎不绝，接连不断，诚为一处交通要道。	1003	徐州	平原
5008	盐渎	1004	5007			0	2	40007	1800	40	"0,1"	1	1620	广陵郡	5	25000	3	200000	MedianCity_Yandu	LocalName_YanDu	CM_Yandu	UI_GK_Ruxuwu.img	Border_Yandu		3	TiaoMu_Yandu	100	sw_Area_Yandu	11|11|7|11	11|11|9|11	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	曹豹	都尉	    盐渎东临大海，西侧只与射阳相连，盛产海盐，百姓富足。当年孙坚平定许昌之乱后，曾由刺史臧旻授盐渎都尉一职，为孙家崛起提供了不小的经济帮助。	1003	徐州	水域
