partid	Ãû³Æ	inlay	±ø·¨	Õó·¨	¶´²ì	Í³ÂÊ	¹¥ËÙ	CDËõ¼õ	ÒÆ¶¯ËÙ¶È	»¤¼×Öµ	·¨Êõ¿¹ÐÔ	¸ñµ²¼¸ÂÊ	¹¥»÷Á¦	ÉúÃüÖµ	±©»÷ÂÊ	ÉÁ±ÜÂÊ	¹¥³Ç¹¥»÷Á¦	¹¥»÷¾àÀë	ÃüÖÐÂÊ	´©Í¸	·¨Êõ´©Í¸	Ç±ÐÐ	·´Ç±ÐÐ	ÊÓÒ°	ÎÞÊÓÉÁ±Ü	·´µ¯ÎïÉË	·´µ¯·¨ÉË	ÎïÀíÎüÑª	·¨ÊõÎüÑª	±©»÷½£	½¦Éä	ÎïÉË¼ÓÉî	·¨ÉË¼ÓÉî	abstractid	ÎïÉË¼Ó³É	·¨ÉË¼Ó³É	»Ø¸´Ð§¹û
1	îø¼×	23	15				30		15				6				6																				
1	îø¼×	24	20				40		20				8				8																				
1	îø¼×	25	25				50		25				10				10																				
1	îø¼×	26	30				60		30				12				12																	24836			
1	îø¼×	27	35				70		35				14				14																	24837			
1	îø¼×	28	40				80		40				16				16																	24838			
1	îø¼×	31	5										3		50		3																				
1	îø¼×	32	10										6		100		6																				
1	îø¼×	33	15										9		150		9																				
1	îø¼×	34	20										12		200		12																				
1	îø¼×	35	25										15		250		15																				
1	îø¼×	36	30										18		300		18																	24839			
1	îø¼×	37	35										21		350		21																	24840			
1	îø¼×	38	40										24		400		24																	24841			
1	îø¼×	41			5									5													10										
1	îø¼×	42			10									10													20										
1	îø¼×	43			15									15													30										
1	îø¼×	44			20									20													40										
1	îø¼×	45			25									25													50										
1	îø¼×	46			30									30													60							24842			
1	îø¼×	47			35									35													80							24843			
1	îø¼×	48			40									40													100							24844			
1	îø¼×	51	5										1				1				20								5								
1	îø¼×	52	10										2				2				40								10								
1	îø¼×	53	15										3				3				60								15								
1	îø¼×	54	20										4				4				80								20								
1	îø¼×	55	25										5				5				100								25								
1	îø¼×	56	30										6				6				120								30					24845			
1	îø¼×	57	35										7				7				140								35					24846			
1	îø¼×	58	40										8				8				160								40					24847			
1	îø¼×	61		5										10												5											
1	îø¼×	62		10										20												10											
1	îø¼×	63		15										30												15											
1	îø¼×	64		20										40												20											
1	îø¼×	65		25										50												25											
1	îø¼×	66		30										60												30								24848			
1	îø¼×	67		35										70												35								24849			
1	îø¼×	68		40										80												40								24850			
1	îø¼×	71			5		5							10																	450|10						
1	îø¼×	72			10		10							20																	450|20						
1	îø¼×	73			15		15							30																	450|30						
1	îø¼×	74			20		20							40																	450|40						
1	îø¼×	75			25		25							50																	450|50						
1	îø¼×	76			30		30							60																	450|60			24851			
1	îø¼×	77			35		35							70																	450|70			24852			
1	îø¼×	78			40		40							80																	450|80			24853			
2	ÎäÆ÷	1	10										10				10			5								2									
2	ÎäÆ÷	2	20										20				20			10								4									
2	ÎäÆ÷	3	30										30				30			15								6									
2	ÎäÆ÷	4	40										40				40			20								8									
2	ÎäÆ÷	5	50										50				50			25								10									
2	ÎäÆ÷	6	60										60				60			30								12						24830			
2	ÎäÆ÷	7	70										70				70			35								14						24831			
2	ÎäÆ÷	8	80										80				80			40								16						24832			
2	ÎäÆ÷	11		10	10					20				10																		-2	-2				
2	ÎäÆ÷	12		20	20					40				20																		-4	-4				
2	ÎäÆ÷	13		30	30					60				30																		-6	-6				
2	ÎäÆ÷	14		40	40					80				40																		-8	-8				
2	ÎäÆ÷	15		50	50					100				50																		-10	-10				
2	ÎäÆ÷	16		60	60					120				60																		-12	-12	24833			
2	ÎäÆ÷	17		70	70					140				70																		-14	-14	24834			
2	ÎäÆ÷	18		80	80					160				80																		-16	-16	24835			
2	ÎäÆ÷	21	5				10		5				2				2																				
2	ÎäÆ÷	22	10				20		10				4				4																				
2	ÎäÆ÷	23	15				30		15				6				6																				
2	ÎäÆ÷	24	20				40		20				8				8																				
2	ÎäÆ÷	25	25				50		25				10				10																				
2	ÎäÆ÷	26	30				60		30				12				12																	24836			
2	ÎäÆ÷	27	35				70		35				14				14																	24837			
2	ÎäÆ÷	28	40				80		40				16				16																	24838			
2	ÎäÆ÷	31	5										3		50		3																				
2	ÎäÆ÷	32	10										6		100		6																				
2	ÎäÆ÷	33	15										9		150		9																				
2	ÎäÆ÷	34	20										12		200		12																				
2	ÎäÆ÷	35	25										15		250		15																				
2	ÎäÆ÷	36	30										18		300		18																	24839			
2	ÎäÆ÷	37	35										21		350		21																	24840			
2	ÎäÆ÷	38	40										24		400		24																	24841			
2	ÎäÆ÷	41			5									5													10										
2	ÎäÆ÷	42			10									10													20										
2	ÎäÆ÷	43			15									15													30										
2	ÎäÆ÷	44			20									20													40										
2	ÎäÆ÷	45			25									25													50										
2	ÎäÆ÷	46			30									30													60							24842			
2	ÎäÆ÷	47			35									35													80							24843			
2	ÎäÆ÷	48			40									40													100							24844			
2	ÎäÆ÷	51	5										1				1				20								5								
2	ÎäÆ÷	52	10										2				2				40								10								
2	ÎäÆ÷	53	15										3				3				60								15								
2	ÎäÆ÷	54	20										4				4				80								20								
2	ÎäÆ÷	55	25										5				5				100								25								
2	ÎäÆ÷	56	30										6				6				120								30					24845			
2	ÎäÆ÷	57	35										7				7				140								35					24846			
2	ÎäÆ÷	58	40										8				8				160								40					24847			
2	ÎäÆ÷	61		5										10												5											
2	ÎäÆ÷	62		10										20												10											
2	ÎäÆ÷	63		15										30												15											
2	ÎäÆ÷	64		20										40												20											
2	ÎäÆ÷	65		25										50												25											
2	ÎäÆ÷	66		30										60												30								24848			
2	ÎäÆ÷	67		35										70												35								24849			
2	ÎäÆ÷	68		40										80												40								24850			
2	ÎäÆ÷	71			5		5							10																	450|10						
2	ÎäÆ÷	72			10		10							20																	450|20						
2	ÎäÆ÷	73			15		15							30																	450|30						
2	ÎäÆ÷	74			20		20							40																	450|40						
2	ÎäÆ÷	75			25		25							50																	450|50						
2	ÎäÆ÷	76			30		30							60																	450|60			24851			
2	ÎäÆ÷	77			35		35							70																	450|70			24852			
2	ÎäÆ÷	78			40		40							80																	450|80			24853			
3	Êé¼®	1	10										10				10			5								2									
3	Êé¼®	2	20										20				20			10								4									
3	Êé¼®	3	30										30				30			15								6									
3	Êé¼®	4	40										40				40			20								8									
3	Êé¼®	5	50										50				50			25								10									
3	Êé¼®	6	60										60				60			30								12						24830			
3	Êé¼®	7	70										70				70			35								14						24831			
3	Êé¼®	8	80										80				80			40								16						24832			
3	Êé¼®	11		10	10					20				10																		-2	-2				
3	Êé¼®	12		20	20					40				20																		-4	-4				
3	Êé¼®	13		30	30					60				30																		-6	-6				
3	Êé¼®	14		40	40					80				40																		-8	-8				
3	Êé¼®	15		50	50					100				50																		-10	-10				
3	Êé¼®	16		60	60					120				60																		-12	-12	24833			
3	Êé¼®	17		70	70					140				70																		-14	-14	24834			
3	Êé¼®	18		80	80					160				80																		-16	-16	24835			
3	Êé¼®	21	5				10		5				2				2																				
3	Êé¼®	22	10				20		10				4				4																				
3	Êé¼®	23	15				30		15				6				6																				
3	Êé¼®	24	20				40		20				8				8																				
3	Êé¼®	25	25				50		25				10				10																				
3	Êé¼®	26	30				60		30				12				12																	24836			
3	Êé¼®	27	35				70		35				14				14																	24837			
3	Êé¼®	28	40				80		40				16				16																	24838			
3	Êé¼®	31	5										3		50		3																				
3	Êé¼®	32	10										6		100		6																				
3	Êé¼®	33	15										9		150		9																				
3	Êé¼®	34	20										12		200		12																				
3	Êé¼®	35	25										15		250		15																				
3	Êé¼®	36	30										18		300		18																	24839			
3	Êé¼®	37	35										21		350		21																	24840			
3	Êé¼®	38	40										24		400		24																	24841			
3	Êé¼®	41			5									5													10										
3	Êé¼®	42			10									10													20										
3	Êé¼®	43			15									15													30										
3	Êé¼®	44			20									20													40										
3	Êé¼®	45			25									25													50										
3	Êé¼®	46			30									30													60							24842			
3	Êé¼®	47			35									35													80							24843			
3	Êé¼®	48			40									40													100							24844			
3	Êé¼®	51	5										1				1				20								5								
3	Êé¼®	52	10										2				2				40								10								
3	Êé¼®	53	15										3				3				60								15								
3	Êé¼®	54	20										4				4				80								20								
3	Êé¼®	55	25										5				5				100								25								
3	Êé¼®	56	30										6				6				120								30					24845			
3	Êé¼®	57	35										7				7				140								35					24846			
3	Êé¼®	58	40										8				8				160								40					24847			
3	Êé¼®	61		5										10												5											
3	Êé¼®	62		10										20												10											
3	Êé¼®	63		15										30												15											
3	Êé¼®	64		20										40												20											
3	Êé¼®	65		25										50												25											
3	Êé¼®	66		30										60												30								24848			
3	Êé¼®	67		35										70												35								24849			
3	Êé¼®	68		40										80												40								24850			
3	Êé¼®	71			5		5							10																	450|10						
3	Êé¼®	72			10		10							20																	450|20						
3	Êé¼®	73			15		15							30																	450|30						
3	Êé¼®	74			20		20							40																	450|40						
3	Êé¼®	75			25		25							50																	450|50						
3	Êé¼®	76			30		30							60																	450|60			24851			
3	Êé¼®	77			35		35							70																	450|70			24852			
3	Êé¼®	78			40		40							80																	450|80			24853			
4	×øÆï	1	10										10				10			5								2									
4	×øÆï	2	20										20				20			10								4									
4	×øÆï	3	30										30				30			15								6									
4	×øÆï	4	40										40				40			20								8									
4	×øÆï	5	50										50				50			25								10									
4	×øÆï	6	60										60				60			30								12						24830			
4	×øÆï	7	70										70				70			35								14						24831			
4	×øÆï	8	80										80				80			40								16						24832			
4	×øÆï	11		10	10					20				10																		-2	-2				
4	×øÆï	12		20	20					40				20																		-4	-4				
4	×øÆï	13		30	30					60				30																		-6	-6				
4	×øÆï	14		40	40					80				40																		-8	-8				
4	×øÆï	15		50	50					100				50																		-10	-10				
4	×øÆï	16		60	60					120				60																		-12	-12	24833			
4	×øÆï	17		70	70					140				70																		-14	-14	24834			
4	×øÆï	18		80	80					160				80																		-16	-16	24835			
4	×øÆï	21	5				10		5				2				2																				
4	×øÆï	22	10				20		10				4				4																				
4	×øÆï	23	15				30		15				6				6																				
4	×øÆï	24	20				40		20				8				8																				
4	×øÆï	25	25				50		25				10				10																				
4	×øÆï	26	30				60		30				12				12																	24836			
4	×øÆï	27	35				70		35				14				14																	24837			
4	×øÆï	28	40				80		40				16				16																	24838			
4	×øÆï	31	5										3		50		3																				
4	×øÆï	32	10										6		100		6																				
4	×øÆï	33	15										9		150		9																				
4	×øÆï	34	20										12		200		12																				
4	×øÆï	35	25										15		250		15																				
4	×øÆï	36	30										18		300		18																	24839			
4	×øÆï	37	35										21		350		21																	24840			
4	×øÆï	38	40										24		400		24																	24841			
4	×øÆï	41			5									5													10										
4	×øÆï	42			10									10													20										
4	×øÆï	43			15									15													30										
4	×øÆï	44			20									20													40										
4	×øÆï	45			25									25													50										
4	×øÆï	46			30									30													60							24842			
4	×øÆï	47			35									35													80							24843			
4	×øÆï	48			40									40													100							24844			
4	×øÆï	51	5										1				1				20								5								
4	×øÆï	52	10										2				2				40								10								
4	×øÆï	53	15										3				3				60								15								
4	×øÆï	54	20										4				4				80								20								
4	×øÆï	55	25										5				5				100								25								
4	×øÆï	56	30										6				6				120								30					24845			
4	×øÆï	57	35										7				7				140								35					24846			
4	×øÆï	58	40										8				8				160								40					24847			
4	×øÆï	61		5										10												5											
4	×øÆï	62		10										20												10											
4	×øÆï	63		15										30												15											
4	×øÆï	64		20										40												20											
4	×øÆï	65		25										50												25											
4	×øÆï	66		30										60												30								24848			
4	×øÆï	67		35										70												35								24849			
4	×øÆï	68		40										80												40								24850			
4	×øÆï	71			5		5							10																	450|10						
4	×øÆï	72			10		10							20																	450|20						
4	×øÆï	73			15		15							30																	450|30						
4	×øÆï	74			20		20							40																	450|40						
4	×øÆï	75			25		25							50																	450|50						
4	×øÆï	76			30		30							60																	450|60			24851			
4	×øÆï	77			35		35							70																	450|70			24852			
4	×øÆï	78			40		40							80																	450|80			24853			
