superequipid	名字	图片	等级	经验	注灵点	兵法	阵法	洞察	abstractid
4	诸葛连弩	UI_ShenQi_liannu.img	1	0	1	1	1	1	50300
4	诸葛连弩	UI_ShenQi_liannu.img	2	100	1	2	2	2	50301
4	诸葛连弩	UI_ShenQi_liannu.img	3	600	1	3	3	3	50302
4	诸葛连弩	UI_ShenQi_liannu.img	4	1600	1	4	4	4	50303
4	诸葛连弩	UI_ShenQi_liannu.img	5	3600	1	5	5	5	50304
4	诸葛连弩	UI_ShenQi_liannu.img	6	8600	1	6	6	6	50305
4	诸葛连弩	UI_ShenQi_liannu.img	7	14600	1	7	7	7	50306
4	诸葛连弩	UI_ShenQi_liannu.img	8	21600	1	8	8	8	50307
4	诸葛连弩	UI_ShenQi_liannu.img	9	29600	1	9	9	9	50308
4	诸葛连弩	UI_ShenQi_liannu.img	10	38600	1	10	10	10	50309
4	诸葛连弩	UI_ShenQi_liannu.img	11	48600	2	11	11	11	50310
4	诸葛连弩	UI_ShenQi_liannu.img	12	59600	2	12	12	12	50311
4	诸葛连弩	UI_ShenQi_liannu.img	13	71600	2	13	13	13	50312
4	诸葛连弩	UI_ShenQi_liannu.img	14	84600	2	14	14	14	50313
4	诸葛连弩	UI_ShenQi_liannu.img	15	98600	2	15	15	15	50314
4	诸葛连弩	UI_ShenQi_liannu.img	16	113600	2	16	16	16	50315
4	诸葛连弩	UI_ShenQi_liannu.img	17	129600	2	17	17	17	50316
4	诸葛连弩	UI_ShenQi_liannu.img	18	146600	2	18	18	18	50317
4	诸葛连弩	UI_ShenQi_liannu.img	19	164600	2	19	19	19	50318
4	诸葛连弩	UI_ShenQi_liannu.img	20	183600	2	20	20	20	50319
4	诸葛连弩	UI_ShenQi_liannu.img	21	203600	3	21	21	21	50320
4	诸葛连弩	UI_ShenQi_liannu.img	22	228600	3	22	22	22	50321
4	诸葛连弩	UI_ShenQi_liannu.img	23	258600	3	23	23	23	50322
4	诸葛连弩	UI_ShenQi_liannu.img	24	293600	3	24	24	24	50323
4	诸葛连弩	UI_ShenQi_liannu.img	25	333600	3	25	25	25	50324
4	诸葛连弩	UI_ShenQi_liannu.img	26	383600	3	26	26	26	50325
4	诸葛连弩	UI_ShenQi_liannu.img	27	443600	3	27	27	27	50326
4	诸葛连弩	UI_ShenQi_liannu.img	28	513600	3	28	28	28	50327
4	诸葛连弩	UI_ShenQi_liannu.img	29	593600	3	29	29	29	50328
4	诸葛连弩	UI_ShenQi_liannu.img	30	683600	3	30	30	30	50329
4	诸葛连弩	UI_ShenQi_liannu.img	31	803600	5	31	31	31	50330
4	诸葛连弩	UI_ShenQi_liannu.img	32	943600	5	32	32	32	50331
4	诸葛连弩	UI_ShenQi_liannu.img	33	1103600	5	33	33	33	50332
4	诸葛连弩	UI_ShenQi_liannu.img	34	1283600	5	34	34	34	50333
4	诸葛连弩	UI_ShenQi_liannu.img	35	1483600	5	35	35	35	50334
4	诸葛连弩	UI_ShenQi_liannu.img	36	1703600	5	36	36	36	50335
4	诸葛连弩	UI_ShenQi_liannu.img	37	1963600	5	37	37	37	50336
4	诸葛连弩	UI_ShenQi_liannu.img	38	2283600	5	38	38	38	50337
4	诸葛连弩	UI_ShenQi_liannu.img	39	2683600	5	39	39	39	50338
4	诸葛连弩	UI_ShenQi_liannu.img	40	3203600	5	40	40	40	50339
5	冷艳锯	UI_ShenQi_guandao.img	1	0	1	1	1	1	50400
5	冷艳锯	UI_ShenQi_guandao.img	2	100	1	2	2	2	50401
5	冷艳锯	UI_ShenQi_guandao.img	3	600	1	3	3	3	50402
5	冷艳锯	UI_ShenQi_guandao.img	4	1600	1	4	4	4	50403
5	冷艳锯	UI_ShenQi_guandao.img	5	3600	1	5	5	5	50404
5	冷艳锯	UI_ShenQi_guandao.img	6	8600	1	6	6	6	50405
5	冷艳锯	UI_ShenQi_guandao.img	7	14600	1	7	7	7	50406
5	冷艳锯	UI_ShenQi_guandao.img	8	21600	1	8	8	8	50407
5	冷艳锯	UI_ShenQi_guandao.img	9	29600	1	9	9	9	50408
5	冷艳锯	UI_ShenQi_guandao.img	10	38600	1	10	10	10	50409
5	冷艳锯	UI_ShenQi_guandao.img	11	48600	2	11	11	11	50410
5	冷艳锯	UI_ShenQi_guandao.img	12	59600	2	12	12	12	50411
5	冷艳锯	UI_ShenQi_guandao.img	13	71600	2	13	13	13	50412
5	冷艳锯	UI_ShenQi_guandao.img	14	84600	2	14	14	14	50413
5	冷艳锯	UI_ShenQi_guandao.img	15	98600	2	15	15	15	50414
5	冷艳锯	UI_ShenQi_guandao.img	16	113600	2	16	16	16	50415
5	冷艳锯	UI_ShenQi_guandao.img	17	129600	2	17	17	17	50416
5	冷艳锯	UI_ShenQi_guandao.img	18	146600	2	18	18	18	50417
5	冷艳锯	UI_ShenQi_guandao.img	19	164600	2	19	19	19	50418
5	冷艳锯	UI_ShenQi_guandao.img	20	183600	2	20	20	20	50419
5	冷艳锯	UI_ShenQi_guandao.img	21	203600	3	21	21	21	50420
5	冷艳锯	UI_ShenQi_guandao.img	22	228600	3	22	22	22	50421
5	冷艳锯	UI_ShenQi_guandao.img	23	258600	3	23	23	23	50422
5	冷艳锯	UI_ShenQi_guandao.img	24	293600	3	24	24	24	50423
5	冷艳锯	UI_ShenQi_guandao.img	25	333600	3	25	25	25	50424
5	冷艳锯	UI_ShenQi_guandao.img	26	383600	3	26	26	26	50425
5	冷艳锯	UI_ShenQi_guandao.img	27	443600	3	27	27	27	50426
5	冷艳锯	UI_ShenQi_guandao.img	28	513600	3	28	28	28	50427
5	冷艳锯	UI_ShenQi_guandao.img	29	593600	3	29	29	29	50428
5	冷艳锯	UI_ShenQi_guandao.img	30	683600	3	30	30	30	50429
5	冷艳锯	UI_ShenQi_guandao.img	31	803600	5	31	31	31	50430
5	冷艳锯	UI_ShenQi_guandao.img	32	943600	5	32	32	32	50431
5	冷艳锯	UI_ShenQi_guandao.img	33	1103600	5	33	33	33	50432
5	冷艳锯	UI_ShenQi_guandao.img	34	1283600	5	34	34	34	50433
5	冷艳锯	UI_ShenQi_guandao.img	35	1483600	5	35	35	35	50434
5	冷艳锯	UI_ShenQi_guandao.img	36	1703600	5	36	36	36	50435
5	冷艳锯	UI_ShenQi_guandao.img	37	1963600	5	37	37	37	50436
5	冷艳锯	UI_ShenQi_guandao.img	38	2283600	5	38	38	38	50437
5	冷艳锯	UI_ShenQi_guandao.img	39	2683600	5	39	39	39	50438
5	冷艳锯	UI_ShenQi_guandao.img	40	3203600	5	40	40	40	50439
6	方天画戟	UI_ShenQi_huaji.img	1	0	1	1	1	1	50500
6	方天画戟	UI_ShenQi_huaji.img	2	100	1	2	2	2	50501
6	方天画戟	UI_ShenQi_huaji.img	3	600	1	3	3	3	50502
6	方天画戟	UI_ShenQi_huaji.img	4	1600	1	4	4	4	50503
6	方天画戟	UI_ShenQi_huaji.img	5	3600	1	5	5	5	50504
6	方天画戟	UI_ShenQi_huaji.img	6	8600	1	6	6	6	50505
6	方天画戟	UI_ShenQi_huaji.img	7	14600	1	7	7	7	50506
6	方天画戟	UI_ShenQi_huaji.img	8	21600	1	8	8	8	50507
6	方天画戟	UI_ShenQi_huaji.img	9	29600	1	9	9	9	50508
6	方天画戟	UI_ShenQi_huaji.img	10	38600	1	10	10	10	50509
6	方天画戟	UI_ShenQi_huaji.img	11	48600	2	11	11	11	50510
6	方天画戟	UI_ShenQi_huaji.img	12	59600	2	12	12	12	50511
6	方天画戟	UI_ShenQi_huaji.img	13	71600	2	13	13	13	50512
6	方天画戟	UI_ShenQi_huaji.img	14	84600	2	14	14	14	50513
6	方天画戟	UI_ShenQi_huaji.img	15	98600	2	15	15	15	50514
6	方天画戟	UI_ShenQi_huaji.img	16	113600	2	16	16	16	50515
6	方天画戟	UI_ShenQi_huaji.img	17	129600	2	17	17	17	50516
6	方天画戟	UI_ShenQi_huaji.img	18	146600	2	18	18	18	50517
6	方天画戟	UI_ShenQi_huaji.img	19	164600	2	19	19	19	50518
6	方天画戟	UI_ShenQi_huaji.img	20	183600	2	20	20	20	50519
6	方天画戟	UI_ShenQi_huaji.img	21	203600	3	21	21	21	50520
6	方天画戟	UI_ShenQi_huaji.img	22	228600	3	22	22	22	50521
6	方天画戟	UI_ShenQi_huaji.img	23	258600	3	23	23	23	50522
6	方天画戟	UI_ShenQi_huaji.img	24	293600	3	24	24	24	50523
6	方天画戟	UI_ShenQi_huaji.img	25	333600	3	25	25	25	50524
6	方天画戟	UI_ShenQi_huaji.img	26	383600	3	26	26	26	50525
6	方天画戟	UI_ShenQi_huaji.img	27	443600	3	27	27	27	50526
6	方天画戟	UI_ShenQi_huaji.img	28	513600	3	28	28	28	50527
6	方天画戟	UI_ShenQi_huaji.img	29	593600	3	29	29	29	50528
6	方天画戟	UI_ShenQi_huaji.img	30	683600	3	30	30	30	50529
6	方天画戟	UI_ShenQi_huaji.img	31	803600	5	31	31	31	50530
6	方天画戟	UI_ShenQi_huaji.img	32	943600	5	32	32	32	50531
6	方天画戟	UI_ShenQi_huaji.img	33	1103600	5	33	33	33	50532
6	方天画戟	UI_ShenQi_huaji.img	34	1283600	5	34	34	34	50533
6	方天画戟	UI_ShenQi_huaji.img	35	1483600	5	35	35	35	50534
6	方天画戟	UI_ShenQi_huaji.img	36	1703600	5	36	36	36	50535
6	方天画戟	UI_ShenQi_huaji.img	37	1963600	5	37	37	37	50536
6	方天画戟	UI_ShenQi_huaji.img	38	2283600	5	38	38	38	50537
6	方天画戟	UI_ShenQi_huaji.img	39	2683600	5	39	39	39	50538
6	方天画戟	UI_ShenQi_huaji.img	40	3203600	5	40	40	40	50539
7	诸葛羽扇	UI_ShenQi_yushan.img	1	0	1	1	1	1	50600
7	诸葛羽扇	UI_ShenQi_yushan.img	2	100	1	2	2	2	50601
7	诸葛羽扇	UI_ShenQi_yushan.img	3	600	1	3	3	3	50602
7	诸葛羽扇	UI_ShenQi_yushan.img	4	1600	1	4	4	4	50603
7	诸葛羽扇	UI_ShenQi_yushan.img	5	3600	1	5	5	5	50604
7	诸葛羽扇	UI_ShenQi_yushan.img	6	8600	1	6	6	6	50605
7	诸葛羽扇	UI_ShenQi_yushan.img	7	14600	1	7	7	7	50606
7	诸葛羽扇	UI_ShenQi_yushan.img	8	21600	1	8	8	8	50607
7	诸葛羽扇	UI_ShenQi_yushan.img	9	29600	1	9	9	9	50608
7	诸葛羽扇	UI_ShenQi_yushan.img	10	38600	1	10	10	10	50609
7	诸葛羽扇	UI_ShenQi_yushan.img	11	48600	2	11	11	11	50610
7	诸葛羽扇	UI_ShenQi_yushan.img	12	59600	2	12	12	12	50611
7	诸葛羽扇	UI_ShenQi_yushan.img	13	71600	2	13	13	13	50612
7	诸葛羽扇	UI_ShenQi_yushan.img	14	84600	2	14	14	14	50613
7	诸葛羽扇	UI_ShenQi_yushan.img	15	98600	2	15	15	15	50614
7	诸葛羽扇	UI_ShenQi_yushan.img	16	113600	2	16	16	16	50615
7	诸葛羽扇	UI_ShenQi_yushan.img	17	129600	2	17	17	17	50616
7	诸葛羽扇	UI_ShenQi_yushan.img	18	146600	2	18	18	18	50617
7	诸葛羽扇	UI_ShenQi_yushan.img	19	164600	2	19	19	19	50618
7	诸葛羽扇	UI_ShenQi_yushan.img	20	183600	2	20	20	20	50619
7	诸葛羽扇	UI_ShenQi_yushan.img	21	203600	3	21	21	21	50620
7	诸葛羽扇	UI_ShenQi_yushan.img	22	228600	3	22	22	22	50621
7	诸葛羽扇	UI_ShenQi_yushan.img	23	258600	3	23	23	23	50622
7	诸葛羽扇	UI_ShenQi_yushan.img	24	293600	3	24	24	24	50623
7	诸葛羽扇	UI_ShenQi_yushan.img	25	333600	3	25	25	25	50624
7	诸葛羽扇	UI_ShenQi_yushan.img	26	383600	3	26	26	26	50625
7	诸葛羽扇	UI_ShenQi_yushan.img	27	443600	3	27	27	27	50626
7	诸葛羽扇	UI_ShenQi_yushan.img	28	513600	3	28	28	28	50627
7	诸葛羽扇	UI_ShenQi_yushan.img	29	593600	3	29	29	29	50628
7	诸葛羽扇	UI_ShenQi_yushan.img	30	683600	3	30	30	30	50629
7	诸葛羽扇	UI_ShenQi_yushan.img	31	803600	5	31	31	31	50630
7	诸葛羽扇	UI_ShenQi_yushan.img	32	943600	5	32	32	32	50631
7	诸葛羽扇	UI_ShenQi_yushan.img	33	1103600	5	33	33	33	50632
7	诸葛羽扇	UI_ShenQi_yushan.img	34	1283600	5	34	34	34	50633
7	诸葛羽扇	UI_ShenQi_yushan.img	35	1483600	5	35	35	35	50634
7	诸葛羽扇	UI_ShenQi_yushan.img	36	1703600	5	36	36	36	50635
7	诸葛羽扇	UI_ShenQi_yushan.img	37	1963600	5	37	37	37	50636
7	诸葛羽扇	UI_ShenQi_yushan.img	38	2283600	5	38	38	38	50637
7	诸葛羽扇	UI_ShenQi_yushan.img	39	2683600	5	39	39	39	50638
7	诸葛羽扇	UI_ShenQi_yushan.img	40	3203600	5	40	40	40	50639
8	天书三卷	UI_ShenQi_tianshu.img	1	0	1	1	1	1	50700
8	天书三卷	UI_ShenQi_tianshu.img	2	100	1	2	2	2	50701
8	天书三卷	UI_ShenQi_tianshu.img	3	600	1	3	3	3	50702
8	天书三卷	UI_ShenQi_tianshu.img	4	1600	1	4	4	4	50703
8	天书三卷	UI_ShenQi_tianshu.img	5	3600	1	5	5	5	50704
8	天书三卷	UI_ShenQi_tianshu.img	6	8600	1	6	6	6	50705
8	天书三卷	UI_ShenQi_tianshu.img	7	14600	1	7	7	7	50706
8	天书三卷	UI_ShenQi_tianshu.img	8	21600	1	8	8	8	50707
8	天书三卷	UI_ShenQi_tianshu.img	9	29600	1	9	9	9	50708
8	天书三卷	UI_ShenQi_tianshu.img	10	38600	1	10	10	10	50709
8	天书三卷	UI_ShenQi_tianshu.img	11	48600	2	11	11	11	50710
8	天书三卷	UI_ShenQi_tianshu.img	12	59600	2	12	12	12	50711
8	天书三卷	UI_ShenQi_tianshu.img	13	71600	2	13	13	13	50712
8	天书三卷	UI_ShenQi_tianshu.img	14	84600	2	14	14	14	50713
8	天书三卷	UI_ShenQi_tianshu.img	15	98600	2	15	15	15	50714
8	天书三卷	UI_ShenQi_tianshu.img	16	113600	2	16	16	16	50715
8	天书三卷	UI_ShenQi_tianshu.img	17	129600	2	17	17	17	50716
8	天书三卷	UI_ShenQi_tianshu.img	18	146600	2	18	18	18	50717
8	天书三卷	UI_ShenQi_tianshu.img	19	164600	2	19	19	19	50718
8	天书三卷	UI_ShenQi_tianshu.img	20	183600	2	20	20	20	50719
8	天书三卷	UI_ShenQi_tianshu.img	21	203600	3	21	21	21	50720
8	天书三卷	UI_ShenQi_tianshu.img	22	228600	3	22	22	22	50721
8	天书三卷	UI_ShenQi_tianshu.img	23	258600	3	23	23	23	50722
8	天书三卷	UI_ShenQi_tianshu.img	24	293600	3	24	24	24	50723
8	天书三卷	UI_ShenQi_tianshu.img	25	333600	3	25	25	25	50724
8	天书三卷	UI_ShenQi_tianshu.img	26	383600	3	26	26	26	50725
8	天书三卷	UI_ShenQi_tianshu.img	27	443600	3	27	27	27	50726
8	天书三卷	UI_ShenQi_tianshu.img	28	513600	3	28	28	28	50727
8	天书三卷	UI_ShenQi_tianshu.img	29	593600	3	29	29	29	50728
8	天书三卷	UI_ShenQi_tianshu.img	30	683600	3	30	30	30	50729
8	天书三卷	UI_ShenQi_tianshu.img	31	803600	5	31	31	31	50730
8	天书三卷	UI_ShenQi_tianshu.img	32	943600	5	32	32	32	50731
8	天书三卷	UI_ShenQi_tianshu.img	33	1103600	5	33	33	33	50732
8	天书三卷	UI_ShenQi_tianshu.img	34	1283600	5	34	34	34	50733
8	天书三卷	UI_ShenQi_tianshu.img	35	1483600	5	35	35	35	50734
8	天书三卷	UI_ShenQi_tianshu.img	36	1703600	5	36	36	36	50735
8	天书三卷	UI_ShenQi_tianshu.img	37	1963600	5	37	37	37	50736
8	天书三卷	UI_ShenQi_tianshu.img	38	2283600	5	38	38	38	50737
8	天书三卷	UI_ShenQi_tianshu.img	39	2683600	5	39	39	39	50738
8	天书三卷	UI_ShenQi_tianshu.img	40	3203600	5	40	40	40	50739
