id	主题	taskid	主题简	fubenid	奖励1	奖励2	RoleMsg	PlayerMsg	TAB_VERSION
3	支线任务	604	<支线>						
3	支线任务	605	<支线>						
3	支线任务	610	<支线>						
3	支线任务	611	<支线>						
3	支线任务	612	<支线>						
3	支线任务	613	<支线>						
3	支线任务	614	<支线>						
3	支线任务	615	<支线>						
3	支线任务	620	<支线>						
3	支线任务	621	<支线>						
4	日常任务	22007	<日常>		26|0|0|10000				
4	日常任务	22008	<日常>		26|0|0|20000				
4	日常任务	22009	<日常>		26|0|0|35000				
4	日常任务	22010	<日常>		26|0|0|13000				
4	日常任务	22011	<日常>		26|0|0|30000				
4	日常任务	22012	<日常>		26|0|0|48000				
4	日常任务	22013	<日常>		26|0|0|15000				
4	日常任务	22014	<日常>		26|0|0|31000				
4	日常任务	22015	<日常>		26|0|0|50000				
4	日常任务	22016	<日常>		26|0|0|20000				
4	日常任务	22017	<日常>		26|0|0|40000				
4	日常任务	22018	<日常>		26|0|0|60000				
4	日常任务	22019	<日常>		26|0|0|22000				
4	日常任务	22020	<日常>		26|0|0|45000				
4	日常任务	22021	<日常>		26|0|0|73000				
4	日常任务	22022	<日常>		26|0|0|30000				
4	日常任务	22023	<日常>		26|0|0|50000				
4	日常任务	22024	<日常>		26|0|0|82000				
4	日常任务	22025	<日常>		26|0|0|35000				
4	日常任务	22026	<日常>		26|0|0|55000				
4	日常任务	22027	<日常>		26|0|0|90000				
4	日常任务	22028	<日常>		26|0|0|40000				
4	日常任务	22029	<日常>		26|0|0|60000				
4	日常任务	22030	<日常>		26|0|0|100000				
4	日常任务	22031	<日常>		26|0|0|45000				
4	日常任务	22032	<日常>		26|0|0|66000				
4	日常任务	22033	<日常>		26|0|0|110000				
4	日常任务	22034	<日常>		26|0|0|50000				
4	日常任务	22035	<日常>		26|0|0|70000				
4	日常任务	22036	<日常>		26|0|0|120000				
4	日常任务	22037	<日常>		26|0|0|55000				
4	日常任务	22038	<日常>		26|0|0|75000				
4	日常任务	22039	<日常>		26|0|0|130000				
4	日常任务	22040	<日常>		26|0|0|60000				
4	日常任务	22041	<日常>		26|0|0|80000				
4	日常任务	22042	<日常>		26|0|0|140000				
4	日常任务	22043	<日常>		26|0|0|65000				
4	日常任务	22044	<日常>		26|0|0|85000				
4	日常任务	22045	<日常>		26|0|0|150000				
4	日常任务	22046	<日常>		26|0|0|70000				
4	日常任务	22047	<日常>		26|0|0|90000				
4	日常任务	22048	<日常>		26|0|0|160000				
4	日常任务	22049	<日常>		26|0|0|75000				
4	日常任务	22050	<日常>		26|0|0|95000				
4	日常任务	22051	<日常>		26|0|0|170000				
4	日常任务	22052	<日常>		26|0|0|80000				
4	日常任务	22053	<日常>		26|0|0|100000				
4	日常任务	22054	<日常>		26|0|0|180000				
4	日常任务	22055	<日常>		26|0|0|85000				
4	日常任务	22056	<日常>		26|0|0|105000				
4	日常任务	22057	<日常>		26|0|0|190000				
4	日常任务	22058	<日常>		26|0|0|90000				
4	日常任务	22059	<日常>		26|0|0|110000				
4	日常任务	22060	<日常>		26|0|0|200000				
5	特殊任务	9008	<特殊>		26|0|0|100000				
6	触发任务	10000	<触发>						
6	触发任务	10001	<触发>						
6	触发任务	10002	<触发>						
6	触发任务	10003	<触发>						
6	触发任务	10004	<触发>						
6	触发任务	10005	<触发>						
7	特殊任务		<特殊>						
7	特殊任务	9009	<特殊>		10|7581|0|1		20185|0|0		
4	日常任务	9010	<日常>		38|0|0|1500				
8	奇遇任务 	23000	<奇遇>		31|43200|0|20				
8	奇遇任务 	23001	<奇遇>		32|43200|0|20				
8	奇遇任务 	23002	<奇遇>		33|43200|0|20				
8	奇遇任务 	23003	<奇遇>		34|43200|0|20				
8	奇遇任务 	23004	<奇遇>		35|43200|0|20				
