id	人物名称	内容对白	脚本对白	图片名称	talkid	对话类型
	Player	联军一路追杀董卓，我也得加快行军步伐和大家汇合，只是此地未曾来过…				
100	斥候	主公，前方有一路人马疑似西凉军余部！		UI_Juqing_T_Chuanlingbing.img	100	1
	Player	赶上去正好问个究竟！				
102	萌萌		task/dialogue/Dxumu12.cfg	UI_Juqing_T_XiaoChi.img	100	
103		朝地图左方移动！			101	0
104	Player	董卓现在何处？			102	2
105	西凉军	……		UI_Juqing_T_Tufei.img	102	1
112	萌萌		task/dialogue/Dxumu14.cfg	UI_Juqing_T_XiaoChi.img	102	
106	西凉军	郭汜大人会替我们报仇的…		UI_Juqing_T_Tufei.img	103	1
107		往地图上方过桥继续追击郭汜军！			104	0
108	郭汜	哈哈，我家主公不在此地，今天就让我们在这里做个了断吧！		UI_Juqing_T_Chenlan.img	105	1
109	Player	哼！			105	2
110	郭汜	看来胜负已分，此乃天意…		UI_Juqing_T_Chenlan.img	106	1
111	Player	此处地势陡峭，看来董卓未必会走此路，我们从左边继续追击吧！			106	2
200	Player	总有种不祥的预感……			200	2
201		朝地图左方界桥移动！			201	0
202	李傕	我乃西凉大将李傕！想过桥？问过俺没？		UI_Juqing_T_Jiling.img	202	1
203	Player	废话少说！			202	2
204	李傕	让汝等过桥又何妨~（阴笑）		UI_Juqing_T_Jiling.img	203	1
205		通过界桥继续追击董卓！			204	0
207	Player	董贼今天你的死期到了！			205	2
208	伪董卓	给我一起上！		UI_Juqing_T_Dongzhuo.img	205	1
209	伪董卓	呵呵，太师早已退至长安，尔等别在白费心机了。		UI_Juqing_T_Dongzhuo.img	206	1
210	Player	可恶！			206	2
211	斥候	主公，前方似乎有座城池，待我前去打探一下虚实。		UI_Juqing_T_Chuanlingbing.img	206	1
212	Player	嗯，事到如今只好如此了…			206	2
213	萌萌		task/dialogue/Dxumu12.cfg	UI_Juqing_T_XiaoChi.img	200	
50000	董卓	"你们中埋伏了,那只是我的一个替身"		UI_Juqing_T_Dongzhuo.img	50000	1
50001	荀彧	"后路敌军势大,我们走北面的桥撤退"		UI_Juqing_T_Xunyu.img	50001	1
50002	荀彧	"我军已经人困马乏,前方有个小村庄,可以稍作休息"		UI_Juqing_T_Xunyu.img	50002	1
51000	卫兵	敌军狙击部队在城南城东出现		UI_Juqing_T_Chuanlingbing.img	51000	1
51001	高干	"请将军出南门,引开敌军,我出城东沿小路走"		UI_Juqing_T_Gaogan.img	51000	1
51002		消灭敌军			51001	0
51003	严纲	想从西桥走?随我去拿下他!		UI_Juqing_T_Yangang.img	51002	1
51004		严纲部队向我军移动			51003	0
51005	高干	"敌军都被引开了,我们出发!"		UI_Juqing_T_Gaogan.img	51004	1
51006		高干部向城东移动			51005	0
51007	公孙瓒	"都攻到这里来了?白马义从,突击!"		UI_Juqing_T_Gongsunzan.img	51006	1
51008	赵云	"赵云在此,休走!"		UI_Juqing_T_Zhaoyun.img	51006	1
51009		赵云部向我军移动			51007	0
51010		高干部继续前进.			51008	0
51011	高干	"看来敌军都被引走了,我们继续前进"		UI_Juqing_T_Gaogan.img	51009	1
51012	高干	"已经顺利达到目的地,多谢将军"		UI_Juqing_T_Gaogan.img	51010	1
51013	高干	居然是赵云...快撤退!!		UI_Juqing_T_Gaogan.img	51011	1
51014	高干	"敌军太多了,我们先撤."		UI_Juqing_T_Gaogan.img	51012	1
52000	袁绍	"韩馥已经归降,但麾下大将鞠义孤身对抗公孙军,被抓往河间.请将军将他救出."		UI_Juqing_T_Yuanshao.img	52000	1
52001	张郃	"当日在韩馥麾下,我与鞠义乃是好友,愿助将军一臂之力."		UI_Juqing_T_Zhanghe.img	52000	1
52002	单经	"袁绍没有亲自来吗?真是可惜.包围起来,一个不留!"		UI_Juqing_T_Shanjing.img	52001	1
52003	赵云	"这2人为了朋友不惜舍身涉险,公孙大人却为了杀袁绍而牺牲自己的弟弟.罢了,这仗打完,我自投明主去吧."		UI_Juqing_T_Zhaoyun.img	52001	1
52004	传令兵	友军死亡，游戏失败！		UI_Juqing_T_Chuanlingbing.img	52002	1
53000	高干	"邺城就在前方,不过似乎韩馥手下有不少人对我主有误解.烦请将军打通前往邺城的道路."		UI_Juqing_T_Gaogan.img	53000	1
53001		耿武部出现			53001	0
53002		闵纯部出现			53001	0
53003		沮授部出现			53001	0
53004	传令兵	发现公孙瓒使者达到邺城附近.		UI_Juqing_T_Chuanlingbing.img	53002	1
53005	高干	一定要抢在他们前面进入邺城!		UI_Juqing_T_Gaogan.img	53002	1
53006		公孙范部出现!			53003	0
53007		赶在公孙范之前进入邺城!			53003	0
53008	鞠义	袁公才是河北之主.		UI_Juqing_T_Quyi.img	53004	1
53009		鞠义部出现!			53005	0
53010		鞠义开始和公孙范交战!			53005	0
53011	传令兵	敌方已经攻占政厅位置，游戏失败！		UI_Juqing_T_Chuanlingbing.img	53006	1
54000	萌萌	"张曼成伙同一群贼寇占据了这片山林,强占了原本属于官府的矿场和木场.消灭他们,就可以恢复生产."		UI_Juqing_T_XiaoChi.img	54000	1
54001		击退张曼成.			54001	0
54002	萌萌	"水井可以恢复兵力,靠近水井,左键点击即可."		UI_Juqing_T_XiaoChi.img	54002	1
55000	斥候	禀告将军，前方匈奴百人围困了马邑城门，既然董卓不在此处，我们先击退他们从长计议吧！		UI_Juqing_T_Chuanlingbing.img	55000	1
55006	萌萌		task/dialogue/Dxumu13.cfg	UI_Juqing_T_XiaoChi.img	55000	
55001		击败去卑			55001	0
55002	去卑	我家单于即将南侵，一定会给我报仇的！		UI_Juqing_T_Qubei.img	55002	1
55003	斥候	匈奴南下，第一战一定在上郡！大人怎么办？		UI_Juqing_T_Chuanlingbing.img	55002	2
55004	Player	快去上党给并州刺史丁原报讯！			55002	1
55005	斥候	主公，前方有水井！使用之后可以回复我军兵力！		UI_Juqing_T_Chuanlingbing.img	55003	1
56000	斥候	将军，前面就是上党了！我们赶快去向并州刺史丁原大人求援吧！		UI_Juqing_T_Chuanlingbing.img	56000	1
56013	萌萌		task/dialogue/Dxumu16.cfg	UI_Juqing_T_XiaoChi.img	56000	
56001		前往上党求援！			56001	0
56002	山贼	此路是我开，此树是我栽！		UI_Juqing_T_Shanzei.img	56002	1
56003	土匪	要想过此路，留下买路财！		UI_Juqing_T_Tufei.img	56002	1
56012	Player	谁敢拦我！（士气满！）			56002	2
56004	Player	这位大人，我等求见丁原大人！			56003	1
56005	丁芳	少说废话，丁原大人又岂是你等说见就见的？		UI_Juqing_T_Dingfang.img	56003	2
56006	Player	匈奴即将南下，情况危急！如此只好得罪了！			56003	2
56007	丁芳	呦呵？还敢强闯？左右与我拿下了！		UI_Juqing_T_Dingfang.img	56003	1
56008		击败丁芳！			56004	0
56009	丁芳	哎呦呦，疼死我了，好汉手下留情，手下留情！		UI_Juqing_T_Dingfang.img	56005	1
56010	丁芳	实不相瞒，刺史去了洛阳，并州不剩下多少兵力了T_T		UI_Juqing_T_Dingfang.img	56005	2
56011	Player	这可如何是好？根本不能阻止匈奴南侵啊！不行，我要去上郡看看！			56005	2
57000	Player	前方就是晋阳了，大伙加把劲！			57000	2
57015	萌萌		task/dialogue/Dxumu18.cfg	UI_Juqing_T_XiaoChi.img	57000	
57001		护送百姓前往晋阳			57001	0
57002	山贼	站住！你们踩脏了我的山！快赔钱！		UI_Juqing_T_Shanzei.img	57002	1
57003	Player	无耻山贼，速速受死！			57002	2
57004	山贼	点子扎手，风紧扯呼！		UI_Juqing_T_Shanzei.img	57003	1
57005	Player	哼！这次先饶过你们！			57003	2
57006	王宏	站住！你们是干什么的？		UI_Juqing_T_Wanghong.img	57004	1
57007	Player	匈奴即将南下，我等带领百姓迁移到此！			57004	2
57008	王宏	不行！谁知道你们之中有没有匈奴的奸细！		UI_Juqing_T_Wanghong.img	57004	1
57009	Player	如此只好得罪了！			57004	2
57010	Player	乡亲们，入城吧，入城就安全了！			57005	2
57011	斥候	百姓们终于安全了！		UI_Juqing_T_Chuanlingbing.img	57006	1
57012	Player	晋阳太守爱民如子，定然不会将百姓赶走。			57006	2
57013	Player	只是我们得罪了城门将王宏，还是快走吧！			57006	2
57014	传令兵	百姓全部死亡，游戏失败！		UI_Juqing_T_Chuanlingbing.img	57007	1
58000	斥候	将军，那只无名军队又来了！请将军出兵击退他们吧！		UI_Juqing_T_Chuanlingbing.img	58000	1
58001	Player	犯我城池者死！			58001	1
58002	斥候	将军，我们也使用技能！按Q、W、E键可以使用相应的技能！		UI_Juqing_T_Chuanlingbing.img	58002	1
58003	Player	犯我城池者死！！！			58003	1
59000	斥候	终于说服了上郡的百姓，现在他们都决定跟随主公逃离！请将军这就护送他们前往晋阳吧！		UI_Juqing_T_Chuanlingbing.img	59000	1
59013	萌萌		task/dialogue/Dxumu15.cfg	UI_Juqing_T_XiaoChi.img	59000	
59001		护送百姓前往晋阳			59001	0
59002	卫兵	发现一队汉人！快拦住他们！		UI_Juqing_T_Xiongnuzabing.img	59002	1
59003	Player	大家走了这么远，先休息一下吧！			59003	2
59004	斥候	大人，有匈奴兵赶过来了！		UI_Juqing_T_Chuanlingbing.img	59003	1
59005	Player	不好！一定是刚才逃走的匈奴兵通风报讯！我去拦住他们！			59003	2
59006	于夫罗	就是你击退了我的部下？速速投降，饶你不死！		UI_Juqing_T_Yufuluo.img	59004	1
59007	Player	投降？哼，先问问我手中的兵刃吧！			59004	2
59008	于夫罗	痛煞我也！！这次出来匆忙，带的都是普通士兵！		UI_Juqing_T_Yufuluo.img	59005	1
59009	于夫罗	等我带王帐精锐回来，定将你五马分尸！		UI_Juqing_T_Yufuluo.img	59005	1
59010	Player	快走，朝晋阳出发！			59005	2
59011		击败于夫罗！			59006	0
59012	传令兵	百姓全部死亡，游戏失败！		UI_Juqing_T_Chuanlingbing.img	59007	1
60000	斥候	启禀将军！敌军就在城外，正在攻击城门，请将军速速出兵！！		UI_Juqing_T_Chuanlingbing.img	60000	1
60001		击退敌军！			60001	0
60002	无名校尉	无名小辈，竟敢杀我攻城部队？		UI_Juqing_T_Tufei.img	60002	1
60003	斥候	敌军退了！		UI_Juqing_T_Chuanlingbing.img	60003	1
61000	Player	太守，黄巾围困北海，坐守孤城不是办法啊！			61000	2
61001	孔融	刘备在黄巾贼中素有威望，定然可解此围。		UI_Juqing_T_Kongrong.img	61000	1
61002	孔融	闻太史慈与其有旧，请你去请他说服刘备吧！		UI_Juqing_T_Kongrong.img	61000	1
61003		欲往东莱，还是先出城吧！			61001	0
61004	管巳	城里的狗官兵又出来送死了！孩儿们上！		UI_Juqing_T_Shanzei.img	61002	1
61005	Player	黄巾贼首，速来我刀下受死！			61002	2
61006	管巳	狗官军等着，父亲会为我报仇的！		UI_Juqing_T_Shanzei.img	61003	1
61007	Player	城南黄巾势大，还是从北面小道走吧！			61003	2
61008	管亥	狗官军！就是你杀了我的爱子？		UI_Juqing_T_Guanhai.img	61004	1
61009	Player	黄巾贼子，犯我州郡，死有余辜！			61004	2
61010	管亥	哇呀呀呀，我要替我儿报仇！		UI_Juqing_T_Guanhai.img	61004	1
61011	管亥	你给我等着！今日之仇，来日必报！		UI_Juqing_T_Guanhai.img	61005	1
61012	Player	哼，乱臣贼子，人人得而诛之！			61005	2
61013	Player	终于突围出来了，接下来前往东莱！			61006	2
62000	Player	终于到了东莱！听说太史慈住在城外！			62000	2
62001		找到太史慈			62001	0
62002	Player	阁下可是东莱太史慈？			62002	2
62003	太史慈	正是。黄巾贼已经攻占东莱，正在洗劫百姓。		UI_Juqing_T_Taishici.img	62002	1
62004	太史慈	闲话少说，先去赶走这群匪徒，再说其他。		UI_Juqing_T_Taishici.img	62002	1
62005	太史慈	贼军势大，待我整军再战！		UI_Juqing_T_Taishici.img	62003	1
62006	管正	哈哈哈哈，又来了一个送死的蠢货！		UI_Juqing_T_Shanzei.img	62004	1
62007	管正	快，小的们退守政厅！		UI_Juqing_T_Shanzei.img	62005	1
62008	太史慈	哼，加把劲，击破政厅！		UI_Juqing_T_Taishici.img	62005	1
62009	太史慈	我的家乡又恢复了安宁！我该如何报答你？		UI_Juqing_T_Taishici.img	62006	1
62010	Player	太史将军，孔太守被围困，请您向刘备求援！			62006	2
62011	太史慈	好，咱们这就出发！		UI_Juqing_T_Taishici.img	62006	1
63000	刘备	没想到孔大人居然知道天下之间有我刘备！！		UI_Juqing_T_Liubei.img	63000	1
63001	Player	请刘大人速速出兵！			63000	2
63002	刘备	近日我军与袁谭鏖战正酣……		UI_Juqing_T_Liubei.img	63000	1
63003	Player	小心！			63000	2
63004		袁军突袭！保护刘备！			63001	0
63005	袁谭	唔？刘备麾下竟然有如此大将？		UI_Juqing_T_Yuantan.img	63002	1
63006	袁谭	罢了罢了，撤军！		UI_Juqing_T_Yuantan.img	63003	1
63007	刘备	多谢将军仗义相助，我们这就启程前往北海吧！		UI_Juqing_T_Liubei.img	63003	1
64000	斥候	将军！据探得知，吕布等人密谋篡夺徐州！		UI_Juqing_T_Chuanlingbing.img	64000	1
64001	Player	不好！刘大人外出讨伐袁术了！快去报讯！			64000	2
64002		赶往平原			64001	0
64003	高顺	消息走漏了么？哼，我不会让你过去的！		UI_Juqing_T_Gaoshun.img	64002	1
64004	高顺	呵呵，我封住了城门，你过不去的！		UI_Juqing_T_Gaoshun.img	64003	1
64005	魏续	卧槽！敌军来的这么快！我还没来得及封门！		UI_Juqing_T_Weixu.img	64004	1
64006	魏续	你敢打伤我！我可是吕布的亲戚！你等着！		UI_Juqing_T_Weixu.img	64005	1
64007	曹性	不能让你们破坏吕将军的大业！		UI_Juqing_T_Caoxing.img	64006	1
64008	曹性	今日一箭之仇，来日必报！		UI_Juqing_T_Caoxing.img	64007	1
64009	张辽	张辽在此，来将止步！		UI_Juqing_T_Zhangliao.img	64008	1
64010	Player	张将军，得罪了！			64008	2
64011	张辽	果然厉害，难怪能得温侯另眼相待！		UI_Juqing_T_Zhangliao.img	64009	1
64012	Player	……			64009	2
64013	吕布	哼，想去给刘备通风报信？打败我再说！		UI_Juqing_T_Lvbu.img	64010	1
64014	Player	温侯武艺，天下无双，正要领教！			64010	2
64015	Player	多谢温侯手下留情！			64011	2
64016	吕布	还不快走！		UI_Juqing_T_Lvbu.img	64011	1
65000	Player	前面就是下邳了！快去通知刘备大人！			65000	2
65001	陈宫	嗯？是要去给下邳报讯的么？给我拦住他！		UI_Juqing_T_Chengong.img	65001	1
65002	陈宫	好厉害！可惜你迟了，徐州定为我主公所有！		UI_Juqing_T_Chengong.img	65002	1
65003	Player	吕布阴谋篡徐，还请许将军通报刘大人！			65003	2
65004	许耽	一派胡言，不要捣乱，快走快走！		UI_Juqing_T_Wanghong.img	65003	1
65005	Player	哼，如此心虚，定然叛变了是不是！			65003	2
65006	许耽	被看穿了……		UI_Juqing_T_Wanghong.img	65003	1
65007	许耽	有人冲撞城门啦！快去通知张飞大人！		UI_Juqing_T_Wanghong.img	65004	1
65008	Player	恶人先告状……看来刘大人不在……			65004	2
65009	醉张飞	哇呀呀呀！小贼，矛下受死！		UI_Juqing_T_Zhangfei.img	65005	1
65010	Player	看来解释不通……先打败他吧……			65005	2
65011		吕布军出现			65006	0
65012	醉张飞	啊，都怪我饮酒误事，误会了壮士！		UI_Juqing_T_Zhangfei.img	65007	1
65013	Player	事到如今，还是先行撤退吧！			65007	2
66000	张飞	咳咳，之前逃出下邳时我被吕布那厮打伤了。		UI_Juqing_T_Zhangfei.img	66000	1
66001	张飞	大哥的家眷就拜托你帮我送到淮阴T_T		UI_Juqing_T_Zhangfei.img	66000	1
66002	Player	义之所向，义不容辞！			66000	2
66003		护送刘备家眷前往淮阴			66001	0
66004	张飞	北面琅琊已经叛变，不要惊动城内守将。		UI_Juqing_T_Zhangfei.img	66002	1
66005	张辽	奉温侯之命，你可以走，刘备的家眷留下！		UI_Juqing_T_Zhangliao.img	66003	1
66006	Player	受人之托，忠人之事，得罪了！			66003	2
66007		侯成部出现			66004	0
66008	张辽	虏人家眷，我不屑为之，你们走吧！		UI_Juqing_T_Zhangliao.img	66005	1
66009	侯成	哼，刘备军的漏网之鱼！活捉刘备家眷！		UI_Juqing_T_Houcheng.img	66006	1
66010	侯成	文远，我来祝你一臂之力！		UI_Juqing_T_Houcheng.img	66007	1
66011	侯成	算你们运气好，我昨晚吃坏了肚子T_T		UI_Juqing_T_Houcheng.img	66008	1
66012	Player	呼，终于摆脱了追兵。			66009	2
66013	张飞	真是刺激！走，去淮阴找大哥！		UI_Juqing_T_Zhangfei.img	66009	1
67000	Player	终于到了淮阴，快去通知刘大人！			67000	2
67001		前往刘备军大营			67001	0
67002	Player	刘大人，徐州已失，后路已丢，速速撤军！			67002	2
67003	刘备	多谢将军提醒，只是纪灵等人虎视眈眈啊！		UI_Juqing_T_Liubei.img	67002	1
67004	Player	愿为将军把守大营，将军速去！			67002	2
67005		保护大营不失，刘备安全撤离			67003	0
67006		雷薄部、陈兰部出现			67004	0
67007	雷薄	刘备已退，你我二人快去抢了刘备大营！		UI_Juqing_T_Shanzei.img	67005	1
67008	陈兰	好嘞！动作快点，别让纪灵抢了首功！		UI_Juqing_T_Chenlan.img	67005	1
67009	陈兰	这家伙好厉害！我们快逃！		UI_Juqing_T_Chenlan.img	67006	1
67010	刘备	大营被破，后路已绝，前途莫测，吾命休矣！		UI_Juqing_T_Liubei.img	67007	1
67011		纪灵部出现			67008	0
67012	纪灵	咦？刘备大营方向为何有喊杀声？		UI_Juqing_T_Jiling.img	67009	1
67013	纪灵	糟了！刘备要跑！		UI_Juqing_T_Jiling.img	67009	1
67014	纪灵	好强！小心无大错，还是先撤退吧！		UI_Juqing_T_Jiling.img	67010	1
67015		获得徐鼎的认同			67011	0
67016	雷薄	哎，这下子要被袁术大人惩罚了T_T		UI_Juqing_T_Shanzei.img	67012	1
67017	传令兵	大营被毁，游戏失败！		UI_Juqing_T_Chuanlingbing.img	67013	1
67018	传令兵	刘备死亡，游戏失败！		UI_Juqing_T_Chuanlingbing.img	67014	1
68000	袁绍	引诱公孙瓒部队来攻，我们一一消灭他们！		UI_Juqing_T_Yuanshao.img	68000	1
68001	Player	袁公竟然以身为饵，如此豪气干云！			68000	2
68002	张郃	我等必以死保护主公！		UI_Juqing_T_Zhanghe.img	68000	1
68003	公孙瓒	袁绍困守孤城，此战我赢定了！传令出兵！		UI_Juqing_T_Gongsunzan.img	68000	1
68004		单经部出现!			68001	0
68005		严纲部出现!			68002	0
68006		公孙续部出现!			68003	0
68007		公孙越部出现!			68003	0
68008	公孙瓒	真是没用，就让我来给袁绍最后一击吧！！		UI_Juqing_T_Gongsunzan.img	68004	1
68009	众将	义之所在，白马为誓！		UI_Juqing_T_Chuanlingbing.img	68004	1
68010	公孙瓒	全军出击！		UI_Juqing_T_Gongsunzan.img	68004	1
68011		 公孙瓒本队出现!			68005	0
68012	袁绍	哈哈哈哈，公孙瓒败北，冀州为我囊中之物！		UI_Juqing_T_Yuanshao.img	68006	1
68013		获得冀鼎的认同			68007	0
68014	传令兵	袁绍死亡，游戏失败！		UI_Juqing_T_Chuanlingbing.img	68008	1
69000	Player	天水就在前面，快去见见韩遂吧！			69000	2
69001		前往天水政厅			69001	0
69002	阎行	没想到你竟然是马超的使者？速来再战一番！		UI_Juqing_T_Yanxing.img	69002	1
69003	阎行	哼，要不是我之前讨伐山贼受了伤……		UI_Juqing_T_Yanxing.img	69003	1
69004		天水城门开启			69004	0
69005	韩遂	你的来意我已知晓，只是……		UI_Juqing_T_Hansui.img	69005	1
69006	Player	不知韩公有何指教？			69005	2
69007	韩遂	算了，你去把西北的山贼剿灭即可。		UI_Juqing_T_Hansui.img	69005	1
69008		剿灭山贼			69006	0
69009	山贼头	呦呵！又来了一个送死的！兄弟们上！		UI_Juqing_T_Shanzei.img	69007	1
69010	山贼头	啊……		UI_Juqing_T_Shanzei.img	69008	1
69011	Player	终于扫灭了这伙山贼。至于缴获的财物……			69009	2
69012		剿灭了山贼，快去回禀韩遂吧！			69010	0
69013	韩遂	将军果然神勇，既然如此，这盟约我就答应了！		UI_Juqing_T_Hansui.img	69011	1
69014	Player	多谢韩公仗义相助！			69011	2
69015		与韩遂结盟成功			69012	0
70000	马超	家父被困许都，我决定起兵去救援！		UI_Juqing_T_Machao.img	70000	1
70001	Player	愿为大人使者，前往天水与韩遂结盟！			70000	2
70002	马超	多谢将军相助T_T		UI_Juqing_T_Machao.img	70000	1
70003		赶往天水			70001	0
70004	侯选	哼，长得倒是不错，难怪主公让你来做使者。		UI_Juqing_T_Chengyin.img	70002	1
70005	侯选	让我来试试你手头功夫，别丢了主公的脸面！		UI_Juqing_T_Chengyin.img	70002	1
70006	侯选	啧，功夫不错，我就饶过你这次！走了走了！		UI_Juqing_T_Chengyin.img	70003	1
70007	程银	此路不通！别问为什么，我守门，任性！		UI_Juqing_T_Chengyin.img	70004	1
70008	程银	你为什么非走这条路！绕远路啊你不知道么！		UI_Juqing_T_Chengyin.img	70005	1
70009	庞德	此事本不想干涉，但既然相见，还请留下吧！		UI_Juqing_T_Pangde.img	70006	1
70010	庞德	罢了罢了，看来天意如此……		UI_Juqing_T_Pangde.img	70007	1
70011	马岱	不能过去！如果真的起兵，曹操会杀掉父亲的！		UI_Juqing_T_Madai.img	70008	1
70012	马岱	该死……不能阻止你……希望是我错了……		UI_Juqing_T_Madai.img	70009	1
70013	Player	接下来，会路过安定，要小心了！			70010	2
71000	斥候	将军，前面一伙军队正在屠杀安定百姓！		UI_Juqing_T_Chuanlingbing.img	71000	1
71001	Player	速速前往救援！			71000	2
71002		在敌军击破政厅或杀光百姓前击败敌军			71001	0
71003	斥候	启禀将军，这是韩遂的兵痞，是否退让？		UI_Juqing_T_Chuanlingbing.img	71002	1
71004	Player	……继续前进！			71002	2
71005	杨秋	我军在征粮，识相的快闪一边去！		UI_Juqing_T_Yangqiu.img	71003	1
71006	Player	见义不为，无勇也！看招！			71003	2
71007	杨秋	哼，等着瞧！我家将军马上就到！		UI_Juqing_T_Yangqiu.img	71004	1
71008	Player	住手！肆意屠杀百姓，你算什么英雄好汉？			71005	2
71009	成公英	你算那颗葱？快来我刀下受死吧！		UI_Juqing_T_Chenggongying.img	71005	1
71010	成公英	我只是听命行事，为韩大人征粮罢了T_T		UI_Juqing_T_Chenggongying.img	71006	1
71011	百姓	多谢将军救命之恩T_T		UI_Juqing_T_Jiading.img	71006	1
71012		阎行部出现			71007	0
71013	阎行	何方小贼，偷袭于我？		UI_Juqing_T_Yanxing.img	71008	1
71014	Player	哼，无耻小人，屠戮百姓，速来刀下受死！			71008	2
71015	阎行	我军维护一方和平，征些粮草有何不妥？		UI_Juqing_T_Yanxing.img	71009	1
71016	阎行	哼，这次就先绕过你，下次见面小心点！		UI_Juqing_T_Yanxing.img	71009	1
71017		前往天水			71010	0
71018	传令兵	百姓全部死亡，游戏失败！		UI_Juqing_T_Chuanlingbing.img	71011	1
71019	传令兵	政厅被击毁，游戏失败！		UI_Juqing_T_Chuanlingbing.img	71012	1
72000	Player	（上回助刘玄德一臂之力，如今时过境迁…）			72000	2
72001	曹操	典韦征讨何仪、黄劭，竟然久去不归……		UI_Juqing_T_Caocao.img	72000	1
72002	Player	愿去为曹大人探寻。			72000	2
72003		离开许昌！			72001	0
72004	于禁	城门重地，不可轻入！		UI_Juqing_T_Yujin.img	72002	1
72005	于禁	你要出城？城门检修，你还是换条路吧！		UI_Juqing_T_Yujin.img	72003	1
72006	李典	那边的，怎可冲撞过往商旅？快快束手就擒！		UI_Juqing_T_Lidian.img	72004	1
72007	李典	好吧好吧，只此一次，下不为例，快快出城！		UI_Juqing_T_Lidian.img	72005	1
72008		城门已开			72006	0
72009	黄巾斥候	不好，是官军来了！快去报告老大！		UI_Juqing_T_Chuanlingbing.img	72007	1
72010	Player	（除恶务尽……）你们的据点在哪儿？			72008	2
72011	黄巾斥候	就在这条路再往前一点，大人饶命T_T		UI_Juqing_T_Chuanlingbing.img	72008	1
72012		除恶务尽，清除黄巾贼			72009	0
72013	黄巾斥候	老大！！官军来啦！		UI_Juqing_T_Chuanlingbing.img	72010	1
72014	何一	官军何在？我的大刀已经饥渴难耐了！		UI_Juqing_T_Heyi1.img	72010	1
72015	Player	黄巾贼子，速速来我刀下受死！			72011	2
72016	何一	看来不能继续监视许昌了，撤！		UI_Juqing_T_Heyi1.img	72012	1
73000	Player	咦？舞阳城头怎么挂的是黄巾大旗？			73000	2
73001	Player	为何此地有黄巾贼把守？			73001	2
73002	斥候	禀报主公，舞阳已经被黄巾贼攻占了！		UI_Juqing_T_Chuanlingbing.img	73002	1
73003	Player	果然如此！！快随我出兵，夺回舞阳！			73002	2
73004	黄劭	舞阳已被我太平道所占，贼官军死来！		UI_Juqing_T_Guanhai.img	73003	1
73005	黄劭	好厉害的狗官！先饶你这回！		UI_Juqing_T_Guanhai.img	73004	1
73006		黄劭遁逃，速速击破政厅，夺回舞阳			73005	0
73007		发现逃跑的黄劭，不要让他跑了！			73006	0
