id	icon	icon2	icon大	icon大灰	icon灰	icon剧情	性别	价格	是否付费道具
21	UI_PlayerFace_Female_04.img	UI_PlayerFace_Female_04.img	UI_PlayerFace_Female_04.img	UI_PlayerFace_Female_04.img	UI_PlayerFace_Female_04_D.img	Action_PlayerFace_Female_04.img	1	0	0
22	UI_PlayerFace_Female_05.img	UI_PlayerFace_Female_05.img	UI_PlayerFace_Female_05.img	UI_PlayerFace_Female_05.img	UI_PlayerFace_Female_05_D.img	Action_PlayerFace_Female_05.img	1	0	0
23	UI_PlayerFace_Female_07.img	UI_PlayerFace_Female_07.img	UI_PlayerFace_Female_07.img	UI_PlayerFace_Female_07.img	UI_PlayerFace_Female_07_D.img	Action_PlayerFace_Female_07.img	1	0	0
101	UI_PlayerFace_Male_01.img	UI_PlayerFace_Male_01.img	UI_PlayerFace_Male_01.img	UI_PlayerFace_Male_01.img	UI_PlayerFace_Male_01_D.img	Action_PlayerFace_Male_01.img	0	800	1
102	UI_PlayerFace_Male_02.img	UI_PlayerFace_Male_02.img	UI_PlayerFace_Male_02.img	UI_PlayerFace_Male_02.img	UI_PlayerFace_Male_02_D.img	Action_PlayerFace_Male_02.img	0	500	1
103	UI_PlayerFace_Male_03.img	UI_PlayerFace_Male_03.img	UI_PlayerFace_Male_03.img	UI_PlayerFace_Male_03.img	UI_PlayerFace_Male_03_D.img	Action_PlayerFace_Male_03.img	0	900	1
104	UI_PlayerFace_Male_04.img	UI_PlayerFace_Male_04.img	UI_PlayerFace_Male_04.img	UI_PlayerFace_Male_04.img	UI_PlayerFace_Male_04_D.img	Action_PlayerFace_Male_04.img	0	700	1
105	UI_PlayerFace_Male_05.img	UI_PlayerFace_Male_05.img	UI_PlayerFace_Male_05.img	UI_PlayerFace_Male_05.img	UI_PlayerFace_Male_05_D.img	Action_PlayerFace_Male_05.img	0	1000	1
106	UI_PlayerFace_Male_06.img	UI_PlayerFace_Male_06.img	UI_PlayerFace_Male_06.img	UI_PlayerFace_Male_06.img	UI_PlayerFace_Male_06_D.img	Action_PlayerFace_Male_06.img	0	600	1
107	UI_PlayerFace_Male_07.img	UI_PlayerFace_Male_07.img	UI_PlayerFace_Male_07.img	UI_PlayerFace_Male_07.img	UI_PlayerFace_Male_07_D.img	Action_PlayerFace_Male_07.img	0	500	1
108	UI_PlayerFace_Male_08.img	UI_PlayerFace_Male_08.img	UI_PlayerFace_Male_08.img	UI_PlayerFace_Male_08.img	UI_PlayerFace_Male_08_D.img	Action_PlayerFace_Male_08.img	0	700	1
109	UI_PlayerFace_Male_09.img	UI_PlayerFace_Male_09.img	UI_PlayerFace_Male_09.img	UI_PlayerFace_Male_09.img	UI_PlayerFace_Male_09_D.img	Action_PlayerFace_Male_09.img	0	400	1
110	UI_PlayerFace_Male_10.img	UI_PlayerFace_Male_10.img	UI_PlayerFace_Male_10.img	UI_PlayerFace_Male_10.img	UI_PlayerFace_Male_10_D.img	Action_PlayerFace_Male_10.img	0	300	1
111	UI_PlayerFace_Male_11.img	UI_PlayerFace_Male_11.img	UI_PlayerFace_Male_11.img	UI_PlayerFace_Male_11.img	UI_PlayerFace_Male_11_D.img	Action_PlayerFace_Male_11.img	0	250	1
112	UI_PlayerFace_Male_12.img	UI_PlayerFace_Male_12.img	UI_PlayerFace_Male_12.img	UI_PlayerFace_Male_12.img	UI_PlayerFace_Male_12_D.img	Action_PlayerFace_Male_12.img	0	450	1
113	UI_PlayerFace_Male_13.img	UI_PlayerFace_Male_13.img	UI_PlayerFace_Male_13.img	UI_PlayerFace_Male_13.img	UI_PlayerFace_Male_13_D.img	Action_PlayerFace_Male_13.img	0	200	1
114	UI_PlayerFace_Female_01.img	UI_PlayerFace_Female_01.img	UI_PlayerFace_Female_01.img	UI_PlayerFace_Female_01.img	UI_PlayerFace_Female_01_D.img	Action_PlayerFace_Female_01.img	1	100	1
115	UI_PlayerFace_Female_02.img	UI_PlayerFace_Female_02.img	UI_PlayerFace_Female_02.img	UI_PlayerFace_Female_02.img	UI_PlayerFace_Female_02_D.img	Action_PlayerFace_Female_02.img	1	300	1
116	UI_PlayerFace_Female_03.img	UI_PlayerFace_Female_03.img	UI_PlayerFace_Female_03.img	UI_PlayerFace_Female_03.img	UI_PlayerFace_Female_03_D.img	Action_PlayerFace_Female_03.img	1	200	1
117	UI_PlayerFace_Female_04.img	UI_PlayerFace_Female_04.img	UI_PlayerFace_Female_04.img	UI_PlayerFace_Female_04.img	UI_PlayerFace_Female_04_D.img	Action_PlayerFace_Female_04.img	1	250	1
118	UI_PlayerFace_Female_05.img	UI_PlayerFace_Female_05.img	UI_PlayerFace_Female_05.img	UI_PlayerFace_Female_05.img	UI_PlayerFace_Female_05_D.img	Action_PlayerFace_Female_05.img	1	505	1
119	UI_PlayerFace_Female_06.img	UI_PlayerFace_Female_06.img	UI_PlayerFace_Female_06.img	UI_PlayerFace_Female_06.img	UI_PlayerFace_Female_06_D.img	Action_PlayerFace_Female_06.img	1	1000	1
120	UI_PlayerFace_Female_07.img	UI_PlayerFace_Female_07.img	UI_PlayerFace_Female_07.img	UI_PlayerFace_Female_07.img	UI_PlayerFace_Female_07_D.img	Action_PlayerFace_Female_07.img	1	900	1
121	UI_PlayerFace_Female_08.img	UI_PlayerFace_Female_08.img	UI_PlayerFace_Female_08.img	UI_PlayerFace_Female_08.img	UI_PlayerFace_Female_08_D.img	Action_PlayerFace_Female_08.img	1	500	1
122	UI_PlayerFace_Female_09.img	UI_PlayerFace_Female_09.img	UI_PlayerFace_Female_09.img	UI_PlayerFace_Female_09.img	UI_PlayerFace_Female_09_D.img	Action_PlayerFace_Female_09.img	1	800	1
123	UI_PlayerFace_Female_10.img	UI_PlayerFace_Female_10.img	UI_PlayerFace_Female_10.img	UI_PlayerFace_Female_10.img	UI_PlayerFace_Female_10.img	Action_PlayerFace_Female_10.img	1	600	1
