将卡	神器Abstractid	组合名称	描述	备注	攻速	CD缩减	移动速度	护甲值	法术抗性	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	abstractid	物伤加成	法伤加成	回复效果
|8284|8285|8286|8287|8288|8289|	|50009|	倚天剑	攻击+5%/n在变小和缴械状态下，若被攻击则提升自身5%生命上限，持续6秒	郭嘉							50																					23270			
|8564|8565|8566|8567|8568|8569|	|50009|	倚天剑	生命+5%/n受到攻击时，有1%概率提高自身5%生命上限，持续10秒	魏延								50																				23350			
|9724|9725|9726|9727|9728|9729|	|50009|	倚天剑	CD缩减+5%/n释放技能时，若自身有甘宁增益效果，则提高20%攻击，持续5秒	沈莹		50																										23040			
|10144|10145|10146|10147|10148|10149|	|50009|	倚天剑	攻击+5%/n释放技能时，提高自身飞刀兵藤甲兵象兵5%血量和攻击，持续5秒	带来洞主							50																					23140			
|8154|8155|8156|8157|8158|8159|	|50010|	倚天剑	基础闪避+5.5%/n自身血量低于42%时，普通攻击有13%的概率提升自身50%攻速和7%物理吸血，持续5秒	许褚										55																		23251			
|8284|8285|8286|8287|8288|8289|	|50010|	倚天剑	攻击+5.5%/n在变小和缴械状态下，若被攻击则提升自身10%生命上限，持续6秒	郭嘉							55																					23271			
|8564|8565|8566|8567|8568|8569|	|50010|	倚天剑	生命+5.5%/n受到攻击时，有1.5%概率提高自身10%生命上限，持续10秒	魏延								55																				23351			
|9724|9725|9726|9727|9728|9729|	|50010|	倚天剑	CD缩减+5.5%/n释放技能时，若自身有甘宁增益效果，则提高25%攻击，持续5秒	沈莹		55																										23041			
|10144|10145|10146|10147|10148|10149|	|50010|	倚天剑	攻击+5.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵10%血量和攻击，持续5秒	带来洞主							55																					23141			
|8154|8155|8156|8157|8158|8159|	|50011|	倚天剑	基础闪避+6%/n自身血量低于42%时，普通攻击有13%的概率提升自身50%攻速和7%物理吸血，持续5秒	许褚										60																		23251			
|8284|8285|8286|8287|8288|8289|	|50011|	倚天剑	攻击+6%/n在变小和缴械状态下，若被攻击则提升自身10%生命上限，持续6秒	郭嘉							60																					23271			
|8564|8565|8566|8567|8568|8569|	|50011|	倚天剑	生命+6%/n受到攻击时，有1.5%概率提高自身10%生命上限，持续10秒	魏延								60																				23351			
|9724|9725|9726|9727|9728|9729|	|50011|	倚天剑	CD缩减+6%/n释放技能时，若自身有甘宁增益效果，则提高25%攻击，持续5秒	沈莹		60																										23041			
|10144|10145|10146|10147|10148|10149|	|50011|	倚天剑	攻击+6%/n释放技能时，提高自身飞刀兵藤甲兵象兵10%血量和攻击，持续5秒	带来洞主							60																					23141			
|8154|8155|8156|8157|8158|8159|	|50012|	倚天剑	基础闪避+6.5%/n自身血量低于42%时，普通攻击有13%的概率提升自身50%攻速和7%物理吸血，持续5秒	许褚										65																		23251			
|8284|8285|8286|8287|8288|8289|	|50012|	倚天剑	攻击+6.5%/n在变小和缴械状态下，若被攻击则提升自身10%生命上限，持续6秒	郭嘉							65																					23271			
|8564|8565|8566|8567|8568|8569|	|50012|	倚天剑	生命+6.5%/n受到攻击时，有1.5%概率提高自身10%生命上限，持续10秒	魏延								65																				23351			
|9724|9725|9726|9727|9728|9729|	|50012|	倚天剑	CD缩减+6.5%/n释放技能时，若自身有甘宁增益效果，则提高25%攻击，持续5秒	沈莹		65																										23041			
|10144|10145|10146|10147|10148|10149|	|50012|	倚天剑	攻击+6.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵10%血量和攻击，持续5秒	带来洞主							65																					23141			
|8154|8155|8156|8157|8158|8159|	|50013|	倚天剑	基础闪避+7%/n自身血量低于42%时，普通攻击有13%的概率提升自身50%攻速和7%物理吸血，持续5秒	许褚										70																		23251			
|8284|8285|8286|8287|8288|8289|	|50013|	倚天剑	攻击+7%/n在变小和缴械状态下，若被攻击则提升自身10%生命上限，持续6秒	郭嘉							70																					23271			
|8564|8565|8566|8567|8568|8569|	|50013|	倚天剑	生命+7%/n受到攻击时，有1.5%概率提高自身10%生命上限，持续10秒	魏延								70																				23351			
|9724|9725|9726|9727|9728|9729|	|50013|	倚天剑	CD缩减+7%/n释放技能时，若自身有甘宁增益效果，则提高25%攻击，持续5秒	沈莹		70																										23041			
|10144|10145|10146|10147|10148|10149|	|50013|	倚天剑	攻击+7%/n释放技能时，提高自身飞刀兵藤甲兵象兵10%血量和攻击，持续5秒	带来洞主							70																					23141			
|8154|8155|8156|8157|8158|8159|	|50014|	倚天剑	基础闪避+7.5%/n自身血量低于42%时，普通攻击有13%的概率提升自身50%攻速和7%物理吸血，持续5秒	许褚										75																		23251			
|8284|8285|8286|8287|8288|8289|	|50014|	倚天剑	攻击+7.5%/n在变小和缴械状态下，若被攻击则提升自身10%生命上限，持续6秒	郭嘉							75																					23271			
|8564|8565|8566|8567|8568|8569|	|50014|	倚天剑	生命+7.5%/n受到攻击时，有1.5%概率提高自身10%生命上限，持续10秒	魏延								75																				23351			
|9724|9725|9726|9727|9728|9729|	|50014|	倚天剑	CD缩减+7.5%/n释放技能时，若自身有甘宁增益效果，则提高25%攻击，持续5秒	沈莹		75																										23041			
|10144|10145|10146|10147|10148|10149|	|50014|	倚天剑	攻击+7.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵10%血量和攻击，持续5秒	带来洞主							75																					23141			
|8154|8155|8156|8157|8158|8159|	|50015|	倚天剑	基础闪避+8%/n自身血量低于44%时，普通攻击有16%的概率提升自身50%攻速和9%物理吸血，持续5秒	许褚										80																		23252			
|8284|8285|8286|8287|8288|8289|	|50015|	倚天剑	攻击+8%/n在变小和缴械状态下，若被攻击则提升自身15%生命上限，持续6秒	郭嘉							80																					23272			
|8564|8565|8566|8567|8568|8569|	|50015|	倚天剑	生命+8%/n受到攻击时，有2%概率提高自身15%生命上限，持续10秒	魏延								80																				23352			
|9724|9725|9726|9727|9728|9729|	|50015|	倚天剑	CD缩减+8%/n释放技能时，若自身有甘宁增益效果，则提高30%攻击，持续5秒	沈莹		80																										23042			
|10144|10145|10146|10147|10148|10149|	|50015|	倚天剑	攻击+8%/n释放技能时，提高自身飞刀兵藤甲兵象兵15%血量和攻击，持续5秒	带来洞主							80																					23142			
|8154|8155|8156|8157|8158|8159|	|50016|	倚天剑	基础闪避+8.5%/n自身血量低于44%时，普通攻击有16%的概率提升自身50%攻速和9%物理吸血，持续5秒	许褚										85																		23252			
|8284|8285|8286|8287|8288|8289|	|50016|	倚天剑	攻击+8.5%/n在变小和缴械状态下，若被攻击则提升自身15%生命上限，持续6秒	郭嘉							85																					23272			
|8564|8565|8566|8567|8568|8569|	|50016|	倚天剑	生命+8.5%/n受到攻击时，有2%概率提高自身15%生命上限，持续10秒	魏延								85																				23352			
|9724|9725|9726|9727|9728|9729|	|50016|	倚天剑	CD缩减+8.5%/n释放技能时，若自身有甘宁增益效果，则提高30%攻击，持续5秒	沈莹		85																										23042			
|10144|10145|10146|10147|10148|10149|	|50016|	倚天剑	攻击+8.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵15%血量和攻击，持续5秒	带来洞主							85																					23142			
|8154|8155|8156|8157|8158|8159|	|50017|	倚天剑	基础闪避+9%/n自身血量低于44%时，普通攻击有16%的概率提升自身50%攻速和9%物理吸血，持续5秒	许褚										90																		23252			
|8284|8285|8286|8287|8288|8289|	|50017|	倚天剑	攻击+9%/n在变小和缴械状态下，若被攻击则提升自身15%生命上限，持续6秒	郭嘉							90																					23272			
|8564|8565|8566|8567|8568|8569|	|50017|	倚天剑	生命+9%/n受到攻击时，有2%概率提高自身15%生命上限，持续10秒	魏延								90																				23352			
|9724|9725|9726|9727|9728|9729|	|50017|	倚天剑	CD缩减+9%/n释放技能时，若自身有甘宁增益效果，则提高30%攻击，持续5秒	沈莹		90																										23042			
|10144|10145|10146|10147|10148|10149|	|50017|	倚天剑	攻击+9%/n释放技能时，提高自身飞刀兵藤甲兵象兵15%血量和攻击，持续5秒	带来洞主							90																					23142			
|8154|8155|8156|8157|8158|8159|	|50018|	倚天剑	基础闪避+9.5%/n自身血量低于44%时，普通攻击有16%的概率提升自身50%攻速和9%物理吸血，持续5秒	许褚										95																		23252			
|8284|8285|8286|8287|8288|8289|	|50018|	倚天剑	攻击+9.5%/n在变小和缴械状态下，若被攻击则提升自身15%生命上限，持续6秒	郭嘉							95																					23272			
|8564|8565|8566|8567|8568|8569|	|50018|	倚天剑	生命+9.5%/n受到攻击时，有2%概率提高自身15%生命上限，持续10秒	魏延								95																				23352			
|9724|9725|9726|9727|9728|9729|	|50018|	倚天剑	CD缩减+9.5%/n释放技能时，若自身有甘宁增益效果，则提高30%攻击，持续5秒	沈莹		95																										23042			
|10144|10145|10146|10147|10148|10149|	|50018|	倚天剑	攻击+9.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵15%血量和攻击，持续5秒	带来洞主							95																					23142			
|8154|8155|8156|8157|8158|8159|	|50019|	倚天剑	基础闪避+10%/n自身血量低于44%时，普通攻击有16%的概率提升自身50%攻速和9%物理吸血，持续5秒	许褚										100																		23252			
|8284|8285|8286|8287|8288|8289|	|50019|	倚天剑	攻击+10%/n在变小和缴械状态下，若被攻击则提升自身15%生命上限，持续6秒	郭嘉							100																					23272			
|8564|8565|8566|8567|8568|8569|	|50019|	倚天剑	生命+10%/n受到攻击时，有2%概率提高自身15%生命上限，持续10秒	魏延								100																				23352			
|9724|9725|9726|9727|9728|9729|	|50019|	倚天剑	CD缩减+10%/n释放技能时，若自身有甘宁增益效果，则提高30%攻击，持续5秒	沈莹		100																										23042			
|10144|10145|10146|10147|10148|10149|	|50019|	倚天剑	攻击+10%/n释放技能时，提高自身飞刀兵藤甲兵象兵15%血量和攻击，持续5秒	带来洞主							100																					23142			
|8154|8155|8156|8157|8158|8159|	|50020|	倚天剑	基础闪避+10.5%/n自身血量低于46%时，普通攻击有19%的概率提升自身50%攻速和11%物理吸血，持续5秒	许褚										105																		23253			
|8284|8285|8286|8287|8288|8289|	|50020|	倚天剑	攻击+10.5%/n在变小和缴械状态下，若被攻击则提升自身20%生命上限，持续6秒	郭嘉							105																					23273			
|8564|8565|8566|8567|8568|8569|	|50020|	倚天剑	生命+10.5%/n受到攻击时，有2.5%概率提高自身20%生命上限，持续10秒	魏延								105																				23353			
|9724|9725|9726|9727|9728|9729|	|50020|	倚天剑	CD缩减+10.5%/n释放技能时，若自身有甘宁增益效果，则提高35%攻击，持续5秒	沈莹		105																										23043			
|10144|10145|10146|10147|10148|10149|	|50020|	倚天剑	攻击+10.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵20%血量和攻击，持续5秒	带来洞主							105																					23143			
|8154|8155|8156|8157|8158|8159|	|50021|	倚天剑	基础闪避+11%/n自身血量低于46%时，普通攻击有19%的概率提升自身50%攻速和11%物理吸血，持续5秒	许褚										110																		23253			
|8284|8285|8286|8287|8288|8289|	|50021|	倚天剑	攻击+11%/n在变小和缴械状态下，若被攻击则提升自身20%生命上限，持续6秒	郭嘉							110																					23273			
|8564|8565|8566|8567|8568|8569|	|50021|	倚天剑	生命+11%/n受到攻击时，有2.5%概率提高自身20%生命上限，持续10秒	魏延								110																				23353			
|9724|9725|9726|9727|9728|9729|	|50021|	倚天剑	CD缩减+11%/n释放技能时，若自身有甘宁增益效果，则提高35%攻击，持续5秒	沈莹		110																										23043			
|10144|10145|10146|10147|10148|10149|	|50021|	倚天剑	攻击+11%/n释放技能时，提高自身飞刀兵藤甲兵象兵20%血量和攻击，持续5秒	带来洞主							110																					23143			
|8154|8155|8156|8157|8158|8159|	|50022|	倚天剑	基础闪避+11.5%/n自身血量低于46%时，普通攻击有19%的概率提升自身50%攻速和11%物理吸血，持续5秒	许褚										115																		23253			
|8284|8285|8286|8287|8288|8289|	|50022|	倚天剑	攻击+11.5%/n在变小和缴械状态下，若被攻击则提升自身20%生命上限，持续6秒	郭嘉							115																					23273			
|8564|8565|8566|8567|8568|8569|	|50022|	倚天剑	生命+11.5%/n受到攻击时，有2.5%概率提高自身20%生命上限，持续10秒	魏延								115																				23353			
|9724|9725|9726|9727|9728|9729|	|50022|	倚天剑	CD缩减+11.5%/n释放技能时，若自身有甘宁增益效果，则提高35%攻击，持续5秒	沈莹		115																										23043			
|10144|10145|10146|10147|10148|10149|	|50022|	倚天剑	攻击+11.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵20%血量和攻击，持续5秒	带来洞主							115																					23143			
|8154|8155|8156|8157|8158|8159|	|50023|	倚天剑	基础闪避+12%/n自身血量低于46%时，普通攻击有19%的概率提升自身50%攻速和11%物理吸血，持续5秒	许褚										120																		23253			
|8284|8285|8286|8287|8288|8289|	|50023|	倚天剑	攻击+12%/n在变小和缴械状态下，若被攻击则提升自身20%生命上限，持续6秒	郭嘉							120																					23273			
|8564|8565|8566|8567|8568|8569|	|50023|	倚天剑	生命+12%/n受到攻击时，有2.5%概率提高自身20%生命上限，持续10秒	魏延								120																				23353			
|9724|9725|9726|9727|9728|9729|	|50023|	倚天剑	CD缩减+12%/n释放技能时，若自身有甘宁增益效果，则提高35%攻击，持续5秒	沈莹		120																										23043			
|10144|10145|10146|10147|10148|10149|	|50023|	倚天剑	攻击+12%/n释放技能时，提高自身飞刀兵藤甲兵象兵20%血量和攻击，持续5秒	带来洞主							120																					23143			
|8154|8155|8156|8157|8158|8159|	|50024|	倚天剑	基础闪避+12.5%/n自身血量低于46%时，普通攻击有19%的概率提升自身50%攻速和11%物理吸血，持续5秒	许褚										125																		23253			
|8284|8285|8286|8287|8288|8289|	|50024|	倚天剑	攻击+12.5%/n在变小和缴械状态下，若被攻击则提升自身20%生命上限，持续6秒	郭嘉							125																					23273			
|8564|8565|8566|8567|8568|8569|	|50024|	倚天剑	生命+12.5%/n受到攻击时，有2.5%概率提高自身20%生命上限，持续10秒	魏延								125																				23353			
|9724|9725|9726|9727|9728|9729|	|50024|	倚天剑	CD缩减+12.5%/n释放技能时，若自身有甘宁增益效果，则提高35%攻击，持续5秒	沈莹		125																										23043			
|10144|10145|10146|10147|10148|10149|	|50024|	倚天剑	攻击+12.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵20%血量和攻击，持续5秒	带来洞主							125																					23143			
|8154|8155|8156|8157|8158|8159|	|50025|	倚天剑	基础闪避+13%/n自身血量低于48%时，普通攻击有22%的概率提升自身50%攻速和13%物理吸血，持续5秒	许褚										130																		23254			
|8284|8285|8286|8287|8288|8289|	|50025|	倚天剑	攻击+13%/n在变小和缴械状态下，若被攻击则提升自身25%生命上限，持续6秒	郭嘉							130																					23274			
|8564|8565|8566|8567|8568|8569|	|50025|	倚天剑	生命+13%/n受到攻击时，有3%概率提高自身25%生命上限，持续10秒	魏延								130																				23354			
|9724|9725|9726|9727|9728|9729|	|50025|	倚天剑	CD缩减+13%/n释放技能时，若自身有甘宁增益效果，则提高40%攻击，持续5秒	沈莹		130																										23044			
|10144|10145|10146|10147|10148|10149|	|50025|	倚天剑	攻击+13%n释放技能时，提高自身飞刀兵藤甲兵象兵25%血量和攻击，持续5秒	带来洞主							130																					23144			
|8154|8155|8156|8157|8158|8159|	|50026|	倚天剑	基础闪避+13.5%/n自身血量低于48%时，普通攻击有22%的概率提升自身50%攻速和13%物理吸血，持续5秒	许褚										135																		23254			
|8284|8285|8286|8287|8288|8289|	|50026|	倚天剑	攻击+13.5%/n在变小和缴械状态下，若被攻击则提升自身25%生命上限，持续6秒	郭嘉							135																					23274			
|8564|8565|8566|8567|8568|8569|	|50026|	倚天剑	生命+13.5%/n受到攻击时，有3%概率提高自身25%生命上限，持续10秒	魏延								135																				23354			
|9724|9725|9726|9727|9728|9729|	|50026|	倚天剑	CD缩减+13.5%/n释放技能时，若自身有甘宁增益效果，则提高40%攻击，持续5秒	沈莹		135																										23044			
|10144|10145|10146|10147|10148|10149|	|50026|	倚天剑	攻击+13.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵25%血量和攻击，持续5秒	带来洞主							135																					23144			
|8154|8155|8156|8157|8158|8159|	|50027|	倚天剑	基础闪避+14%/n自身血量低于48%时，普通攻击有22%的概率提升自身50%攻速和13%物理吸血，持续5秒	许褚										140																		23254			
|8284|8285|8286|8287|8288|8289|	|50027|	倚天剑	攻击+14%/n在变小和缴械状态下，若被攻击则提升自身25%生命上限，持续6秒	郭嘉							140																					23274			
|8564|8565|8566|8567|8568|8569|	|50027|	倚天剑	生命+14%/n受到攻击时，有3%概率提高自身25%生命上限，持续10秒	魏延								140																				23354			
|9724|9725|9726|9727|9728|9729|	|50027|	倚天剑	CD缩减+14%/n释放技能时，若自身有甘宁增益效果，则提高40%攻击，持续5秒	沈莹		140																										23044			
|10144|10145|10146|10147|10148|10149|	|50027|	倚天剑	攻击+14%/n释放技能时，提高自身飞刀兵藤甲兵象兵25%血量和攻击，持续5秒	带来洞主							140																					23144			
|8154|8155|8156|8157|8158|8159|	|50028|	倚天剑	基础闪避+14.5%/n自身血量低于48%时，普通攻击有22%的概率提升自身50%攻速和13%物理吸血，持续5秒	许褚										145																		23254			
|8284|8285|8286|8287|8288|8289|	|50028|	倚天剑	攻击+14.5%/n在变小和缴械状态下，若被攻击则提升自身25%生命上限，持续6秒	郭嘉							145																					23274			
|8564|8565|8566|8567|8568|8569|	|50028|	倚天剑	生命+14.5%/n受到攻击时，有3%概率提高自身25%生命上限，持续10秒	魏延								145																				23354			
|9724|9725|9726|9727|9728|9729|	|50028|	倚天剑	CD缩减+14.5%/n释放技能时，若自身有甘宁增益效果，则提高40%攻击，持续5秒	沈莹		145																										23044			
|10144|10145|10146|10147|10148|10149|	|50028|	倚天剑	攻击+14.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵25%血量和攻击，持续5秒	带来洞主							145																					23144			
|8154|8155|8156|8157|8158|8159|	|50029|	倚天剑	基础闪避+15%/n自身血量低于48%时，普通攻击有22%的概率提升自身50%攻速和13%物理吸血，持续5秒	许褚										150																		23254			
|8284|8285|8286|8287|8288|8289|	|50029|	倚天剑	攻击+15%/n在变小和缴械状态下，若被攻击则提升自身25%生命上限，持续6秒	郭嘉							150																					23274			
|8564|8565|8566|8567|8568|8569|	|50029|	倚天剑	生命+15%/n受到攻击时，有3%概率提高自身25%生命上限，持续10秒	魏延								150																				23354			
|9724|9725|9726|9727|9728|9729|	|50029|	倚天剑	CD缩减+15%/n释放技能时，若自身有甘宁增益效果，则提高40%攻击，持续5秒	沈莹		150																										23044			
|10144|10145|10146|10147|10148|10149|	|50029|	倚天剑	攻击+15%/n释放技能时，提高自身飞刀兵藤甲兵象兵25%血量和攻击，持续5秒	带来洞主							150																					23144			
|8154|8155|8156|8157|8158|8159|	|50030|	倚天剑	基础闪避+15.5%/n自身血量低于50%时，普通攻击有25%的概率提升自身50%攻速和15%物理吸血，持续5秒	许褚										155																		23255			
|8284|8285|8286|8287|8288|8289|	|50030|	倚天剑	攻击+15.5%/n在变小和缴械状态下，若被攻击则提升自身30%生命上限，持续6秒	郭嘉							155																					23275			
|8564|8565|8566|8567|8568|8569|	|50030|	倚天剑	生命+15.5%/n受到攻击时，有3.5%概率提高自身30%生命上限，持续10秒	魏延								155																				23355			
|9724|9725|9726|9727|9728|9729|	|50030|	倚天剑	CD缩减+15.5%/n释放技能时，若自身有甘宁增益效果，则提高50%攻击，持续5秒	沈莹		155																										23045			
|10144|10145|10146|10147|10148|10149|	|50030|	倚天剑	攻击+15.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵30%血量和攻击，持续5秒	带来洞主							155																					23145			
|8154|8155|8156|8157|8158|8159|	|50031|	倚天剑	基础闪避+16%/n自身血量低于50%时，普通攻击有25%的概率提升自身50%攻速和15%物理吸血，持续5秒	许褚										160																		23255			
|8284|8285|8286|8287|8288|8289|	|50031|	倚天剑	攻击+16%/n在变小和缴械状态下，若被攻击则提升自身30%生命上限，持续6秒	郭嘉							160																					23275			
|8564|8565|8566|8567|8568|8569|	|50031|	倚天剑	生命+16%/n受到攻击时，有3.5%概率提高自身30%生命上限，持续10秒	魏延								160																				23355			
|9724|9725|9726|9727|9728|9729|	|50031|	倚天剑	CD缩减+16%/n释放技能时，若自身有甘宁增益效果，则提高50%攻击，持续5秒	沈莹		160																										23045			
|10144|10145|10146|10147|10148|10149|	|50031|	倚天剑	攻击+16%/n释放技能时，提高自身飞刀兵藤甲兵象兵30%血量和攻击，持续5秒	带来洞主							160																					23145			
|8154|8155|8156|8157|8158|8159|	|50032|	倚天剑	基础闪避+16.5%/n自身血量低于50%时，普通攻击有25%的概率提升自身50%攻速和15%物理吸血，持续5秒	许褚										165																		23255			
|8284|8285|8286|8287|8288|8289|	|50032|	倚天剑	攻击+16.5%/n在变小和缴械状态下，若被攻击则提升自身30%生命上限，持续6秒	郭嘉							165																					23275			
|8564|8565|8566|8567|8568|8569|	|50032|	倚天剑	生命+16.5%/n受到攻击时，有3.5%概率提高自身30%生命上限，持续10秒	魏延								165																				23355			
|9724|9725|9726|9727|9728|9729|	|50032|	倚天剑	CD缩减+16.5%/n释放技能时，若自身有甘宁增益效果，则提高50%攻击，持续5秒	沈莹		165																										23045			
