州ID	州名称	军团等级	特产类型	特产id	产出几率	特产数量	需求贡献
1002	冀州	5|8	10	7748	10	1	2830
1002	冀州	5|8	10	7613	10	1	7080
1002	冀州	5|8	10	7673	10	1	7080
1002	冀州	5|8	10	7708	10	1	7080
1002	冀州	9|11	10	7613	10	1	7080
1002	冀州	9|11	10	7673	10	1	7080
1002	冀州	9|11	10	7708	10	1	7080
1002	冀州	9|11	10	7618	10	1	17700
1002	冀州	9|11	10	7698	10	1	17700
1002	冀州	12|14	10	7613	10	1	7080
1002	冀州	12|14	10	7673	10	1	7080
1002	冀州	12|14	10	7708	10	1	7080
1002	冀州	12|14	10	7618	20	1	17700
1002	冀州	12|14	10	7698	20	1	17700
1002	冀州	15|18	10	7618	10	1	17700
1002	冀州	15|18	10	7698	10	1	17700
1002	冀州	15|18	10	7688	10	1	70780
1002	冀州	15|18	10	7658	10	1	70780
1002	冀州	15|18	10	7693	10	1	70780
1002	冀州	19|20	10	7618	10	1	17700
1002	冀州	19|20	10	7698	10	1	17700
1002	冀州	19|20	10	7688	20	1	70780
1002	冀州	19|20	10	7658	20	1	70780
1002	冀州	19|20	10	7693	20	1	70780
1001	青州	1|4	10	7638	10	1	2830
1001	青州	1|4	10	7603	10	1	1130
1001	青州	1|4	10	7703	10	1	2830
1001	青州	5|8	10	7703	10	1	2830
1001	青州	5|8	10	7638	10	1	2830
1001	青州	5|8	10	7613	10	1	7080
1001	青州	5|8	10	7673	10	1	7080
1001	青州	5|8	10	7643	10	1	7080
1001	青州	9|11	10	7613	10	1	7080
1001	青州	9|11	10	7673	10	1	7080
1001	青州	9|11	10	7643	10	1	7080
1001	青州	9|11	10	7618	10	1	17700
1001	青州	9|11	10	7618	10	1	17700
1001	青州	12|14	10	7613	10	1	7080
1001	青州	12|14	10	7673	10	1	7080
1001	青州	12|14	10	7643	10	1	7080
1001	青州	12|14	10	7618	20	1	17700
1001	青州	12|14	10	7618	20	1	17700
1001	青州	15|18	10	7618	10	1	17700
1001	青州	15|18	10	7618	10	1	17700
1001	青州	15|18	10	7688	10	1	70780
1001	青州	15|18	10	7658	10	1	70780
1001	青州	15|18	10	7693	10	1	70780
1001	青州	19|20	10	7618	10	1	17700
1001	青州	19|20	10	7618	10	1	17700
1001	青州	19|20	10	7688	20	1	70780
1001	青州	19|20	10	7658	20	1	70780
1001	青州	19|20	10	7693	20	1	70780
1003	徐州	1|4	10	7603	10	1	1130
1003	徐州	1|4	10	7638	10	1	2830
1003	徐州	1|4	10	7703	10	1	2830
1003	徐州	5|8	10	7638	10	1	2830
1003	徐州	5|8	10	7703	10	1	2830
1003	徐州	5|8	10	7613	10	1	7080
1003	徐州	5|8	10	7643	10	1	7080
1003	徐州	5|8	10	7708	10	1	7080
1003	徐州	9|11	10	7613	10	1	7080
1003	徐州	9|11	10	7643	10	1	7080
1003	徐州	9|11	10	7708	10	1	7080
1003	徐州	9|11	10	7618	10	1	17700
1003	徐州	9|11	10	7653	10	1	17700
1003	徐州	9|11	10	7648	10	1	17700
1003	徐州	12|14	10	7613	10	1	7080
1003	徐州	12|14	10	7643	10	1	7080
1003	徐州	12|14	10	7708	10	1	7080
1003	徐州	12|14	10	7618	20	1	17700
1003	徐州	12|14	10	7653	20	1	17700
1003	徐州	12|14	10	7648	20	1	17700
1003	徐州	15|18	10	7618	10	1	17700
1003	徐州	15|18	10	7653	10	1	17700
1003	徐州	15|18	10	7648	10	1	17700
1003	徐州	15|18	10	7688	10	1	70780
1003	徐州	15|18	10	7658	10	1	70780
1003	徐州	15|18	10	7693	10	1	70780
1003	徐州	19|20	10	7618	10	1	17700
1003	徐州	19|20	10	7653	10	1	17700
1003	徐州	19|20	10	7648	10	1	17700
1003	徐州	19|20	10	7688	20	1	70780
1003	徐州	19|20	10	7658	20	1	70780
1003	徐州	19|20	10	7693	20	1	70780
1006	兖州	1|4	10	7603	10	1	1130
1006	兖州	1|4	10	7638	10	1	2830
1006	兖州	1|4	10	7703	10	1	2830
1006	兖州	5|8	10	7638	10	1	2830
1006	兖州	5|8	10	7703	10	1	2830
1006	兖州	5|8	10	7613	10	1	7080
1006	兖州	5|8	10	7643	10	1	7080
1006	兖州	5|8	10	7708	10	1	7080
1006	兖州	9|11	10	7613	10	1	7080
1006	兖州	9|11	10	7643	10	1	7080
1006	兖州	9|11	10	7708	10	1	7080
1006	兖州	9|11	10	7623	10	1	17700
1006	兖州	9|11	10	7623	10	1	17700
1006	兖州	12|14	10	7613	10	1	7080
1006	兖州	12|14	10	7643	10	1	7080
1006	兖州	12|14	10	7708	10	1	7080
1006	兖州	12|14	10	7623	20	1	17700
1006	兖州	12|14	10	7623	20	1	17700
1006	兖州	15|18	10	7623	10	1	17700
1006	兖州	15|18	10	7623	10	1	17700
1006	兖州	15|18	10	7688	10	1	70780
1006	兖州	15|18	10	7658	10	1	70780
1006	兖州	15|18	10	7693	10	1	70780
1006	兖州	19|20	10	7623	10	1	17700
1006	兖州	19|20	10	7623	10	1	17700
1006	兖州	19|20	10	7688	20	1	70780
1006	兖州	19|20	10	7658	20	1	70780
1006	兖州	19|20	10	7693	20	1	70780
1005	豫州	1|4	10	7603	10	1	1130
1005	豫州	1|4	10	7638	10	1	2830
1005	豫州	1|4	10	7703	10	1	2830
1005	豫州	5|8	10	7638	10	1	2830
1005	豫州	5|8	10	7703	10	1	2830
1005	豫州	5|8	10	7613	10	1	7080
1005	豫州	5|8	10	7643	10	1	7080
1005	豫州	5|8	10	7708	10	1	7080
1005	豫州	9|11	10	7613	10	1	7080
1005	豫州	9|11	10	7643	10	1	7080
1005	豫州	9|11	10	7708	10	1	7080
1005	豫州	9|11	10	7648	10	1	17700
1005	豫州	9|11	10	7653	10	1	17700
1005	豫州	9|11	10	7623	10	1	17700
1005	豫州	12|14	10	7613	10	1	7080
1005	豫州	12|14	10	7643	10	1	7080
1005	豫州	12|14	10	7708	10	1	7080
1005	豫州	12|14	10	7648	20	1	17700
1005	豫州	12|14	10	7653	20	1	17700
1005	豫州	12|14	10	7623	20	1	17700
1005	豫州	15|18	10	7648	10	1	17700
1005	豫州	15|18	10	7653	10	1	17700
1005	豫州	15|18	10	7623	10	1	17700
1005	豫州	15|18	10	7688	10	1	70780
1005	豫州	15|18	10	7658	10	1	70780
1005	豫州	15|18	10	7693	10	1	70780
1005	豫州	19|20	10	7648	10	1	17700
1005	豫州	19|20	10	7653	10	1	17700
1005	豫州	19|20	10	7623	10	1	17700
1005	豫州	19|20	10	7688	20	1	70780
1005	豫州	19|20	10	7658	20	1	70780
1005	豫州	19|20	10	7693	20	1	70780
1000	并州	1|4	10	7603	10	1	1130
1000	并州	1|4	10	7718	10	1	2830
1000	并州	1|4	10	7748	10	1	2830
1000	并州	5|8	10	7718	10	1	2830
1000	并州	5|8	10	7748	10	1	2830
1000	并州	5|8	10	7613	10	1	7080
1000	并州	5|8	10	7643	10	1	7080
1000	并州	5|8	10	7673	10	1	7080
1000	并州	9|11	10	7613	10	1	7080
1000	并州	9|11	10	7643	10	1	7080
1000	并州	9|11	10	7673	10	1	7080
1000	并州	9|11	10	7618	10	1	17700
1000	并州	9|11	10	7763	10	1	17700
1000	并州	9|11	10	7678	10	1	17700
1000	并州	12|14	10	7613	10	1	7080
1000	并州	12|14	10	7643	10	1	7080
1000	并州	12|14	10	7673	10	1	7080
1000	并州	12|14	10	7618	20	1	17700
1000	并州	12|14	10	7763	20	1	17700
1000	并州	12|14	10	7678	20	1	17700
1000	并州	15|18	10	7618	10	1	17700
1000	并州	15|18	10	7763	10	1	17700
1000	并州	15|18	10	7678	10	1	17700
1000	并州	15|18	10	7688	10	1	70780
1000	并州	15|18	10	7658	10	1	70780
1000	并州	19|20	10	7618	10	1	17700
1000	并州	19|20	10	7763	10	1	17700
1000	并州	19|20	10	7678	10	1	17700
1000	并州	19|20	10	7688	20	1	70780
1000	并州	19|20	10	7658	20	1	70780
1013	司州	1|4	10	7603	10	1	1130
1013	司州	1|4	10	7638	10	1	2830
1013	司州	1|4	10	7703	10	1	2830
1013	司州	5|8	10	7638	10	1	2830
1013	司州	5|8	10	7703	10	1	2830
1013	司州	5|8	10	7733	10	1	7080
1013	司州	5|8	10	7643	10	1	7080
1013	司州	5|8	10	7738	10	1	7080
1013	司州	9|11	10	7733	10	1	7080
1013	司州	9|11	10	7643	10	1	7080
1013	司州	9|11	10	7738	10	1	7080
1013	司州	9|11	10	7763	10	1	17700
1013	司州	9|11	10	7678	10	1	17700
1013	司州	9|11	10	7623	10	1	17700
1013	司州	12|14	10	7733	10	1	7080
1013	司州	12|14	10	7643	10	1	7080
1013	司州	12|14	10	7738	10	1	7080
1013	司州	12|14	10	7763	20	1	17700
1013	司州	12|14	10	7678	20	1	17700
1013	司州	12|14	10	7623	20	1	17700
1013	司州	15|18	10	7763	10	1	17700
1013	司州	15|18	10	7678	10	1	17700
1013	司州	15|18	10	7623	10	1	17700
1013	司州	15|18	10	7688	10	1	70780
1013	司州	15|18	10	7658	10	1	70780
1013	司州	19|20	10	7763	10	1	17700
1013	司州	19|20	10	7678	10	1	17700
1013	司州	19|20	10	7623	10	1	17700
1013	司州	19|20	10	7688	20	1	70780
1013	司州	19|20	10	7658	20	1	70780
1015	京兆	1|4	10	7603	10	1	1130
1015	京兆	1|4	10	7638	10	1	2830
1015	京兆	1|4	10	7703	10	1	2830
1015	京兆	5|8	10	7638	10	1	2830
1015	京兆	5|8	10	7703	10	1	2830
1015	京兆	5|8	10	7733	10	1	7080
1015	京兆	5|8	10	7643	10	1	7080
1015	京兆	5|8	10	7738	10	1	7080
1015	京兆	9|11	10	7733	10	1	7080
1015	京兆	9|11	10	7643	10	1	7080
1015	京兆	9|11	10	7738	10	1	7080
1015	京兆	9|11	10	7763	10	1	17700
1015	京兆	9|11	10	7678	10	1	17700
1015	京兆	9|11	10	7623	10	1	17700
1015	京兆	12|14	10	7733	10	1	7080
1015	京兆	12|14	10	7643	10	1	7080
1015	京兆	12|14	10	7738	10	1	7080
1015	京兆	12|14	10	7763	20	1	17700
1015	京兆	12|14	10	7678	20	1	17700
1015	京兆	12|14	10	7623	20	1	17700
1015	京兆	15|18	10	7763	10	1	17700
1015	京兆	15|18	10	7678	10	1	17700
1015	京兆	15|18	10	7623	10	1	17700
1015	京兆	15|18	10	7688	10	1	70780
1015	京兆	15|18	10	7658	10	1	70780
1015	京兆	15|18	10	7693	10	1	70780
1015	京兆	19|20	10	7763	10	1	17700
1015	京兆	19|20	10	7678	10	1	17700
1015	京兆	19|20	10	7623	10	1	17700
1015	京兆	19|20	10	7688	20	1	70780
1015	京兆	19|20	10	7658	20	1	70780
1015	京兆	19|20	10	7693	20	1	70780
1012	雍州	1|4	10	7638	10	1	2830
1012	雍州	1|4	10	7603	10	1	1130
1012	雍州	5|8	10	7638	10	1	2830
1012	雍州	5|8	10	7738	10	1	7080
1012	雍州	5|8	10	7613	10	1	7080
1012	雍州	5|8	10	7733	10	1	7080
1012	雍州	9|11	10	7738	10	1	7080
1012	雍州	9|11	10	7613	10	1	7080
1012	雍州	9|11	10	7733	10	1	7080
1012	雍州	9|11	10	7763	10	1	17700
1012	雍州	9|11	10	7678	10	1	17700
1012	雍州	9|11	10	7653	10	1	17700
1012	雍州	12|14	10	7738	10	1	7080
1012	雍州	12|14	10	7613	10	1	7080
1012	雍州	12|14	10	7733	10	1	7080
1012	雍州	12|14	10	7763	20	1	17700
1012	雍州	12|14	10	7678	20	1	17700
1012	雍州	12|14	10	7653	20	1	17700
1012	雍州	15|18	10	7763	10	1	17700
1012	雍州	15|18	10	7678	10	1	17700
1012	雍州	15|18	10	7653	10	1	17700
1012	雍州	15|18	10	7768	10	1	70780
1012	雍州	15|18	10	7628	10	1	70780
1012	雍州	15|18	10	7693	10	1	70780
1012	雍州	19|20	10	7763	10	1	17700
1012	雍州	19|20	10	7678	10	1	17700
1012	雍州	19|20	10	7653	10	1	17700
1012	雍州	19|20	10	7768	20	1	70780
1012	雍州	19|20	10	7628	20	1	70780
1012	雍州	19|20	10	7693	20	1	70780
1004	凉州	1|4	10	7638	10	1	2830
1004	凉州	1|4	10	7603	10	1	1130
1004	凉州	5|8	10	7638	10	1	2830
1004	凉州	5|8	10	7738	10	1	7080
1004	凉州	5|8	10	7613	10	1	7080
1004	凉州	5|8	10	7733	10	1	7080
1004	凉州	9|11	10	7738	10	1	7080
1004	凉州	9|11	10	7613	10	1	7080
1004	凉州	9|11	10	7733	10	1	7080
1004	凉州	9|11	10	7763	10	1	17700
1004	凉州	9|11	10	7678	10	1	17700
1004	凉州	12|14	10	7738	10	1	7080
1004	凉州	12|14	10	7613	10	1	7080
1004	凉州	12|14	10	7733	10	1	7080
1004	凉州	12|14	10	7763	20	1	17700
1004	凉州	12|14	10	7678	20	1	17700
1004	凉州	15|18	10	7763	10	1	17700
1004	凉州	15|18	10	7678	10	1	17700
1004	凉州	15|18	10	7688	10	1	70780
1004	凉州	15|18	10	7693	10	1	70780
1004	凉州	19|20	10	7763	10	1	17700
1004	凉州	19|20	10	7678	10	1	17700
1004	凉州	19|20	10	7688	20	1	70780
1004	凉州	19|20	10	7693	20	1	70780
1010	益州北	1|4	10	7603	10	1	1130
1010	益州北	1|4	10	7638	10	1	2830
1010	益州北	1|4	10	7608	10	1	2830
1010	益州北	5|8	10	7638	10	1	2830
1010	益州北	5|8	10	7608	10	1	2830
1010	益州北	5|8	10	7738	10	1	7080
1010	益州北	5|8	10	7613	10	1	7080
1010	益州北	5|8	10	7708	10	1	7080
1010	益州北	9|11	10	7738	10	1	7080
1010	益州北	9|11	10	7613	10	1	7080
1010	益州北	9|11	10	7708	10	1	7080
1010	益州北	9|11	10	7653	10	1	17700
1010	益州北	9|11	10	7653	10	1	17700
1010	益州北	12|14	10	7738	10	1	7080
1010	益州北	12|14	10	7613	10	1	7080
1010	益州北	12|14	10	7708	10	1	7080
1010	益州北	12|14	10	7653	20	1	17700
1010	益州北	12|14	10	7653	20	1	17700
1010	益州北	15|18	10	7653	10	1	17700
1010	益州北	15|18	10	7653	10	1	17700
1010	益州北	15|18	10	7768	10	1	70780
1010	益州北	15|18	10	7628	10	1	70780
1010	益州北	19|20	10	7653	10	1	17700
1010	益州北	19|20	10	7653	10	1	17700
1010	益州北	19|20	10	7768	20	1	70780
1010	益州北	19|20	10	7628	20	1	70780
1019	益州南	1|4	10	7603	10	1	1130
1019	益州南	1|4	10	7608	10	1	2830
1019	益州南	1|4	10	7703	10	1	2830
1019	益州南	5|8	10	7608	10	1	2830
1019	益州南	5|8	10	7703	10	1	2830
1019	益州南	5|8	10	7738	10	1	7080
1019	益州南	5|8	10	7708	10	1	7080
1019	益州南	9|11	10	7738	10	1	7080
1019	益州南	9|11	10	7708	10	1	7080
1019	益州南	9|11	10	7653	10	1	17700
1019	益州南	9|11	10	7698	10	1	17700
1019	益州南	12|14	10	7738	10	1	7080
1019	益州南	12|14	10	7708	10	1	7080
1019	益州南	12|14	10	7653	20	1	17700
1019	益州南	12|14	10	7698	20	1	17700
1019	益州南	15|18	10	7653	10	1	17700
1019	益州南	15|18	10	7698	10	1	17700
1019	益州南	15|18	10	7728	10	1	70780
1019	益州南	15|18	10	7768	10	1	70780
1019	益州南	15|18	10	7628	10	1	70780
1019	益州南	19|20	10	7653	10	1	17700
1019	益州南	19|20	10	7698	10	1	17700
1019	益州南	19|20	10	7728	20	1	70780
1019	益州南	19|20	10	7768	20	1	70780
1019	益州南	19|20	10	7628	20	1	70780
1016	南中	1|4	10	7723	10	1	1130
1016	南中	1|4	10	7608	10	1	2830
1016	南中	5|8	10	7608	10	1	2830
1016	南中	5|8	10	7738	10	1	7080
1016	南中	9|11	10	7738	10	1	7080
1016	南中	9|11	10	7738	10	1	7080
1016	南中	9|11	10	7653	10	1	17700
1016	南中	9|11	10	7653	10	1	17700
1016	南中	12|14	10	7738	10	1	7080
1016	南中	12|14	10	7738	10	1	7080
1016	南中	12|14	10	7653	20	1	17700
1016	南中	12|14	10	7653	20	1	17700
1016	南中	15|18	10	7653	10	1	17700
1016	南中	15|18	10	7653	10	1	17700
1016	南中	15|18	10	7768	10	1	70780
1016	南中	15|18	10	7683	10	1	70780
1016	南中	15|18	10	7728	10	1	70780
1016	南中	19|20	10	7653	10	1	17700
1016	南中	19|20	10	7653	10	1	17700
1016	南中	19|20	10	7768	20	1	70780
1016	南中	19|20	10	7683	20	1	70780
1016	南中	19|20	10	7728	20	1	70780
1008	荆州北	1|4	10	7603	10	1	1130
1008	荆州北	1|4	10	7638	10	1	2830
1008	荆州北	1|4	10	7703	10	1	2830
1008	荆州北	5|8	10	7638	10	1	2830
1008	荆州北	5|8	10	7703	10	1	2830
1008	荆州北	5|8	10	7613	10	1	7080
1008	荆州北	5|8	10	7643	10	1	7080
1008	荆州北	5|8	10	7708	10	1	7080
1008	荆州北	9|11	10	7613	10	1	7080
1008	荆州北	9|11	10	7643	10	1	7080
1008	荆州北	9|11	10	7708	10	1	7080
1008	荆州北	9|11	10	7648	10	1	17700
1008	荆州北	9|11	10	7653	10	1	17700
1008	荆州北	9|11	10	7623	10	1	17700
1008	荆州北	12|14	10	7613	10	1	7080
1008	荆州北	12|14	10	7643	10	1	7080
1008	荆州北	12|14	10	7708	10	1	7080
1008	荆州北	12|14	10	7648	20	1	17700
1008	荆州北	12|14	10	7653	20	1	17700
1008	荆州北	12|14	10	7623	20	1	17700
1008	荆州北	15|18	10	7648	10	1	17700
1008	荆州北	15|18	10	7653	10	1	17700
1008	荆州北	15|18	10	7623	10	1	17700
1008	荆州北	15|18	10	7628	10	1	70780
1008	荆州北	15|18	10	7693	10	1	70780
1008	荆州北	19|20	10	7648	10	1	17700
1008	荆州北	19|20	10	7653	10	1	17700
1008	荆州北	19|20	10	7623	10	1	17700
1008	荆州北	19|20	10	7628	20	1	70780
1008	荆州北	19|20	10	7693	20	1	70780
1009	荆州南	1|4	10	7603	10	1	1130
1009	荆州南	1|4	10	7638	10	1	2830
1009	荆州南	1|4	10	7608	10	1	2830
1009	荆州南	5|8	10	7638	10	1	2830
1009	荆州南	5|8	10	7608	10	1	2830
1009	荆州南	5|8	10	7613	10	1	7080
1009	荆州南	5|8	10	7708	10	1	7080
1009	荆州南	9|11	10	7613	10	1	7080
1009	荆州南	9|11	10	7708	10	1	7080
1009	荆州南	9|11	10	7648	10	1	17700
1009	荆州南	9|11	10	7653	10	1	17700
1009	荆州南	9|11	10	7623	10	1	17700
1009	荆州南	12|14	10	7613	10	1	7080
1009	荆州南	12|14	10	7708	10	1	7080
1009	荆州南	12|14	10	7648	20	1	17700
1009	荆州南	12|14	10	7653	20	1	17700
1009	荆州南	12|14	10	7623	20	1	17700
1009	荆州南	15|18	10	7648	10	1	17700
1009	荆州南	15|18	10	7653	10	1	17700
1009	荆州南	15|18	10	7623	10	1	17700
1009	荆州南	15|18	10	7728	10	1	70780
1009	荆州南	15|18	10	7768	10	1	70780
1009	荆州南	15|18	10	7628	10	1	70780
1009	荆州南	19|20	10	7648	10	1	17700
1009	荆州南	19|20	10	7653	10	1	17700
1009	荆州南	19|20	10	7623	10	1	17700
1009	荆州南	19|20	10	7728	20	1	70780
1009	荆州南	19|20	10	7768	20	1	70780
1009	荆州南	19|20	10	7628	20	1	70780
1011	扬州北	1|4	10	7603	10	1	1130
1011	扬州北	1|4	10	7638	10	1	2830
1011	扬州北	1|4	10	7703	10	1	2830
1011	扬州北	5|8	10	7638	10	1	2830
1011	扬州北	5|8	10	7703	10	1	2830
1011	扬州北	5|8	10	7613	10	1	7080
1011	扬州北	5|8	10	7643	10	1	7080
1011	扬州北	5|8	10	7708	10	1	7080
1011	扬州北	9|11	10	7613	10	1	7080
1011	扬州北	9|11	10	7643	10	1	7080
1011	扬州北	9|11	10	7708	10	1	7080
1011	扬州北	9|11	10	7648	10	1	17700
1011	扬州北	9|11	10	7653	10	1	17700
1011	扬州北	9|11	10	7623	10	1	17700
1011	扬州北	12|14	10	7613	10	1	7080
1011	扬州北	12|14	10	7643	10	1	7080
1011	扬州北	12|14	10	7708	10	1	7080
1011	扬州北	12|14	10	7648	20	1	17700
1011	扬州北	12|14	10	7653	20	1	17700
1011	扬州北	12|14	10	7623	20	1	17700
1011	扬州北	15|18	10	7648	10	1	17700
1011	扬州北	15|18	10	7653	10	1	17700
1011	扬州北	15|18	10	7623	10	1	17700
1011	扬州北	15|18	10	7628	10	1	70780
1011	扬州北	15|18	10	7658	10	1	70780
1011	扬州北	19|20	10	7648	10	1	17700
1011	扬州北	19|20	10	7653	10	1	17700
1011	扬州北	19|20	10	7623	10	1	17700
1011	扬州北	19|20	10	7628	20	1	70780
1011	扬州北	19|20	10	7658	20	1	70780
1018	扬州南	1|4	10	7603	10	1	1130
1018	扬州南	1|4	10	7638	10	1	2830
1018	扬州南	1|4	10	7608	10	1	2830
1018	扬州南	5|8	10	7638	10	1	2830
1018	扬州南	5|8	10	7608	10	1	2830
1018	扬州南	5|8	10	7613	10	1	7080
1018	扬州南	5|8	10	7613	10	1	7080
1018	扬州南	9|11	10	7613	10	1	7080
1018	扬州南	9|11	10	7613	10	1	7080
1018	扬州南	9|11	10	7648	10	1	17700
1018	扬州南	9|11	10	7698	10	1	17700
1018	扬州南	12|14	10	7613	10	1	7080
1018	扬州南	12|14	10	7613	10	1	7080
1018	扬州南	12|14	10	7648	20	1	17700
1018	扬州南	12|14	10	7698	20	1	17700
1018	扬州南	15|18	10	7648	10	1	17700
1018	扬州南	15|18	10	7698	10	1	17700
1018	扬州南	15|18	10	7728	10	1	70780
1018	扬州南	15|18	10	7768	10	1	70780
1018	扬州南	19|20	10	7648	10	1	17700
1018	扬州南	19|20	10	7698	10	1	17700
1018	扬州南	19|20	10	7728	20	1	70780
1018	扬州南	19|20	10	7768	20	1	70780
1014	交州	1|4	10	7723	10	1	1130
1014	交州	1|4	10	7608	10	1	2830
1014	交州	5|8	10	7608	10	1	2830
1014	交州	5|8	10	7738	10	1	7080
1014	交州	9|11	10	7738	10	1	7080
1014	交州	9|11	10	7738	10	1	7080
1014	交州	9|11	10	7698	10	1	17700
1014	交州	9|11	10	7698	10	1	17700
1014	交州	12|14	10	7738	10	1	7080
1014	交州	12|14	10	7738	10	1	7080
1014	交州	12|14	10	7698	20	1	17700
1014	交州	12|14	10	7698	20	1	17700
1014	交州	15|18	10	7698	10	1	17700
1014	交州	15|18	10	7698	10	1	17700
1014	交州	15|18	10	7683	10	1	70780
1014	交州	15|18	10	7728	10	1	70780
1014	交州	19|20	10	7698	10	1	17700
1014	交州	19|20	10	7698	10	1	17700
1014	交州	19|20	10	7683	20	1	70780
1014	交州	19|20	10	7728	20	1	70780
