chengchiid	兵种	abstractid	攻速	CD缩减	移动速度	护甲值	魔甲	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	equipid	物伤加成	法伤加成	回复效果	描述	备注1	备注2
4005	2								50																					24805				骑兵攻击+5%	济南	平原
4006	2								50																					24805				骑兵攻击+5%	平原	平原
5001	3												50																	24805				器械攻城攻击+5%	琅琊	城郭
5002	2								50																					24805				骑兵攻击+5%	彭城	平原
5003	2								50																					24805				骑兵攻击+5%	下邳	平原
5004	2								50																					24805				骑兵攻击+5%	小沛	平原
5005	1								50																					24802				弓兵攻击+5%	淮陵	水域
5006	1								50																					24802				弓兵攻击+5%	淮阴	水域
5007	2								50																					24805				骑兵攻击+5%	射阳	平原
5008	1								50																					24804				弓兵攻击+5%	盐渎	水域
5009	2								50																					24802				骑兵攻击+5%	广陵	平原
5010	1								50																					24804				弓兵攻击+5%	海陵	水域
6001	0								50																					24800				步兵攻击+5%	泰山	山地
6002	3												50																	24805				器械攻城攻击+5%	东阿	城郭
6003	3												50																	24805				器械攻城攻击+5%	东平	城郭
6004	3												50																	24805				器械攻城攻击+5%	任城	城郭
6005	3												50																	24802				器械攻击+5%	白马	城郭
6006	3												50																	24805				器械攻城攻击+5%	濮阳	城郭
6007	3												50																	24805				器械攻城攻击+5%	定陶	城郭
6008	2								50																					24802				骑兵攻击+5%	陈留	平原
7001	2								50																					24805				骑兵攻击+5%	许昌	平原
7002	1								50																					24805				弓兵攻击+5%	颖阴	水域
7003	3												50																	24802				器械攻击+5%	舞阳	城郭
7004	2								50																					24805				骑兵攻击+5%	陈	平原
7005	2								50																					24802				骑兵攻击+5%	汝南	平原
7006	1								50																					24805				弓兵攻击+5%	汝阴	水域
7007	3												50																	24805				器械攻城攻击+5%	安阳	城郭
7008	2								50																					24805				骑兵攻击+5%	谯	平原
7009	0								50																					24803				步兵攻击+5%	芒砀山	山地
7010	0								50																					24800				步兵攻击+5%	弋阳	山地
7011	3												50																	24802				器械攻击+5%	西阳	城郭
7012	1								50																					24802				弓兵攻击+5%	安丰	水域
8001	0								50																					24800				步兵攻击+5%	乐平	山地
8002	0								50																					24805				步兵攻击+5%	雁门	山地
8003	3												50																	24802				器械攻击+5%	马邑	城郭
8004	0								50																					24800				步兵攻击+5%	晋阳	山地
8005	0								50																					24800				步兵攻击+5%	上党	山地
8006	0								50																					24803				步兵攻击+5%	壶关	山地
8007	3												50																	24800				器械攻城攻击+5%	西河	城郭
8008	3												50																	24805				器械攻城攻击+5%	上郡	城郭
8009	3												50																	24800				器械攻城攻击+5%	定襄	城郭
8010	2								50																					24802				骑兵攻击+5%	云中	平原
8011	0								50																					24800				步兵攻击+5%	九原	山地
8012	2								50																					24802				骑兵攻击+5%	朔方	平原
9001	3												50																	24805				器械攻城攻击+5%	平阳	城郭
9002	0								50																					24803				步兵攻击+5%	箕关	山地
9003	2								50																					24805				骑兵攻击+5%	河东	平原
9004	3												50																	24805				器械攻城攻击+5%	河内	城郭
9005	3												50																	24805				器械攻城攻击+5%	荥阳	城郭
9006	3												50																	24805				器械攻城攻击+5%	中牟	城郭
9007	2								50																					24805				骑兵攻击+5%	洛阳	平原
9008	0								50																					24800				步兵攻击+5%	弘农	山地
9009	0								50																					24803				步兵攻击+5%	函谷关	山地
9010	3												50																	24805				器械攻城攻击+5%	渑池	城郭
10001	2								50																					24802				骑兵攻击+5%	冯翊	平原
10002	2								50																					24805				骑兵攻击+5%	长安	平原
10003	0								50																					24803				步兵攻击+5%	潼关	山地
10004	0								50																					24803				步兵攻击+5%	武关	山地
10005	3												50																	24805				器械攻城攻击+5%	商县	城郭
10006	2								50																					24802				骑兵攻击+5%	扶风	平原
10007	0								50																					24803				步兵攻击+5%	五丈原	山地
10008	3												50																	24800				器械攻城攻击+5%	陈仓	城郭
10009	0								50																					24803				步兵攻击+5%	子午谷	山地
11001	3												50																	24805				器械攻城攻击+5%	新平	城郭
11002	0								50																					24800				步兵攻击+5%	安定	山地
11003	0								50																					24803				步兵攻击+5%	街亭	山地
11004	0								50																					24800				步兵攻击+5%	天水	山地
11005	0								50																					24800				步兵攻击+5%	上邽	山地
11006	0								50																					24800				步兵攻击+5%	陇西	山地
11007	0								50																					24800				步兵攻击+5%	枹罕	山地
11008	0								50																					24800				步兵攻击+5%	狄道	山地
11009	2								50																					24805				骑兵攻击+5%	临洮	平原
12001	0								50																					24800				步兵攻击+5%	北地	山地
12002	0								50																					24802				步兵攻击+5%	鹯阴口	山地
12003	2								50																					24802				骑兵攻击+5%	武威	平原
12004	0								50																					24800				步兵攻击+5%	金城	山地
12005	0								50																					24800				步兵攻击+5%	西平	山地
12006	3												50																	24805				器械攻城攻击+5%	张掖	城郭
12007	0								50																					24805				步兵攻击+5%	酒泉	山地
12008	0								50																					24800				步兵攻击+5%	敦煌	山地
12009	0								50																					24800				步兵攻击+5%	居延	山地
13001	3												50																	24800				器械攻城攻击+5%	武都	城郭
13002	2								50																					24805				骑兵攻击+5%	汉中	平原
13003	0								50																					24803				步兵攻击+5%	阳关	山地
13004	3												50																	24802				器械攻击+5%	沓中	城郭
13005	0								50																					24805				步兵攻击+5%	阴平	山地
13006	1								50																					24805				弓兵攻击+5%	梓潼	水域
13007	1								50																					24805				弓兵攻击+5%	江油	水域
13008	0								50																					24803				步兵攻击+5%	剑阁	山地
13009	0								50																					24803				步兵攻击+5%	白水关	山地
13010	0								50																					24803				步兵攻击+5%	涪关	山地
13011	0								50																					24800				步兵攻击+5%	阆中	山地
14001	0								50																					24800				步兵攻击+5%	绵竹	山地
14002	2								50																					24805				骑兵攻击+5%	德阳	平原
14003	2								50																					24805				骑兵攻击+5%	成都	平原
14004	0								50																					24803				步兵攻击+5%	临邛	山地
14005	0								50																					24800				步兵攻击+5%	永安	山地
14006	1								50																					24805				弓兵攻击+5%	江州	水域
14007	0								50																					24803				步兵攻击+5%	临江	山地
14008	1								50																					24805				弓兵攻击+5%	涪陵	水域
14009	0								50																					24800				步兵攻击+5%	汉嘉	山地
14010	2								50																					24805				骑兵攻击+5%	犍为	平原
14011	0								50																					24803				步兵攻击+5%	江阳	山地
15001	0								50																					24800				步兵攻击+5%	越隽	山地
15002	3												50																	24800				器械攻城攻击+5%	朱提	城郭
15003	0								50																					24800				步兵攻击+5%	建宁	山地
15004	0								50																					24800				步兵攻击+5%	云南	山地
15005	0								50																					24803				步兵攻击+5%	邪龙	山地
15006	1								50																					24805				弓兵攻击+5%	永昌	水域
15007	2								50																					24805				骑兵攻击+5%	牂牁	平原
15008	0								50																					24800				步兵攻击+5%	夜郎	山地
16001	3												50																	24805				器械攻城攻击+5%	宛	城郭
16002	3												50																	24805				器械攻城攻击+5%	博望	城郭
16003	1								50																					24805				弓兵攻击+5%	安昌	水域
16004	2								50																					24805				骑兵攻击+5%	新野	平原
16005	1								50																					24805				弓兵攻击+5%	随县	水域
16006	1								50																					24805				弓兵攻击+5%	襄阳	水域
16007	1								50																					24805				弓兵攻击+5%	南乡	水域
16008	1								50																					24805				弓兵攻击+5%	筑阳	水域
16009	0								50																					24803				步兵攻击+5%	武当	山地
16010	0								50																					24800				步兵攻击+5%	西城	山地
16011	3												50																	24805				器械攻城攻击+5%	上庸	城郭
16012	1								50																					24805				弓兵攻击+5%	江夏	水域
16013	3												50																	24800				器械攻城攻击+5%	房陵	城郭
17001	1								50																					24805				弓兵攻击+5%	秭归	水域
17002	3												50																	24805				器械攻城攻击+5%	夷道	城郭
17003	1								50																					24804				弓兵攻击+5%	猇亭	水域
17004	1								50																					24805				弓兵攻击+5%	江陵	水域
17005	0								50																					24800				步兵攻击+5%	麦城	山地
17006	0								50																					24803				步兵攻击+5%	华容	山地
17007	1								50																					24805				弓兵攻击+5%	公安	水域
17008	2								50																					24805				骑兵攻击+5%	武昌	平原
17009	1								50																					24804				弓兵攻击+5%	赤壁	水域
17010	3												50																	24805				器械攻城攻击+5%	巴陵	城郭
17011	2								50																					24805				骑兵攻击+5%	长沙	平原
17012	1								50																					24805				弓兵攻击+5%	武陵	水域
17013	1								50																					24805				弓兵攻击+5%	零陵	水域
17014	1								50																					24805				弓兵攻击+5%	桂林	水域
17015	0								50																					24800				步兵攻击+5%	桂阳	山地
18001	2								50																					24802				骑兵攻击+5%	合肥	平原
18002	2								50																					24805				骑兵攻击+5%	寿春	平原
18003	3												50																	24802				器械攻击+5%	平阿	城郭
18004	2								50																					24805				骑兵攻击+5%	建业	平原
18005	1								50																					24805				弓兵攻击+5%	阜陵	水域
18006	3												50																	24805				器械攻城攻击+5%	丹阳	城郭
18007	1								50																					24804				弓兵攻击+5%	宛陵	水域
18008	1								50																					24802				弓兵攻击+5%	六安	水域
18009	1								50																					24804				弓兵攻击+5%	濡须坞	水域
18010	1								50																					24802				弓兵攻击+5%	庐江	水域
19001	1								50																					24804				弓兵攻击+5%	毗陵	水域
19002	1								50																					24805				弓兵攻击+5%	吴县	水域
19003	1								50																					24805				弓兵攻击+5%	会稽	水域
19004	1								50																					24802				弓兵攻击+5%	新都	水域
19005	1								50																					24805				弓兵攻击+5%	鄱阳	水域
19006	1								50																					24805				弓兵攻击+5%	柴桑	水域
19007	1								50																					24805				弓兵攻击+5%	豫章	水域
19008	3												50																	24802				器械攻击+5%	阳陵	城郭
19009	1								50																					24802				弓兵攻击+5%	庐陵	水域
19010	1								50																					24805				弓兵攻击+5%	临海	水域
19011	0								50																					24800				步兵攻击+5%	永宁	山地
19012	3												50																	24805				器械攻城攻击+5%	建安	城郭
19013	3												50																	24804				器械攻击+5%	东安	城郭
19014	0								50																					24805				步兵攻击+5%	夷洲	山地
20001	1								50																					24805				弓兵攻击+5%	南海	水域
20002	0								50																					24805				步兵攻击+5%	苍梧	山地
20003	1								50																					24805				弓兵攻击+5%	郁林	水域
20004	3												50																	24805				器械攻城攻击+5%	合浦	城郭
20005	1								50																					24805				弓兵攻击+5%	朱崖	水域
20006	1								50																					24805				弓兵攻击+5%	交趾	水域
20007	3												50																	24805				器械攻城攻击+5%	九真	城郭
20008	1								50																					24805				弓兵攻击+5%	日南	水域
20009																																		步兵或器械攻击力加成2%	将星台	荆州北
