equipid		图纸	铜钱	材料1	材料2	材料3	材料4	条件	兵法	阵法	洞察	统率	兵种	partid
2056	狼牙盔	3056	34000	4019|40	4015|6				0	52	43	25	-1	0
2050	铁札铠	3050	34000	4006|40	4015|6				0	69	43	25	-1	1
2062	宝雕弓	3062	34000	4013|40	4015|6				59	17	0	25	-1	2
2118	诗经	3118	30000	4030|50	4015|30				64	0	86	31	-1	3
2108	紫骍	3108	30000	4031|50	4015|30				46	43	22	31	-1	4
2075	豹头盔	3075	16000	4019|70	4016|8				0	35	30	17	-1	0
2069	熟铜甲	3069	16000	4006|70	4016|8				0	47	30	17	-1	1
2081	蘸金斧	3081	16000	4013|70	4016|8				40	12	0	17	-1	2
2131	五火烈焰盔								0	92	77	44	-1	0
2132	狮纹吞云铠								0	123	77	44	-1	1
2133	龙舌弓								102	31	0	44	-1	2
2134	公羊								90	0	123	44	-1	3
2135	步景								64	61	31	44	-1	4
2057	熊头盔	3057	44000	4019|100	4016|12				0	65	54	31	-1	0
2051	金珠缨络	3051	44000	4006|100	4016|12				0	86	54	31	-1	1
2063	丈八长标	3063	44000	4013|100	4016|12				74	22	0	31	-1	2
2058	金凤冠	3058	50000	4019|180	4009|16				0	73	36	37	-1	0
2052	乌油铠	3052	50000	4006|180	4009|16				0	36	18	92	-1	1
2064	绿沉枪	3064	50000	4013|180	4009|16				117	18	0	18	-1	2
2040	玲珑盔	3040	58000	4019|180	4009|24				0	90	75	40	-1	0
2034	雁翎甲	3034	58000	4006|180	4009|24				0	120	75	40	-1	1
2046	虎头湛金枪	3046	58000	4013|180	4009|24				100	28	0	40	-1	2
2120	左传	3120	58000	4030|200	4009|24				88	0	120	40	-1	3
2110	快航	3110	58000	4031|200	4009|24				62	58	28	40	-1	4
2011	亮银狮子盔	3011	210800	4019|800	4009|60	4001|10			0	115	96	55	-1	0
2017	丹霞盔	3017	210800	4019|800	4009|60	4028|10			0	115	96	55	-1	0
2007	银龙铠	3007	210800	4006|800	4009|60	4001|10			0	154	96	55	-1	1
2003	灵龟铠	3003	210800	4006|800	4009|60	4028|10			0	154	96	55	-1	1
2021	龙胆亮银枪	3021	210800	4013|800	4009|60	4001|10			128	38	0	55	-1	2
2027	百辟三宝刀	3027	210800	4013|800	4009|60	4028|10			128	38	0	55	-1	2
2113	三略	3113	210800	4030|800	4009|60	4001|10			112	0	154	55	-1	3
2128	墨子	3128	210800	4030|800	4009|60	4028|10			112	0	154	55	-1	3
2103	白鹄	3103	210800	4031|800	4009|60	4001|10			80	77	38	55	-1	4
2125	奔雷	3125	210800	4031|800	4009|60	4028|10			80	77	38	55	-1	4
2015	紫金盔	3015	210800	4019|800	4009|60	4000|10			0	115	96	55	-1	0
2001	五折钢铠	3001	210800	4006|800	4009|60	4000|10			0	154	96	55	-1	1
2025	虎筋弦弓 	3025	210800	4013|800	4009|60	4000|10			128	38	0	55	-1	2
2124	战国策	3124	210800	4030|800	4009|60	4000|10			112	0	154	55	-1	3
2123	追风	3123	210800	4031|800	4009|60	4000|10			80	77	38	55	-1	4
2014	龙鳞盔	3014	197200	4019|360	4009|30				0	99	50	50	-1	0
2010	龙鳞铠	3010	197200	4006|360	4009|30				0	50	25	125	-1	1
2024	露陌刀	3024	197200	4013|360	4009|30				160	25	0	25	-1	2
2116	春秋	3116	197200	4030|480	4009|30				53	25	124	0	-1	3
2104	乌云踏雪	3104	197200	4031|480	4009|30				53	50	50	50	-1	4
2041	八角冲天盔	3041	120000	4019|400	4010|32				0	93	46	47	-1	0
2035	黄金掩心甲	3035	120000	4006|400	4010|32				0	46	23	116	-1	1
2047	雌雄双股剑	3047	120000	4013|400	4010|32				149	23	0	23	-1	2
2121	孟德新书	3121	120000	4030|400	4010|32				50	23	116	0	-1	3
2111	绝影	3111	120000	4031|800	4010|32				50	46	46	47	-1	4
2016	飞龙盔	3016	238000	4019|2000	4011|96	4003|20			0	144	120	69	1	0
2002	乌金锁子甲	3002	238000	4006|2000	4011|96	4003|20			0	192	120	69	1	1
2026	丈八蛇矛	3026	238000	4013|2000	4011|96	4003|20			160	48	0	69	1	2
2126	吕氏春秋	3126	238000	4030|2000	4011|96	4003|20			140	0	192	69	1	3
2127	乌孙	3127	238000	4031|2000	4011|96	4003|20			100	96	48	69	1	4
2013	五龙天王盔	3013	238000	4019|2000	4011|96	4004|20			0	144	120	69	3	0
2012	束发紫金冠	3012	238000	4019|2000	4011|96	4005|20			0	144	120	69	2	0
2018	青龙盔	3018	238000	4019|2000	4011|96	4002|20			0	144	120	69	0	0
2009	麒麟铠	3009	238000	4006|2000	4011|96	4004|20			0	192	120	69	3	1
2008	兽吞连环铠	3008	238000	4006|2000	4011|96	4005|20			0	192	120	69	2	1
2004	黄金锁子甲	3004	238000	4006|2000	4011|96	4002|20			0	192	120	69	0	1
2023	天决剑	3023	238000	4013|2000	4011|96	4004|20			160	48	0	69	3	2
2022	方天画戟	3022	238000	4013|2000	4011|96	4005|20			160	48	0	69	2	2
2028	青龙偃月刀	3028	238000	4013|2000	4011|96	4002|20			160	48	0	69	0	2
2115	尉缭子	3115	238000	4030|2000	4011|96	4004|20			140	0	192	69	3	3
2114	六韬	3114	238000	4030|2000	4011|96	4005|20			140	0	192	69	2	3
2130	韩非子	3130	238000	4030|2000	4011|96	4002|20			140	0	192	69	0	3
2105	爪黄飞电	3105	238000	4031|2000	4011|96	4004|20			100	96	48	69	3	4
2106	赤兔	3106	238000	4031|2000	4011|96	4005|20			100	96	48	69	2	4
2129	灰影	3129	238000	4031|2000	4011|96	4002|20			100	96	48	69	0	4
