fubenid	掉落种数	掉落类型	dropid	掉落几率	数量
1044	3	10	6047	4	1|1
1044	3	10	6048	1	1|1
1045	3	10	7000	85	1|1
1045	3	10	7005	85	1|1
1045	3	10	7010	85	1|1
1045	3	10	7015	85	1|1
1045	3	10	4019	340	1|1
1045	3	10	4006	340	1|1
1045	3	10	4013	340	1|1
1045	3	10	4030	340	1|1
1045	3	10	4031	340	1|1
1045	3	10	4019	680	2|2
1045	3	10	4006	680	2|2
1045	3	10	4013	680	2|2
1045	3	10	4030	680	2|2
1045	3	10	4031	680	2|2
1045	3	10	7527	85	1|2
1045	3	10	4009	1275	1|1
1045	3	10	4019	340	3|3
1045	3	10	4006	340	3|3
1045	3	10	4013	340	3|3
1045	3	10	4030	340	3|3
1045	3	10	4031	340	3|3
1045	3	10	6043	440	1|1
1045	3	10	6044	440	1|1
1045	3	10	6045	352	1|1
1045	3	10	6046	88	1|1
1045	3	10	6047	4	1|1
1045	3	10	6048	1	1|1
1046	3	10	7000	85	1|1
1046	3	10	7005	85	1|1
1046	3	10	7010	85	1|1
1046	3	10	7015	85	1|1
1046	3	10	4019	340	1|1
1046	3	10	4006	340	1|1
1046	3	10	4013	340	1|1
1046	3	10	4030	340	1|1
1046	3	10	4031	340	1|1
1046	3	10	4019	680	2|2
1046	3	10	4006	680	2|2
1046	3	10	4013	680	2|2
1046	3	10	4030	680	2|2
1046	3	10	4031	680	2|2
1046	3	10	7527	85	1|2
1046	3	10	4009	1275	1|1
1046	3	10	4019	340	3|3
1046	3	10	4006	340	3|3
1046	3	10	4013	340	3|3
1046	3	10	4030	340	3|3
1046	3	10	4031	340	3|3
1046	3	10	6043	440	1|1
1046	3	10	6044	440	1|1
1046	3	10	6045	352	1|1
1046	3	10	6046	88	1|1
1046	3	10	6047	4	1|1
1046	3	10	6048	1	1|1
1047	3	10	7000	83	1|1
1047	3	10	7005	83	1|1
1047	3	10	7010	83	1|1
1047	3	10	7015	83	1|1
1047	3	10	4019	332	1|1
1047	3	10	4006	332	1|1
1047	3	10	4013	332	1|1
1047	3	10	4030	332	1|1
1047	3	10	4031	332	1|1
1047	3	10	4019	664	2|2
1047	3	10	4006	664	2|2
1047	3	10	4013	664	2|2
1047	3	10	4030	664	2|2
1047	3	10	4031	664	2|2
1047	3	10	7527	83	1|2
1047	3	10	4009	1245	1|1
1047	3	10	4019	332	3|3
1047	3	10	4006	332	3|3
1047	3	10	4013	332	3|3
1047	3	10	4030	332	3|3
1047	3	10	4031	332	3|3
1047	3	10	4000	249	1|1
1047	3	10	6043	440	1|1
1047	3	10	6044	440	1|1
1047	3	10	6045	352	1|1
1047	3	10	6046	88	1|1
1047	3	10	6047	4	1|1
1047	3	10	6048	1	1|1
1053	3	10	7000	83	1|1
1053	3	10	7005	83	1|1
1053	3	10	7010	83	1|1
1053	3	10	7015	83	1|1
1053	3	10	4019	664	3|3
1053	3	10	4006	664	3|3
1053	3	10	4013	664	3|3
1053	3	10	4030	664	3|3
1053	3	10	4031	664	3|3
1053	3	10	4019	664	2|2
1053	3	10	4006	664	2|2
1053	3	10	4013	664	2|2
1053	3	10	4030	664	2|2
1053	3	10	4031	664	2|2
1053	3	10	7527	83	1|3
1053	3	10	4009	1245	1|1
1053	3	10	4000	249	1|1
1053	3	10	6043	440	1|1
1053	3	10	6044	440	1|1
1053	3	10	6045	352	1|1
1053	3	10	6046	88	1|1
1053	3	10	6047	4	1|1
1053	3	10	6048	1	1|1
1054	3	10	7000	83	1|1
1054	3	10	7005	83	1|1
1054	3	10	7010	83	1|1
1054	3	10	7015	83	1|1
1054	3	10	4019	664	3|3
1054	3	10	4006	664	3|3
1054	3	10	4013	664	3|3
1054	3	10	4030	664	3|3
1054	3	10	4031	664	3|3
1054	3	10	4019	664	2|2
1054	3	10	4006	664	2|2
1054	3	10	4013	664	2|2
1054	3	10	4030	664	2|2
1054	3	10	4031	664	2|2
1054	3	10	7527	83	1|3
1054	3	10	4009	1245	1|1
1054	3	10	4001	249	1|1
1054	3	10	6043	440	1|1
1054	3	10	6044	440	1|1
1054	3	10	6045	352	1|1
1054	3	10	6046	88	1|1
1054	3	10	6047	4	1|1
1054	3	10	6048	1	1|1
1055	3	10	7000	83	1|1
1055	3	10	7005	83	1|1
1055	3	10	7010	83	1|1
1055	3	10	7015	83	1|1
1055	3	10	4019	664	3|3
1055	3	10	4006	664	3|3
1055	3	10	4013	664	3|3
1055	3	10	4030	664	3|3
1055	3	10	4031	664	3|3
1055	3	10	4019	664	2|2
1055	3	10	4006	664	2|2
1055	3	10	4013	664	2|2
1055	3	10	4030	664	2|2
1055	3	10	4031	664	2|2
1055	3	10	7527	83	1|3
1055	3	10	4009	1245	1|1
1055	3	10	4028	249	1|1
1055	3	10	6043	440	1|1
1055	3	10	6044	440	1|1
1055	3	10	6045	352	1|1
1055	3	10	6046	88	1|1
1055	3	10	6047	4	1|1
1055	3	10	6048	1	1|1
1056	3	10	7000	83	1|1
1056	3	10	7005	83	1|1
1056	3	10	7010	83	1|1
1056	3	10	7015	83	1|1
1056	3	10	4019	664	3|3
1056	3	10	4006	664	3|3
1056	3	10	4013	664	3|3
1056	3	10	4030	664	3|3
1056	3	10	4031	664	3|3
1056	3	10	4019	664	2|2
1056	3	10	4006	664	2|2
1056	3	10	4013	664	2|2
1056	3	10	4030	664	2|2
1056	3	10	4031	664	2|2
1056	3	10	7527	83	1|3
1056	3	10	4009	1245	1|1
1056	3	10	4000	249	1|1
1056	3	10	6043	440	1|1
1056	3	10	6044	440	1|1
1056	3	10	6045	352	1|1
1056	3	10	6046	88	1|1
1056	3	10	6047	4	1|1
1056	3	10	6048	1	1|1
1057	3	10	7000	83	1|1
1057	3	10	7005	83	1|1
1057	3	10	7010	83	1|1
1057	3	10	7015	83	1|1
1057	3	10	4019	664	3|3
1057	3	10	4006	664	3|3
1057	3	10	4013	664	3|3
1057	3	10	4030	664	3|3
1057	3	10	4031	664	3|3
1057	3	10	4019	664	2|2
1057	3	10	4006	664	2|2
1057	3	10	4013	664	2|2
1057	3	10	4030	664	2|2
1057	3	10	4031	664	2|2
1057	3	10	7527	83	1|3
1057	3	10	4009	1245	1|1
1057	3	10	4001	249	1|1
1057	3	10	6043	440	1|1
1057	3	10	6044	440	1|1
1057	3	10	6045	352	1|1
1057	3	10	6046	88	1|1
1057	3	10	6047	4	1|1
1057	3	10	6048	1	1|1
1058	3	10	7000	83	1|1
1058	3	10	7005	83	1|1
1058	3	10	7010	83	1|1
1058	3	10	7015	83	1|1
1058	3	10	4019	664	3|3
1058	3	10	4006	664	3|3
1058	3	10	4013	664	3|3
1058	3	10	4030	664	3|3
1058	3	10	4031	664	3|3
1058	3	10	4019	664	2|2
1058	3	10	4006	664	2|2
1058	3	10	4013	664	2|2
1058	3	10	4030	664	2|2
1058	3	10	4031	664	2|2
1058	3	10	7527	83	1|3
1058	3	10	4009	1245	1|1
1058	3	10	4028	249	1|1
1058	3	10	6043	440	1|1
1058	3	10	6044	440	1|1
1058	3	10	6045	352	1|1
1058	3	10	6046	88	1|1
1058	3	10	6047	4	1|1
1058	3	10	6048	1	1|1
1060	3	10	7000	83	1|1
1060	3	10	7005	83	1|1
1060	3	10	7010	83	1|1
1060	3	10	7015	83	1|1
1060	3	10	4019	664	3|3
1060	3	10	4006	664	3|3
1060	3	10	4013	664	3|3
1060	3	10	4030	664	3|3
1060	3	10	4031	664	3|3
1060	3	10	4019	664	2|2
1060	3	10	4006	664	2|2
1060	3	10	4013	664	2|2
1060	3	10	4030	664	2|2
1060	3	10	4031	664	2|2
1060	3	10	7527	83	1|3
1060	3	10	4009	1245	1|1
1060	3	10	4001	249	1|1
1060	3	10	6043	440	1|1
1060	3	10	6044	440	1|1
1060	3	10	6045	352	1|1
1060	3	10	6046	88	1|1
1060	3	10	6047	4	1|1
1060	3	10	6048	1	1|1
1061	3	10	7000	83	1|1
1061	3	10	7005	83	1|1
1061	3	10	7010	83	1|1
1061	3	10	7015	83	1|1
1061	3	10	4019	664	3|3
1061	3	10	4006	664	3|3
1061	3	10	4013	664	3|3
1061	3	10	4030	664	3|3
1061	3	10	4031	664	3|3
1061	3	10	4019	664	2|2
1061	3	10	4006	664	2|2
1061	3	10	4013	664	2|2
1061	3	10	4030	664	2|2
1061	3	10	4031	664	2|2
1061	3	10	7527	83	1|3
1061	3	10	4009	1245	1|1
1061	3	10	4028	249	1|1
1061	3	10	6043	440	1|1
1061	3	10	6044	440	1|1
1061	3	10	6045	352	1|1
1061	3	10	6046	88	1|1
1061	3	10	6047	4	1|1
1061	3	10	6048	1	1|1
1062	3	10	7000	83	1|1
1062	3	10	7005	83	1|1
1062	3	10	7010	83	1|1
1062	3	10	7015	83	1|1
1062	3	10	4019	664	3|3
1062	3	10	4006	664	3|3
1062	3	10	4013	664	3|3
1062	3	10	4030	664	3|3
1062	3	10	4031	664	3|3
1062	3	10	4019	664	2|2
1062	3	10	4006	664	2|2
1062	3	10	4013	664	2|2
1062	3	10	4030	664	2|2
1062	3	10	4031	664	2|2
1062	3	10	7527	83	1|3
1062	3	10	4009	1245	1|1
1062	3	10	4000	83	1|1
1062	3	10	4001	83	1|1
1062	3	10	4028	83	1|1
1062	3	10	6043	440	1|1
1062	3	10	6044	440	1|1
1062	3	10	6045	352	1|1
1062	3	10	6046	88	1|1
1062	3	10	6047	4	1|1
1062	3	10	6048	1	1|1
1067	3	10	7000	83	1|1
1067	3	10	7005	83	1|1
1067	3	10	7010	83	1|1
1067	3	10	7015	83	1|1
1067	3	10	4019	664	3|3
1067	3	10	4006	664	3|3
1067	3	10	4013	664	3|3
1067	3	10	4030	664	3|3
1067	3	10	4031	664	3|3
1067	3	10	4019	332	2|2
1067	3	10	4006	332	2|2
1067	3	10	4013	332	2|2
1067	3	10	4030	332	2|2
1067	3	10	4031	332	2|2
1067	3	10	4019	332	4|4
1067	3	10	4006	332	4|4
1067	3	10	4013	332	4|4
1067	3	10	4030	332	4|4
1067	3	10	4031	332	4|4
1067	3	10	7527	83	1|5
1067	3	10	4011	1245	1|1
1067	3	10	4003	249	1|1
1067	3	10	6043	440	1|1
1067	3	10	6044	440	1|1
1067	3	10	6045	352	1|1
1067	3	10	6046	88	1|1
1067	3	10	6047	4	1|1
1067	3	10	6048	1	1|1
1068	3	10	7000	83	1|1
1068	3	10	7005	83	1|1
1068	3	10	7010	83	1|1
1068	3	10	7015	83	1|1
1068	3	10	4019	664	3|3
1068	3	10	4006	664	3|3
1068	3	10	4013	664	3|3
1068	3	10	4030	664	3|3
1068	3	10	4031	664	3|3
1068	3	10	4019	332	2|2
1068	3	10	4006	332	2|2
1068	3	10	4013	332	2|2
1068	3	10	4030	332	2|2
1068	3	10	4031	332	2|2
1068	3	10	4019	332	4|4
1068	3	10	4006	332	4|4
1068	3	10	4013	332	4|4
1068	3	10	4030	332	4|4
1068	3	10	4031	332	4|4
1068	3	10	7527	83	1|5
1068	3	10	4011	1245	1|1
1068	3	10	4004	249	1|1
1068	3	10	6043	440	1|1
1068	3	10	6044	440	1|1
1068	3	10	6045	352	1|1
1068	3	10	6046	88	1|1
1068	3	10	6047	4	1|1
1068	3	10	6048	1	1|1
1069	3	10	7000	83	1|1
1069	3	10	7005	83	1|1
1069	3	10	7010	83	1|1
1069	3	10	7015	83	1|1
1069	3	10	4019	664	3|3
1069	3	10	4006	664	3|3
1069	3	10	4013	664	3|3
1069	3	10	4030	664	3|3
1069	3	10	4031	664	3|3
1069	3	10	4019	332	2|2
1069	3	10	4006	332	2|2
1069	3	10	4013	332	2|2
1069	3	10	4030	332	2|2
1069	3	10	4031	332	2|2
1069	3	10	4019	332	4|4
1069	3	10	4006	332	4|4
1069	3	10	4013	332	4|4
1069	3	10	4030	332	4|4
1069	3	10	4031	332	4|4
1069	3	10	7527	83	1|5
1069	3	10	4011	1245	1|1
1069	3	10	4005	249	1|1
1069	3	10	6043	440	1|1
1069	3	10	6044	440	1|1
1069	3	10	6045	352	1|1
1069	3	10	6046	88	1|1
1069	3	10	6047	4	1|1
1069	3	10	6048	1	1|1
1070	3	10	7000	83	1|1
1070	3	10	7005	83	1|1
1070	3	10	7010	83	1|1
1070	3	10	7015	83	1|1
1070	3	10	4019	664	3|3
1070	3	10	4006	664	3|3
1070	3	10	4013	664	3|3
1070	3	10	4030	664	3|3
1070	3	10	4031	664	3|3
1070	3	10	4019	332	2|2
1070	3	10	4006	332	2|2
1070	3	10	4013	332	2|2
1070	3	10	4030	332	2|2
1070	3	10	4031	332	2|2
1070	3	10	4019	332	4|4
1070	3	10	4006	332	4|4
1070	3	10	4013	332	4|4
1070	3	10	4030	332	4|4
1070	3	10	4031	332	4|4
1070	3	10	7527	83	1|5
1070	3	10	4011	1245	1|1
1070	3	10	4002	249	1|1
1070	3	10	6043	440	1|1
1070	3	10	6044	440	1|1
1070	3	10	6045	352	1|1
1070	3	10	6046	88	1|1
1070	3	10	6047	4	1|1
1070	3	10	6048	1	1|1
1071	3	10	7000	82	1|1
1071	3	10	7005	82	1|1
1071	3	10	7010	82	1|1
1071	3	10	7015	82	1|1
1071	3	10	4019	656	3|3
1071	3	10	4006	656	3|3
1071	3	10	4013	656	3|3
1071	3	10	4030	656	3|3
1071	3	10	4031	656	3|3
1071	3	10	4019	328	2|2
1071	3	10	4006	328	2|2
1071	3	10	4013	328	2|2
1071	3	10	4030	328	2|2
1071	3	10	4031	328	2|2
1071	3	10	4019	328	4|4
1071	3	10	4006	328	4|4
1071	3	10	4013	328	4|4
1071	3	10	4030	328	4|4
1071	3	10	4031	328	4|4
1071	3	10	7527	82	1|5
1071	3	10	4011	1230	1|1
1071	3	10	4005	249	1|1
1071	3	10	6043	440	1|1
1071	3	10	6044	440	1|1
1071	3	10	6045	352	1|1
1071	3	10	6046	88	1|1
1071	3	10	6047	4	1|1
1071	3	10	6048	1	1|1
1072	3	10	7000	82	1|1
1072	3	10	7005	82	1|1
1072	3	10	7010	82	1|1
1072	3	10	7015	82	1|1
1072	3	10	4019	656	3|3
1072	3	10	4006	656	3|3
1072	3	10	4013	656	3|3
1072	3	10	4030	656	3|3
1072	3	10	4031	656	3|3
1072	3	10	4019	328	2|2
1072	3	10	4006	328	2|2
1072	3	10	4013	328	2|2
1072	3	10	4030	328	2|2
1072	3	10	4031	328	2|2
1072	3	10	4019	328	4|4
1072	3	10	4006	328	4|4
1072	3	10	4013	328	4|4
1072	3	10	4030	328	4|4
1072	3	10	4031	328	4|4
1072	3	10	7527	82	1|5
1072	3	10	4011	1230	1|1
1072	3	10	4003	82	1|1
1072	3	10	4004	82	1|1
1072	3	10	4005	82	1|1
1072	3	10	4002	82	1|1
1072	3	10	6043	440	1|1
1072	3	10	6044	440	1|1
1072	3	10	6045	352	1|1
1072	3	10	6046	88	1|1
1072	3	10	6047	4	1|1
1072	3	10	6048	1	1|1
1073	3	10	7000	82	1|1
1073	3	10	7005	82	1|1
1073	3	10	7010	82	1|1
1073	3	10	7015	82	1|1
1073	3	10	4019	656	3|3
1073	3	10	4006	656	3|3
1073	3	10	4013	656	3|3
1073	3	10	4030	656	3|3
1073	3	10	4031	656	3|3
1073	3	10	4019	328	2|2
1073	3	10	4006	328	2|2
1073	3	10	4013	328	2|2
1073	3	10	4030	328	2|2
1073	3	10	4031	328	2|2
1073	3	10	4019	328	4|4
1073	3	10	4006	328	4|4
1073	3	10	4013	328	4|4
1073	3	10	4030	328	4|4
1073	3	10	4031	328	4|4
1073	3	10	7527	82	1|5
1073	3	10	4011	1230	1|1
1073	3	10	4003	82	1|1
1073	3	10	4004	82	1|1
1073	3	10	4005	82	1|1
1073	3	10	4002	82	1|1
1073	3	10	6043	440	1|1
1073	3	10	6044	440	1|1
1073	3	10	6045	352	1|1
1073	3	10	6046	88	1|1
1073	3	10	6047	4	1|1
1073	3	10	6048	1	1|1
2000	3	10	4200	5	1|1
2000	3	10	4201	5	1|1
2000	3	10	4202	10	1|1
2001	3	10	4200	4	1|1
2001	3	10	4201	4	1|1
2001	3	10	4200	1	1|1
2001	3	10	4201	1	1|1
2001	3	10	4202	10	1|1
2002	3	10	4200	5	2|2
2002	3	10	4201	5	2|2
2002	3	10	4202	10	2|2
2003	3	10	4200	1	1|1
2003	3	10	4201	1	1|1
2003	3	10	4200	4	1|1
2003	3	10	4201	4	1|1
2003	3	10	4203	10	1|1
2004	3	10	4200	4	1|1
2004	3	10	4201	4	1|1
2004	3	10	4200	1	1|1
2004	3	10	4201	1	1|1
2004	3	10	4203	10	1|1
2005	3	10	4200	1	2|2
2005	3	10	4201	1	2|2
2005	3	10	4200	4	2|2
2005	3	10	4201	4	2|2
2005	3	10	4203	10	2|2
2006	3	10	4200	4	1|1
2006	3	10	4201	4	1|1
2006	3	10	4200	1	1|1
2006	3	10	4201	1	1|1
2006	3	10	4204	10	1|1
2007	3	10	4200	4	1|1
2007	3	10	4201	4	1|1
2007	3	10	4200	1	1|1
2007	3	10	4201	1	1|1
2007	3	10	4204	10	1|1
2008	3	10	4200	3	2|2
2008	3	10	4201	3	2|2
2008	3	10	4200	3	2|2
2008	3	10	4201	3	2|2
2008	3	10	4204	10	2|2
2009	3	10	4200	4	1|2
2009	3	10	4201	4	1|2
2009	3	10	4200	1	1|2
2009	3	10	4201	1	1|2
2009	3	10	4205	10	1|1
2010	3	10	4200	4	1|2
2010	3	10	4201	4	1|2
2010	3	10	4200	1	1|2
2010	3	10	4201	1	1|2
2010	3	10	4205	10	1|1
2011	3	10	4200	3	2|2
2011	3	10	4201	3	2|2
2011	3	10	4200	3	2|2
2011	3	10	4201	3	2|2
2011	3	10	4205	10	2|2
3010	3	7		0	1|20
3010	3	10	4006|0	30	1|1
3010	3	10	4013|0	30	1|1
3010	3	10	4019	30	1|1
