instanceid	名字	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y
600015	华雄	-11466	444	-7222	1804	-3670	544	-1520	476	849	255	3259	-1009	5552	-2520	9568	-1782	10522	-2610																		
600016	张飞	11579	-3324	9568	-1782	5552	-2520	3259	-1009	849	255	-1520	476	-3670	544	-7222	1804	-10129	1048																		
600017	吕布	-11466	444	-7222	1804	-3670	544	-1520	476	849	255	3259	-1009	5552	-2520	9568	-1782	10522	-2610																		
606001	东瀛喽喽	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606002	东瀛先锋	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606003	东瀛游侠	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606004	东瀛武士	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606005	东瀛将军	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606006	东瀛喽喽	-4597	-11504	-2065	-7092	-1335	-4026	-1281	-750	-1287	1968	-768	4953																								
606007	东瀛先锋	-4597	-11504	-2065	-7092	-1335	-4026	-1281	-750	-1287	1968	-768	4953																								
606008	东瀛游侠	-4597	-11504	-2065	-7092	-1335	-4026	-1281	-750	-1287	1968	-768	4953																								
606009	东瀛武士	-4597	-11504	-2065	-7092	-1335	-4026	-1281	-750	-1287	1968	-768	4953																								
606010	东瀛将军	-4597	-11504	-2065	-7092	-1335	-4026	-1281	-750	-1287	1968	-768	4953																								
606011	东瀛喽喽	-4597	-11504	-2165	-7092	-1435	-4026	-1381	-750	-1387	1968	-768	4953																								
606012	东瀛先锋	-4597	-11504	-2165	-7092	-1435	-4026	-1381	-750	-1387	1968	-768	4953																								
606013	东瀛游侠	-4597	-11504	-2165	-7092	-1435	-4026	-1381	-750	-1387	1968	-768	4953																								
606014	东瀛武士	-4597	-11504	-2165	-7092	-1435	-4026	-1381	-750	-1387	1968	-768	4953																								
606015	东瀛将军	-4597	-11504	-2165	-7092	-1435	-4026	-1381	-750	-1387	1968	-768	4953																								
606016	东瀛喽喽	-4597	-11504	-2265	-7092	-1535	-4026	-1481	-750	-1487	1968	-768	4953																								
606017	东瀛先锋	-4597	-11504	-2265	-7092	-1535	-4026	-1481	-750	-1487	1968	-768	4953																								
606018	东瀛游侠	-4597	-11504	-2265	-7092	-1535	-4026	-1481	-750	-1487	1968	-768	4953																								
606019	东瀛武士	-4597	-11504	-2265	-7092	-1535	-4026	-1481	-750	-1487	1968	-768	4953																								
606020	东瀛将军	-4597	-11504	-2265	-7092	-1535	-4026	-1481	-750	-1487	1968	-768	4953																								
606021	东瀛喽喽	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606022	东瀛先锋	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606023	东瀛游侠	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606024	东瀛武士	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606025	东瀛将军	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606026	东瀛喽喽	-899	-11339	-2565	-7092	-935	-4026	-881	-750	-887	1968	-768	4953																								
606027	东瀛先锋	-899	-11339	-2565	-7092	-935	-4026	-881	-750	-887	1968	-768	4953																								
606028	东瀛游侠	-899	-11339	-2565	-7092	-935	-4026	-881	-750	-887	1968	-768	4953																								
606029	东瀛武士	-899	-11339	-2565	-7092	-935	-4026	-881	-750	-887	1968	-768	4953																								
606030	东瀛将军	-899	-11339	-2565	-7092	-935	-4026	-881	-750	-887	1968	-768	4953																								
606031	东瀛喽喽	-899	-11339	-2665	-7092	-1035	-4026	-981	-750	-987	1968	-768	4953																								
606032	东瀛先锋	-899	-11339	-2665	-7092	-1035	-4026	-981	-750	-987	1968	-768	4953																								
606033	东瀛游侠	-899	-11339	-2665	-7092	-1035	-4026	-981	-750	-987	1968	-768	4953																								
606034	东瀛武士	-899	-11339	-2665	-7092	-1035	-4026	-981	-750	-987	1968	-768	4953																								
606035	东瀛将军	-899	-11339	-2665	-7092	-1035	-4026	-981	-750	-987	1968	-768	4953																								
606036	东瀛喽喽	-899	-11339	-2765	-7092	-1135	-4026	-1081	-750	-1087	1968	-768	4953																								
606037	东瀛先锋	-899	-11339	-2765	-7092	-1135	-4026	-1081	-750	-1087	1968	-768	4953																								
606038	东瀛游侠	-899	-11339	-2765	-7092	-1135	-4026	-1081	-750	-1087	1968	-768	4953																								
606039	东瀛武士	-899	-11339	-2765	-7092	-1135	-4026	-1081	-750	-1087	1968	-768	4953																								
606040	东瀛将军	-899	-11339	-2765	-7092	-1135	-4026	-1081	-750	-1087	1968	-768	4953																								
606041	东瀛喽喽	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606042	东瀛先锋	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606043	东瀛游侠	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606044	东瀛武士	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606045	东瀛将军	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606046	东瀛喽喽	10407	3996	7202	3356	3846	2843	974	2838	-768	4953																										
606047	东瀛先锋	10407	3996	7202	3356	3846	2843	974	2838	-768	4953																										
606048	东瀛游侠	10407	3996	7202	3356	3846	2843	974	2838	-768	4953																										
606049	东瀛武士	10407	3996	7202	3356	3846	2843	974	2838	-768	4953																										
606050	东瀛将军	10407	3996	7202	3356	3846	2843	974	2838	-768	4953																										
606051	东瀛喽喽	10407	3996	7302	3356	3946	2843	1074	2838	-768	4953																										
606052	东瀛先锋	10407	3996	7302	3356	3946	2843	1074	2838	-768	4953																										
606053	东瀛游侠	10407	3996	7302	3356	3946	2843	1074	2838	-768	4953																										
606054	东瀛武士	10407	3996	7302	3356	3946	2843	1074	2838	-768	4953																										
606055	东瀛将军	10407	3996	7302	3356	3946	2843	1074	2838	-768	4953																										
606056	东瀛喽喽	10407	3996	7402	3356	4046	2843	1174	2838	-768	4953																										
606057	东瀛先锋	10407	3996	7402	3356	4046	2843	1174	2838	-768	4953																										
606058	东瀛游侠	10407	3996	7402	3356	4046	2843	1174	2838	-768	4953																										
606059	东瀛武士	10407	3996	7402	3356	4046	2843	1174	2838	-768	4953																										
606060	东瀛将军	10407	3996	7402	3356	4046	2843	1174	2838	-768	4953																										
606061	东瀛喽喽	-10843	151	-9679	751	-6955	2086	-4443	2851	-2200	2852	-768	4953																								
606062	东瀛先锋	-10843	151	-9679	751	-6955	2086	-4443	2851	-2200	2852	-768	4953																								
606063	东瀛游侠	-10843	151	-9679	751	-6955	2086	-4443	2851	-2200	2852	-768	4953																								
606064	东瀛武士	-10843	151	-9679	751	-6955	2086	-4443	2851	-2200	2852	-768	4953																								
606065	东瀛将军	-10843	151	-9679	751	-6955	2086	-4443	2851	-2200	2852	-768	4953																								
606066	东瀛喽喽	-10843	151	-9779	751	-7055	2086	-4543	2851	-2300	2852	-768	4953																								
606067	东瀛先锋	-10843	151	-9779	751	-7055	2086	-4543	2851	-2300	2852	-768	4953																								
606068	东瀛游侠	-10843	151	-9779	751	-7055	2086	-4543	2851	-2300	2852	-768	4953																								
606069	东瀛武士	-10843	151	-9779	751	-7055	2086	-4543	2851	-2300	2852	-768	4953																								
606070	东瀛将军	-10843	151	-9779	751	-7055	2086	-4543	2851	-2300	2852	-768	4953																								
606071	东瀛喽喽	-10843	151	-9879	751	-7155	2086	-4643	2851	-2400	2852	-768	4953																								
606072	东瀛先锋	-10843	151	-9879	751	-7155	2086	-4643	2851	-2400	2852	-768	4953																								
606073	东瀛游侠	-10843	151	-9879	751	-7155	2086	-4643	2851	-2400	2852	-768	4953																								
606074	东瀛武士	-10843	151	-9879	751	-7155	2086	-4643	2851	-2400	2852	-768	4953																								
606075	东瀛将军	-10843	151	-9879	751	-7155	2086	-4643	2851	-2400	2852	-768	4953																								
606076	东瀛喽喽	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606077	东瀛先锋	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606078	东瀛游侠	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606079	东瀛武士	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606080	东瀛大将军	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606416	初级宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606417	初级宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606418	初级宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606419	初级宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606420	初级宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606421	初级宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606422	初级宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606423	初级宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606424	中级宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606425	中级宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606426	中级宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606427	中级宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606428	高级宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606429	高级宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606430	高级宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606431	高级宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606432	高级宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606433	高级宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606434	高级宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606435	高级宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606436	特级宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606437	特级宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606438	特级宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606439	特级宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606441	特级宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606442	特级宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606443	特级宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606444	特级宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606445	精英宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606446	精英宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606447	精英宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606448	精英宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606449	精英宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606450	精英宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606451	精英宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606452	精英宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
606453	终极宝箱怪	-4597	-11504	-1965	-7092	-1235	-4026	-1181	-750	-1187	1968	-768	4953																								
606454	终极宝箱怪	-899	-11339	-2465	-7092	-835	-4026	-781	-750	-787	1968	-768	4953																								
606455	终极宝箱怪	10407	3996	7102	3356	3746	2843	874	2838	-768	4953																										
606456	终极宝箱怪	-10843	151	-9979	751	-7255	2086	-4743	2851	-2500	2852	-768	4953																								
20017	胖次军团	-2674	606	-3200	1317	-9709	-981																														
20018	胖次军团	-2505	954	-3200	1317	-9709	-981																														
20019	胖次军团	-2492	1288	-3200	1317	-9709	-981																														
20020	搞个大新闻	-2597	1693	-3200	1317	-9709	-981																														
20021	搞个大新闻	-1843	756	-3200	1317	-9709	-981																														
20022	搞个大新闻	-1794	1546	-3200	1317	-9709	-981																														
20002	欧派星人	4593	-139	-3200	1317	-9709	-981																														
20003	欧派星人	4704	120	-3200	1317	-9709	-981																														
11636	徐彦祖	-5844	5257	-3142	-821	3696	695	5770	780																												
11637	徐彦祖	-6382	5329	-3140	-1175	3696	695	5770	780																												
11638	徐彦祖	-6772	5333	-3141	-1527	3696	695	5770	780																												
11639	蓝莓芥末酱	-5847	5996	-3510	-819	3696	695	5770	780																												
11640	蓝莓芥末酱	-6322	5957	-3502	-1169	3696	695	5770	780																												
11641	蓝莓芥末酱	-6741	6025	-3508	-1517	3696	695	5770	780																												
23052	今天不回家	11620	11150	7200	6376	4040	5977	2254	2688	-890	-461	-3507	-2963																								
23053	今天不回家	11660	11200	7230	6406	4080	5997	2304	2668	-870	-491	-3547	-2923																								
23054	今天不回家	11700	11250	7260	6436	4120	6017	2354	2648	-850	-521	-3587	-2883																								
23055	斗战胜佛	11740	11300	7290	6466	4160	6037	2404	2628	-830	-551	-3627	-2843																								
23056	斗战胜佛	11780	11350	7320	6496	4200	6057	2454	2608	-810	-581	-3667	-2803																								
23057	斗战胜佛	11820	11400	7350	6526	4240	6077	2504	2588	-790	-611	-3707	-2763																								
23058	撒西米	11860	11450	7380	6556	4280	6097	2554	2568	-770	-641	-3747	-2723																								
23059	撒西米	11900	11500	7410	6586	4320	6117	2604	2548	-750	-671	-3787	-2683																								
23060	撒西米	11940	11550	7440	6616	4360	6137	2654	2528	-730	-701	-3827	-2643																								
23061	冬不拉	11980	11600	7470	6646	4400	6157	2704	2508	-710	-731	-3867	-2603																								
23062	冬不拉	12020	11650	7500	6676	4440	6177	2754	2488	-690	-761	-3907	-2563																								
23063	冬不拉	12060	11700	7530	6706	4480	6197	2804	2468	-670	-791	-3947	-2523																								
23064	城防援军	-8543	8977	-8705	6453	-6168	3814	-7136	1122	-8883	-2121	-6374	-2820																								
23065	城防援军	-8553	8997	-8735	6493	-6118	3854	-7186	1172	-8833	-2161	-6394	-2860																								
23066	城防援军	-8563	9017	-8765	6533	-6068	3894	-7236	1222	-8783	-2201	-6414	-2900																								
23067	城防援军	-8573	9037	-8795	6573	-6018	3934	-7286	1272	-8733	-2241	-6434	-2940																								
23068	城防援军	-8583	9057	-8825	6613	-5968	3974	-7336	1322	-8683	-2281	-6454	-2980																								
23069	城防援军	-8593	9077	-8855	6653	-5918	4014	-7386	1372	-8633	-2321	-6474	-3020																								
23070	城防援军	-8603	9097	-8885	6693	-5868	4054	-7436	1422	-8583	-2361	-6494	-3060																								
23071	城防援军	-8613	9117	-8915	6733	-5818	4094	-7486	1472	-8533	-2401	-6514	-3100																								
23072	城防援军	-8623	9137	-8945	6773	-5768	4134	-7536	1522	-8483	-2441	-6534	-3140																								
23073	城防援军	-8633	9157	-8975	6813	-5718	4174	-7586	1572	-8433	-2481	-6554	-3180																								
23074	城防援军	-8643	9177	-9005	6853	-5668	4214	-7636	1622	-8383	-2521	-6574	-3220																								
23075	城防援军	-8653	9197	-9035	6893	-5618	4254	-7686	1672	-8333	-2561	-6594	-3260																								
23076	城防援军	-8663	9217	-9065	6933	-5568	4294	-7736	1722	-8283	-2601	-6614	-3300																								
23077	城防援军	-8673	9237	-9095	6973	-5518	4334	-7786	1772	-8233	-2641	-6634	-3340																								
23078	城防援军	-8683	9257	-9125	7013	-5468	4374	-7836	1822	-8183	-2681	-6654	-3380	-6265	-3159	-8570	-2255																				
23079	请叫我大佬	11620	11150	7200	6376	4040	5977	2254	2688	-890	-461	-3507	-2963	-6225	-3119	-8520	-2295																				
23080	请叫我大佬	11660	11200	7230	6406	4080	5997	2304	2668	-870	-491	-3547	-2923	-6185	-3079	-8470	-2335																				
23081	请叫我大佬	11700	11250	7260	6436	4120	6017	2354	2648	-850	-521	-3587	-2883	-6145	-3039	-8420	-2375																				
23143	大魔王	-11807	2841	-8215	813	-6699	693	-3934	184	-1266	386	1143	140	-6105	-2999	-8370	-2415																				
23144	大魔王	-11850	2850	-8225	813	-6679	693	-3954	184	-1276	396	1123	110	-6065	-2959	-8320	-2455																				
23145	大魔王	-11900	2900	-8235	813	-6659	693	-3974	184	-1286	406	1103	80	-6025	-2919	-8270	-2495																				
23146	不要怂就是干	-11950	2950	-8245	813	-6639	693	-3994	184	-1296	416	1083	50	-5985	-2879	-8220	-2535																				
23147	不要怂就是干	-12000	3000	-8255	813	-6619	693	-4014	184	-1306	426	1063	20	-5945	-2839	-8170	-2575																				
23148	不要怂就是干	-12050	3050	-8265	813	-6599	693	-4034	184	-1316	436	1043	-10	-5905	-2799	-8120	-2615																				
23149	飞机头	-12100	3100	-8275	813	-6579	693	-4054	184	-1326	446	1023	-40	-5865	-2759	-8070	-2655																				
23150	飞机头	-12150	3150	-8285	813	-6559	693	-4074	184	-1336	456	1003	-70	-5825	-2719	-8020	-2695																				
23151	飞机头	-12200	3200	-8295	813	-6539	693	-4094	184	-1346	466	983	-100	-3810	-3117	-1360	-356	2254	2688																		
23152	李不二	-12250	3200	-8305	813	-6519	693	-4114	184	-1356	476	963	-130	-3860	-3157	-1310	-396	2214	2668																		
23153	李不二	-12300	3200	-8315	813	-6499	693	-4134	184	-1366	486	943	-160	-3910	-3197	-1260	-436	2174	2648																		
23154	李不二	-12350	3200	-8325	813	-6479	693	-4154	184	-1376	496	923	-190	-3960	-3237	-1210	-476	2134	2628																		
23155	请叫我大佬	-12400	3200	-8335	813	-6459	693	-4174	184	-1386	506	903	-220	-4010	-3277	-1160	-516	2094	2608																		
23156	请叫我大佬	-12450	3200	-8345	813	-6439	693	-4194	184	-1396	516	883	-250	-4060	-3317	-1110	-556	2054	2588																		
23157	请叫我大佬	-12500	3200	-8355	813	-6419	693	-4214	184	-1406	526	863	-280	-4110	-3357	-1060	-596	2014	2568																		
23158	城防援军	11816	1296	6168	156	3816	152	1143	140	-1266	386	-3934	184	-4160	-3397	-1010	-636	1974	2548																		
23159	城防援军	11816	1296	6178	156	3836	152	1163	140	-1286	366	-3904	194	-4210	-3437	-960	-676	1934	2528																		
23160	城防援军	11816	1296	6188	156	3856	152	1183	140	-1306	346	-3874	204	-4260	-3477	-910	-716	1894	2508																		
23161	城防援军	11816	1296	6198	156	3876	152	1203	140	-1326	326	-3844	214	-4310	-3517	-860	-756	1854	2488																		
23162	城防援军	11816	1296	6208	156	3896	152	1223	140	-1346	306	-3814	224	-4360	-3557	-810	-796	1814	2468																		
23163	城防援军	11816	1296	6218	156	3916	152	1243	140	-1366	286	-3784	234	-4410	-3597	-760	-836	1774	2448																		
23164	城防援军	11816	1296	6228	156	3936	152	1263	140	-1386	266	-3754	244	-4460	-3637	-710	-876	1734	2428																		
23165	城防援军	11816	1296	6238	156	3956	152	1283	140	-1406	246	-3724	254	-4510	-3677	-660	-916	1694	2408																		
23166	城防援军	11816	1296	6248	156	3976	152	1303	140	-1426	226	-3694	264	-6265	-3159	-8570	-2255																				
23167	城防援军	11816	1296	6258	156	3996	152	1323	140	-1446	206	-3664	274	-6225	-3119	-8520	-2295																				
23168	城防援军	11816	1296	6268	156	4016	152	1343	140	-1466	186	-3634	284	-6185	-3079	-8470	-2335																				
23169	城防援军	11816	1296	6278	156	4036	152	1363	140	-1486	166	-3604	294																								
23170	城防援军	11816	1296	6288	156	4056	152	1383	140	-1506	146	-3574	304																								
23171	城防援军	11816	1296	6298	156	4076	152	1403	140	-1526	126	-3544	314																								
23172	城防援军	11816	1296	6308	156	4096	152	1423	140	-1546	106	-3514	324																								
23255	坦克	11991	12201	8098	8799	5994	5735	10128	3609	10317	672	7464	-1921																								
23256	坦克	11991	12201	8078	8789	5974	5745	10148	3609	10337	682	7484	-1941																								
23257	坦克	11991	12201	8058	8779	5954	5755	10168	3609	10357	692	7504	-1961																								
23258	基友	11991	12201	8038	8769	5934	5765	10188	3609	10377	702	7524	-1981																								
23259	基友	11991	12201	8018	8759	5914	5775	10208	3609	10397	712	7544	-2001																								
23260	基友	11991	12201	7998	8749	5894	5785	10228	3609	10417	722	7564	-2021																								
23261	三国丞相	11991	12201	7978	8739	5874	5795	10248	3609	10437	732	7584	-2041																								
23262	三国丞相	11991	12201	7958	8729	5854	5805	10268	3609	10457	742	7604	-2061																								
23263	三国丞相	11991	12201	7938	8719	5834	5815	10288	3609	10477	752	7624	-2081																								
23264	少帮主	11991	12201	7918	8709	5814	5825	10308	3609	10497	762	7644	-2101																								
23265	少帮主	11991	12201	7898	8699	5794	5835	10328	3609	10517	772	7664	-2121																								
23266	少帮主	11991	12201	7878	8689	5774	5845	10348	3609	10537	782	7684	-2141																								
23267	请叫我大佬	11991	12201	7858	8679	5754	5855	10368	3609	10557	792	7704	-2161																								
23268	请叫我大佬	11991	12201	7838	8669	5734	5865	10388	3609	10577	802	7724	-2181																								
23269	请叫我大佬	11991	12201	7818	8659	5714	5875	10408	3609	10597	812	7744	-2201																								
23270	城防援军	-9455	-8746	-7090	-7546	-5578	-8438	-4208	-9194	-2138	-7804	569	-8948																								
23271	城防援军	-9455	-8746	-7070	-7546	-5568	-8458	-4228	-9174	-2158	-7824	589	-8968																								
23272	城防援军	-9455	-8746	-7050	-7546	-5558	-8478	-4248	-9154	-2178	-7844	609	-8988																								
23273	城防援军	-9455	-8746	-7030	-7546	-5548	-8498	-4268	-9134	-2198	-7864	629	-9008																								
23274	城防援军	-9455	-8746	-7010	-7546	-5538	-8518	-4288	-9114	-2218	-7884	649	-9028																								
23275	城防援军	-9455	-8746	-6990	-7546	-5528	-8538	-4308	-9094	-2238	-7904	669	-9048																								
23276	城防援军	-9455	-8746	-6970	-7546	-5518	-8558	-4328	-9074	-2258	-7924	689	-9068																								
23277	城防援军	-9455	-8746	-6950	-7546	-5508	-8578	-4348	-9054	-2278	-7944	709	-9088																								
23278	城防援军	-9455	-8746	-6930	-7546	-5498	-8598	-4368	-9034	-2298	-7964	729	-9108																								
23279	城防援军	-9455	-8746	-6910	-7546	-5488	-8618	-4388	-9014	-2318	-7984	749	-9128																								
23280	城防援军	-9455	-8746	-6890	-7546	-5478	-8638	-4408	-8994	-2338	-8004	769	-9148																								
23281	城防援军	-9455	-8746	-6870	-7546	-5468	-8658	-4428	-8974	-2358	-8024	789	-9168	6030	-4488	3659	-7026	745	-7129	569	-8948																
23282	城防援军	-9455	-8746	-6850	-7546	-5458	-8678	-4448	-8954	-2378	-8044	809	-9188	6050	-4478	3679	-7046	755	-7139	589	-8928																
23283	城防援军	-9455	-8746	-6830	-7546	-5448	-8698	-4468	-8934	-2398	-8064	829	-9208	6070	-4468	3699	-7066	765	-7149	609	-8908																
23284	城防援军	-9455	-8746	-6810	-7546	-5438	-8718	-4488	-8914	-2418	-8084	849	-9228	6090	-4458	3719	-7086	775	-7159	629	-8888																
