BufID	BufferIcon	Buffer描述	BufferTime	Buf类型	备注	abstractid
20011|5	UI_Buff_BaoJiJian.img	每次攻击附带10%当前生命伤害	12	2	典韦9	25149
20012|0	UI_Buff_ZengJiaMingZhong.img	提升30%物理溅射	5	2	典韦0	25140
20012|1	UI_Buff_ZengJiaMingZhong.img	提升35%物理溅射	5	2	典韦1	25141
20012|2	UI_Buff_ZengJiaMingZhong.img	提升40%物理溅射	5	2	典韦2	25142
20012|3	UI_Buff_ZengJiaMingZhong.img	提升45%物理溅射	5	2	典韦3	25143
20012|4	UI_Buff_ZengJiaMingZhong.img	提升50%物理溅射	5	2	典韦4	25144
20012|5	UI_Buff_ZengJiaMingZhong.img	提升60%物理溅射	5.5	2	典韦5	25145
20012|6	UI_Buff_ZengJiaMingZhong.img	提升70%物理溅射	6	2	典韦6	25146
20012|7	UI_Buff_ZengJiaMingZhong.img	提升80%物理溅射	6.5	2	典韦7	25147
20012|8	UI_Buff_ZengJiaMingZhong.img	提升90%物理溅射	7	2	典韦8	25148
20012|9	UI_Buff_ZengJiaMingZhong.img	提升100%物理溅射	8	2	典韦9	25149
10005|0	UI_Buff_ZengJiaGongJiLi.img	攻击力提升300%，护甲减少90%	8	2	许褚0	25150
10005|1	UI_Buff_ZengJiaGongJiLi.img	攻击力提升330%，护甲减少90%	8	2	许褚1	25151
10005|2	UI_Buff_ZengJiaGongJiLi.img	攻击力提升360%，护甲减少90%	8	2	许褚2	25152
10005|3	UI_Buff_ZengJiaGongJiLi.img	攻击力提升390%，护甲减少90%	8	2	许褚3	25153
10005|4	UI_Buff_ZengJiaGongJiLi.img	攻击力提升420%，护甲减少90%	8	2	许褚4	25154
10005|5	UI_Buff_ZengJiaGongJiLi.img	攻击力提升450%，护甲减少80%	8	2	许褚5	25155
10005|6	UI_Buff_ZengJiaGongJiLi.img	攻击力提升480%，护甲减少70%	8	2	许褚6	25156
10005|7	UI_Buff_ZengJiaGongJiLi.img	攻击力提升510%，护甲减少60%	8	2	许褚7	25157
10005|8	UI_Buff_ZengJiaGongJiLi.img	攻击力提升540%，护甲减少50%	8	2	许褚8	25158
10005|9	UI_Buff_ZengJiaGongJiLi.img	攻击力提升600%，护甲减少30%	9	2	许褚9	25159
20006|0	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得50%伤害加成	0	3	李典0	25160
20006|1	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得60%伤害加成	0	3	李典1	25161
20006|2	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得70%伤害加成	0	3	李典2	25162
20006|3	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得80%伤害加成	0	3	李典3	25163
20006|4	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得90%伤害加成	0	3	李典4	25164
20006|5	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得100%伤害加成	0	3	李典5	25165
20006|6	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得110%伤害加成	0	3	李典6	25166
20006|7	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得120%伤害加成	0	3	李典7	25167
20006|8	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得130%伤害加成	0	3	李典8	25168
20006|9	UI_Buff_ZengJiaGongJiLi.img	背后攻击敌方获得140%伤害加成	0	3	李典9	25169
10006|0	UI_Buff_QianXing.img	提升潜行1000	5	0	邓艾0	25200
10006|1	UI_Buff_QianXing.img	提升潜行1000	6	0	邓艾1	25201
10006|2	UI_Buff_QianXing.img	提升潜行1100	7	0	邓艾2	25202
10006|3	UI_Buff_QianXing.img	提升潜行1150	8	0	邓艾3	25203
10006|4	UI_Buff_QianXing.img	提升潜行1200	9	0	邓艾4	25204
10006|5	UI_Buff_QianXing.img	提升潜行1250	10	0	邓艾5	25205
10006|6	UI_Buff_QianXing.img	提升潜行1300	11	0	邓艾6	25206
10006|7	UI_Buff_QianXing.img	提升潜行1350	12	0	邓艾7	25207
10006|8	UI_Buff_QianXing.img	提升潜行1400	13	0	邓艾8	25208
10006|9	UI_Buff_QianXing.img	提升潜行1500	14	0	邓艾9	25209
10008|0	UI_Buff_ZengJiaYiSu.img	增加20%攻速移速	3	2	荀彧0	25260
10008|1	UI_Buff_ZengJiaYiSu.img	增加25%攻速移速	3.5	2	荀彧1	25261
10008|2	UI_Buff_ZengJiaYiSu.img	增加30%攻速移速	4	2	荀彧2	25262
10008|3	UI_Buff_ZengJiaYiSu.img	增加35%攻速移速	4.5	2	荀彧3	25263
10008|4	UI_Buff_ZengJiaYiSu.img	增加40%攻速移速	5	2	荀彧4	25264
10008|5	UI_Buff_ZengJiaYiSu.img	增加40%攻速移速，每秒恢复3点士气	5.5	2	荀彧5	25265
10008|6	UI_Buff_ZengJiaYiSu.img	增加40%攻速移速，每秒恢复4点士气	6	2	荀彧6	25266
10008|7	UI_Buff_ZengJiaYiSu.img	增加40%攻速移速，每秒恢复5点士气	6.5	2	荀彧7	25267
10008|8	UI_Buff_ZengJiaYiSu.img	增加40%攻速移速，每秒恢复6点士气	7	2	荀彧8	25268
10008|9	UI_Buff_ZengJiaYiSu.img	增加40%攻速移速，每秒恢复7点士气	8	2	荀彧9	25269
20002|0	UI_Buff_FaShangFanTan.img	反弹所受10%法术伤害	0	3	荀攸0	25270
20002|1	UI_Buff_FaShangFanTan.img	反弹所受20%法术伤害	0	3	荀攸1	25271
20002|2	UI_Buff_FaShangFanTan.img	反弹所受30%法术伤害	0	3	荀攸2	25272
20002|3	UI_Buff_FaShangFanTan.img	反弹所受40%法术伤害	0	3	荀攸3	25273
20002|4	UI_Buff_FaShangFanTan.img	反弹所受50%法术伤害	0	3	荀攸4	25274
20002|5	UI_Buff_FaShangFanTan.img	反弹所受60%法术伤害	0	3	荀攸5	25275
20002|6	UI_Buff_FaShangFanTan.img	反弹所受70%法术伤害	0	3	荀攸6	25276
20002|7	UI_Buff_FaShangFanTan.img	反弹所受80%法术伤害	0	3	荀攸7	25277
20002|8	UI_Buff_FaShangFanTan.img	反弹所受90%法术伤害	0	3	荀攸8	25278
20002|9	UI_Buff_FaShangFanTan.img	反弹所受100%法术伤害	0	3	荀攸9	25279
10000|0	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒30%的普通攻击伤害	0	2	郭嘉0	25280
10000|1	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒40%的普通攻击伤害	0	2	郭嘉1	25281
10000|2	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒50%的普通攻击伤害	0	2	郭嘉2	25282
10000|3	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒60%的普通攻击伤害	0	2	郭嘉3	25283
10000|4	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒70%的普通攻击伤害	0	2	郭嘉4	25284
10000|5	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒75%的普通攻击伤害，无视碰撞，增加20%移速	0	2	郭嘉5	25285
10000|6	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒80%的普通攻击伤害，无视碰撞，增加25%移速	0	2	郭嘉6	25286
10000|7	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒85%的普通攻击伤害，无视碰撞，增加30%移速	0	2	郭嘉7	25287
10000|8	UI_Buff_LiuXue.img	对自身周围6米范围内的敌方部队造成每秒90%的普通攻击伤害，无视碰撞，增加35%移速	0	2	郭嘉8	25288
10000|9	UI_Buff_LiuXue.img	对自身周围7米范围内的敌方部队造成每秒100%的普通攻击伤害，无视碰撞，增加40%移速	0	2	郭嘉9	25289
10007|0	UI_Buff_FaShangJiaCheng.img	受到的法术伤害增加20%	5	1	贾诩5	25295
10007|1	UI_Buff_FaShangJiaCheng.img	受到的法术伤害增加30%	5	1	贾诩6	25296
10007|2	UI_Buff_FaShangJiaCheng.img	受到的法术伤害增加40%	5	1	贾诩7	25297
10007|3	UI_Buff_FaShangJiaCheng.img	受到的法术伤害增加50%	5	1	贾诩8	25298
10007|4	UI_Buff_FaShangJiaCheng.img	受到的法术伤害增加60%	5	1	贾诩9	25299
20008|0	UI_Buff_JiangDiGongJiLi.img	攻击力降低50%	4	1	司马懿5	25305
20008|1	UI_Buff_JiangDiGongJiLi.img	攻击力降低60%	4	1	司马懿6	25306
20008|2	UI_Buff_JiangDiGongJiLi.img	攻击力降低70%	4	1	司马懿7	25307
20008|3	UI_Buff_JiangDiGongJiLi.img	攻击力降低80%	4	1	司马懿8	25308
20008|4	UI_Buff_JiangDiGongJiLi.img	攻击力降低90%	4	1	司马懿9	25309
10009|0	UI_Buff_FaShuChuanTou.img	提升10%法术穿透	0	3	程昱0	25310
10009|1	UI_Buff_FaShuChuanTou.img	提升20%法术穿透	0	3	程昱1	25311
10009|2	UI_Buff_FaShuChuanTou.img	提升30%法术穿透	0	3	程昱2	25312
10009|3	UI_Buff_FaShuChuanTou.img	提升40%法术穿透	0	3	程昱3	25313
10009|4	UI_Buff_FaShuChuanTou.img	提升50%法术穿透	0	3	程昱4	25314
10009|5	UI_Buff_FaShuChuanTou.img	提升60%法术穿透，20%法术吸血	0	3	程昱5	25315
10009|6	UI_Buff_FaShuChuanTou.img	提升70%法术穿透，30%法术吸血	0	3	程昱6	25316
10009|7	UI_Buff_FaShuChuanTou.img	提升80%法术穿透，40%法术吸血	0	3	程昱7	25317
10009|8	UI_Buff_FaShuChuanTou.img	提升90%法术穿透，50%法术吸血	0	3	程昱8	25318
10009|9	UI_Buff_FaShuChuanTou.img	提升100%法术穿透，60%法术吸血	0	3	程昱9	25319
21501|0	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命10%和50000点伤害	8	0	曹冲0	25340
21501|1	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命12%和80000点伤害	8	0	曹冲1	25341
21501|2	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命14%和100000点伤害	8	0	曹冲2	25342
21501|3	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命16%和150000点伤害	8	0	曹冲3	25343
21501|4	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命18%和200000点伤害	8	0	曹冲4	25344
21501|5	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命20%和300000点伤害	8	0	曹冲5	25345
21501|6	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命22%和400000点伤害	8	0	曹冲6	25346
21501|7	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命24%和500000点伤害	8	0	曹冲7	25347
21501|8	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命26%和600000点伤害	8	0	曹冲8	25348
21501|9	UI_Buff_XiShouShangHai.img	仁心：吸收当前生命30%和800000点伤害	8	0	曹冲9	25349
27503|0	UI_Buff_ChenMo.img	无法释放技能	10	1	蔡文姬0	25490
27503|1	UI_Buff_ChenMo.img	无法释放技能	13	1	蔡文姬1	25491
27503|2	UI_Buff_ChenMo.img	无法释放技能	16	1	蔡文姬2	25492
27503|3	UI_Buff_ChenMo.img	无法释放技能	19	1	蔡文姬3	25493
27503|4	UI_Buff_ChenMo.img	无法释放技能	22	1	蔡文姬4	25494
27503|5	UI_Buff_ChenMo.img	无法释放技能，且无法获得士气	25	1	蔡文姬5	25495
27503|6	UI_Buff_ChenMo.img	无法释放技能，且无法获得士气	28	1	蔡文姬6	25496
27503|7	UI_Buff_ChenMo.img	无法释放技能，且无法获得士气	31	1	蔡文姬7	25497
27503|8	UI_Buff_ChenMo.img	无法释放技能，且无法获得士气	34	1	蔡文姬8	25498
27503|9	UI_Buff_ChenMo.img	无法释放技能，且无法获得士气	37	1	蔡文姬9	25499
21502|0	UI_Buff_FaShangJianMian.img	法术减伤10%	0	0	甄姬0	25500
21502|1	UI_Buff_FaShangJianMian.img	法术减伤15%	0	0	甄姬1	25501
21502|2	UI_Buff_FaShangJianMian.img	法术减伤20%	0	0	甄姬2	25502
21502|3	UI_Buff_FaShangJianMian.img	法术减伤25%	0	0	甄姬3	25503
21502|4	UI_Buff_FaShangJianMian.img	法术减伤30%	0	0	甄姬4	25504
21502|5	UI_Buff_FaShangJianMian.img	法术减伤35%	0	0	甄姬5	25505
21502|6	UI_Buff_FaShangJianMian.img	法术减伤40%	0	0	甄姬6	25506
21502|7	UI_Buff_FaShangJianMian.img	法术减伤45%	0	0	甄姬7	25507
21502|8	UI_Buff_FaShangJianMian.img	法术减伤50%	0	0	甄姬8	25508
21502|9	UI_Buff_FaShangJianMian.img	法术减伤55%	0	0	甄姬9	25509
12500|0	UI_Buff_ZengJiaGongJiLi.img	攻击附带30%溅射效果	5	2	关羽0	26010
12500|1	UI_Buff_ZengJiaGongJiLi.img	攻击附带35%溅射效果	6	2	关羽1	26011
12500|2	UI_Buff_ZengJiaGongJiLi.img	攻击附带40%溅射效果	7	2	关羽2	26012
12500|3	UI_Buff_ZengJiaGongJiLi.img	攻击附带45%溅射效果	8	2	关羽3	26013
12500|4	UI_Buff_ZengJiaGongJiLi.img	攻击附带60%溅射效果	9	2	关羽4	26014
12600|0	UI_Buff_DingShen.img	定身，无法移动	1	1	关羽0	26010
12600|1	UI_Buff_DingShen.img	定身，无法移动	1.5	1	关羽1	26011
12600|2	UI_Buff_DingShen.img	定身，无法移动	2	1	关羽2	26012
12600|3	UI_Buff_DingShen.img	定身，无法移动	2.5	1	关羽3	26013
12600|4	UI_Buff_DingShen.img	定身，无法移动	3	1	关羽4	26014
12600|5	UI_Buff_DingShen.img	定身，无法移动，护甲降低30%	3	1	关羽5	26015
12600|6	UI_Buff_DingShen.img	定身，无法移动，护甲降低35%	3	1	关羽6	26016
12600|7	UI_Buff_DingShen.img	定身，无法移动，护甲降低40%	3	1	关羽7	26017
12600|8	UI_Buff_DingShen.img	定身，无法移动，护甲降低45%	3	1	关羽8	26018
12600|9	UI_Buff_DingShen.img	定身，无法移动，护甲降低50%	3	1	关羽9	26019
12501|0	UI_Buff_BaoJi.img	攻击必定暴击	3	2	张飞0	26020
12501|1	UI_Buff_BaoJi.img	攻击必定暴击	4	2	张飞1	26021
12501|2	UI_Buff_BaoJi.img	攻击必定暴击	5	2	张飞2	26022
12501|3	UI_Buff_BaoJi.img	攻击必定暴击	6	2	张飞3	26023
12501|4	UI_Buff_BaoJi.img	攻击必定暴击	8	2	张飞4	26024
