id	脚本	开始时间	结束时间	开启	仅显示	活动显示	删除标记	条件激活	条件	条件2	开服天数	前置id	奖励1	奖励2	奖励3	奖励4	奖励5	奖励6	次数	是否累计次数	刷新	自动领取	标题	标题显示	内容	失败提示	激活码类型	提示跳转链接	TAB_VERSION	活动链接	官网链接
16		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6096|0|1						1	0			内部宝箱（20000）	内部宝箱（20000）	请输入正确的激活码！	激活码错误或已被领取！	108			http://www.quegame.com/	http://www.quegame.com/
17		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7207|0|1	10|7637|0|1				1	0			17173特权礼包（第三区）	17173特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	109			http://www.quegame.com/	http://www.quegame.com/
18		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7211|0|1	10|7607|0|1				1	0			新浪特权礼包（第三区）	新浪特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	110			http://www.quegame.com/	http://www.quegame.com/
19		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7215|0|1	10|7707|0|1				1	0			多玩特权礼包（第三区）	多玩特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	111			http://www.quegame.com/	http://www.quegame.com/
20		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7218|0|1	10|7662|0|1				1	0			40407特权礼包（第三区）	40407特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	112			http://www.quegame.com/	http://www.quegame.com/
21		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6097|0|1	10|7202|0|1	10|7631|0|1				1	0			07170特权礼包（第三区）	07170特权礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	113			http://www.quegame.com/	http://www.quegame.com/
22		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6097|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1	10|7631|0|1		1	0			媒体通用礼包（第三区）	媒体通用礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	114			http://www.quegame.com/	http://www.quegame.com/
23		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6097|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1			1	0			微信礼包（第三区）	微信礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	115			http://www.quegame.com/	http://www.quegame.com/
24		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1	10|7632|0|1		1	0			官网新手礼包（第三区）	官网新手礼包（第三区）	请输入正确的激活码！	激活码错误或已被领取！	116			http://www.quegame.com/	http://www.quegame.com/
25		2012|1|1	2017|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7207|0|1	10|7636|0|1	10|3500|0|50	10|10053|0|1		1	0			媒体大礼包	媒体大礼包	请输入正确的激活码！	激活码错误或已被领取！	117			http://www.quegame.com/	http://www.quegame.com/
26		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7211|0|1	10|7606|0|1	10|3501|0|50			1	0			新浪独家礼包	新浪独家礼包	请输入正确的激活码！	激活码错误或已被领取！	118			http://www.quegame.com/	http://www.quegame.com/
27		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7215|0|1	10|7701|0|1	10|3502|0|50			1	0			多玩独家礼包	多玩独家礼包	请输入正确的激活码！	激活码错误或已被领取！	119			http://www.quegame.com/	http://www.quegame.com/
28		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7218|0|1	10|7661|0|1	10|3500|0|50			1	0			40407独家礼包	40407独家礼包	请输入正确的激活码！	激活码错误或已被领取！	120			http://www.quegame.com/	http://www.quegame.com/
29		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7202|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1	10|7632|0|1		1	0			07073独家礼包	07073独家礼包	请输入正确的激活码！	激活码错误或已被领取！	121			http://www.quegame.com/	http://www.quegame.com/
30		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6097|0|1	10|7202|0|1	10|3500|0|20				1	0			媒体通用礼包	媒体通用礼包	请输入正确的激活码！	激活码错误或已被领取！	122			http://www.quegame.com/	http://www.quegame.com/
31		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6097|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1	10|3501|0|20		1	0			微信礼包	微信礼包	请输入正确的激活码！	激活码错误或已被领取！	123			http://www.quegame.com/	http://www.quegame.com/
32		2012|1|1	2017|1|1	1	0	0	0	0	-1				10|6097|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1	10|10012|0|1		1	0			官网新手礼包	官网新手礼包	请输入正确的激活码！	激活码错误或已被领取！	124			http://www.quegame.com/	http://www.quegame.com/
33		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6081|0|1						1	0			贵宾大礼包	贵宾大礼包	请输入正确的激活码！	激活码错误或已被领取！	125			http://www.quegame.com/	http://www.quegame.com/
34		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6081|0|10						1	0			贵宾豪华大礼包	贵宾豪华大礼包	请输入正确的激活码！	激活码错误或已被领取！	126			http://www.quegame.com/	http://www.quegame.com/
35		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7661|0|1	10|7551|0|1	10|7523|0|2	5|0|0|20000			1	0			页游网独家豪华大礼包	页游网独家豪华大礼包	请输入正确的激活码！	激活码错误或已被领取！	127			http://www.quegame.com/	http://www.quegame.com/
36		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7661|0|1	10|7551|0|1	10|7523|0|3	5|0|0|20000	10|10013|0|1		1	0			将星诀17173独家礼包	将星诀17173独家礼包	请输入正确的激活码！	激活码错误或已被领取！	128			http://www.quegame.com/	http://www.quegame.com/
37		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7552|0|1						1	0			页游网独家豪华大礼包2	页游网独家豪华大礼包2	请输入正确的激活码！	激活码错误或已被领取！	129			http://www.quegame.com/	http://www.quegame.com/
38		2012|1|1	2018|1|1	1	0	0	0	0	-1				10|6050|0|1	10|6098|0|1	10|7522|0|3	10|7203|0|1			1	0			新手礼包	新手礼包	请输入正确的激活码！	激活码错误或已被领取！	130			http://www.quegame.com/	http://www.quegame.com/
39		2012|1|1	2018|1|1	1	0	0	0	0	-1				10|6050|0|1	10|6098|0|1	10|7554|0|1	10|10053|0|1			1	0			媒体通用礼包	媒体通用礼包	请输入正确的激活码！	激活码错误或已被领取！	131			http://www.quegame.com/	http://www.quegame.com/
40		2012|1|1	2018|1|1	1	0	0	0	0	-1				10|6050|0|1	10|7523|0|1	10|7527|0|5	10|7552|0|1			1	0			17173独家礼包	17173独家礼包	请输入正确的激活码！	激活码错误或已被领取！	132			http://www.quegame.com/	http://www.quegame.com/
1100		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7551|0|1	10|6775|0|3	10|7636|0|2	10|7554|0|1			1	0			黄钻新手礼包	黄钻新手礼包		服务器繁忙，请稍候再领取！					
1101		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6775|0|1	10|7549|0|1	10|7631|0|1	10|6815|0|1			1	0			黄钻1级每日礼包	黄钻1级每日礼包		服务器繁忙，请稍候再领取！					
1102		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6775|0|2	10|7549|0|1	10|7631|0|1	10|6815|0|1			1	0			黄钻2级每日礼包	黄钻2级每日礼包		服务器繁忙，请稍候再领取！					
1103		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6775|0|2	10|7549|0|2	10|7631|0|1	10|6815|0|1			1	0			黄钻3级每日礼包	黄钻3级每日礼包		服务器繁忙，请稍候再领取！					
1104		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6775|0|2	10|7549|0|2	10|7631|0|2	10|6815|0|1			1	0			黄钻4级每日礼包	黄钻4级每日礼包		服务器繁忙，请稍候再领取！					
1105		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6775|0|2	10|7549|0|2	10|7631|0|2	10|6815|0|2			1	0			黄钻5级每日礼包	黄钻5级每日礼包		服务器繁忙，请稍候再领取！					
1106		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6775|0|3	10|7549|0|2	10|7631|0|2	10|6815|0|2			1	0			黄钻6级每日礼包	黄钻6级每日礼包		服务器繁忙，请稍候再领取！					
1107		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6775|0|3	10|7549|0|3	10|7631|0|2	10|6815|0|2			1	0			黄钻7级每日礼包	黄钻7级每日礼包		服务器繁忙，请稍候再领取！					
1108		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|6775|0|3	10|7549|0|3	10|7631|0|3	10|6815|0|2			1	0			黄钻8级每日礼包	黄钻8级每日礼包		服务器繁忙，请稍候再领取！					
1109		2012|1|1	2012|1|1	1	0	0	0	0	-1				10|7550|0|1	10|6775|0|2	10|7636|0|2				1	0			年费黄钻每日礼包	年费黄钻每日礼包		服务器繁忙，请稍候再领取！					
1110		2012|1|1	2012|1|1	1	0	0	0	0	-1				5|0|0|2000						1	0			普通升级礼包	普通升级礼包		服务器繁忙，请稍候再领取！					
1111		2012|1|1	2012|1|1	1	0	0	0	0	-1				5|0|0|5000	10|6072|0|1					1	0			黄钻升级礼包	黄钻升级礼包		服务器繁忙，请稍候再领取！					
2000	ShiliOccupyCityCount.cfg	2012|1|1	2017|1|1	0	0	0	0	0	5				10|6051|0|1						1	0			强国之路	强国之路	强国之路						
2001	ShiliOccupyCityCount.cfg	2012|1|1	2017|1|1	0	0	0	0	0	10				10|6052|0|1						1	0			强国之路	强国之路	强国之路						
2002	ShiliOccupyCityCount.cfg	2012|1|1	2017|1|1	0	0	0	0	0	20				10|6052|0|2						1	0			强国之路	强国之路	强国之路						
2003	ShiliOccupyCityCount.cfg	2012|1|1	2017|1|1	0	0	0	0	0	35				10|6052|0|3						1	0			强国之路	强国之路	强国之路						
2004	LianXuChongZhi.cfg	2012|1|1	2012|1|1	1	0	2	0	0	2	2000			10|4200|0|1	10|4201|0|2	10|4202|0|5				1	0			连续充值豪礼	连续充值豪礼	活动时间，累积2天每日充值达到|元宝以上，累积|次，可领取	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
2005	LianXuChongZhi.cfg	2012|1|1	2012|1|1	1	0	2	0	0	3	2000			10|4200|0|1	10|4201|0|2	10|4202|0|5	10|4203|0|10	10|4204|0|55	10|4205|0|99	1	0			连续充值豪礼	连续充值豪礼	活动时间，累积3天每日充值达到|元宝以上，累积|次，可领取	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
2006	LianXuChongZhi.cfg	2012|1|1	2012|1|1	1	0	2	0	0	4	2000			10|4200|0|1	10|4201|0|2	10|4202|0|5	10|4203|0|10	10|4204|0|55	10|4205|0|99	1	0			连续充值豪礼	连续充值豪礼	活动时间，累积4天每日充值达到|元宝以上，累积|次，可领取	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
2007	Recharge.cfg	2012|1|1	2012|1|1	1	0	0	0	0	100				10|7729|0|1	10|7521|0|1	10|7203|0|1	10|6071|0|25			1	0	1		每日十元	每日十元	藤甲兵助阵，以一敌百、万夫莫敌！	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
2008	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	1				10|6785|0|1						1	0			充值返利--vip1	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip1级,未达到领取要求."					
2009	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	2			29985	10|6786|0|1						1	0			充值返利--vip2	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip2级,未达到领取要求."					
2010	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	3			29986	10|6787|0|1						1	0			充值返利--vip3	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip3级,未达到领取要求."					
2011	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	4			29987	10|6788|0|1						1	0			充值返利--vip4	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip4级,未达到领取要求."					
2012	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	5			29988	10|6789|0|1						1	0			充值返利--vip5	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip5级,未达到领取要求."					
2013	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	6			29989	10|6790|0|1						1	0			充值返利--vip6	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip6级,未达到领取要求."					
2014	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	7			29990	10|6791|0|1						1	0			充值返利--vip7	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip7级,未达到领取要求."					
2015	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	8			29991	10|6792|0|1						1	0			充值返利--vip8	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip8级,未达到领取要求."					
2016	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	9			29992	10|6793|0|1						1	0			充值返利--vip9	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip9级,未达到领取要求."					
2017	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	10			29993	10|6794|0|1						1	0			充值返利--vip10	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip10级,未达到领取要求."					
2018	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	11			29994	10|6795|0|1						1	0			充值返利--vip11	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip11级,未达到领取要求."					
2019	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	12			29995	10|6796|0|1						1	0			充值返利--vip12	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip12级,未达到领取要求."					
2020	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	13			29996	10|6797|0|1						1	0			充值返利--vip13	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip13级,未达到领取要求."					
2021	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	14			29997	10|6798|0|1						1	0			充值返利--vip14	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip14级,未达到领取要求."					
2022	VipLevelNotLess.cfg	2012|1|1	2012|1|1	0	0	0	0	0	15			29998	10|6799|0|1						1	0			充值返利--vip15	VIP限时返利	开服1个月内，所有VIP玩家可额外领取累计达到当前VIP充值额度10%的礼金返还，每个玩家只可领取一次。	"您目前vip等级不到vip15级,未达到领取要求."					
2023		2012|1|1	2012|1|2	1	0	1	0	0	-1				10|6750|0|1						1	0	1		VIP每日礼包	VIP每日礼包	每日可领取一次。打开可获得礼金、铜币和八卦石宝箱。VIP等级达到4、7、11级时奖励更加丰富。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
2024		2012|1|1	2012|1|2	1	0	1	0	0	-1				10|6751|0|1						1	0	7		VIP每周礼包	VIP每周礼包	每周可领取一次。打开可获得礼金、铜币和八卦石宝箱。VIP等级达到4、7、11级时奖励更加丰富。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
2025	ShiSiRuGui.cfg	2016|10|1	2012|1|1	1	0	1	0	0	60000				10|6049|0|1	10|6109|0|1	10|6118|0|3	10|7523|0|1			1	0			视死如归	视死如归	国庆七天乐，主公参与国战死伤数量达到6万，可在此处领取国庆卫国大礼。	领取条件不满足！				http://www.quegame.com/	http://www.quegame.com/
2026	ShiSiRuGui.cfg	2016|10|1	2012|1|1	1	0	1	0	0	500000				10|6051|0|1	10|6109|0|4	10|6118|0|10	10|7523|0|2			1	0			视死如归	视死如归	国庆七天乐，主公参与国战死伤数量达到50万，可在此处领取国庆卫国大礼。	领取条件不满足！				http://www.quegame.com/	
2027	SingleRechargeNotLess.cfg	2012|1|1	2012|1|2	1	0	1	0	0	5000				10|6143|0|1						1	0			500元礼包	500元礼包	活动期间单笔充值达到500元以上，可以获得大量奖励	领取条件不满足，请前往充值！				http://www.quegame.com/	http://www.quegame.com/
2028	SingleRechargeNotLess.cfg	2012|1|1	2012|1|2	1	0	1	0	0	10000				10|6143|0|5						1	0			1000元礼包	1000元礼包	活动期间单笔充值达到1000元以上，可以获得大量奖励	领取条件不满足，请前往充值！				http://www.quegame.com/	http://www.quegame.com/
2029		2016|10|1	2012|1|1	1	0	3	0	0											1	0			节日壕礼	节日壕礼	国庆七天乐，登陆送豪礼！（10.1~10.7）						
2030	LevelNotLess.cfg	2016|10|1	2012|1|1	1	0	0	0	0	1				10|6050|0|1						1	0			节日壕礼	节日壕礼	国庆七天乐，登陆送豪礼！（10.1~10.7）						
2031	LevelNotLess.cfg	2016|10|1	2012|1|2	1	0	0	0	0	1				10|6808|0|1						1	0			节日壕礼	节日壕礼	国庆七天乐，登陆送豪礼！（10.1~10.7）						
2032	LevelNotLess.cfg	2016|10|1	2012|1|2	1	0	0	0	0	1				10|6109|0|1						1	0			节日壕礼	节日壕礼	国庆七天乐，登陆送豪礼！（10.1~10.7）						
3000	Recharge.cfg	2012|1|1	2019|11|1	1	0	0	0	0	1000		1		300|100|100|100|100|100|200						1	0			小周卡	小周卡		服务器繁忙，请稍候再领取！					
3001	Recharge.cfg	2012|1|1	2019|11|1	1	0	0	0	0	500		1		10|7643|0|1	10|7613|0|1	10|6119|0|1	10|6051|0|1			20	0			自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
3002	Recharge.cfg	2012|1|1	2019|11|1	1	0	0	0	0	500		2		10|7644|0|1	10|7614|0|1	10|6119|0|1	10|6051|0|1			20	0			自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
3003	Recharge.cfg	2012|1|1	2019|11|1	1	0	0	0	0	500		3		10|7647|0|1	10|7617|0|1	10|6119|0|1	10|6051|0|1			20	0			自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
3004	Recharge.cfg	2012|1|1	2019|11|1	1	0	0	0	0	500		4		10|7647|0|1	10|7617|0|1	10|6119|0|1	10|6051|0|1			20	0			自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
3005	Recharge.cfg	2012|1|1	2019|11|1	1	0	0	0	0	500		5		10|7648|0|1	10|7618|0|1	10|6119|0|1	10|6051|0|1			20	0			自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
3006	Recharge.cfg	2012|1|1	2019|11|1	1	0	0	0	0	500		6		10|7648|0|1	10|7618|0|1	10|6119|0|1	10|6051|0|1			20	0			自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
3007	Recharge.cfg	2012|1|1	2019|11|1	1	0	0	0	0	500		7		10|7648|0|1	10|7618|0|1	10|6119|0|1	10|6051|0|1			20	0			自选礼包	自选礼包		服务器繁忙，请稍候再领取！				http://www.quegame.com/	http://www.quegame.com/
3008		2012|1|1	2019|11|1	1	0	2	0	0	1	1	1|3		10|7203|0|1						1	0			限时特卖	限时特卖	限时特卖，只需 |元宝，总计可购买|次	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
3009		2012|1|1	2019|11|1	1	0	2	0	0	100	1	1|3		10|10210|0|1						4	0			限时特卖	限时特卖	限时特卖，只需 |元宝，总计可购买|次	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
3010		2012|1|1	2019|11|1	1	0	2	0	0	100	1	1|3		10|7520|0|1						5	0			限时特卖	限时特卖	限时特卖，只需 |元宝，总计可购买|次	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
3011		2012|1|1	2019|11|1	1	0	2	0	0	2000	1	1|3		10|6091|0|1						3	0			限时特卖	限时特卖	限时特卖，只需 |元宝，总计可购买|次	服务器繁忙，请稍候再领取！				http://www.quegame.com/	
3012	Recharge.cfg	2016|10|1	2019|11|1	1	0	2	0	0	300		1|4		10|7554|0|2	10|7552|0|1	10|7643|0|1	10|7203|0|1	10|6119|0|2	10|6050|0|1	1	0			多日充值	累积充值	活动期间累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
3013	Recharge.cfg	2016|10|1	2019|11|1	1	0	2	0	0	500		1|4		10|7554|0|3	10|7552|0|1	10|7613|0|1	10|7203|0|2	10|6119|0|4	10|6050|0|3	1	0			多日充值	累积充值	活动期间累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
3014	Recharge.cfg	2016|10|1	2019|11|1	1	0	2	0	0	1000		1|4		10|7554|0|3	10|7552|0|1	10|2131|0|1	10|2132|0|1	10|7203|0|3	10|6050|0|4	1	0			多日充值	累积充值	活动期间累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
3015	Recharge.cfg	2016|10|1	2019|11|1	1	0	2	0	0	2000		1|4		10|7554|0|3	10|7552|0|1	10|2133|0|1	10|2134|0|1	10|2135|0|1	10|6050|0|5	1	0			多日充值	累积充值	活动期间累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
3016	Recharge.cfg	2016|10|1	2019|11|1	1	0	2	0	0	5000		1|4		10|7554|0|3	10|7552|0|1	10|10054|0|1	10|6125|0|2	10|6137|0|1		1	0			多日充值	累积充值	活动期间累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
3017	Recharge.cfg	2016|10|1	2019|11|1	1	0	2	0	0	10000		1|4		10|7552|0|1	10|10014|0|1	10|6125|0|5	10|6137|0|1			1	0			多日充值	累积充值	活动期间累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
3018	Recharge.cfg	2016|10|1	2019|11|1	1	0	2	0	0	20000		1|4		10|7552|0|1	10|7769|0|1	10|6075|0|1	10|6137|0|1			1	0			多日充值	累积充值	活动期间累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
3019	Recharge.cfg	2016|10|1	2019|11|1	1	0	2	0	0	50000		1|4		10|6053|0|5						1	0			多日充值	累积充值	活动期间累积充值达到|元宝，可领取	服务器繁忙，请稍候再领取！					
3020	Recharge.cfg	2012|1|1	2019|11|1	1	0	2	0	0	100		1		10|7643|0|1	10|7613|0|1	10|6050|0|1	10|7203|0|1			1	0			今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
3021	Recharge.cfg	2012|1|1	2019|11|1	1	0	2	0	0	500		1		10|7643|0|1	10|7613|0|1	10|6050|0|2	5|0|0|100000			1	0			今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
3022	Recharge.cfg	2012|1|1	2019|11|1	1	0	2	0	0	1000		1		10|7647|0|1	10|7617|0|1	10|6050|0|3	5|0|0|200000			1	0			今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
3023	Recharge.cfg	2012|1|1	2019|11|1	1	0	2	0	0	5000		1		10|7556|0|50	10|7649|0|1	10|6144|0|1	10|6050|0|5	5|0|0|300000		1	0			今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
3024	Recharge.cfg	2012|1|1	2019|11|1	1	0	2	0	0	10000		1		10|7556|0|99	10|7619|0|1	10|6145|0|1	10|6050|0|10	5|0|0|400000		1	0			今日充值	今日充值	今日累计充值|元宝，可领取	服务器繁忙，请稍候再领取！					
