id	lv	Ê±¼ä	Í­Ç®	Ä¾²Ä	Ìú¿ó	Á¸Ê³
20024	80	127009	320	1600	1600	1600
20025	1	22	1	5	5	5
20025	2	25	2	10	10	10
20025	3	28	3	15	15	15
20025	4	32	4	20	20	20
20025	5	36	5	25	25	25
20025	6	40	6	30	30	30
20025	7	44	7	35	35	35
20025	8	49	8	40	40	40
20025	9	54	9	45	45	45
20025	10	60	10	50	50	50
20025	11	666	12	60	60	60
20025	12	731	14	70	70	70
20025	13	800	16	80	80	80
20025	14	875	18	90	90	90
20025	15	956	20	100	100	100
20025	16	1043	22	110	110	110
20025	17	1136	24	120	120	120
20025	18	1236	26	130	130	130
20025	19	1344	28	140	140	140
20025	20	1460	30	150	150	150
20025	21	1584	32	160	160	160
20025	22	1718	34	170	170	170
20025	23	1862	36	180	180	180
20025	24	2016	38	190	190	190
20025	25	2183	40	200	200	200
20025	26	2361	42	210	210	210
20025	27	2553	44	220	220	220
20025	28	2760	46	230	230	230
20025	29	2982	48	240	240	240
20025	30	3221	50	250	250	250
20025	31	3477	53	263	263	263
20025	32	3753	55	275	275	275
20025	33	4049	58	288	288	288
20025	34	4368	60	300	300	300
20025	35	4711	63	313	313	313
20025	36	5079	65	325	325	325
20025	37	5475	68	338	338	338
20025	38	5900	70	350	350	350
20025	39	6358	73	363	363	363
20025	40	6850	75	375	375	375
20025	41	7379	78	388	388	388
20025	42	7947	80	400	400	400
20025	43	8558	83	413	413	413
20025	44	9215	85	425	425	425
20025	45	9921	88	438	438	438
20025	46	10680	90	450	450	450
20025	47	11496	93	463	463	463
20025	48	12373	95	475	475	475
20025	49	13316	98	488	488	488
20025	50	14330	100	500	500	500
20025	51	15420	105	525	525	525
20025	52	16591	110	550	550	550
20025	53	17851	115	575	575	575
20025	54	19204	120	600	600	600
20025	55	20660	125	625	625	625
20025	56	22224	130	650	650	650
20025	57	23906	135	675	675	675
20025	58	25714	140	700	700	700
20025	59	27657	145	725	725	725
20025	60	29747	150	750	750	750
20025	61	31993	155	775	775	775
20025	62	34407	160	800	800	800
20025	63	37003	165	825	825	825
20025	64	39793	170	850	850	850
20025	65	42792	175	875	875	875
20025	66	46017	180	900	900	900
20025	67	49483	190	950	950	950
20025	68	53209	200	1000	1000	1000
20025	69	57215	210	1050	1050	1050
20025	70	61521	220	1100	1100	1100
20025	71	66150	230	1150	1150	1150
20025	72	71126	240	1200	1200	1200
20025	73	76476	250	1250	1250	1250
20025	74	82227	260	1300	1300	1300
20025	75	88409	270	1350	1350	1350
20025	76	95054	280	1400	1400	1400
20025	77	102198	290	1450	1450	1450
20025	78	109878	300	1500	1500	1500
20025	79	118134	310	1550	1550	1550
20025	80	127009	320	1600	1600	1600
20026	1	17	1	4	4	4
20026	2	20	2	8	8	8
20026	3	22	2	12	12	12
20026	4	25	3	16	16	16
20026	5	28	4	20	20	20
20026	6	32	5	24	24	24
20026	7	35	6	28	28	28
20026	8	39	6	32	32	32
20026	9	43	7	36	36	36
20026	10	48	8	40	40	40
20026	11	533	10	48	48	48
20026	12	585	11	56	56	56
20026	13	640	13	64	64	64
20026	14	700	14	72	72	72
20026	15	765	16	80	80	80
20026	16	834	18	88	88	88
20026	17	909	19	96	96	96
20026	18	989	21	104	104	104
20026	19	1075	22	112	112	112
20026	20	1168	24	120	120	120
20026	21	1267	26	128	128	128
20026	22	1374	27	136	136	136
20026	23	1490	29	144	144	144
20026	24	1613	30	152	152	152
20026	25	1746	32	160	160	160
20026	26	1889	34	168	168	168
20026	27	2042	35	176	176	176
20026	28	2208	37	184	184	184
20026	29	2386	38	192	192	192
20026	30	2577	40	200	200	200
20026	31	2782	42	210	210	210
20026	32	3002	44	220	220	220
20026	33	3239	46	230	230	230
20026	34	3494	48	240	240	240
20026	35	3769	50	250	250	250
20026	36	4063	52	260	260	260
20026	37	4380	54	270	270	270
20026	38	4720	56	280	280	280
20026	39	5086	58	290	290	290
20026	40	5480	60	300	300	300
20026	41	5903	62	310	310	310
20026	42	6358	64	320	320	320
20026	43	6846	66	330	330	330
20026	44	7372	68	340	340	340
20026	45	7937	70	350	350	350
20026	46	8544	72	360	360	360
20026	47	9197	74	370	370	370
20026	48	9898	76	380	380	380
20026	49	10653	78	390	390	390
20026	50	11464	80	400	400	400
20026	51	12336	84	420	420	420
20026	52	13273	88	440	440	440
20026	53	14281	92	460	460	460
20026	54	15363	96	480	480	480
20026	55	16528	100	500	500	500
20026	56	17779	104	520	520	520
20026	57	19125	108	540	540	540
20026	58	20571	112	560	560	560
20026	59	22126	116	580	580	580
20026	60	23798	120	600	600	600
20026	61	25594	124	620	620	620
20026	62	27526	128	640	640	640
20026	63	29602	132	660	660	660
20026	64	31834	136	680	680	680
20026	65	34234	140	700	700	700
20026	66	36814	144	720	720	720
20026	67	39586	152	760	760	760
20026	68	42567	160	800	800	800
20026	69	45772	168	840	840	840
20026	70	49217	176	880	880	880
20026	71	52920	184	920	920	920
20026	72	56901	192	960	960	960
20026	73	61181	200	1000	1000	1000
20026	74	65782	208	1040	1040	1040
20026	75	70727	216	1080	1080	1080
20026	76	76043	224	1120	1120	1120
20026	77	81758	232	1160	1160	1160
20026	78	87902	240	1200	1200	1200
20026	79	94507	248	1240	1240	1240
20026	80	101607	256	1280	1280	1280
20027	1	17	1	4	4	4
20027	2	20	2	8	8	8
20027	3	22	2	12	12	12
20027	4	25	3	16	16	16
20027	5	28	4	20	20	20
20027	6	32	5	24	24	24
20027	7	35	6	28	28	28
20027	8	39	6	32	32	32
20027	9	43	7	36	36	36
20027	10	48	8	40	40	40
20027	11	533	10	48	48	48
20027	12	585	11	56	56	56
20027	13	640	13	64	64	64
20027	14	700	14	72	72	72
20027	15	765	16	80	80	80
20027	16	834	18	88	88	88
20027	17	909	19	96	96	96
20027	18	989	21	104	104	104
20027	19	1075	22	112	112	112
20027	20	1168	24	120	120	120
20027	21	1267	26	128	128	128
20027	22	1374	27	136	136	136
20027	23	1490	29	144	144	144
20027	24	1613	30	152	152	152
20027	25	1746	32	160	160	160
20027	26	1889	34	168	168	168
20027	27	2042	35	176	176	176
20027	28	2208	37	184	184	184
20027	29	2386	38	192	192	192
20027	30	2577	40	200	200	200
20027	31	2782	42	210	210	210
20027	32	3002	44	220	220	220
20027	33	3239	46	230	230	230
20027	34	3494	48	240	240	240
20027	35	3769	50	250	250	250
20027	36	4063	52	260	260	260
20027	37	4380	54	270	270	270
20027	38	4720	56	280	280	280
20027	39	5086	58	290	290	290
20027	40	5480	60	300	300	300
20027	41	5903	62	310	310	310
20027	42	6358	64	320	320	320
20027	43	6846	66	330	330	330
20027	44	7372	68	340	340	340
20027	45	7937	70	350	350	350
20027	46	8544	72	360	360	360
20027	47	9197	74	370	370	370
20027	48	9898	76	380	380	380
20027	49	10653	78	390	390	390
20027	50	11464	80	400	400	400
20027	51	12336	84	420	420	420
20027	52	13273	88	440	440	440
20027	53	14281	92	460	460	460
20027	54	15363	96	480	480	480
20027	55	16528	100	500	500	500
20027	56	17779	104	520	520	520
20027	57	19125	108	540	540	540
20027	58	20571	112	560	560	560
20027	59	22126	116	580	580	580
20027	60	23798	120	600	600	600
20027	61	25594	124	620	620	620
20027	62	27526	128	640	640	640
20027	63	29602	132	660	660	660
20027	64	31834	136	680	680	680
20027	65	34234	140	700	700	700
20027	66	36814	144	720	720	720
20027	67	39586	152	760	760	760
20027	68	42567	160	800	800	800
20027	69	45772	168	840	840	840
20027	70	49217	176	880	880	880
20027	71	52920	184	920	920	920
20027	72	56901	192	960	960	960
20027	73	61181	200	1000	1000	1000
20027	74	65782	208	1040	1040	1040
20027	75	70727	216	1080	1080	1080
20027	76	76043	224	1120	1120	1120
20027	77	81758	232	1160	1160	1160
20027	78	87902	240	1200	1200	1200
20027	79	94507	248	1240	1240	1240
20027	80	101607	256	1280	1280	1280
20028	1	8	1	2	2	2
20028	2	10	1	4	4	4
20028	3	11	1	6	6	6
20028	4	12	2	8	8	8
20028	5	14	2	10	10	10
20028	6	16	2	12	12	12
20028	7	17	3	14	14	14
20028	8	19	3	16	16	16
20028	9	22	4	18	18	18
20028	10	24	4	20	20	20
20028	11	266	5	24	24	24
20028	12	292	6	28	28	28
20028	13	320	6	32	32	32
20028	14	350	7	36	36	36
20028	15	382	8	40	40	40
20028	16	417	9	44	44	44
20028	17	454	10	48	48	48
20028	18	494	10	52	52	52
20028	19	538	11	56	56	56
20028	20	584	12	60	60	60
20028	21	634	13	64	64	64
20028	22	687	14	68	68	68
20028	23	745	14	72	72	72
20028	24	806	15	76	76	76
20028	25	873	16	80	80	80
20028	26	944	17	84	84	84
20028	27	1021	18	88	88	88
20028	28	1104	18	92	92	92
20028	29	1193	19	96	96	96
20028	30	1288	20	100	100	100
20028	31	1391	21	105	105	105
20028	32	1501	22	110	110	110
20028	33	1620	23	115	115	115
20028	34	1747	24	120	120	120
20028	35	1884	25	125	125	125
20028	36	2032	26	130	130	130
20028	37	2190	27	135	135	135
20028	38	2360	28	140	140	140
20028	39	2543	29	145	145	145
20028	40	2740	30	150	150	150
20028	41	2952	31	155	155	155
20028	42	3179	32	160	160	160
20028	43	3423	33	165	165	165
20028	44	3686	34	170	170	170
20028	45	3968	35	175	175	175
20028	46	4272	36	180	180	180
20028	47	4598	37	185	185	185
20028	48	4949	38	190	190	190
20028	49	5326	39	195	195	195
20028	50	5732	40	200	200	200
20028	51	6168	42	210	210	210
20028	52	6636	44	220	220	220
20028	53	7140	46	230	230	230
20028	54	7682	48	240	240	240
20028	55	8264	50	250	250	250
20028	56	8890	52	260	260	260
20028	57	9562	54	270	270	270
20028	58	10286	56	280	280	280
20028	59	11063	58	290	290	290
20028	60	11899	60	300	300	300
20028	61	12797	62	310	310	310
20028	62	13763	64	320	320	320
20028	63	14801	66	330	330	330
20028	64	15917	68	340	340	340
20028	65	17117	70	350	350	350
20028	66	18407	72	360	360	360
20028	67	19793	76	380	380	380
20028	68	21284	80	400	400	400
20028	69	22886	84	420	420	420
20028	70	24608	88	440	440	440
20028	71	26460	92	460	460	460
20028	72	28450	96	480	480	480
20028	73	30590	100	500	500	500
20028	74	32891	104	520	520	520
20028	75	35364	108	540	540	540
20028	76	38022	112	560	560	560
20028	77	40879	116	580	580	580
20028	78	43951	120	600	600	600
20028	79	47254	124	620	620	620
20028	80	50804	128	640	640	640
20029	1	8	1	2	2	2
20029	2	10	1	4	4	4
20029	3	11	1	6	6	6
20029	4	12	2	8	8	8
20029	5	14	2	10	10	10
20029	6	16	2	12	12	12
20029	7	17	3	14	14	14
20029	8	19	3	16	16	16
20029	9	22	4	18	18	18
20029	10	24	4	20	20	20
20029	11	266	5	24	24	24
20029	12	292	6	28	28	28
20029	13	320	6	32	32	32
20029	14	350	7	36	36	36
20029	15	382	8	40	40	40
20029	16	417	9	44	44	44
20029	17	454	10	48	48	48
20029	18	494	10	52	52	52
20029	19	538	11	56	56	56
20029	20	584	12	60	60	60
20029	21	634	13	64	64	64
20029	22	687	14	68	68	68
20029	23	745	14	72	72	72
20029	24	806	15	76	76	76
20029	25	873	16	80	80	80
20029	26	944	17	84	84	84
20029	27	1021	18	88	88	88
20029	28	1104	18	92	92	92
20029	29	1193	19	96	96	96
20029	30	1288	20	100	100	100
20029	31	1391	21	105	105	105
20029	32	1501	22	110	110	110
20029	33	1620	23	115	115	115
20029	34	1747	24	120	120	120
20029	35	1884	25	125	125	125
20029	36	2032	26	130	130	130
20029	37	2190	27	135	135	135
20029	38	2360	28	140	140	140
20029	39	2543	29	145	145	145
20029	40	2740	30	150	150	150
20029	41	2952	31	155	155	155
20029	42	3179	32	160	160	160
20029	43	3423	33	165	165	165
20029	44	3686	34	170	170	170
20029	45	3968	35	175	175	175
20029	46	4272	36	180	180	180
20029	47	4598	37	185	185	185
20029	48	4949	38	190	190	190
20029	49	5326	39	195	195	195
20029	50	5732	40	200	200	200
20029	51	6168	42	210	210	210
20029	52	6636	44	220	220	220
20029	53	7140	46	230	230	230
20029	54	7682	48	240	240	240
20029	55	8264	50	250	250	250
20029	56	8890	52	260	260	260
20029	57	9562	54	270	270	270
20029	58	10286	56	280	280	280
20029	59	11063	58	290	290	290
20029	60	11899	60	300	300	300
20029	61	12797	62	310	310	310
20029	62	13763	64	320	320	320
20029	63	14801	66	330	330	330
20029	64	15917	68	340	340	340
20029	65	17117	70	350	350	350
20029	66	18407	72	360	360	360
20029	67	19793	76	380	380	380
20029	68	21284	80	400	400	400
20029	69	22886	84	420	420	420
20029	70	24608	88	440	440	440
20029	71	26460	92	460	460	460
20029	72	28450	96	480	480	480
20029	73	30590	100	500	500	500
20029	74	32891	104	520	520	520
20029	75	35364	108	540	540	540
20029	76	38022	112	560	560	560
20029	77	40879	116	580	580	580
20029	78	43951	120	600	600	600
20029	79	47254	124	620	620	620
20029	80	50804	128	640	640	640
20030	1	8	1	2	2	2
20030	2	10	1	3	3	3
20030	3	11	1	5	5	5
20030	4	12	1	6	6	6
20030	5	14	2	8	8	8
20030	6	16	2	9	9	9
20030	7	17	2	11	11	11
20030	8	19	2	12	12	12
20030	9	22	3	14	14	14
20030	10	24	3	15	15	15
20030	11	200	4	18	18	18
20030	12	219	4	21	21	21
20030	13	240	5	24	24	24
20030	14	263	5	27	27	27
20030	15	287	6	30	30	30
20030	16	313	7	33	33	33
20030	17	341	7	36	36	36
20030	18	371	8	39	39	39
20030	19	403	8	42	42	42
20030	20	438	9	45	45	45
20030	21	475	10	48	48	48
20030	22	515	10	51	51	51
20030	23	559	11	54	54	54
20030	24	605	11	57	57	57
20030	25	655	12	60	60	60
20030	26	708	13	63	63	63
20030	27	766	13	66	66	66
20030	28	828	14	69	69	69
20030	29	895	14	72	72	72
20030	30	966	15	75	75	75
20030	31	1043	16	79	79	79
20030	32	1126	17	83	83	83
20030	33	1215	17	86	86	86
20030	34	1310	18	90	90	90
20030	35	1413	19	94	94	94
20030	36	1524	20	98	98	98
20030	37	1643	20	101	101	101
20030	38	1770	21	105	105	105
20030	39	1907	22	109	109	109
20030	40	2055	23	113	113	113
20030	41	2214	23	116	116	116
20030	42	2384	24	120	120	120
20030	43	2567	25	124	124	124
20030	44	2765	26	128	128	128
20030	45	2976	26	131	131	131
20030	46	3204	27	135	135	135
20030	47	3449	28	139	139	139
20030	48	3712	29	143	143	143
20030	49	3995	29	146	146	146
20030	50	4299	30	150	150	150
20030	51	4626	32	158	158	158
20030	52	4977	33	165	165	165
20030	53	5355	35	173	173	173
20030	54	5761	36	180	180	180
20030	55	6198	38	188	188	188
20030	56	6667	39	195	195	195
20030	57	7172	41	203	203	203
20030	58	7714	42	210	210	210
20030	59	8297	44	218	218	218
20030	60	8924	45	225	225	225
20030	61	9598	47	233	233	233
20030	62	10322	48	240	240	240
20030	63	11101	50	248	248	248
20030	64	11938	51	255	255	255
20030	65	12838	53	263	263	263
20030	66	13805	54	270	270	270
20030	67	14845	57	285	285	285
20030	68	15963	60	300	300	300
20030	69	17165	63	315	315	315
20030	70	18456	66	330	330	330
20030	71	19845	69	345	345	345
20030	72	21338	72	360	360	360
20030	73	22943	75	375	375	375
20030	74	24668	78	390	390	390
20030	75	26523	81	405	405	405
20030	76	28516	84	420	420	420
20030	77	30659	87	435	435	435
20030	78	32963	90	450	450	450
20030	79	35440	93	465	465	465
20030	80	38103	96	480	480	480
20031	1	8	0	2	2	0
20031	2	10	1	4	4	0
20031	3	11	1	6	6	0
20031	4	12	1	8	8	0
20031	5	14	2	10	10	0
20031	6	16	2	12	12	0
20031	7	17	2	14	14	0
20031	8	19	2	16	16	0
20031	9	22	3	18	18	0
20031	10	24	3	20	20	0
20031	11	200	4	24	24	0
20031	12	219	4	28	28	0
20031	13	240	5	32	32	0
20031	14	263	5	36	36	0
20031	15	287	6	40	40	0
20031	16	313	7	44	44	0
20031	17	341	7	48	48	0
20031	18	371	8	52	52	0
20031	19	403	8	56	56	0
20031	20	438	9	60	60	0
20031	21	475	10	64	64	0
20031	22	515	10	68	68	0
20031	23	559	11	72	72	0
20031	24	605	11	76	76	0
20031	25	655	12	80	80	0
20031	26	708	13	84	84	0
20031	27	766	13	88	88	0
20031	28	828	14	92	92	0
20031	29	895	14	96	96	0
20031	30	966	15	100	100	0
20031	31	1043	16	105	105	0
20031	32	1126	17	110	110	0
20031	33	1215	17	115	115	0
20031	34	1310	18	120	120	0
20031	35	1413	19	125	125	0
20031	36	1524	20	130	130	0
20031	37	1643	20	135	135	0
20031	38	1770	21	140	140	0
20031	39	1907	22	145	145	0
20031	40	2055	23	150	150	0
20031	41	2214	23	155	155	0
20031	42	2384	24	160	160	0
20031	43	2567	25	165	165	0
20031	44	2765	26	170	170	0
20031	45	2976	26	175	175	0
20031	46	3204	27	180	180	0
20031	47	3449	28	185	185	0
20031	48	3712	29	190	190	0
20031	49	3995	29	195	195	0
20031	50	4299	30	200	200	0
20031	51	4626	32	210	210	0
20031	52	4977	33	220	220	0
20031	53	5355	35	230	230	0
20031	54	5761	36	240	240	0
20031	55	6198	38	250	250	0
20031	56	6667	39	260	260	0
20031	57	7172	41	270	270	0
20031	58	7714	42	280	280	0
20031	59	8297	44	290	290	0
20031	60	8924	45	300	300	0
20031	61	9598	47	310	310	0
20031	62	10322	48	320	320	0
20031	63	11101	50	330	330	0
20031	64	11938	51	340	340	0
20031	65	12838	53	350	350	0
20031	66	13805	54	360	360	0
20031	67	14845	57	380	380	0
20031	68	15963	60	400	400	0
20031	69	17165	63	420	420	0
20031	70	18456	66	440	440	0
20031	71	19845	69	460	460	0
20031	72	21338	72	480	480	0
20031	73	22943	75	500	500	0
20031	74	24668	78	520	520	0
20031	75	26523	81	540	540	0
20031	76	28516	84	560	560	0
20031	77	30659	87	580	580	0
20031	78	32963	90	600	600	0
20031	79	35440	93	620	620	0
20031	80	38103	96	640	640	0
20032	1	8	0	2	2	2
20032	2	10	1	4	4	4
20032	3	11	1	6	6	6
20032	4	12	2	8	8	8
20032	5	14	2	10	10	10
20032	6	16	2	12	12	12
20032	7	17	3	14	14	14
20032	8	19	3	16	16	16
20032	9	22	4	18	18	18
20032	10	24	4	20	20	20
20032	11	266	5	24	24	24
20032	12	292	6	28	28	28
20032	13	320	6	32	32	32
20032	14	350	7	36	36	36
20032	15	382	8	40	40	40
20032	16	417	9	44	44	44
20032	17	454	10	48	48	48
20032	18	494	10	52	52	52
20032	19	538	11	56	56	56
20032	20	584	12	60	60	60
20032	21	634	13	64	64	64
20032	22	687	14	68	68	68
20032	23	745	14	72	72	72
20032	24	806	15	76	76	76
20032	25	873	16	80	80	80
20032	26	944	17	84	84	84
20032	27	1021	18	88	88	88
20032	28	1104	18	92	92	92
20032	29	1193	19	96	96	96
20032	30	1288	20	100	100	100
20032	31	1391	21	105	105	105
20032	32	1501	22	110	110	110
20032	33	1620	23	115	115	115
20032	34	1747	24	120	120	120
20032	35	1884	25	125	125	125
20032	36	2032	26	130	130	130
20032	37	2190	27	135	135	135
20032	38	2360	28	140	140	140
20032	39	2543	29	145	145	145
20032	40	2740	30	150	150	150
20032	41	2952	31	155	155	155
20032	42	3179	32	160	160	160
20032	43	3423	33	165	165	165
20032	44	3686	34	170	170	170
20032	45	3968	35	175	175	175
20032	46	4272	36	180	180	180
20032	47	4598	37	185	185	185
20032	48	4949	38	190	190	190
20032	49	5326	39	195	195	195
20032	50	5732	40	200	200	200
20032	51	6168	42	210	210	210
20032	52	6636	44	220	220	220
20032	53	7140	46	230	230	230
20032	54	7682	48	240	240	240
20032	55	8264	50	250	250	250
20032	56	8890	52	260	260	260
20032	57	9562	54	270	270	270
20032	58	10286	56	280	280	280
20032	59	11063	58	290	290	290
20032	60	11899	60	300	300	300
20032	61	12797	62	310	310	310
20032	62	13763	64	320	320	320
20032	63	14801	66	330	330	330
20032	64	15917	68	340	340	340
20032	65	17117	70	350	350	350
20032	66	18407	72	360	360	360
20032	67	19793	76	380	380	380
20032	68	21284	80	400	400	400
20032	69	22886	84	420	420	420
20032	70	24608	88	440	440	440
20032	71	26460	92	460	460	460
20032	72	28450	96	480	480	480
20032	73	30590	100	500	500	500
20032	74	32891	104	520	520	520
20032	75	35364	108	540	540	540
20032	76	38022	112	560	560	560
20032	77	40879	116	580	580	580
20032	78	43951	120	600	600	600
20032	79	47254	124	620	620	620
20032	80	50804	128	640	640	640
20033	1	8	0	0	3	3
20033	2	10	1	0	6	6
20033	3	11	1	0	9	9
20033	4	12	2	0	12	12
20033	5	14	2	0	15	15
20033	6	16	2	0	18	18
20033	7	17	3	0	21	21
20033	8	19	3	0	24	24
20033	9	22	4	0	27	27
20033	10	24	4	0	30	30
20033	11	266	5	0	36	36
20033	12	292	6	0	42	42
20033	13	320	6	0	48	48
20033	14	350	7	0	54	54
20033	15	382	8	0	60	60
20033	16	417	9	0	66	66
20033	17	454	10	0	72	72
20033	18	494	10	0	78	78
20033	19	538	11	0	84	84
20033	20	584	12	0	90	90
20033	21	634	13	0	96	96
20033	22	687	14	0	102	102
20033	23	745	14	0	108	108
20033	24	806	15	0	114	114
20033	25	873	16	0	120	120
20033	26	944	17	0	126	126
20033	27	1021	18	0	132	132
20033	28	1104	18	0	138	138
20033	29	1193	19	0	144	144
20033	30	1288	20	0	150	150
20033	31	1391	21	0	158	158
20033	32	1501	22	0	165	165
20033	33	1620	23	0	173	173
20033	34	1747	24	0	180	180
20033	35	1884	25	0	188	188
20033	36	2032	26	0	195	195
20033	37	2190	27	0	203	203
20033	38	2360	28	0	210	210
20033	39	2543	29	0	218	218
20033	40	2740	30	0	225	225
20033	41	2952	31	0	233	233
20033	42	3179	32	0	240	240
20033	43	3423	33	0	248	248
20033	44	3686	34	0	255	255
20033	45	3968	35	0	263	263
20033	46	4272	36	0	270	270
20033	47	4598	37	0	278	278
20033	48	4949	38	0	285	285
20033	49	5326	39	0	293	293
20033	50	5732	40	0	300	300
20033	51	6168	42	0	315	315
20033	52	6636	44	0	330	330
20033	53	7140	46	0	345	345
20033	54	7682	48	0	360	360
20033	55	8264	50	0	375	375
20033	56	8890	52	0	390	390
20033	57	9562	54	0	405	405
20033	58	10286	56	0	420	420
20033	59	11063	58	0	435	435
20033	60	11899	60	0	450	450
20033	61	12797	62	0	465	465
20033	62	13763	64	0	480	480
20033	63	14801	66	0	495	495
20033	64	15917	68	0	510	510
20033	65	17117	70	0	525	525
20033	66	18407	72	0	540	540
20033	67	19793	76	0	570	570
20033	68	21284	80	0	600	600
20033	69	22886	84	0	630	630
20033	70	24608	88	0	660	660
20033	71	26460	92	0	690	690
20033	72	28450	96	0	720	720
20033	73	30590	100	0	750	750
20033	74	32891	104	0	780	780
20033	75	35364	108	0	810	810
20033	76	38022	112	0	840	840
20033	77	40879	116	0	870	870
20033	78	43951	120	0	900	900
20033	79	47254	124	0	930	930
20033	80	50804	128	0	960	960
20034	1	8	0	3	0	3
20034	2	10	1	6	0	6
20034	3	11	1	9	0	9
20034	4	12	2	12	0	12
20034	5	14	2	15	0	15
20034	6	16	2	18	0	18
20034	7	17	3	21	0	21
20034	8	19	3	24	0	24
20034	9	22	4	27	0	27
20034	10	24	4	30	0	30
20034	11	266	5	36	0	36
20034	12	292	6	42	0	42
20034	13	320	6	48	0	48
20034	14	350	7	54	0	54
20034	15	382	8	60	0	60
20034	16	417	9	66	0	66
20034	17	454	10	72	0	72
20034	18	494	10	78	0	78
20034	19	538	11	84	0	84
20034	20	584	12	90	0	90
20034	21	634	13	96	0	96
20034	22	687	14	102	0	102
20034	23	745	14	108	0	108
20034	24	806	15	114	0	114
20034	25	873	16	120	0	120
20034	26	944	17	126	0	126
20034	27	1021	18	132	0	132
20034	28	1104	18	138	0	138
20034	29	1193	19	144	0	144
20034	30	1288	20	150	0	150
20034	31	1391	21	158	0	158
20034	32	1501	22	165	0	165
20034	33	1620	23	173	0	173
20034	34	1747	24	180	0	180
20034	35	1884	25	188	0	188
20034	36	2032	26	195	0	195
20034	37	2190	27	203	0	203
20034	38	2360	28	210	0	210
20034	39	2543	29	218	0	218
20034	40	2740	30	225	0	225
20034	41	2952	31	233	0	233
20034	42	3179	32	240	0	240
20034	43	3423	33	248	0	248
20034	44	3686	34	255	0	255
20034	45	3968	35	263	0	263
20034	46	4272	36	270	0	270
20034	47	4598	37	278	0	278
20034	48	4949	38	285	0	285
20034	49	5326	39	293	0	293
20034	50	5732	40	300	0	300
20034	51	6168	42	315	0	315
20034	52	6636	44	330	0	330
20034	53	7140	46	345	0	345
20034	54	7682	48	360	0	360
20034	55	8264	50	375	0	375
20034	56	8890	52	390	0	390
20034	57	9562	54	405	0	405
20034	58	10286	56	420	0	420
20034	59	11063	58	435	0	435
20034	60	11899	60	450	0	450
20034	61	12797	62	465	0	465
20034	62	13763	64	480	0	480
20034	63	14801	66	495	0	495
20034	64	15917	68	510	0	510
20034	65	17117	70	525	0	525
20034	66	18407	72	540	0	540
20034	67	19793	76	570	0	570
20034	68	21284	80	600	0	600
20034	69	22886	84	630	0	630
20034	70	24608	88	660	0	660
20034	71	26460	92	690	0	690
20034	72	28450	96	720	0	720
20034	73	30590	100	750	0	750
20034	74	32891	104	780	0	780
20034	75	35364	108	810	0	810
20034	76	38022	112	840	0	840
