id	step	触发控件父窗口名称	触发控件名称	遮罩需聚焦的控件	点击事件	参数	遮罩名称	超文本输入框名	超文本文件名ID	静态文本输入框名	静态文本ID	贴图控件名称	贴图文件名
14	3	4	0	4	0	0	UI_Xinshouyindao28001	0	0				
14	4	UI_Gongfang	ZhuangBeiDaZao	ZhuangBeiDaZao	0	0	UI_Xinshouyindao5001	0	0				
14	5	UI_Gongfang	UI_Gongfang_Lzzbdz_Dz	UI_Gongfang_Lzzbdz_Dz	0	0	UI_Xinshouyindao5001	0	0				
15	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	25				
15	2	closecanvas				UI_Gongfang							
15	3	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	26				
15	4	UI_ManorStair_RenWu	RenWu	RenWu			UI_Xinshouyindao40001						
15	5	UI_Knapsack	GameList_2	GameList_2	1	10|2097	UI_Xinshouyindao5001						
16	1	closecanvas				UI_Knapsack							
16	2	closecanvas				UI_Beta2_FeudalLord							
16	3	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	27				
16	4	UI_ManorStair_Taskbar	BianDui	BianDui			UI_Xinshouyindao8001						
17	1	UI_Beta2_Formation	UI_Beta2_Formation_BingZhong	UI_Beta2_Formation_BingZhong	0	11|20007	UI_Xinshouyindao14001	0	0				
17	2	UI_Beta2_Formation	UI_Beta2_Formation_Input30	UI_Beta2_Formation_Input30	0	0	UI_Xinshouyindao12001	0	0				
17	3	UI_Beta2_Formation	UI_Beta2_Formation_Input20	UI_Beta2_Formation_Input20	0	0	UI_Xinshouyindao13001	0	0				
17	4	UI_Beta2_Formation	UI_Beta2_Formation_Qx1	UI_Beta2_Formation_Qx1	0	0	UI_Xinshouyindao5001	0	0				
18	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	28				
18	2	UI_ManorStair_RenWu	RenWu	RenWu	0	0	UI_Xinshouyindao40001						
18	3	UI_Battleground_Jr1	Enter1_1	Enter1_1	0	0	UI_Xinshouyindao5001						
19	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	29				
19	2	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	30				
19	3	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	31				
19	4	UI_ManorStair_Taskbar	UI_Jianguo	UI_Jianguo	0	0	UI_Xinshouyindao8001	0					
100	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	47	0	0	0	0
101	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	50				
102	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	51				
103	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	52				
104	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	53				
105	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	54		  		
105	2	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	55				
106	1	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	56				
106	2	0	0	0	0	0	UI_Xinshouyindao3001	Duihua	57				
