itemid	掉落种数	掉落类型	dropid	掉落几率	数量										
6038	1	10	2134	5	1|1										
6038	1	10	2131	5	1|1										
6038	1	10	2133	5	1|1										
6038	1	10	4005	150	5|10										
6038	1	10	4002	150	5|10										
6038	1	10	4008	150	5|10										
6038	1	10	4011	150	5|10										
6038	1	10	4014	150	5|10										
6038	1	10	4017	150	5|10										
6038	1	10	4028	150	5|10										
6038	1	10	4023	150	5|10										
6038	1	10	4022	150	5|10										
6038	1	10	4029	150	5|10										
6043	1	8		80	5|5										
6043	1	10	3400	5	1|1										
6043	1	10	3410	5	1|1										
6043	1	10	3420	5	1|1										
6043	1	10	3430	5	1|1										
6044	1	8		80	10|10										
6044	1	10	3401	5	1|1										
6044	1	10	3411	5	1|1										
6044	1	10	3421	5	1|1										
6044	1	10	3431	5	1|1										
6045	1	8		88	50|50										
6045	1	10	3402	4	1|1										
6045	1	10	3412	4	1|1										
6045	1	10	3422	4	1|1										
6045	1	10	3432	4	1|1										
6046	1	8		96	200|200										
6046	1	10	3403	1	1|1										
6046	1	10	3413	1	1|1										
6046	1	10	3423	1	1|1										
6046	1	10	3433	1	1|1										
6047	1	8		96	500|500										
6047	1	10	3404	1	1|1										
6047	1	10	3414	1	1|1										
6047	1	10	3424	1	1|1										
6047	1	10	3434	1	1|1										
6048	1	8		96	1000|1000										
6048	1	10	3405	1	1|1										
6048	1	10	3415	1	1|1										
6048	1	10	3425	1	1|1										
6048	1	10	3435	1	1|1										
6054	1	10	3405	20	1|1										
6054	1	10	3415	20	1|1										
6054	1	10	3425	20	1|1										
6054	1	10	3435	20	1|1										
6054	1	10	3445	20	1|1										
6054	1	10	3455	20	1|1										
6054	1	10	3465	20	1|1										
6054	1	10	3475	20	1|1										
6065	2	7		100	10000|10000										
6065	2	8		100	10000|10000										
6066	1	8		100	1000|1000										
6105	1	13		20	10000|10000										
6105	1	13		20	20000|20000										
6105	1	13		20	50000|50000										
6105	1	1		20	50000|50000										
6105	1	1		20	100000|100000										
6105	1	1		20	200000|200000										
6105	1	2		20	50000|50000										
6105	1	2		20	100000|100000										
6105	1	2		20	200000|200000										
6105	1	3		20	50000|50000										
6105	1	3		20	100000|100000										
6105	1	3		20	200000|200000										
6105	1	4		20	50000|50000										
6105	1	4		20	100000|100000										
6105	1	4		20	200000|200000										
6105	1	5		20	20000|20000										
6105	1	5		20	50000|50000										
6105	1	5		20	100000|100000										
6105	1	8		20	20|20										
6105	1	8		20	50|50										
6105	1	8		20	100|100										
6105	1	13		20	2000|2000										
6105	1	13		20	5000|5000										
6105	1	13		10	10000|10000										
6105	1	10	7003	50	1|2										
6105	1	10	7008	50	1|2										
6105	1	10	7013	50	1|2										
6105	1	10	7018	50	1|2										
6105	1	10	6072	180	1|2										
6105	1	10	6073	115	1|1										
6105	1	10	6074	5	1|1										
6105	1	10	6708	30	5|5										
6105	1	10	6709	20	2|2										
6708	1	5		20	500000|500000										
6708	1	10	7540	20	1|1										
6708	1	10	7004	20	6|6										
6708	1	10	7009	20	6|6										
6708	1	10	7014	20	6|6										
6708	1	10	7019	20	6|6										
6708	1	10	7534	20	3|3										
6708	1	10	7535	20	4|4										
6708	1	10	7520	10	5|5										
6708	1	10	7521	10	5|5										
6708	1	10	3403	10	1|1										
6708	1	10	3404	1	1|1										
6708	1	10	3413	10	1|1										
6708	1	10	3414	1	1|1										
6708	1	10	3423	10	1|1										
6708	1	10	3424	1	1|1										
6708	1	10	3433	10	1|1										
6708	1	10	3434	1	1|1										
6708	1	10	3443	10	1|1										
6708	1	10	3444	1	1|1										
6708	1	10	3453	10	1|1										
6708	1	10	3454	1	1|1										
6708	1	10	3463	10	1|1										
6708	1	10	3464	1	1|1										
6708	1	10	3473	10	1|1										
6708	1	10	3474	1	1|1										
6709	1	5		20	2000000|2000000										
6709	1	10	7536	20	1|1										
6709	1	10	7534	100	10|10										
6709	1	10	7534	50	20|20										
6709	1	10	7535	100	10|10										
6709	1	10	7535	50	20|20										
6709	1	10	7532	20	1|1										
6709	1	10	3403	100	1|1										
6709	1	10	3413	100	1|1										
6709	1	10	3423	100	1|1										
6709	1	10	3433	100	1|1										
6709	1	10	3443	100	1|1										
6709	1	10	3453	100	1|1										
6709	1	10	3463	100	1|1										
6709	1	10	3473	100	1|1										
6709	1	10	3404	10	1|1										
6709	1	10	3414	10	1|1										
6709	1	10	3424	10	1|1										
6709	1	10	3434	10	1|1										
6709	1	10	3444	10	1|1										
6709	1	10	3454	10	1|1										
6709	1	10	3464	10	1|1										
6709	1	10	3474	10	1|1										
6709	1	10	3405	1	1|1										
6709	1	10	3415	1	1|1										
6709	1	10	3425	1	1|1										
6709	1	10	3435	1	1|1										
6709	1	10	3445	1	1|1										
6709	1	10	3455	1	1|1										
6709	1	10	3465	1	1|1										
6709	1	10	3475	1	1|1										
6118	1	13		100	10000|10000										
6119	1	13		100	50000|50000										
6067	2	10	3000	10	1|1										
6067	2	10	3001	10	1|1										
6067	2	10	3002	10	1|1										
6067	2	10	3003	10	1|1										
6067	2	10	3004	10	1|1										
6067	2	10	3005	10	1|1										
6067	2	10	3006	10	1|1										
6067	2	10	3007	10	1|1										
6067	2	10	3008	10	1|1										
6067	2	10	3009	10	1|1										
6067	2	10	3010	10	1|1										
6067	2	10	3011	10	1|1										
6067	2	10	3012	10	1|1										
6067	2	10	3013	10	1|1										
6067	2	10	3014	10	1|1										
6067	2	10	3015	10	1|1										
6067	2	10	3016	10	1|1										
6067	2	10	3017	10	1|1										
6067	2	10	3018	10	1|1										
6067	2	10	3019	10	1|1										
6067	2	10	3020	10	1|1										
6067	2	10	3021	10	1|1										
6067	2	10	3022	10	1|1										
6067	2	10	3023	10	1|1										
6067	2	10	3024	10	1|1										
6067	2	10	3025	10	1|1										
6067	2	10	3026	10	1|1										
6067	2	10	3027	10	1|1										
6067	2	10	3028	10	1|1										
6067	2	10	3029	10	1|1										
6068	1	10	2103	10	1|1										
6068	1	10	2104	10	1|1										
6068	1	10	2105	10	1|1										
6068	1	10	2106	10	1|1										
6068	1	10	2113	10	1|1										
6068	1	10	2114	10	1|1										
6068	1	10	2115	10	1|1										
6068	1	10	2116	10	1|1										
6068	1	10	2124	10	1|1										
6068	1	10	2126	10	1|1										
6068	1	10	2128	10	1|1										
6068	1	10	2130	10	1|1										
6068	1	10	2132	10	1|1										
6068	1	10	2134	10	1|1										
6068	1	10	2123	10	1|1										
6068	1	10	2125	10	1|1										
6068	1	10	2127	10	1|1										
6068	1	10	2129	10	1|1										
6068	1	10	2131	10	1|1										
6068	1	10	2133	10	1|1										
6069	1	12		100	200|200										
6070	1	12		100	2000|2000										
6071	4	1		100	200000|200000										
6071	4	2		100	200000|200000										
6071	4	3		100	200000|200000										
6071	4	4		100	200000|200000										
6072	1	10	3400	100	1|1										
6072	1	10	3410	100	1|1										
6072	1	10	3420	100	1|1										
6072	1	10	3430	100	1|1										
6072	1	10	3401	20	1|1										
6072	1	10	3411	20	1|1										
6072	1	10	3421	20	1|1										
6072	1	10	3431	20	1|1										
6073	1	10	3401	60	1|1										
6073	1	10	3411	60	1|1										
6073	1	10	3421	60	1|1										
6073	1	10	3431	60	1|1										
6073	1	10	3402	20	1|1										
6073	1	10	3412	20	1|1										
6073	1	10	3422	20	1|1										
6073	1	10	3432	20	1|1										
6073	1	10	3403	2	1|1										
6073	1	10	3413	2	1|1										
6073	1	10	3423	2	1|1										
6073	1	10	3433	2	1|1										
6074	1	10	3402	60	1|1										
6074	1	10	3412	60	1|1										
6074	1	10	3422	60	1|1										
6074	1	10	3432	60	1|1										
6074	1	10	3403	20	1|1										
6074	1	10	3413	20	1|1										
6074	1	10	3423	20	1|1										
6074	1	10	3433	20	1|1										
6074	1	10	3404	2	1|1										
6074	1	10	3414	2	1|1										
6074	1	10	3424	2	1|1										
6074	1	10	3434	2	1|1										
6075	1	12		100	100000|100000										
6076	1	8		100	888|888										
6077	1	8		100	200|200										
6078	1	8		100	400|400										
6079	1	8		100	600|600										
6080	1	8		100	800|800										
6081	1	8		100	1000|1000										
6082	1	8		100	1200|1200										
6083	1	8		100	1400|1400										
6084	1	8		100	1600|1600										
6085	1	8		100	1800|1800										
6086	1	8		100	2000|2000										
6087	2	10	10024	50	1|1										
6087	2	10	10204	50	1|1										
6088	2	10	2117	50	1|1										
6088	2	10	2107	50	1|1										
6089	4	10	7003	25	3|3										
6089	4	10	7008	25	3|3										
6089	4	10	7013	25	3|3										
6089	4	10	7018	25	3|3										
6116	1	15		100	800|800										
6117	1	15		100	3200|3200										
6090	1	15		100	12800|12800										
6091	1	15		100	51200|51200										
6092	3	10	4200	50	20|20										
6092	3	10	4201	50	20|20										
6092	3	10	4202	50	10|10										
6093	3	10	4200	50	40|40										
6093	3	10	4201	50	40|40										
6093	3	10	4202	50	20|20										
6098	4	1		100	200000|200000										
6098	4	2		100	200000|200000										
6098	4	3		100	200000|200000										
6098	4	4		100	200000|200000										
6099	4	1		100	50000|50000										
6099	4	2		100	50000|50000										
6099	4	3		100	50000|50000										
6099	4	4		100	50000|50000										
6100	1	8		100	10000|10000										
6101	1	15		100	50000|50000										
6150	1	10	7600	50	1|1										
6150	1	10	7630	50	1|1										
6151	1	10	7601	50	1|1										
6151	1	10	7631	50	1|1										
6152	1	10	7606	50	1|1										
6152	1	10	7746	50	1|1										
6152	1	10	7716	50	1|1										
6152	1	10	7636	50	1|1										
6152	1	10	7661	50	1|1										
6152	1	10	7756	50	1|1										
6152	1	10	7701	50	1|1										
6153	1	10	7607	50	1|1										
6153	1	10	7747	50	1|1										
6153	1	10	7717	50	1|1										
6153	1	10	7637	50	1|1										
6153	1	10	7662	50	1|1										
6153	1	10	7757	50	1|1										
6153	1	10	7702	50	1|1										
6201	1	8		100	10|10										
6202	1	8		100	50|50										
6203	1	8		100	100|100										
6204	1	8		100	200|200										
6205	1	8		100	500|500										
6206	1	8		100	1000|1000										
6207	1	8		100	1500|1500										
6208	1	8		100	2000|2000										
6209	1	8		100	3000|3000										
6210	1	8		100	5000|5000										
6211	1	8		100	7000|7000										
6212	1	8		100	10000|10000										
6213	1	8		100	20000|20000										
6214	1	8		100	50000|50000										
6215	1	8		100	100000|100000										
6154	1	10	7641	50	1|1										
6154	1	10	7731	50	1|1										
6155	1	10	7611	50	1|1										
6155	1	10	7736	50	1|1										
6156	1	10	7666	50	1|1										
6156	1	10	7671	50	1|1										
6157	1	10	7706	100	1|1										
6158	1	10	7651	15	1|1										
6158	1	10	7646	15	1|1										
6158	1	10	7616	15	1|1										
6158	1	10	7621	15	1|1										
6158	1	10	7676	15	1|1										
6158	1	10	7761	15	1|1										
6158	1	10	7696	15	1|1										
6159	1	10	7656	15	1|1										
6159	1	10	7726	15	1|1										
6159	1	10	7626	15	1|1										
6159	1	10	7686	15	1|1										
6159	1	10	7681	15	1|1										
6159	1	10	7691	15	1|1										
6159	1	10	7766	15	1|1										
6094	1	8		100	2000|2000										
6095	1	8		100	5000|5000										
6096	1	8		100	20000|20000										
6097	1	8		100	28|28										
6160	1	10	7726	50	1|1										
6160	1	10	7656	50	1|1										
6161	1	10	7686	50	1|1										
6161	1	10	7681	50	1|1										
6162	1	10	7626	50	1|1										
6162	1	10	7766	50	1|1										
6163	1	10	7691	100	1|1										
6164	3	10	4200	100	240|240										
6164	3	10	4201	100	240|240										
6164	3	10	4205	100	160|160										
6165	3	10	4200	100	255|255										
6165	3	10	4201	100	255|255										
6165	3	10	4206	100	200|200										
6106	1	26		100	1000|1000										
6107	1	26		100	2000|2000										
6108	1	26		100	3000|3000										
6109	1	26		100	5000|5000										
6110	1	26		100	7000|7000										
6111	1	26		100	9000|9000										
6112	1	5		30	2000|3000										
6112	1	1		8	5000|10000										
6112	1	2		8	5000|10000										
6112	1	3		8	5000|10000										
6112	1	4		8	5000|10000										
6112	1	10	4000	3	1|1										
6112	1	10	4001	3	1|1										
6112	1	10	4002	3	1|1										
6112	1	10	4003	3	1|1										
6112	1	10	4004	3	1|1										
6112	1	10	4005	3	1|1										
6112	1	10	4028	3	1|1										
6112	1	10	7000	8	1|1										
6112	1	10	7005	8	1|1										
6112	1	10	7010	8	1|1										
6112	1	10	7015	8	1|1										
6112	1	10	7520	1	1|1										
6112	1	10	7521	1	1|1										
6112	1	10	7522	8	1|1										
6112	1	10	7001	4	1|1										
6112	1	10	7006	4	1|1										
6112	1	10	7011	4	1|1										
6112	1	10	7016	4	1|1										
6112	1	8		8	20|20										
6112	1	8		8	10|10										
6112	1	8		8	5|5										
6112	1	10	7526	8	1|1										
6112	1	10	7527	20	1|1										
6112	1	10	7533	8	1|1										
6112	1	10	7534	1	1|1										
6112	1	10	7535	1	1|1										
6112	1	10	7556	1	1|5										
6113	1	5		50	2000|3000										
6113	1	1		15	5000|10000										
6113	1	2		15	5000|10000										
6113	1	3		15	5000|10000										
6113	1	4		15	5000|10000										
6113	1	10	7000	8	1|1										
6113	1	10	7005	8	1|1										
6113	1	10	7010	8	1|1										
6113	1	10	7015	8	1|1										
6113	1	8		8	20|20										
6113	1	8		8	10|10										
6113	1	8		8	5|5										
6114	1	5		50	2000|3000										
6114	1	1		15	5000|10000										
6114	1	2		15	5000|10000										
6114	1	3		15	5000|10000										
6114	1	4		15	5000|10000										
6114	1	10	7000	8	1|1										
6114	1	10	7005	8	1|1										
6114	1	10	7010	8	1|1										
6114	1	10	7015	8	1|1										
6114	1	8		8	20|20										
6114	1	8		8	10|10										
6114	1	8		8	5|5										
6115	1	5		50	2000|3000										
6115	1	1		15	5000|10000										
6115	1	2		15	5000|10000										
6115	1	3		15	5000|10000										
6115	1	4		15	5000|10000										
6115	1	10	7000	8	1|1										
6115	1	10	7005	8	1|1										
6115	1	10	7010	8	1|1										
6115	1	10	7015	8	1|1										
6115	1	8		8	20|20										
6115	1	8		8	10|10										
6115	1	8		8	5|5										
6130	5	10	3550	100	1|1										
6130	5	10	3552	100	1|1										
6130	5	10	3554	100	1|1										
6130	5	10	3556	100	1|1										
6130	5	10	3558	100	1|1										
6131	5	10	3551	100	1|1										
6131	5	10	3553	100	1|1										
6131	5	10	3555	100	1|1										
6131	5	10	3557	100	1|1										
6131	5	10	3559	100	1|1										
6132	4	10	7000	100	5|5										
6132	4	10	7005	100	5|5										
6132	4	10	7010	100	5|5										
6132	4	10	7015	100	5|5										
6134	1	10	10013	50	1|1										
6134	1	10	10053	50	1|1										
6139	4	10	7004	100	2|2										
6139	4	10	7009	100	2|2										
6139	4	10	7014	100	2|2										
6139	4	10	7019	100	2|2										
6140	2	10	4006	100	200|200										
6140	2	10	4009	100	20|20										
6142	1	10	10163	50	1|1										
6142	1	10	10143	50	1|1										
6143	1	10	6064	30	1|1										
6143	1	10	3404	20	1|1										
6143	1	5		10	500000|500000										
6143	1	10	4203	20	20|20										
6143	1	10	4204	20	20|20										
7300	1	5		100	5500|5500										
7301	1	5		100	6000|6000										
7302	1	5		100	6500|6500										
7303	1	5		100	7000|7000										
7304	1	5		100	7500|7500										
7305	1	5		100	8000|8000										
7306	1	5		100	8500|8500										
7310	1	1		100	2000|2000										
7311	1	1		100	2500|2500										
7312	1	1		100	3000|3000										
7313	1	1		100	3500|3500										
7314	1	2		100	2000|2000										
7315	1	2		100	2500|2500										
7316	1	2		100	3000|3000										
7317	1	2		100	3500|3500										
7318	1	3		100	2000|2000										
7319	1	3		100	2500|2500										
7320	1	3		100	3000|3000										
7321	1	3		100	3500|3500										
7322	1	4		100	1000|1000										
7323	1	4		100	1200|1200										
7324	1	4		100	1500|1500										
7325	1	4		100	1700|1700										
7326	1	4		100	2000|2000										
7327	1	10	7000	100	1|1										
7327	1	10	7005	100	1|1										
7327	1	10	7010	100	1|1										
7327	1	10	7015	100	1|1										
6700	8	10	7002	100	1|1										
6700	8	10	7007	100	1|1										
6700	8	10	7012	100	1|1										
6700	8	10	7017	100	1|1										
6700	8	10	7520	100	1|1										
6700	8	10	7521	100	1|1										
6700	8	10	7201	100	1|1										
6700	8	10	6154	100	1|1										
6701	2	10	6702	100	1|1										
6701	2	8		100	20|20										
6702	2	10	6703	100	1|1										
6702	2	8		100	30|30										
6703	2	10	6704	100	1|1										
6703	2	8		100	50|50										
6704	1	8		100	100|100										
6705	6	10	7004	100	1|1										
6705	6	10	7009	100	1|1										
6705	6	10	7014	100	1|1										
6705	6	10	7019	100	1|1										
6705	6	10	7520	100	2|2										
6705	6	10	7521	100	2|2										
6706	5	10	3551	100	1|1										
6706	5	10	3553	100	1|1										
6706	5	10	3555	100	1|1										
6706	5	10	3557	100	1|1										
6706	6	10	3559	100	1|1										
6758	2	5			10000|10000										
6758	2	10	7551	100	2|2										
6759	2	5		100	50000|50000										
6759	2	10	7551	100	3|3										
6760	2	5		100	100000|100000										
6760	2	10	7551	100	5|5										
6761	2	5		100	150000|150000										
6761	2	10	7551	100	7|7										
6762	2	5		100	200000|200000										
6762	2	10	7551	100	9|9										
6707	4	10	2032	100	1|1										
6707	4	10	6700	100	1|1										
6707	4	10	6705	100	1|1										
6707	4	10	6706	100	1|1										
6764	3	10	6072	100	10|10										
6764	3	10	6073	100	5|5										
6764	3	10	6074	100	3|3										
6765	3	10	6159	100	1|1										
6765	3	10	6158	100	2|2										
6765	3	10	6154	100	5|5										
6766	3	10	6159	100	1|1										
6766	3	10	6158	100	2|2										
6766	3	10	6154	100	5|5										
6767	3	10	4202	100	5|5										
6767	3	10	4201	100	5|5										
6767	3	10	4200	100	5|5										
6102	4	1		100	100000|100000										
6102	4	2		100	100000|100000										
6102	4	3		100	100000|100000										
6102	4	4		100	100000|100000										
6768	1	8		100	25|25										
6769	1	8		100	125|125										
6770	1	8		100	250|250										
6771	1	8		100	750|750										
6772	1	8		100	10|100										
6773	1	10	10063	10	1|1										
6773	1	10	10123	10	1|1										
6773	1	10	10043	10	1|1										
6773	1	10	10073	10	1|1										
6773	1	10	10053	10	1|1										
6773	1	10	10083	10	1|1										
6773	1	10	10163	10	1|1										
6773	1	10	10193	10	1|1										
6774	1	10	10064	10	1|1										
6774	1	10	10124	10	1|1										
6774	1	10	10044	10	1|1										
6774	1	10	10074	10	1|1										
6774	1	10	10054	10	1|1										
6774	1	10	10084	10	1|1										
6774	1	10	10164	10	1|1										
6774	1	10	10194	10	1|1										
6780	1	8		100	20|20										
6781	1	8		100	80|80										
6782	1	8		100	100|100										 
6783	1	8		100	200|200										
6784	1	8		100	600|600										
6785	1	8		100	10|10										
6786	1	8		100	50|50										
6787	1	8		100	100|100										
6788	1	8		100	200|200										
6789	1	8		100	500|500										
6790	1	8		100	1000|1000										
6791	1	8		100	1500|1500										
6792	1	8		100	2000|2000										
6793	1	8		100	3000|3000										
6794	1	8		100	5000|5000										
6795	1	8		100	7000|7000										
6796	1	8		100	10000|10000										
6797	1	8		100	20000|20000										
6798	1	8		100	50000|50000										
6799	1	8		100	100000|100000										
6800	4	10	6801	100	1|1										
6800	4	10	6099	100	10|10										
6800	4	10	6777	100	1|1										
6800	4	10	6780	100	1|1										
6801	3	10	6802	100	1|1										
6801	3	10	6099	100	10|10										
6801	3	10	6049	100	1|1										
6802	4	10	6803	100	1|1										
6802	4	10	6099	100	10|10										
6802	4	10	6049	100	1|1										
