id	lv	工坊lv	消耗铜钱	官职	消耗道具	name	兵种	abstractid	攻速	CD缩减	移动速度	护甲值	魔甲	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	equipid	物伤加成	法伤加成	回复效果
30010	5	75	240000				-1	20012	50								250																						
30010	6	76	255000				-1	20012	50								300																						
30010	7	77	270000				-1	20012	50								350																						
30010	8	78	285000				-1	20012	50								400																						
30010	9	79	300000				-1	20012	50								450																						
30010	10	80	5000000				-1	20012	50								500																						
30010	11	80	5500000	21	7556|100		-1	20012	50								500																			24370			
30010	12	80	6000000	22	7556|150		-1	20012	50								500																			24371			
30010	13	80	6500000	22	7556|200		-1	20012	50								500																			24372			
30010	14	80	0				-1	20012	50								500																			24373			
30011	0	20	6000			包铁木盾	-1	20008																															
30011	1	21	6600				-1	20008						50																									
30011	2	22	7200				-1	20008						100																									
30011	3	23	7800				-1	20008						150																									
30011	4	24	8400				-1	20008						200																									
30011	5	25	9000				-1	20008						250																									
30011	6	26	9600				-1	20008				10		300																									
30011	7	27	10200				-1	20008				20		350																									
30011	8	28	10800				-1	20008				30		400																									
30011	9	29	11400				-1	20008				40		450																									
30011	10	30	12000				-1	20008				50		500																									
30011	11	31	12600				-1	20008				60		550																									
30011	12	32	13200				-1	20008				70		600																									
30011	13	33	13800				-1	20008				80		650																									
30011	14	34	14400				-1	20008				90		700																									
30011	15	35	0				-1	20008				100		750																									
30012	0	35	15000			虎卫盾	-1	20009																															
30012	1	36	18000				-1	20009						50																									
30012	2	37	21000				-1	20009						100																									
30012	3	38	24000				-1	20009						150																									
30012	4	39	27000				-1	20009						200																									
30012	5	40	30000				-1	20009						250																									
30012	6	41	33000				-1	20009				10		300																									
30012	7	42	36000				-1	20009				20		350																									
30012	8	43	39000				-1	20009				30		400																									
30012	9	44	42000				-1	20009				40		450																									
30012	10	45	45000				-1	20009				50		500																									
30012	11	46	48000				-1	20009				60		550																									
30012	12	47	51000				-1	20009				70		600																									
30012	13	48	54000				-1	20009				80		650																									
30012	14	49	57000				-1	20009				90		700																									
30012	15	80	3000000				-1	20009				100		750																									
30012	16	80	0				-1	20009				100		1000																									
30013	0	50	60000			精钢盾	-1	20011																															
30013	1	51	63000				-1	20011				10		100																									
30013	2	52	66000				-1	20011				20		170																									
30013	3	53	69000				-1	20011				30		240																									
30013	4	54	72000				-1	20011				40		310																									
30013	5	55	75000				-1	20011				50		380																									
30013	6	56	78000				-1	20011				60		450																									
30013	7	57	81000				-1	20011				70		520																									
30013	8	58	84000				-1	20011				80		590																									
30013	9	59	87000				-1	20011				90		660																									
30013	10	80	5500000	22	7556|100		-1	20011				100		750																									
30013	11	80	6000000	22	7556|150		-1	20011				100		750																						24312			
30013	12	80	0				-1	20011				100		750																						24313			
30014	0	60	90000			秘制藤甲	-1	20503																															
30014	1	61	105000				-1	20503						50																									
30014	2	62	120000				-1	20503						100																									
30014	3	63	135000				-1	20503						150																									
30014	4	64	150000				-1	20503						200																									
30014	5	65	165000				-1	20503						250																									
30014	6	66	180000				-1	20503				10		300																									
30014	7	67	195000				-1	20503				20		350																									
30014	8	68	210000				-1	20503				30		400																									
30014	9	69	225000				-1	20503				40		450																									
30014	10	70	240000				-1	20503				50		500																									
30014	11	71	255000				-1	20503				60		550																									
30014	12	72	270000				-1	20503				70		600																									
30014	13	73	285000				-1	20503				80		650																									
30014	14	74	300000				-1	20503				90		700																									
30014	15	80	6000000	22	7556|150		-1	20503				100		750																									
30014	16	80	6500000	22	7556|200		-1	20503				100		750																						24362			
30014	17	80	7000000	23	7556|250		-1	20503				100		750																						24363			
30014	18	80	7500000	23	7556|300		-1	20503				100		750																						24364			
30014	19	80	8000000	23	7556|350		-1	20503				100		750																						24365			
30014	20	80	0				-1	20503				100		750																						24366			
30015	0	50	60000			钢矛	-1	20011																															
30015	1	51	63000				-1	20011							10																								
30015	2	52	66000				-1	20011							20																								
30015	3	53	69000				-1	20011							30																								
30015	4	54	72000				-1	20011							40																								
30015	5	55	75000				-1	20011							50																								
30015	6	56	78000				-1	20011							60																								
30015	7	57	81000				-1	20011							70																								
30015	8	58	84000				-1	20011							80																								
30015	9	59	87000				-1	20011							90																								
30015	10	80	3000000				-1	20011							100																								
30015	11	80	5000000	21	7556|50		-1	20011							100																					24310			
30015	12	80	0				-1	20011							100																					24311			
30016	0	60	90000			百锻钢叉	-1	20503																															
30016	1	61	105000				-1	20503							10																								
30016	2	62	120000				-1	20503							20																								
30016	3	63	135000				-1	20503							30																								
30016	4	64	150000				-1	20503							40																								
30016	5	65	165000				-1	20503							50																								
30016	6	66	180000				-1	20503							60																								
30016	7	67	195000				-1	20503							70																								
30016	8	68	210000				-1	20503							80																								
30016	9	69	225000				-1	20503							90																								
30016	10	70	240000				-1	20503							100																								
30016	11	71	255000				-1	20503							110																								
30016	12	72	270000				-1	20503							120																								
30016	13	73	285000				-1	20503							130																								
30016	14	74	300000				-1	20503							140																								
30016	15	80	5000000				-1	20503							150																								
30016	16	80	5500000	21	7556|100		-1	20503							150																					24360			
30016	17	80	0				-1	20503							150																					24361			
30100	0	0	300			铜首羽箭	-1	20001																															
30100	1	1	600				-1	20001							20																								
30100	2	2	900				-1	20001							40																								
30100	3	3	1200				-1	20001							60																								
30100	4	4	1500				-1	20001							80																								
30100	5	5	1800				-1	20001							100																								
30100	6	6	2100				-1	20001							120																								
30100	7	7	2400				-1	20001							140																								
30100	8	8	2700				-1	20001							160																								
30100	9	9	3000				-1	20001							180																								
30100	10	10	3300				-1	20001							200																								
30100	11	11	3600				-1	20001							220																								
30100	12	12	3900				-1	20001							240																								
30100	13	13	4200				-1	20001							260																								
30100	14	14	4500				-1	20001							280																								
30100	15	15	4800				-1	20001							300																								
30100	16	16	5100				-1	20001							320																								
30100	17	17	5400				-1	20001							340																								
30100	18	18	5700				-1	20001							360																								
30100	19	19	6000				-1	20001							380																								
30100	20	20	0				-1	20001							400																								
30101	0	20	6000			淬毒术	-1	20507|20002																															
30101	1	21	6600				-1	20507|20002								10																							
30101	2	22	7200				-1	20507|20002								20																							
30101	3	23	7800				-1	20507|20002								30																							
30101	4	24	8400				-1	20507|20002								40																							
30101	5	25	9000				-1	20507|20002								50																							
30101	6	26	9600				-1	20507|20002							10	60																							
30101	7	27	10200				-1	20507|20002							20	70																							
30101	8	28	10800				-1	20507|20002							30	80																							
30101	9	29	11400				-1	20507|20002							40	90																							
30101	10	30	12000				-1	20507|20002							50	100																							
30101	11	31	12600				-1	20507|20002							60	100																							
30101	12	32	13200				-1	20507|20002							70	100																							
30101	13	33	13800				-1	20507|20002							80	100																							
30101	14	34	14400				-1	20507|20002							90	100																							
30101	15	35	0				-1	20507|20002							100	100																							
30102	0	35	15000			打磨开刃法	-1	20505|20003																															
30102	1	36	18000				-1	20505|20003								10																							
30102	2	37	21000				-1	20505|20003								20																							
30102	3	38	24000				-1	20505|20003								30																							
30102	4	39	27000				-1	20505|20003								40																							
30102	5	40	30000				-1	20505|20003								50																							
30102	6	41	33000				-1	20505|20003							10	60																							
30102	7	42	36000				-1	20505|20003							20	70																							
30102	8	43	39000				-1	20505|20003							30	80																							
30102	9	44	42000				-1	20505|20003							40	90																							
30102	10	45	45000				-1	20505|20003							50	100																							
30102	11	46	48000				-1	20505|20003							60	100																							
30102	12	47	51000				-1	20505|20003							70	100																							
30102	13	48	54000				-1	20505|20003							80	100																							
30102	14	49	57000				-1	20505|20003							90	100																							
30102	15	50	0				-1	20505|20003							100	100																							
30103	0	50	60000			锥头箭	-1	20004|20005																															
30103	1	51	63000				-1	20004|20005							10	10																							
30103	2	52	66000				-1	20004|20005							20	20																							
30103	3	53	69000				-1	20004|20005							30	30																							
30103	4	54	72000				-1	20004|20005							40	40																							
30103	5	55	75000				-1	20004|20005							50	50																							
30103	6	56	78000				-1	20004|20005							60	60																							
30103	7	57	81000				-1	20004|20005							70	70																							
30103	8	58	84000				-1	20004|20005							80	80																							
30103	9	59	87000				-1	20004|20005							90	90																							
30103	10	60	0				-1	20004|20005							100	100																							
30104	0	60	90000			倒刺箭	-1	20006|20023																															
30104	1	61	105000				-1	20006|20023								10																							
30104	2	62	120000				-1	20006|20023								20																							
30104	3	63	135000				-1	20006|20023								30																							
30104	4	64	150000				-1	20006|20023								40																							
30104	5	65	165000				-1	20006|20023								50																							
30104	6	66	180000				-1	20006|20023							10	60																							
30104	7	67	195000				-1	20006|20023							20	70																							
30104	8	68	210000				-1	20006|20023							30	80																							
30104	9	69	225000				-1	20006|20023							40	90																							
30104	10	70	240000				-1	20006|20023							50	100																							
30104	11	71	255000				-1	20006|20023							60	100																							
30104	12	72	270000				-1	20006|20023							70	100																							
30104	13	73	285000				-1	20006|20023							80	100																							
30104	14	74	300000				-1	20006|20023							90	100																							
30104	15	75	0				-1	20006|20023							100	100																							
30105	0	20	6000			柳叶刀	-1	20002																															
30105	1	21	6600				-1	20002							10																								
30105	2	22	7200				-1	20002							20																								
30105	3	23	7800				-1	20002							30																								
30105	4	24	8400				-1	20002							40																								
30105	5	25	9000				-1	20002							50																								
30105	6	26	9600				-1	20002							60		50																						
30105	7	27	10200				-1	20002							70		100																						
30105	8	28	10800				-1	20002							80		150																						
30105	9	29	11400				-1	20002							90		200																						
30105	10	30	12000				-1	20002							100		250																						
30105	11	31	12600				-1	20002							110		300																						
30105	12	32	13200				-1	20002							120		350																						
30105	13	33	13800				-1	20002							130		400																						
30105	14	34	14400				-1	20002							140		450																						
30105	15	35	0				-1	20002							150		500																						
30106	0	35	15000			三尾标枪	-1	20505																															
30106	1	36	18000				-1	20505							10																								
30106	2	37	21000				-1	20505							20																								
30106	3	38	24000				-1	20505							30																								
30106	4	39	27000				-1	20505							40																								
30106	5	40	30000				-1	20505							50																								
30106	6	41	33000				-1	20505							60		50																						
30106	7	42	36000				-1	20505							70		100																						
30106	8	43	39000				-1	20505							80		150																						
30106	9	44	42000				-1	20505							90		200																						
30106	10	45	45000				-1	20505							100		250																						
30106	11	46	48000				-1	20505							110		300																						
30106	12	47	51000				-1	20505							120		350																						
30106	13	48	54000				-1	20505							130		400																						
30106	14	49	57000				-1	20505							140		450																						
30106	15	80	3000000				-1	20505							150		500																						
30106	16	80	0				-1	20505							150		500					150																	
30107	0	50	60000			虎贲弓	-1	20005																															
30107	1	51	63000				-1	20005							15		50																						
30107	2	52	66000				-1	20005							30		100																						
30107	3	53	69000				-1	20005							45		150																						
30107	4	54	72000				-1	20005							60		200																						
30107	5	55	75000				-1	20005							75		250																						
30107	6	56	78000				-1	20005							90		300																						
30107	7	57	81000				-1	20005							105		350																						
30107	8	58	84000				-1	20005							120		400																						
30107	9	59	87000				-1	20005							135		450																						
30107	10	80	5500000	22	7556|100		-1	20005							150		500																						
30107	11	80	6000000	22	7556|150		-1	20005							150		500																			24300			
30107	12	80	0				-1	20005							150		500																			24301			
30108	0	60	90000			角端弓	-1	20023																															
30108	1	61	105000				-1	20023							10																								
30108	2	62	120000				-1	20023							20																								
30108	3	63	135000				-1	20023							30																								
30108	4	64	150000				-1	20023							40																								
30108	5	65	165000				-1	20023							50																								
30108	6	66	180000				-1	20023							60		50																						
30108	7	67	195000				-1	20023							70		100																						
30108	8	68	210000				-1	20023							80		150																						
30108	9	69	225000				-1	20023							90		200																						
30108	10	70	240000				-1	20023							100		250																						
30108	11	71	255000				-1	20023							110		300																						
30108	12	72	270000				-1	20023							120		350																						
30108	13	73	285000				-1	20023							130		400																						
30108	14	74	300000				-1	20023							140		450																						
30108	15	80	5000000				-1	20023							150		500																						
30108	16	80	5500000	21	7556|100		-1	20023							250		500																						
30108	17	80	6000000	22	7556|150		-1	20023							350		500																						
30108	18	80	6500000	22	7556|200		-1	20023							350		500																			24350			
30108	19	80	0				-1	20023							350		500																			24351			
30109	0	50	60000			鱼鳞甲	-1	20005																															
30109	1	51	63000				-1	20005				5										10																	
30109	2	52	66000				-1	20005				10										20																	
30109	3	53	69000				-1	20005				15										30																	
30109	4	54	72000				-1	20005				20										40																	
30109	5	55	75000				-1	20005				25										50																	
30109	6	56	78000				-1	20005				30										60																	
30109	7	57	81000				-1	20005				35										70																	
30109	8	58	84000				-1	20005				40										80																	
30109	9	59	87000				-1	20005				45										90																	
30109	10	80	3000000				-1	20005				50										100																	
30109	11	80	5000000	21	7556|50		-1	20005				50			100							100																	
30109	12	80	0				-1	20005				50			200							100																	
30110	0	60	90000			蒲元刀	-1	20023																															
30110	1	61	105000				-1	20023														10																	
30110	2	62	120000				-1	20023														25																	
30110	3	63	135000				-1	20023														40																	
30110	4	64	150000				-1	20023														55																	
30110	5	65	165000				-1	20023														70																	
30110	6	66	180000				-1	20023														85																	
30110	7	67	195000				-1	20023														100																	
30110	8	68	210000				-1	20023														115																	
30110	9	69	225000				-1	20023														130																	
30110	10	70	240000				-1	20023														145																	
30110	11	71	255000				-1	20023														160																	
30110	12	72	270000				-1	20023														175																	
30110	13	73	285000				-1	20023														190																	
30110	14	74	300000				-1	20023														205																	
30110	15	80	7000000	23	7556|250		-1	20023														220																	
30110	16	80	7500000	23	7556|300		-1	20023														220														24352			
30110	17	80	8000000	23	7556|350		-1	20023														220														24353			
30110	18	80	0				-1	20023														220														24354			
30111	0	20	6000			损弩	-1	20507																															
30111	1	21	6600				-1	20507	10																														
30111	2	22	7200				-1	20507	15																														
30111	3	23	7800				-1	20507	20																														
30111	4	24	8400				-1	20507	25																														
30111	5	25	9000				-1	20507	30																														
30111	6	26	9600				-1	20507	35								50																						
30111	7	27	10200				-1	20507	40								100																						
30111	8	28	10800				-1	20507	45								150																						
30111	9	29	11400				-1	20507	50								200																						
30111	10	30	12000				-1	20507	55								250																						
30111	11	31	12600				-1	20507	60								300																						
30111	12	32	13200				-1	20507	70								350																						
30111	13	33	13800				-1	20507	80								400																						
30111	14	34	14400				-1	20507	90								450																						
30111	15	35	0				-1	20507	100								500																						
30112	0	40	15000			汉弩	-1	20003																															
30112	1	41	18000				-1	20003	10																														
30112	2	42	21000				-1	20003	15																														
30112	3	43	24000				-1	20003	20																														
30112	4	44	27000				-1	20003	25																														
30112	5	45	30000				-1	20003	30																														
30112	6	46	33000				-1	20003	35								50																						
30112	7	47	36000				-1	20003	40								100																						
30112	8	48	39000				-1	20003	45								150																						
30112	9	49	42000				-1	20003	50								200																						
30112	10	50	45000				-1	20003	55								250																						
30112	11	51	48000				-1	20003	60								300																						
30112	12	52	51000				-1	20003	70								350																						
30112	13	53	54000				-1	20003	80								400																						
30112	14	54	57000				-1	20003	90								450																						
30112	15	80	3000000				-1	20003	100								500																						
30112	16	80	0				-1	20003	100								1000																						
30113	0	55	60000			先登强弩	-1	20004																															
30113	1	56	63000				-1	20004	10																														
30113	2	57	66000				-1	20004	15																														
30113	3	58	69000				-1	20004	20																														
30113	4	59	72000				-1	20004	25																														
30113	5	60	75000				-1	20004	30																														
30113	6	61	78000				-1	20004	35								50																						
30113	7	62	81000				-1	20004	40								100																						
30113	8	63	84000				-1	20004	45								150																						
30113	9	64	87000				-1	20004	50								200																						
30113	10	65	90000				-1	20004	55								250																						
30113	11	66	105000				-1	20004	60								300																						
30113	12	67	120000				-1	20004	70								350																						
30113	13	68	135000				-1	20004	80								400																						
30113	14	69	150000				-1	20004	90								450																						
30113	15	80	3000000				-1	20004	100								500																						
30113	16	80	5000000	21	7556|50		-1	20004	100								500															150							
30113	17	80	0				-1	20004	100								500															300							
30114	0	70	165000			元戎弩	-1	20006																															
30114	1	71	180000				-1	20006	10								50																						
30114	2	72	195000				-1	20006	20								100																						
30114	3	73	210000				-1	20006	30								150																						
30114	4	74	225000				-1	20006	40								200																						
30114	5	75	240000				-1	20006	50								250																						
30114	6	76	255000				-1	20006	60								300																						
30114	7	77	270000				-1	20006	70								350																						
30114	8	78	285000				-1	20006	80								400																						
30114	9	79	300000				-1	20006	90								450																						
30114	10	80	5000000				-1	20006	100								500																						
30114	11	80	5500000	21	7556|100		-1	20006	100								500													80									
30114	12	80	6000000	22	7556|150		-1	20006	300								500													80									
30114	13	80	6500000	22	7556|200		-1	20006	300								500													80							150		
30114	14	80	0				-1	20006	300								500													80							300		
30115	0	55	60000			兽筋弦	-1	20004																															
30115	1	56	63000				-1	20004												10																			
30115	2	57	66000				-1	20004												20																			
30115	3	58	69000				-1	20004												30																			
30115	4	59	72000				-1	20004												40																			
30115	5	60	75000				-1	20004												50																			
30115	6	61	78000				-1	20004												60																			
30115	7	62	81000				-1	20004												70																			
30115	8	63	84000				-1	20004												80																			
30115	9	64	87000				-1	20004												90																			
30115	10	65	90000				-1	20004												100																			
30115	11	66	105000				-1	20004												110																			
30115	12	67	120000				-1	20004												120																			
30115	13	68	135000				-1	20004												130																			
30115	14	69	150000				-1	20004												140																			
30115	15	80	5500000	22	7556|100		-1	20004												150																			
30115	16	80	6000000	22	7556|150		-1	20004									1000			150																			
30115	17	80	0				-1	20004									1000			250																			
30116	0	70	165000			复合弦	-1	20006																															
30116	1	71	180000				-1	20006												40																			
30116	2	72	195000				-1	20006												80																			
30116	3	73	210000				-1	20006												120																			
30116	4	74	225000				-1	20006												160																			
30116	5	75	240000				-1	20006												200																			
30116	6	76	255000				-1	20006												240																			
30116	7	77	270000				-1	20006												280																			
30116	8	78	285000				-1	20006												320																			
30116	9	79	300000				-1	20006												360																			
30116	10	80	7000000	23	7556|250		-1	20006												400																			
30116	11	80	7500000	23	7556|300		-1	20006												400																24340			
30116	12	80	8000000	23	7556|350		-1	20006												400																24341			
30116	13	80	0				-1	20006												400																24342			
30200	0	20	6000			驱马术	-1	20013|20509																															
30200	1	21	6600				-1	20013|20509				10				10																							
30200	2	22	7200				-1	20013|20509				15				15																							
30200	3	23	7800				-1	20013|20509				20				20																							
30200	4	24	8400				-1	20013|20509				25				25																							
30200	5	25	9000				-1	20013|20509				30				30																							
30200	6	26	9600				-1	20013|20509				35				35																							
30200	7	27	10200				-1	20013|20509				40				40																							
30200	8	28	10800				-1	20013|20509				45				45																							
30200	9	29	11400				-1	20013|20509				50				50																							
30200	10	30	12000				-1	20013|20509				55				55																							
30200	11	31	12600				-1	20013|20509				60				60																							
30200	12	32	13200				-1	20013|20509				70				70																							
30200	13	33	13800				-1	20013|20509				80				80																							
30200	14	34	14400				-1	20013|20509				90				90																							
30200	15	35	0				-1	20013|20509				100				100																							
30201	0	35	15000			燕云骑术	-1	20014|20015																															
30201	1	36	18000				-1	20014|20015				10				10																							
30201	2	37	21000				-1	20014|20015				15				15																							
30201	3	38	24000				-1	20014|20015				20				20																							
30201	4	39	27000				-1	20014|20015				25				25																							
30201	5	40	30000				-1	20014|20015				30				30																							
30201	6	41	33000				-1	20014|20015				35				35																							
30201	7	42	36000				-1	20014|20015				40				40																							
30201	8	43	39000				-1	20014|20015				45				45																							
30201	9	44	42000				-1	20014|20015				50				50																							
30201	10	45	45000				-1	20014|20015				55				55																							
30201	11	46	48000				-1	20014|20015				60				60																							
30201	12	47	51000				-1	20014|20015				70				70																							
30201	13	48	54000				-1	20014|20015				80				80																							
30201	14	49	57000				-1	20014|20015				90				90																							
30201	15	50	0				-1	20014|20015				100				100																							
30202	0	50	60000			伯乐相马术	-1	20510|20016																															
30202	1	51	63000				-1	20510|20016				10				10																							
30202	2	52	66000				-1	20510|20016				20				20																							
30202	3	53	69000				-1	20510|20016				30				30																							
30202	4	54	72000				-1	20510|20016				40				40																							
30202	5	55	75000				-1	20510|20016				50				50																							
