site	MainWeb	Recharge	Forum	Tutorial	Register	TAB_VERSION
LHH	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
QuanQuan	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
522G	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
NGG	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
NGW	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
59wanyx	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
844a	www.844a.com	http://pay.844a.com/?gameid=239&serverid=%s&username=%s	www.844a.com	www.844a.com	www.844a.com	
17hihi	www.17hihi.com	http://pay.844a.com/?gameid=239&serverid=%s&username=%s	www.17hihi.com	www.17hihi.com	www.17hihi.com	
789hi	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
2393	http://apiport.2393.cn/redirect/web?game=jxj	http://apiport.2393.cn/redirect/pay?game=jxj&sid=%s&uname=%s	http://apiport.2393.cn/redirect/bbs?game=jxj	http://apiport.2393.cn/redirect/bbs?game=jxj	http://apiport.2393.cn/redirect/web?game=jxj	
57ac	http://jxj.57ac.com/	http://pay.57ac.com/	http://jxj.57ac.com/	http://jxj.57ac.com/	http://jxj.57ac.com/	
25wy	http://gzjxj.25wy.com	http://webbox.25wy.com/micro/pay?serverid=%s&username=%s	http://gzjxj.25wy.com	http://gzjxj.25wy.com	http://gzjxj.25wy.com	
