id	vip0	vip1	vip2	vip3	vip4	vip5	vip6	vip7	vip8	vip9	vip10	vip11	vip12	vip13	vip14	vip15	TAB_VERSION
20204	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	
20205	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	2.1|2.1|6400	
20206	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	20|1800|0	
20209	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
20210	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	3:00:00	
20211	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
20212	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
20236	36	40	48	60	72	84	96	108	120	132	144	156	168	180	192	204	
20237	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	
20241	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
20258	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	
20272	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	
20337	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	
20277	604800	604800	604800	604800	604800	604800	604800	604800	604800	604800	604800	604800	604800	604800	604800	604800	
20306	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
20309	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
20311	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	
20317	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	
20404	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	
20405	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	
20406	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	
20407	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
20409	64800	64800	64800	64800	64800	64800	64800	64800	64800	64800	64800	64800	64800	64800	64800	64800	
20411	240	240	240	240	240	252	252	252	252	252	252	252	252	252	252	252	
20415	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
20417	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
20425	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
20436	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
20437	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	
20446	1	2	3	4	5	5	5	5	5	5	5	5	5	5	5	5	
20447	2	2	3	3	4	4	5	5	6	6	7	8	9	10	10	10	
20450	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
20475	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
20476	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	
20480	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	
20491	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
20492	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
20493	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	
20498	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	20|5|100	
20499	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	20|5	
20523	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
20526	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	
20528	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	
20530	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	
20557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20574	-1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
20575	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	
20585	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	255|200|200|255	
20586	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	255|255|0|255	
20587	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	0|255|0|255	
20588	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	255|150|50|255	
20589	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	30|180|230|255	
20601	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
20618	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
20637	-1	-1	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
20638	-1	-1	-1	-1	-1	-1	-1	100	100	100	100	100	100	100	100	100	
20643	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
20644	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
20645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20646	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
20647	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
20650	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
20656	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	
20657	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
20658	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	
20659	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	19:59:00	
20663	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
20666	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	
20672	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
20673	1	1	2	2	4	4	8	8	10	10	20	20	20	20	20	20	
20674	0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	
20683	100|255|255|255	100|255|255|256	100|255|255|257	100|255|255|258	100|255|255|259	100|255|255|260	100|255|255|261	100|255|255|262	100|255|255|263	100|255|255|264	100|255|255|265	100|255|255|265	100|255|255|265	100|255|255|265	100|255|255|265	100|255|255|265	
20685	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	12:30:00	
20686	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	13:35:00	
20687	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	
20688	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	22:00:00	
20692	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
20693	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
20694	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	
20695	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
20696	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
20697	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	1|1	
20698	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	
20699	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	
20682	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
20704	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
20725	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	
20726	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
20727	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	0.00001|0.17|0.0000001|0.004	
20728	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	0.01|0.1|0.001|0.025|0.001	
20734	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
20735	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
20745	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
20746	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
20747	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	
20748	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	
20820	1800	3600	5400	7200	9000	10800	12600	14400	16200	18000	19800	21600	23400	25200	27000	28800	
20834	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
20840	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
20841	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	
20842	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
20843	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
20844	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
20845	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	
20846	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
20852	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
20853	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	
20854	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	
20855	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	
20858	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
20860	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
20861	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
20870	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
20875	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	
20878	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
20879	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000	
20884	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
20889	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
20893	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	
20896	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
20899	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
21002	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	
21003	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	6064|1	
21009	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	0|10	
21010	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	300|500	
21031	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	18|50	
21055	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	2888|5000|6064	
21056	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	5|10|20|40|80	
21012	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
21023	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
21028	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
21029	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	
21032	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	20000|20	
21033	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
21043	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	50|200	
21045	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	
21046	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
21048	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	
21051	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	40|30|30	
21078	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	
21080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21081	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
21087	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	
21088	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
21090	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
21093	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
21096	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	
21098	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	5|9	
21106	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	
21111	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	
21113	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	20018|2200|10180|0	
21114	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	20018|2200|10181|0	
21115	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	20018|2200|10182|0	
21201	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
21202	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
21207	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
21208	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
21209	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	1|2|4|6|10	
21210	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	100|50|20|5|1	
21218	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	0|20|50|70|90	
21219	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
21220	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	
21253	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	
21257	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
21258	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	
21262	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
21263	1	1	1	2	3	4	4	4	4	4	4	4	4	4	4	4	
21266	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
21268	1	2	2	3	3	3	4	4	4	4	4	4	4	4	4	4	
21269	1	1	2	2	3	3	3	3	4	4	4	4	4	4	4	4	
21270	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
21271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21273	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	16|20|24|28	
21274	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	50|100|150|200	
21275	5|10|20	5|10|20	5|10|20	5|10|20	5|15|20	5|15|20	5|20|20	5|20|20	5|30|20	5|30|20	5|40|20	5|40|20	5|50|20	5|50|20	5|60|20	5|60|20	
21276	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	
21277	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
21289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
21290	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
21293	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	20|40|60|80	50|100|150|200	
21307	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
21310	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	
21311	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	
21312	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	
21313	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	
21314	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	
21324	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	
21328	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
21329	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	
21330	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
21332	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
21339	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
21342	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	
21343	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	
21354	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
21358	259200	259200	259200	259200	259200	259200	259200	259200	259200	259200	259200	259200	259200	259200	259200	259200	
21361	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
21369	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
22032	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
22073	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22080	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
22091	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
22094	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
22097	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
22098	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
22099	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
22100	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	
22101	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	
22102	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
22107	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
22109	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	
22202	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	
